,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,dist_victim_vilain_pre,dist_victim_vilain_post,out_deg_victim,in_deg_villain,victim,villain,relayer
62,30,131,747,936,189,34,34,740,740,0,0.0004765308553728854,0.0004765308553728854,698,698,0,[[inf]],[[3]],[[3]],4,5,917,165,895
63,43,659,785,994,209,48,58,657,713,56,0.0004084550188910446,0.002314578440382586,680,905,225,[[2]],[[4]],[[3]],8,11,186,316,100
64,20,121,725,951,226,24,24,819,819,0,0.00037441710065012424,0.00037441710065012424,664,664,0,[[inf]],[[3]],[[3]],3,3,693,536,968
65,100,100,884,884,0,100,100,917,917,0,0.027638789611627353,0.02808128254875932,998,998,0,[[3]],[[1]],[[1]],8,69,142,12,107
66,51,152,792,927,135,56,56,645,645,0,0.0005105687736138058,0.0005105687736138058,707,707,0,[[inf]],[[3]],[[3]],9,10,287,262,738
67,6,108,428,917,489,17,17,513,513,0,3.4037918240920386e-05,3.4037918240920386e-05,403,403,0,[[4]],[[4]],[[4]],5,1,502,416,532
68,14,116,611,930,319,20,20,587,587,0,0.00037441710065012424,0.0007147962830593281,663,762,99,[[4]],[[4]],[[4]],4,4,495,450,404
69,0,206,1,957,956,8,36,1,569,568,0.0,0.001157289220191293,1,816,815,[[3]],[[inf]],[[4]],8,0,142,502,73
70,0,101,1,905,904,5,5,1,1,0,0.0,0.0,1,1,0,[[inf]],[[inf]],[[inf]],5,0,677,974,665
71,357,973,975,997,22,366,366,970,970,0,0.005786446100956465,0.007318152421797883,955,970,15,[[2]],[[2]],[[2]],24,37,28,74,42
72,76,177,939,981,42,22,22,903,903,0,0.0023486163586235067,0.0023486163586235067,912,912,0,[[inf]],[[3]],[[3]],2,27,873,61,758
73,16,118,616,930,314,16,16,508,508,0,0.00017018959120460194,0.0002723033459273631,535,605,70,[[4]],[[4]],[[4]],4,8,532,477,443
74,2,208,335,971,636,3,8,362,481,119,0.0,0.001497668402600497,1,864,863,[[3]],[[5]],[[4]],2,1,429,788,42
75,0,616,1,992,991,10,42,1,531,530,0.0,0.001055175465468532,1,811,810,[[2]],[[inf]],[[3]],10,0,114,812,490
76,68,684,840,996,156,102,112,944,955,11,0.0020763130126961434,0.003812246842983083,888,934,46,[[2]],[[2]],[[2]],8,4,371,185,45
77,0,206,1,957,956,8,18,1,425,424,0.0,0.00030634126416828345,1,633,632,[[3]],[[inf]],[[4]],8,0,142,564,296
78,103,204,877,952,75,96,96,769,769,0,0.0010211375472276116,0.0010211375472276116,806,806,0,[[inf]],[[3]],[[3]],11,20,227,189,997
79,124,330,945,988,43,32,32,889,889,0,0.0030974505599237552,0.0040845501889104465,931,945,14,[[3]],[[3]],[[3]],2,30,586,39,97
80,0,206,1,937,936,23,70,1,471,470,0.0,0.0009190237925048504,1,775,774,[[3]],[[inf]],[[4]],23,0,30,915,438
81,4,105,438,945,507,4,4,417,417,0,0.00010211375472276115,0.00010211375472276115,486,486,0,[[inf]],[[5]],[[5]],2,3,979,196,568
82,14,116,607,928,321,26,26,637,637,0,0.00017018959120460194,0.0005446066918547262,549,709,160,[[4]],[[4]],[[4]],5,3,644,280,612
83,0,206,1,970,969,2,8,1,461,460,0.0,0.0005105687736138058,1,710,709,[[3]],[[inf]],[[4]],2,0,763,991,329
84,3,1643,379,1000,621,4,54,1,896,895,0.0,0.025154021580040164,1,996,995,[[1]],[[inf]],[[2]],4,3,547,882,9
85,2,103,331,892,561,12,12,375,375,0,3.4037918240920386e-05,6.807583648184077e-05,400,442,42,[[5]],[[5]],[[5]],9,1,289,879,788
86,16,222,539,953,414,112,112,846,846,0,0.0005786446100956465,0.0028932230504782326,723,912,189,[[3]],[[3]],[[3]],12,1,183,439,112
87,1,103,276,866,590,18,19,1,343,342,0.0,0.0,1,1,0,[[4]],[[inf]],[[5]],18,1,69,472,853
88,32,133,714,917,203,68,68,761,761,0,0.0006126825283365669,0.0006126825283365669,736,736,0,[[inf]],[[3]],[[3]],8,6,197,467,995
89,119,220,948,978,30,32,32,924,924,0,0.0036760951700194017,0.0036760951700194017,943,943,0,[[5]],[[3]],[[3]],2,28,939,41,575
90,345,446,979,988,9,140,140,983,983,0,0.0063650907110521125,0.0063650907110521125,971,971,0,[[inf]],[[2]],[[2]],7,50,591,33,902
91,6,107,396,885,489,41,41,466,466,0,3.4037918240920386e-05,3.4037918240920386e-05,408,408,0,[[inf]],[[4]],[[4]],15,1,95,964,822
92,0,101,1,923,922,4,4,1,1,0,0.0,0.0,1,1,0,[[inf]],[[inf]],[[inf]],4,0,578,564,886
93,28,129,740,933,193,42,42,728,728,0,0.000442492937131965,0.000442492937131965,689,689,0,[[inf]],[[3]],[[3]],6,3,405,173,614
94,49,151,844,960,116,14,14,588,588,0,0.0009530617107457708,0.0009870996289866913,816,818,2,[[4]],[[4]],[[4]],3,17,710,226,435
95,38,140,797,951,154,34,34,782,782,0,0.0009190237925048504,0.001055175465468532,788,813,25,[[4]],[[3]],[[3]],4,7,545,630,524
96,18,119,687,940,253,24,24,734,734,0,0.0005786446100956465,0.0005786446100956465,723,723,0,[[inf]],[[4]],[[4]],4,6,491,192,864
97,2,103,330,884,554,10,10,1,1,0,0.0,0.0,1,1,0,[[5]],[[inf]],[[6]],10,2,189,709,708
98,6,108,487,948,461,9,10,521,533,12,3.4037918240920386e-05,0.00013615167296368154,394,518,124,[[4]],[[4]],[[4]],3,1,654,552,260
99,1,207,276,954,678,8,19,1,421,420,0.0,0.00030634126416828345,1,627,626,[[3]],[[inf]],[[4]],8,1,434,660,376
