,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,dist_victim_vilain_pre,dist_victim_vilain_post,out_deg_victim,in_deg_villain,victim,villain,relayer
0,38,139,719,912,193,158,158,909,909,0,0.0011913271384322134,0.0011913271384322134,819,819,0,[[inf]],[[3]],[[3]],13,3,97,642,777
1,0,101,1,907,906,5,5,1,1,0,0.0,0.0,1,1,0,[[inf]],[[inf]],[[inf]],5,0,326,638,876
2,19,120,601,892,291,78,78,776,776,0,0.0007147962830593281,0.0007147962830593281,744,744,0,[[inf]],[[3]],[[3]],8,3,370,559,950
3,0,101,1,895,894,6,6,1,1,0,0.0,0.0,1,1,0,[[inf]],[[inf]],[[inf]],6,0,312,678,858
4,0,206,1,971,970,3,10,1,493,492,0.0,0.00088498587426393,1,797,796,[[3]],[[inf]],[[4]],3,0,842,967,277
5,13,114,723,972,249,8,8,646,646,0,0.00017018959120460194,0.00017018959120460194,558,558,0,[[inf]],[[4]],[[4]],2,7,962,188,776
6,0,101,1,916,915,4,4,1,1,0,0.0,0.0,1,1,0,[[inf]],[[inf]],[[inf]],4,0,558,945,963
7,1,102,276,874,598,12,12,1,1,0,0.0,0.0,1,1,0,[[inf]],[[inf]],[[inf]],12,1,52,841,565
8,1,102,276,913,637,3,3,1,1,0,0.0,0.0,1,1,0,[[inf]],[[6]],[[6]],3,1,645,402,205
9,0,102,1,878,877,11,12,1,346,345,0.0,6.807583648184077e-05,1,434,433,[[4]],[[inf]],[[5]],11,0,66,991,607
10,10,111,613,947,334,10,10,558,558,0,0.0002723033459273631,0.00034037918240920387,624,667,43,[[5]],[[4]],[[4]],3,3,790,280,370
11,105,207,903,966,63,64,64,845,845,0,0.0019061234214915416,0.001940161339732462,877,880,3,[[4]],[[3]],[[3]],7,22,416,128,164
12,41,247,846,982,136,12,12,653,653,0,0.001497668402600497,0.0022465026039007454,874,909,35,[[3]],[[4]],[[4]],2,14,975,190,293
13,6,212,418,966,548,30,34,569,606,37,0.0002042275094455223,0.0006807583648184077,572,745,173,[[3]],[[4]],[[4]],7,1,362,609,312
14,0,101,1,944,943,2,2,1,1,0,0.0,3.4037918240920386e-05,1,396,395,[[5]],[[inf]],[[6]],2,0,625,796,265
15,0,101,1,924,923,5,5,1,1,0,0.0,0.0,1,1,0,[[inf]],[[inf]],[[inf]],5,0,663,936,513
16,48,254,827,976,149,44,44,837,837,0,0.001599782157323258,0.002995336805200994,870,921,51,[[3]],[[3]],[[3]],4,6,700,397,89
17,0,101,1,948,947,2,2,1,1,0,0.0,0.0,1,1,0,[[inf]],[[inf]],[[inf]],2,0,686,699,693
18,0,101,1,861,860,24,24,1,1,0,0.0,0.0,1,1,0,[[5]],[[inf]],[[6]],24,0,28,803,593
19,0,101,1,934,933,3,3,1,1,0,0.0,0.0,1,1,0,[[inf]],[[inf]],[[inf]],3,0,953,774,568
20,17,118,711,958,247,12,12,714,714,0,0.0007488342013002485,0.0007488342013002485,776,776,0,[[inf]],[[4]],[[4]],2,7,876,630,971
21,40,142,784,936,152,56,56,868,868,0,0.0006467204465774873,0.0006807583648184077,740,746,6,[[4]],[[3]],[[3]],5,8,479,302,468
22,6,108,521,961,440,18,18,800,800,0,0.0004084550188910446,0.0009530617107457708,677,806,129,[[4]],[[4]],[[4]],3,1,852,404,345
23,0,101,1,931,930,2,2,1,1,0,0.0,0.0,1,1,0,[[inf]],[[inf]],[[inf]],2,0,904,643,778
24,24,125,616,893,277,154,154,861,861,0,0.0012934408931549745,0.0012934408931549745,834,834,0,[[5]],[[3]],[[3]],14,4,85,440,401
25,13,115,584,924,340,18,18,574,574,0,0.0002382654276864427,0.0004765308553728854,596,698,102,[[4]],[[4]],[[4]],3,3,459,291,115
26,0,206,1,979,978,2,8,1,568,567,0.0,0.003437829742332959,1,936,935,[[3]],[[inf]],[[4]],2,0,913,538,21
27,67,168,825,932,107,100,100,788,788,0,0.0014636304843595766,0.0014636304843595766,847,847,0,[[inf]],[[2]],[[2]],11,7,279,237,574
28,7,109,511,931,420,20,20,614,614,0,0.000442492937131965,0.0008509479560230097,688,781,93,[[4]],[[4]],[[4]],4,2,648,160,162
29,1,102,276,939,663,4,4,1,1,0,0.0,0.0,1,1,0,[[inf]],[[inf]],[[inf]],4,1,789,235,767
30,292,498,974,990,16,106,106,943,943,0,0.0053439531638245,0.005616256509751864,964,965,1,[[3]],[[2]],[[2]],7,54,436,28,770
31,0,101,1,902,901,6,6,1,1,0,0.0,0.0,1,1,0,[[inf]],[[inf]],[[inf]],6,0,387,774,564
32,45,146,769,921,152,76,76,690,690,0,0.0006807583648184077,0.0006807583648184077,743,743,0,[[6]],[[3]],[[3]],11,9,76,294,582
33,2,104,340,934,594,3,4,375,417,42,0.0,0.0,1,1,0,[[4]],[[5]],[[5]],2,1,776,543,544
34,0,206,1,975,974,2,8,1,483,482,0.0,0.0006807583648184077,1,756,755,[[3]],[[inf]],[[4]],2,0,972,990,179
35,0,101,1,890,889,8,8,1,1,0,0.0,0.0,1,1,0,[[inf]],[[inf]],[[inf]],8,0,365,548,723
36,461,667,982,991,9,176,176,974,974,0,0.009292351679771264,0.009428503352734947,975,975,0,[[3]],[[3]],[[3]],11,62,215,70,291
37,24,125,748,951,203,22,22,805,805,0,0.0005786446100956465,0.0005786446100956465,738,738,0,[[inf]],[[3]],[[3]],2,3,939,173,750
38,0,102,1,870,869,11,19,1,384,383,0.0,0.0002042275094455223,1,561,560,[[4]],[[inf]],[[5]],11,0,307,358,159
39,45,147,813,941,128,20,20,560,560,0,0.0007828721195411688,0.0008169100377820892,768,774,6,[[4]],[[4]],[[4]],4,12,762,172,416
40,2,208,337,975,638,3,8,367,499,132,3.4037918240920386e-05,0.0026209197045508697,400,916,516,[[3]],[[5]],[[4]],2,1,880,899,69
41,24,640,663,992,329,52,66,623,712,89,0.00017018959120460194,0.003880322679464924,547,940,393,[[2]],[[3]],[[3]],9,4,287,149,14
42,12,218,602,974,372,20,20,649,649,0,0.0004084550188910446,0.0008509479560230097,676,783,107,[[3]],[[4]],[[4]],4,2,573,827,869
43,9,111,557,939,382,14,14,587,587,0,6.807583648184077e-05,0.0005105687736138058,440,709,269,[[4]],[[4]],[[4]],3,3,748,598,328
44,40,141,799,938,139,38,38,826,826,0,0.0007828721195411688,0.0007828721195411688,777,777,0,[[inf]],[[3]],[[3]],3,5,459,221,847
45,0,101,1,886,885,9,9,1,1,0,0.0,0.0,1,1,0,[[inf]],[[inf]],[[inf]],9,0,126,515,883
46,7,108,449,888,439,31,31,454,454,0,3.4037918240920386e-05,3.4037918240920386e-05,400,400,0,[[inf]],[[4]],[[4]],12,2,187,325,969
47,0,101,1,903,902,5,5,1,1,0,0.0,0.0,1,1,0,[[5]],[[inf]],[[6]],5,0,669,877,873
48,0,101,1,911,910,5,5,1,1,0,0.0,0.0,1,1,0,[[inf]],[[inf]],[[inf]],5,0,524,929,847
49,11,112,546,909,363,32,32,561,561,0,0.00017018959120460194,0.00017018959120460194,527,527,0,[[inf]],[[4]],[[4]],8,5,454,722,614
50,1,207,275,980,705,3,14,1,651,650,0.0,0.0024166921951053475,1,911,910,[[3]],[[6]],[[4]],3,1,850,781,26
51,4,105,472,956,484,4,4,446,446,0,3.4037918240920386e-05,3.4037918240920386e-05,411,411,0,[[7]],[[5]],[[5]],2,3,666,196,181
52,10,626,549,997,448,13,36,455,724,269,6.807583648184077e-05,0.0028591851322373124,443,917,474,[[2]],[[4]],[[3]],5,3,464,526,112
53,9,625,561,998,437,24,34,733,836,103,0.0006126825283365669,0.005514142755029102,743,961,218,[[2]],[[4]],[[3]],4,3,603,103,71
54,293,395,985,993,8,32,32,909,909,0,0.006297014874570271,0.006433166547533953,969,970,1,[[4]],[[3]],[[3]],2,57,733,50,301
55,7,108,475,910,435,14,14,438,438,0,3.4037918240920386e-05,6.807583648184077e-05,405,445,40,[[5]],[[4]],[[4]],6,2,518,560,931
56,0,616,1,996,995,6,42,1,711,710,0.0,0.0034037918240920387,1,937,936,[[2]],[[inf]],[[3]],6,0,489,910,34
57,6,107,409,898,489,19,19,424,424,0,6.807583648184077e-05,6.807583648184077e-05,450,450,0,[[inf]],[[4]],[[4]],9,1,315,552,831
58,882,984,996,998,2,384,384,999,999,0,0.014738418598318526,0.014738418598318526,993,993,0,[[4]],[[2]],[[2]],16,85,132,0,596
59,23,229,621,952,331,104,104,680,680,0,0.000442492937131965,0.0006807583648184077,671,729,58,[[3]],[[3]],[[3]],17,3,63,209,453
60,48,149,854,966,112,12,12,675,675,0,0.0006467204465774873,0.0006467204465774873,746,746,0,[[inf]],[[4]],[[4]],2,20,757,189,990
61,141,242,955,977,22,62,62,973,973,0,0.005956635692161067,0.005956635692161067,965,965,0,[[inf]],[[2]],[[2]],3,21,712,123,949
