,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,dist_victim_vilain_pre,dist_victim_vilain_post,out_deg_victim,in_deg_villain,victim,villain,relayer
0,0,101,1,891,890,7,7,1,1,0,0.0,0.0,1,1,0,[[inf]],[[inf]],[[inf]],7,0,340,834,984
1,16,117,652,940,288,28,28,794,794,0,0.0005786446100956465,0.0005786446100956465,716,716,0,[[inf]],[[3]],[[3]],3,1,791,480,732
2,406,507,982,990,8,168,168,981,981,0,0.010041185881071514,0.010041185881071514,981,981,0,[[5]],[[2]],[[2]],9,54,262,19,656
3,2,103,330,876,546,19,19,381,381,0,0.0,0.0,1,1,0,[[inf]],[[5]],[[5]],11,1,227,717,651
4,10,112,526,901,375,36,36,575,575,0,0.00010211375472276115,0.00017018959120460194,491,549,58,[[4]],[[4]],[[4]],8,4,508,270,667
5,0,616,1,998,997,3,34,1,892,891,0.0,0.006024711528642908,1,965,964,[[2]],[[inf]],[[3]],3,0,729,205,75
6,1,207,276,962,686,4,11,1,431,430,0.0,0.00030634126416828345,1,645,644,[[3]],[[6]],[[4]],4,1,516,640,683
7,0,206,1,946,945,17,36,1,415,414,0.0,0.0004765308553728854,1,686,685,[[3]],[[inf]],[[4]],17,0,39,649,258
8,14,220,546,959,413,29,34,491,528,37,0.00013615167296368154,0.0009530617107457708,515,791,276,[[3]],[[4]],[[4]],9,3,330,353,177
9,117,218,905,958,53,94,94,844,844,0,0.002314578440382586,0.002314578440382586,903,903,0,[[inf]],[[3]],[[3]],9,22,200,203,778
10,9,215,492,951,459,56,60,523,535,12,0.0002042275094455223,0.00030634126416828345,572,627,55,[[3]],[[4]],[[4]],14,4,198,409,704
