,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Independent_pre_score,Independent_post_score,Independent_pre_rank,Independent_post_rank,Independent_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,dist_victim_vilain_pre,dist_victim_vilain_post,out_deg_victim,in_deg_villain,victim,villain,relayer
0,2,208,26,85,59,13,36,26,30,4,2,14,26,33,7,3.4037918240920386e-05,0.0017359338302869397,27,40,13,3,5,4,12,2,2,58,52
1,80,182,72,90,18,64,64,64,64,0,64,64,67,67,0,0.012083460975526737,0.01409169815174104,74,77,3,4,3,3,4,9,77,27,41
2,334,950,95,100,5,208,208,97,97,0,208,208,97,97,0,0.02750263793866367,0.03335715987610198,88,93,5,2,2,2,7,19,24,15,48
3,0,206,1,92,91,0,18,1,35,34,0,18,1,46,45,0.0,0.008237176214302734,1,66,65,3,-1,4,3,0,64,59,33
4,6,622,28,100,72,32,94,29,36,7,6,40,28,46,18,0.0002042275094455223,0.0057524081827155455,32,55,23,2,4,3,16,1,9,55,62
5,100,100,80,80,0,100,100,98,98,0,100,100,98,98,0,0.12634875251029648,0.126552980019742,100,100,0,5,1,1,2,40,89,3,60
6,200,200,88,88,0,118,118,66,66,0,118,118,80,80,0,0.01763164164879676,0.01763164164879676,80,80,0,-1,3,3,8,16,30,12,82
7,2,2,28,28,0,3,3,28,28,0,2,2,28,28,0,0.00010211375472276115,0.00010211375472276115,29,29,0,-1,5,5,2,1,68,60,79
8,0,616,1,100,99,0,46,1,34,33,0,24,1,43,42,0.0,0.002757071377514551,1,47,46,2,-1,3,8,1,42,45,70
9,0,616,1,100,99,0,44,1,47,46,0,44,1,57,56,0.0,0.012117498893767658,1,75,74,2,-1,3,4,0,47,87,33
10,0,102,1,75,74,0,7,1,25,24,0,2,1,25,24,0.0,3.4037918240920386e-05,1,26,25,4,-1,5,6,1,59,50,65
11,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,8,0,39,85,66
12,100,100,71,71,0,100,100,79,79,0,100,100,79,79,0,0.030361823070900983,0.030463936825623743,88,88,0,4,1,1,5,4,70,64,60
13,74,176,68,92,24,72,72,77,77,0,72,72,79,79,0,0.008475441641989176,0.009088124170325743,65,67,2,4,2,2,3,6,96,26,71
14,16,16,44,44,0,22,22,47,47,0,16,16,47,47,0,0.004493005207801491,0.004493005207801491,53,53,0,-1,3,3,2,1,89,90,85
15,0,616,1,100,99,0,34,1,38,37,0,34,1,50,49,0.0,0.01872085503250621,1,83,82,2,-1,3,4,0,53,89,0
16,2,104,26,75,49,10,10,28,28,0,2,5,26,29,3,0.00013615167296368154,0.0013615167296368155,30,38,8,4,5,5,5,1,80,60,83
17,402,608,99,100,1,136,136,98,98,0,136,136,98,98,0,0.038905340549372,0.039449947241226725,92,92,0,3,2,2,4,30,83,7,43
18,120,736,80,100,20,158,158,79,79,0,120,158,80,83,3,0.00888389666088022,0.019129310051397258,68,81,13,2,2,2,9,7,54,21,33
19,212,418,96,100,4,38,38,51,51,0,38,38,54,54,0,0.029715102624323496,0.03417406991388407,94,94,0,3,3,3,3,29,94,11,38
20,22,123,45,82,37,36,36,41,41,0,22,23,45,47,2,0.0020082371762143027,0.0020422750944552232,45,45,0,5,3,3,5,2,49,75,65
21,78,180,65,91,26,78,78,75,75,0,78,78,76,76,0,0.009870996289866912,0.01055175465468532,69,72,3,4,2,2,4,4,73,72,71
22,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,11,0,5,87,97
23,529,2129,100,100,0,392,392,99,99,0,392,392,99,99,0,0.03478675244222063,0.053337417883522246,93,98,5,1,2,2,14,29,16,11,6
24,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,16,0,4,87,92
25,100,100,76,76,0,100,100,96,96,0,100,100,96,96,0,0.06324245209163007,0.06324245209163007,99,99,0,-1,1,1,3,14,87,14,92
26,18,18,42,42,0,76,76,36,36,0,18,18,42,42,0,0.0007488342013002485,0.0007488342013002485,34,34,0,-1,3,3,13,2,13,63,96
27,168,374,88,100,12,100,100,71,71,0,100,100,72,72,0,0.015317063208414174,0.019197385887879097,76,83,7,3,2,2,6,14,56,32,26
28,409,1009,100,100,0,136,136,99,99,0,136,136,99,99,0,0.05439259334899078,0.07192212124306477,98,100,2,2,2,2,4,36,84,2,7
29,16,118,31,79,48,82,82,37,37,0,16,18,31,39,8,0.0005786446100956465,0.0006807583648184077,37,37,0,4,3,3,14,2,25,42,55
30,100,100,62,62,0,100,100,43,43,0,100,100,62,62,0,0.02811532046700024,0.04186663943633207,90,93,3,2,1,1,12,8,14,8,30
31,88,190,73,95,22,38,38,51,51,0,38,38,54,54,0,0.013104598522754349,0.014874570271282209,75,76,1,4,3,3,3,8,94,8,75
32,24,230,46,90,44,52,52,40,40,0,24,34,46,49,3,0.0010211375472276116,0.0017018959120460194,39,43,4,3,3,3,7,4,24,64,43
33,32,134,45,80,35,130,130,62,62,0,32,34,45,47,2,0.0030974505599237552,0.003199564314646516,49,49,0,4,3,3,14,2,16,83,65
34,23,125,55,87,32,12,12,35,35,0,12,12,42,42,0,0.0046972327172470135,0.004969536063174376,56,58,2,4,4,4,2,6,98,35,49
35,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,4,0,83,82,50
36,64,1704,55,100,45,136,180,67,77,10,64,132,55,81,26,0.006501242384015794,0.020661016372238675,58,79,21,1,2,2,12,6,2,73,62
37,0,616,1,100,99,0,44,1,47,46,0,44,1,53,52,0.0,0.017597603730555838,1,82,81,2,-1,3,4,0,83,87,15
38,0,102,1,81,80,0,8,1,29,28,0,3,1,32,31,0.0,0.0007147962830593281,1,37,36,4,-1,5,4,0,72,99,74
39,338,1978,96,100,4,168,192,96,99,3,168,192,96,99,3,0.03240409816535621,0.04928690561285272,91,98,7,1,2,2,6,29,40,0,51
40,22,22,43,43,0,76,76,39,39,0,22,22,43,43,0,0.0021784267674189047,0.0021784267674189047,44,44,0,-1,3,3,10,2,36,83,89
41,185,391,90,97,7,112,112,70,70,0,112,112,77,77,0,0.01940161339732462,0.019776030497974745,84,84,0,3,3,3,7,16,46,18,63
42,6,6,29,29,0,62,62,34,34,0,6,6,29,29,0,0.000442492937131965,0.000442492937131965,33,33,0,-1,4,4,13,1,13,49,59
43,8,109,36,85,49,14,14,35,35,0,8,9,36,40,4,0.0004084550188910446,0.000442492937131965,34,34,0,6,4,4,3,2,92,56,68
44,22,228,47,94,47,28,28,42,42,0,22,28,47,50,3,0.000442492937131965,0.005548180673270023,35,57,22,3,3,3,3,2,64,63,31
45,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,3,0,82,36,40
46,100,100,67,67,0,100,100,70,70,0,100,100,71,71,0,0.02906838217774601,0.04979747438646653,87,98,11,2,1,1,6,6,74,41,0
47,0,1640,1,100,99,0,142,1,59,58,0,130,1,84,83,0.0,0.020082371762143027,1,82,81,1,-1,2,16,0,4,98,6
48,94,1734,70,100,30,68,102,72,98,26,68,102,74,98,24,0.012730181422104225,0.039143605977058446,71,97,26,1,2,2,4,9,67,31,50
49,39,245,46,93,47,94,94,45,45,0,39,54,46,53,7,0.003778208924742163,0.006501242384015794,50,56,6,3,3,3,9,4,29,22,41
50,100,100,68,68,0,100,100,63,63,0,100,100,68,68,0,0.05888559855679227,0.05885156063855135,100,100,0,5,1,1,6,30,41,7,55
51,100,100,67,67,0,100,100,54,54,0,100,100,67,67,0,0.056843323462337045,0.06307226250042547,99,99,0,2,1,1,9,29,35,11,34
52,0,101,1,73,72,0,16,1,25,24,0,1,1,25,24,0.0,3.4037918240920386e-05,1,25,24,5,-1,6,16,0,4,98,68
53,16,16,35,35,0,40,40,35,35,0,16,16,35,35,0,0.0004084550188910446,0.0004084550188910446,36,36,0,-1,3,3,7,1,24,88,99
54,42,658,56,100,44,32,32,71,71,0,32,32,71,71,0,0.009836958371625992,0.024575376969944517,69,89,20,2,3,3,2,5,99,25,23
55,0,616,1,100,99,0,50,1,38,37,0,43,1,52,51,0.0,0.006773545729943157,1,63,62,2,-1,3,8,0,39,86,44
56,0,206,1,91,90,0,17,1,30,29,0,6,1,30,29,0.0,0.0007828721195411688,1,37,36,3,-1,4,7,0,62,67,71
57,38,38,51,51,0,40,40,45,45,0,38,38,51,51,0,0.002927260968719153,0.002927260968719153,49,49,0,-1,3,3,5,6,37,70,40
58,47,253,56,93,37,78,78,47,47,0,47,78,56,62,6,0.0051397256543789785,0.006467204465774873,56,60,4,3,3,3,8,6,57,35,64
59,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,4,0,78,92,36
60,56,672,56,100,44,68,88,72,83,11,56,88,66,83,17,0.007454304094761564,0.027877055039313797,62,91,29,2,2,2,4,2,67,83,9
61,0,206,1,90,89,0,24,1,32,31,0,6,1,30,29,0.0,0.002484768031587188,1,45,44,3,-1,4,6,0,48,66,90
62,100,100,59,59,0,100,100,40,40,0,100,100,59,59,0,0.018312400013615168,0.027264372510977228,81,89,8,2,1,1,15,6,7,26,14
63,156,156,86,86,0,94,94,70,70,0,94,94,72,72,0,0.014874570271282209,0.014874570271282209,78,78,0,-1,2,2,5,14,37,14,82
64,78,694,69,100,31,48,48,60,60,0,48,48,63,63,0,0.011811157629599374,0.0352292453793526,70,93,23,2,3,3,3,8,58,17,1
65,40,40,54,54,0,48,48,73,73,0,40,40,74,74,0,0.0061949011198475104,0.0061949011198475104,58,58,0,-1,2,2,3,1,92,88,96
66,16,222,44,94,50,24,24,40,40,0,15,24,44,52,8,0.0033357159876101976,0.007352190340038803,52,62,10,3,4,4,4,6,78,41,13
67,54,155,59,85,26,60,60,51,51,0,54,55,59,60,1,0.006977773239388679,0.00704584907587052,61,61,0,5,3,3,5,4,80,38,78
68,422,1038,99,100,1,192,192,99,99,0,192,192,99,99,0,0.05190782531740359,0.05544776881445931,97,98,1,2,2,2,6,36,32,2,46
69,154,256,89,93,4,88,88,80,80,0,88,88,80,80,0,0.02215868477483917,0.022465026039007456,84,84,0,4,2,2,4,18,84,5,49
70,0,616,1,100,99,0,34,1,42,41,0,34,1,51,50,0.0,0.012968446849790666,1,77,76,2,-1,3,4,0,83,66,6
71,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,6,0,48,98,92
72,40,40,48,48,0,110,110,58,58,0,40,40,48,48,0,0.002280540522141666,0.002280540522141666,45,45,0,-1,2,2,10,1,12,71,85
73,22,228,40,89,49,74,74,35,35,0,22,37,40,43,3,0.0011232513019503727,0.0035059055788147996,39,51,12,3,3,3,14,3,25,51,73
74,22,22,47,47,0,28,28,42,42,0,22,22,47,47,0,0.000442492937131965,0.000442492937131965,35,35,0,-1,3,3,3,2,64,63,92
75,0,616,1,100,99,0,50,1,38,37,0,43,1,52,51,0.0,0.006433166547533953,1,62,61,2,-1,3,8,0,39,85,44
76,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,14,1,17,50,99
77,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,6,0,71,80,98
78,40,1680,49,100,51,98,222,38,73,35,40,222,49,90,41,0.0018720855032506212,0.04077742605262262,43,96,53,1,2,2,14,1,16,49,3
79,6,622,28,100,72,26,70,33,53,20,6,70,28,61,33,0.0006467204465774873,0.02811532046700024,35,90,55,2,4,3,5,1,50,49,10
80,0,101,1,74,73,0,6,1,24,23,0,1,1,24,23,0.0,6.807583648184077e-05,1,26,25,5,-1,6,6,0,59,93,78
81,1,617,25,100,75,6,38,25,40,15,1,38,25,49,24,0.0,0.015180911535450491,1,78,77,2,6,3,6,2,69,58,12
82,0,616,1,100,99,0,28,1,44,43,0,28,1,49,48,0.0,0.01157289220191293,1,70,69,2,-1,3,3,0,58,96,77
83,6,108,32,83,51,8,8,32,32,0,6,8,32,37,5,0.00176997174852786,0.0037441710065012424,43,52,9,4,4,4,2,1,95,53,41
84,130,130,85,85,0,72,72,85,85,0,72,72,85,85,0,0.020456788862793153,0.020456788862793153,82,82,0,-1,2,2,3,18,94,30,98
85,40,246,58,97,39,44,52,67,80,13,40,52,67,81,14,0.00616086320160659,0.011504816365431091,62,73,11,3,2,2,3,2,81,42,62
86,16,16,41,41,0,24,24,37,37,0,16,16,41,41,0,0.0034037918240920387,0.0034037918240920387,51,51,0,-1,4,4,4,6,83,73,98
87,100,100,63,63,0,100,100,39,39,0,100,100,63,63,0,0.04772116137377038,0.05068246026073046,98,99,1,2,1,1,14,29,17,11,26
88,122,738,81,100,19,80,80,59,59,0,80,80,63,63,0,0.017427414139351238,0.028421661731168522,82,87,5,2,3,3,5,12,61,37,5
89,489,689,99,100,1,272,272,99,99,0,272,272,99,99,0,0.041083767316790906,0.04162837400864563,95,95,0,3,2,2,8,30,15,7,51
90,12,12,45,45,0,8,8,34,34,0,12,12,45,45,0,0.0007828721195411688,0.0007828721195411688,38,38,0,-1,4,4,2,2,93,74,91
91,16,632,36,100,64,76,86,54,62,8,16,86,36,66,30,0.0033016780693692774,0.011879233466081215,47,71,24,2,3,3,6,2,56,94,77
92,12,218,32,93,61,20,24,30,35,5,12,24,32,42,10,0.0009190237925048504,0.0123557643214541,35,72,37,3,4,4,4,2,67,74,12
93,100,100,66,66,0,100,100,52,52,0,100,100,66,66,0,0.06964158072092311,0.06964158072092311,100,100,0,-1,1,1,8,36,15,2,85
94,0,206,1,90,89,0,27,1,31,30,0,12,1,35,34,0.0,0.0028932230504782326,1,47,46,3,-1,4,8,0,39,89,73
95,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,4,0,77,86,99
96,145,145,83,83,0,204,204,79,79,0,145,145,83,83,0,0.009973110044589673,0.009973110044589673,65,65,0,-1,2,2,11,8,5,44,50
97,339,339,100,100,0,112,112,92,92,0,112,112,92,92,0,0.03710133088260322,0.03710133088260322,96,96,0,-1,2,2,4,30,53,7,96
98,129,335,87,98,11,48,48,69,69,0,48,48,70,70,0,0.01678069369277375,0.01861874127778345,80,84,4,3,3,3,3,15,55,19,70
99,40,656,51,100,49,58,90,47,60,13,40,90,51,65,14,0.002280540522141666,0.01763164164879676,45,79,34,2,2,2,6,1,41,4,6
100,100,100,60,60,0,100,100,50,50,0,100,100,60,60,0,0.054903162122604585,0.06191497328023418,99,99,0,2,1,1,9,29,28,1,25
101,86,292,65,95,30,86,86,62,62,0,86,86,65,65,0,0.007454304094761564,0.008441403723748256,63,64,1,3,3,3,6,7,74,21,83
102,0,616,1,100,99,0,34,1,54,53,0,34,1,56,55,0.0,0.010075223799312433,1,70,69,2,-1,3,3,0,76,86,38
103,56,56,54,54,0,110,110,74,74,0,56,56,54,54,0,0.0035059055788147996,0.0035059055788147996,49,49,0,-1,2,2,6,2,41,52,82
104,376,976,97,100,3,208,208,97,97,0,208,208,97,97,0,0.03369753905851118,0.03975628850539501,92,94,2,2,2,2,7,22,24,9,14
105,18,120,45,84,39,14,14,34,34,0,18,14,45,41,-4,0.0011913271384322134,0.001940161339732462,41,44,3,4,4,4,3,4,60,64,43
106,163,163,94,94,0,56,56,84,84,0,56,56,84,84,0,0.02828551005820484,0.02828551005820484,89,89,0,-1,2,2,2,19,86,15,87
107,156,772,85,100,15,214,214,86,86,0,156,174,85,86,1,0.01756356581231492,0.019061234214915415,80,80,0,2,2,2,11,9,33,39,61
108,46,252,54,93,39,56,56,46,46,0,46,56,54,57,3,0.0045270431260424114,0.007113924912352361,54,61,7,3,3,3,6,6,74,28,75
109,0,102,1,76,75,0,8,1,26,25,0,2,1,25,24,0.0,0.00010211375472276115,1,26,25,4,-1,5,6,0,56,85,60
110,0,616,1,100,99,0,86,1,44,43,0,60,1,56,55,0.0,0.007522379931243405,1,60,59,2,-1,3,10,1,11,50,48
111,16,632,35,100,65,41,90,32,44,12,16,90,35,64,29,0.0002723033459273631,0.017018959120460194,32,79,47,2,3,3,10,1,12,65,23
112,39,1679,46,100,54,66,100,44,65,21,39,100,46,74,28,0.004901460226692535,0.02307770856734402,52,86,34,1,3,2,6,4,51,22,54
113,200,816,88,100,12,304,314,87,88,1,200,314,88,97,9,0.01415977398822288,0.023690391095680587,73,86,13,2,2,2,17,8,20,8,32
114,146,248,83,93,10,110,110,77,77,0,110,110,81,81,0,0.015589366554341537,0.015827631982027978,79,79,0,4,2,2,6,14,74,14,49
115,16,222,35,91,56,46,66,34,36,2,16,22,35,42,7,0.0006126825283365669,0.003165526396405596,37,48,11,3,3,3,10,1,1,88,90
