,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Independent_pre_score,Independent_post_score,Independent_pre_rank,Independent_post_rank,Independent_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,dist_victim_vilain_pre,dist_victim_vilain_post,out_deg_victim,in_deg_villain,victim,villain,relayer
0,22,22,39,39,0,164,164,70,70,0,22,22,39,39,0,0.001940161339732462,0.001940161339732462,41,41,0,-1,3,3,14,2,17,61,82
1,46,46,53,53,0,146,146,64,64,0,46,46,53,53,0,0.0021784267674189047,0.0021784267674189047,45,45,0,-1,2,2,12,2,6,61,59
2,106,106,83,83,0,72,72,80,80,0,72,72,80,80,0,0.017121072875182955,0.017121072875182955,82,82,0,-1,2,2,3,8,66,20,81
3,2,208,27,96,69,3,12,27,34,7,2,12,27,41,14,0.0,0.01065386840940808,1,71,70,3,5,4,2,1,98,95,5
4,0,616,1,100,99,0,78,1,46,45,0,78,1,65,64,0.0,0.02978317846080534,1,89,88,2,-1,3,8,0,39,86,11
5,77,283,71,96,25,78,78,75,75,0,78,78,77,77,0,0.010245413390517035,0.017087034956942034,68,83,15,3,2,2,4,8,77,57,27
6,62,678,66,100,34,38,38,51,51,0,38,38,54,54,0,0.008713707069675619,0.01334286395044079,65,76,11,2,3,3,3,9,94,31,55
7,303,303,97,97,0,136,136,99,99,0,136,136,99,99,0,0.040913577725586306,0.040913577725586306,95,95,0,-1,2,2,4,29,84,0,45
8,100,100,72,72,0,100,100,77,77,0,100,100,77,77,0,0.03002144388849178,0.038394771775758195,91,95,4,3,1,1,6,6,69,26,33
9,0,206,1,92,91,0,18,1,29,28,0,8,1,34,33,0.0,0.0008509479560230097,1,36,35,3,-1,4,9,1,35,69,51
10,0,616,1,100,99,0,38,1,36,35,0,28,1,43,42,0.0,0.0035059055788147996,1,50,49,2,-1,3,8,0,10,92,35
11,56,56,53,53,0,150,150,65,65,0,56,56,53,53,0,0.005650294427992784,0.005650294427992784,55,55,0,-1,2,2,11,3,5,29,91
12,198,398,92,97,5,150,150,85,85,0,150,150,89,89,0,0.02032063718982947,0.02484768031587188,86,88,2,3,2,2,7,17,46,6,44
13,292,292,94,94,0,240,240,96,96,0,240,240,96,96,0,0.030600088498587426,0.030600088498587426,90,90,0,-1,2,2,9,15,54,16,36
14,28,1668,45,100,55,70,114,39,63,24,28,114,45,76,31,0.0013615167296368155,0.019741992579733823,40,81,41,1,3,2,10,3,22,43,14
15,153,1793,87,100,13,104,128,88,92,4,104,128,88,92,4,0.018312400013615168,0.03805439259334899,81,95,14,1,2,2,5,15,88,19,73
16,16,632,32,99,67,110,148,56,62,6,16,114,32,76,44,0.0008169100377820892,0.010721944245889922,39,67,28,2,3,3,17,1,20,71,14
17,86,188,69,93,24,64,64,68,68,0,64,64,69,69,0,0.008611593314952858,0.008679669151434699,65,65,0,4,3,3,4,6,73,13,4
18,46,46,61,61,0,46,46,83,83,0,46,46,83,83,0,0.02130773681881616,0.02130773681881616,86,86,0,-1,2,2,2,3,99,51,67
19,100,100,66,66,0,100,100,60,60,0,100,100,68,68,0,0.0530991524558358,0.05912386398447871,98,99,1,2,1,1,7,22,43,9,21
20,1,207,26,94,68,6,28,26,33,7,1,15,26,38,12,3.4037918240920386e-05,0.003369753905851118,27,50,23,3,6,4,6,2,32,58,22
21,24,24,44,44,0,56,56,44,44,0,24,24,44,44,0,0.0016678579938050988,0.0016678579938050988,39,39,0,-1,3,3,6,4,56,64,67
22,58,158,60,91,31,22,22,42,42,0,22,22,45,45,0,0.008679669151434699,0.00881582082439838,66,66,0,4,3,3,2,6,91,34,63
23,6,108,30,74,44,12,12,30,30,0,6,9,30,38,8,0.0004084550188910446,0.0009530617107457708,33,39,6,4,4,4,4,1,83,88,51
24,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,4,1,84,45,40
25,0,206,1,90,89,0,32,1,33,32,0,32,1,40,39,0.0,0.007352190340038803,1,59,58,3,-1,4,6,0,51,92,17
26,62,268,54,94,40,102,102,64,64,0,62,88,54,63,9,0.0024507301133462676,0.006501242384015794,46,59,13,3,2,2,8,4,30,64,26
27,0,616,1,100,99,0,36,1,35,34,0,30,1,47,46,0.0,0.0061949011198475104,1,57,56,2,-1,3,5,0,50,82,62
28,62,268,53,93,40,108,108,58,58,0,62,68,53,56,3,0.003165526396405596,0.0048674223084516155,49,55,6,3,2,2,12,3,3,54,46
29,0,206,1,92,91,0,10,1,31,30,0,6,1,31,30,0.0,0.0015657442390823377,1,43,42,3,-1,4,3,0,64,92,94
30,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,12,0,14,85,99
31,24,125,45,81,36,62,62,42,42,0,24,25,45,46,1,0.0013955546478777359,0.0013955546478777359,41,41,0,6,3,3,9,4,26,64,78
32,42,42,53,53,0,90,90,58,58,0,42,42,53,53,0,0.002995336805200994,0.002995336805200994,46,46,0,-1,2,2,6,2,48,61,85
33,100,100,68,68,0,100,100,63,63,0,100,100,68,68,0,0.032506211920078965,0.03284659110248817,90,91,1,3,1,1,6,9,41,31,49
34,0,616,1,100,99,0,28,1,43,42,0,28,1,53,52,0.0,0.025494400762449368,1,87,86,2,-1,3,3,0,76,98,3
35,6,622,27,100,73,24,74,29,37,8,6,54,27,53,26,6.807583648184077e-05,0.00789679703189353,28,60,32,2,4,3,12,1,2,95,17
36,22,638,43,100,57,32,50,37,44,7,22,50,43,51,8,0.0005446066918547262,0.008237176214302734,35,61,26,2,3,3,5,2,52,63,77
37,100,100,63,63,0,100,100,45,45,0,100,100,63,63,0,0.020456788862793153,0.020456788862793153,81,81,0,-1,1,1,11,7,19,62,87
38,0,101,1,79,78,0,3,1,25,24,0,1,1,25,24,0.0,6.807583648184077e-05,1,28,27,5,-1,6,3,0,58,59,4
39,24,230,44,93,49,58,58,40,40,0,24,38,44,48,4,0.0013955546478777359,0.0036760951700194017,41,49,8,3,3,3,8,3,39,43,41
40,0,206,1,97,96,0,12,1,38,37,0,12,1,43,42,0.0,0.008713707069675619,1,67,66,3,-1,4,2,0,97,79,20
41,159,261,87,94,7,104,104,85,85,0,104,104,86,86,0,0.025358249089485686,0.025766704108376733,88,88,0,4,2,2,5,20,37,23,88
42,71,173,57,86,29,108,108,61,61,0,71,73,57,57,0,0.005105687736138058,0.005241839409101739,57,58,1,4,2,2,9,6,28,35,4
43,104,104,77,77,0,60,60,55,55,0,60,60,60,60,0,0.01143674052894925,0.01143674052894925,71,71,0,-1,3,3,5,14,70,32,69
44,100,100,73,73,0,100,100,88,88,0,100,100,88,88,0,0.040505122706695255,0.04101569148030906,94,95,1,4,1,1,4,6,84,70,42
45,42,658,50,100,50,116,138,55,62,7,42,138,50,82,32,0.0007828721195411688,0.013547091459886314,37,74,37,2,2,2,14,2,17,56,18
46,100,100,69,69,0,100,100,70,70,0,100,100,72,72,0,0.04697232717247013,0.04697232717247013,97,97,0,-1,1,1,6,20,65,23,92
47,16,632,41,100,59,24,34,37,42,5,16,34,41,51,10,0.0034037918240920387,0.023213860240307704,51,87,36,2,4,3,4,6,83,73,10
48,0,616,1,100,99,0,36,1,39,38,0,36,1,50,49,0.0,0.007284114503556962,1,64,63,2,-1,3,5,0,37,80,21
49,20,636,45,100,55,38,48,47,58,11,20,48,45,62,17,0.0017018959120460194,0.017529527894074,43,82,39,2,3,3,3,3,75,43,5
50,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,12,0,3,40,85
51,161,263,92,97,5,72,72,79,79,0,72,72,80,80,0,0.025936893699581333,0.026107083290785937,91,91,0,4,2,2,3,15,75,16,56
52,40,656,45,100,55,116,178,58,68,10,40,178,45,84,39,0.0017018959120460194,0.02386058068688519,43,90,47,2,2,2,14,1,25,71,10
53,0,616,1,100,99,0,110,1,60,59,0,110,1,78,77,0.0,0.017291262466387555,1,82,81,2,-1,3,10,0,1,96,16
54,78,694,65,100,35,54,54,52,52,0,54,54,55,55,0,0.013036522686272508,0.01943565131556554,75,83,8,2,3,3,4,9,83,39,48
55,0,102,1,70,69,0,7,1,24,23,0,2,1,24,23,0.0,0.0,1,1,0,4,-1,5,6,0,40,98,95
56,118,734,80,100,20,120,120,85,85,0,120,120,85,85,0,0.016474352428605468,0.020831205963443275,81,84,3,2,2,2,6,9,48,39,28
57,142,1782,82,100,18,142,166,78,87,9,142,166,84,90,6,0.01232172640321318,0.043364307838932574,72,97,25,1,2,2,8,9,21,27,1
58,82,288,61,94,33,66,66,47,47,0,66,66,55,55,0,0.008373327887266415,0.012832295176826986,63,71,8,3,3,3,6,7,71,48,57
59,72,272,70,99,29,38,38,51,51,0,38,38,54,54,0,0.01153885428367201,0.020899281799925118,71,84,13,3,3,3,3,8,94,17,5
60,92,298,65,95,30,118,118,68,68,0,92,118,65,79,14,0.010790020082371761,0.014908608189523128,69,75,6,3,3,3,8,8,21,20,72
61,100,100,63,63,0,100,100,39,39,0,100,100,63,63,0,0.02723033459273631,0.027264372510977228,89,89,0,6,1,1,14,15,17,19,78
62,40,656,45,99,54,172,172,66,66,0,40,100,45,58,13,0.003165526396405596,0.00891793457912114,51,62,11,2,2,2,17,3,20,46,31
63,606,606,100,100,0,400,400,99,99,0,400,400,99,99,0,0.052554545763981074,0.052554545763981074,99,99,0,-1,2,2,13,36,13,2,97
64,100,100,77,77,0,100,100,96,96,0,100,100,96,96,0,0.06620375097859015,0.06671431975220396,98,98,0,3,1,1,3,8,82,17,56
65,0,206,1,92,91,0,22,1,33,32,0,22,1,43,42,0.0,0.005003573981415297,1,52,51,3,-1,4,5,0,37,81,31
66,155,155,91,91,0,56,56,86,86,0,56,56,86,86,0,0.022805405221416657,0.022805405221416657,86,86,0,-1,2,2,2,16,95,12,98
67,0,206,1,90,89,0,15,1,28,27,0,6,1,28,27,0.0,0.00013615167296368154,1,29,28,3,-1,4,8,0,39,96,65
68,6,622,29,99,70,30,112,30,59,29,6,112,29,74,45,0.0,0.014398039415909322,1,76,75,2,4,3,12,1,6,95,18
69,1,1,26,26,0,4,4,26,26,0,1,1,26,26,0,3.4037918240920386e-05,3.4037918240920386e-05,27,27,0,-1,6,6,4,1,77,78,99
70,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,5,0,88,66,96
71,0,206,1,91,90,0,60,1,31,30,0,6,1,27,26,0.0,0.002757071377514551,1,45,44,3,-1,4,16,0,4,82,90
72,100,100,67,67,0,100,100,54,54,0,100,100,67,67,0,0.043908914530787296,0.04431736954967834,98,98,0,4,1,1,8,19,27,15,63
73,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,5,0,50,81,86
74,432,638,99,100,1,200,200,93,93,0,200,200,93,93,0,0.037373634228530586,0.03795227883862623,97,97,0,3,2,2,8,30,27,7,56
75,78,78,73,73,0,38,38,47,47,0,38,38,53,53,0,0.011130399264780965,0.011130399264780965,75,75,0,-1,3,3,3,14,75,14,67
76,0,206,1,88,87,0,38,1,34,33,0,38,1,49,48,0.0,0.011368664692467409,1,71,70,3,-1,4,7,0,24,91,6
77,2,2,27,27,0,13,13,27,27,0,2,2,27,27,0,0.00013615167296368154,0.00013615167296368154,29,29,0,-1,5,5,11,1,38,78,82
78,0,102,1,83,82,0,3,1,26,25,0,3,1,30,29,0.0,0.00034037918240920387,1,31,30,4,-1,5,2,0,99,89,56
79,2,208,26,90,64,10,18,28,32,4,2,12,26,38,12,0.0002382654276864427,0.0018040096667687805,31,43,12,3,5,4,5,1,80,65,54
