,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Independent_pre_score,Independent_post_score,Independent_pre_rank,Independent_post_rank,Independent_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,dist_victim_vilain_pre,dist_victim_vilain_post,out_deg_victim,in_deg_villain,victim,villain,relayer
0,6,622,30,100,70,24,46,33,38,5,6,28,30,45,15,0.0007147962830593281,0.0031314884781646754,36,47,11,2,4,3,6,2,41,42,52
1,64,680,61,100,39,54,54,53,53,0,64,54,64,57,-7,0.00707988699411144,0.018959120460192654,62,84,22,2,3,3,4,4,79,72,14
2,58,58,66,66,0,28,28,45,45,0,28,28,49,49,0,0.008169100377820893,0.008169100377820893,66,66,0,-1,3,3,3,7,60,48,82
3,68,274,65,96,31,64,64,64,64,0,64,64,67,67,0,0.010517716736444398,0.012253650566731339,70,74,4,3,3,3,4,8,77,17,94
4,2,2,29,29,0,14,14,29,29,0,2,2,29,29,0,0.00013615167296368154,0.00013615167296368154,30,30,0,-1,5,5,9,1,26,65,82
5,0,616,1,100,99,0,54,1,43,42,0,58,1,56,55,0.0,0.009734844616903231,1,67,66,2,-1,3,7,0,62,80,20
6,84,84,75,75,0,28,28,46,46,0,28,28,53,53,0,0.01245787807617686,0.01245787807617686,75,75,0,-1,3,3,3,14,81,14,96
7,294,500,97,98,1,368,368,96,96,0,294,300,97,97,0,0.021443888491779844,0.02209060893835733,85,85,0,3,2,2,17,18,20,30,49
8,112,318,79,94,15,146,146,82,82,0,112,118,79,80,1,0.010245413390517035,0.012015385139044895,71,74,3,3,2,2,8,4,57,38,46
9,104,1744,73,100,27,154,198,72,82,10,104,198,73,87,14,0.006058749446883829,0.04261547363763232,59,97,38,1,2,2,10,5,11,47,3
10,60,266,59,95,36,90,90,65,65,0,60,90,60,68,8,0.006603356138738555,0.009598692943939549,60,69,9,3,2,2,6,6,34,73,35
11,0,616,1,100,99,0,110,1,61,60,0,110,1,74,73,0.0,0.021716191837707205,1,82,81,2,-1,3,10,0,22,79,7
12,76,282,73,99,26,56,56,84,84,0,56,56,85,85,0,0.016236087000919025,0.021682153919466287,81,86,5,3,2,2,2,5,98,25,62
13,0,616,1,100,99,0,58,1,35,34,0,50,1,53,52,0.0,0.008679669151434699,1,66,65,2,-1,3,10,1,36,45,8
14,0,616,1,100,99,0,60,1,54,53,0,60,1,58,57,0.0,0.02733244834745907,1,86,85,2,-1,3,5,0,70,85,11
15,121,121,76,76,0,148,148,71,71,0,121,121,76,76,0,0.009734844616903231,0.009734844616903231,68,68,0,-1,2,2,9,8,28,44,86
16,0,206,1,92,91,0,44,1,35,34,0,44,1,54,53,0.0,0.008203138296061813,1,63,62,3,-1,4,8,0,21,91,32
17,207,413,93,99,6,152,152,95,95,0,152,152,95,95,0,0.028455699649409444,0.03094046768099663,90,90,0,3,2,2,5,20,63,23,94
18,88,88,61,61,0,174,174,76,76,0,88,88,61,61,0,0.009190237925048503,0.009190237925048503,65,65,0,-1,2,2,10,4,22,38,67
19,78,78,57,57,0,104,104,73,73,0,78,78,58,58,0,0.00803294870485721,0.00803294870485721,60,60,0,-1,2,2,5,7,52,62,98
20,420,626,100,100,0,176,176,100,100,0,176,176,100,100,0,0.04380680077606454,0.04516831750570135,96,97,1,3,2,2,5,27,50,10,52
21,66,66,61,61,0,66,66,54,54,0,66,66,62,62,0,0.008135062459579971,0.008135062459579971,63,63,0,-1,3,3,6,7,69,21,87
22,370,370,97,97,0,88,88,73,73,0,88,88,74,74,0,0.04094761564382722,0.04094761564382722,94,94,0,-1,2,2,4,40,83,3,85
23,50,256,60,93,33,54,54,55,55,0,54,54,60,60,0,0.005480104836788182,0.007216038667075122,56,60,4,3,3,3,4,5,84,47,75
