,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Independent_pre_score,Independent_post_score,Independent_pre_rank,Independent_post_rank,Independent_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,dist_victim_vilain_pre,dist_victim_vilain_post,out_deg_victim,in_deg_villain,victim,villain,relayer
0,100,306,58,97,39,230,230,73,73,0,98,102,58,76,18,0.005071649817897137,0.005377991082065421,54,54,0,3,2,2,17,6,20,41,71
1,8,624,33,100,67,24,34,31,35,4,8,26,33,43,10,0.00030634126416828345,0.002552843868069029,33,39,6,2,4,3,6,2,71,56,74
2,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,7,0,46,40,96
3,66,1706,58,100,42,110,134,76,87,11,64,134,57,88,31,0.006024711528642908,0.025188059498281085,57,89,32,1,2,2,6,6,59,41,70
4,58,160,59,90,31,54,54,54,54,0,54,54,58,58,0,0.006909697402906838,0.007216038667075122,61,62,1,4,3,3,4,7,47,48,56
5,77,77,63,63,0,86,86,56,56,0,86,86,65,65,0,0.00789679703189353,0.00789679703189353,64,64,0,-1,3,3,6,8,48,44,87
6,132,1772,80,100,20,100,134,70,91,21,100,134,72,92,20,0.014908608189523128,0.043160080329487045,78,95,17,1,2,2,6,8,65,8,23
7,29,235,52,94,42,28,28,46,46,0,28,28,51,51,0,0.003642057251778481,0.008713707069675619,51,65,14,3,3,3,3,4,85,22,21
8,0,102,1,82,81,0,3,1,27,26,0,2,1,27,26,0.0,0.0002382654276864427,1,30,29,4,-1,5,2,0,68,99,88
9,16,16,33,33,0,25,25,32,32,0,16,16,33,33,0,0.0005786446100956465,0.0005786446100956465,34,34,0,-1,3,3,6,1,51,60,82
10,114,1714,77,100,23,180,180,76,76,0,114,180,77,87,10,0.006705469893461316,0.02307770856734402,58,85,27,1,2,2,12,6,3,28,5
11,6,622,29,100,71,18,40,32,39,7,6,40,29,48,19,0.0002382654276864427,0.00891793457912114,33,65,32,2,4,3,5,1,52,88,20
12,2,618,27,100,73,15,84,27,37,10,2,50,27,52,25,3.4037918240920386e-05,0.007556417849484326,27,62,35,2,5,3,13,1,13,68,17
13,86,86,63,63,0,86,86,59,59,0,86,86,63,63,0,0.005956635692161067,0.005956635692161067,55,55,0,-1,3,3,6,6,41,13,85
14,151,751,88,100,12,72,72,83,83,0,72,72,83,83,0,0.024609414888185438,0.047789237210252224,87,96,9,2,2,2,3,15,58,16,3
15,22,123,41,76,35,78,78,37,37,0,22,23,41,44,3,0.0009190237925048504,0.0009870996289866913,37,38,1,6,3,3,12,2,14,74,78
16,6,1646,28,100,72,23,182,28,67,39,6,182,28,86,58,6.807583648184077e-05,0.021341774737057083,28,84,56,1,4,2,17,1,20,78,15
17,176,276,89,94,5,96,96,69,69,0,96,96,70,70,0,0.018925082541951733,0.019367575479083698,82,83,1,4,3,3,6,17,56,6,42
18,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,4,0,83,96,99
19,60,266,59,95,36,90,90,65,65,0,60,90,60,68,8,0.006603356138738555,0.011096361346540046,60,71,11,3,2,2,6,6,34,73,38
20,100,100,66,66,0,100,100,60,60,0,100,100,68,68,0,0.0424112461281868,0.0424112461281868,95,95,0,-1,1,1,7,19,43,15,59
21,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,8,0,21,67,87
22,111,317,78,97,19,164,164,77,77,0,111,123,78,81,3,0.007862759113652609,0.009496579189216788,63,67,4,3,2,2,10,8,36,44,52
23,163,163,92,92,0,96,96,91,91,0,96,96,91,91,0,0.028932230504782327,0.028932230504782327,89,89,0,-1,2,2,3,16,76,18,66
24,12,12,39,39,0,18,18,35,35,0,12,12,39,39,0,0.002382654276864427,0.002382654276864427,45,45,0,-1,4,4,3,2,58,83,84
25,14,220,39,93,54,18,18,36,36,0,14,18,39,46,7,0.0014636304843595766,0.004016474352428605,42,54,12,3,4,4,3,3,64,43,29
26,46,147,62,88,26,22,22,47,47,0,22,22,52,52,0,0.005071649817897137,0.005207801490860819,58,58,0,5,3,3,2,6,89,26,88
27,24,24,45,45,0,76,76,41,41,0,24,24,45,45,0,0.0016678579938050988,0.0016678579938050988,41,41,0,-1,3,3,11,3,19,43,69
28,144,246,82,91,9,112,112,92,92,0,112,112,92,92,0,0.012049423057285817,0.012151536812008578,72,72,0,4,2,2,4,6,83,13,60
29,342,342,95,95,0,216,216,94,94,0,216,216,94,94,0,0.03808843051158991,0.03808843051158991,92,92,0,-1,2,2,9,27,31,10,99
30,8,8,34,34,0,10,10,31,31,0,8,8,34,34,0,0.000442492937131965,0.000442492937131965,33,33,0,-1,4,4,3,2,94,63,45
31,150,150,83,83,0,152,152,78,78,0,152,152,85,85,0,0.016372238673882704,0.016372238673882704,79,79,0,-1,2,2,8,12,42,37,50
32,6,6,30,30,0,18,18,32,32,0,6,6,30,30,0,0.00034037918240920387,0.00034037918240920387,31,31,0,-1,4,4,6,1,65,55,87
33,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,10,0,11,93,85
34,100,716,59,100,41,198,218,69,71,2,100,218,59,89,30,0.008169100377820893,0.021648116001225366,61,82,21,2,2,2,14,6,16,34,37
35,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,8,0,15,40,87
36,42,144,59,89,30,32,32,69,69,0,32,32,69,69,0,0.010109261717553355,0.015146873617209572,71,80,9,4,3,3,2,5,90,25,8
37,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,11,0,38,98,85
38,90,90,74,74,0,56,56,76,76,0,56,56,77,77,0,0.014023622315259198,0.014023622315259198,78,78,0,-1,2,2,2,7,68,21,99
39,22,638,40,100,60,74,88,36,40,4,22,52,40,50,10,0.0013955546478777359,0.006126825283365669,40,56,16,2,3,3,12,2,3,74,38
40,40,1680,46,100,54,120,182,57,71,14,40,140,46,82,36,0.0019741992579733825,0.01834643793185609,42,79,37,1,2,2,14,2,17,42,33
41,0,206,1,93,92,0,16,1,32,31,0,16,1,42,41,0.0,0.0033016780693692774,1,51,50,3,-1,4,4,0,73,80,26
42,101,717,79,100,21,78,78,78,78,0,78,78,78,78,0,0.010075223799312433,0.017257224548146634,65,79,14,2,2,2,4,8,67,44,48
43,82,184,76,93,17,46,46,81,81,0,46,46,82,82,0,0.012866333095067906,0.013376901868681712,76,78,2,4,2,2,2,7,90,48,43
44,432,638,100,100,0,176,176,99,99,0,176,176,99,99,0,0.05211205282684911,0.05759215766363729,97,97,0,3,2,2,5,36,63,2,62
45,0,206,1,96,95,0,14,1,32,31,0,14,1,40,39,0.0,0.0025188059498281084,1,46,45,3,-1,4,3,0,75,67,35
46,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,8,0,15,40,99
47,84,290,75,98,23,56,56,80,80,0,56,56,81,81,0,0.010687906327649,0.02226079852956193,69,88,19,3,2,2,2,5,91,47,15
48,8,214,37,93,56,24,24,38,38,0,8,20,37,47,10,0.000442492937131965,0.003710133088260322,35,52,17,3,4,4,4,2,73,56,29
49,160,366,90,99,9,88,88,80,80,0,88,88,81,81,0,0.023179822322066782,0.02641342455495422,86,88,2,3,2,2,4,20,77,23,22
50,410,410,98,98,0,280,280,98,98,0,280,280,98,98,0,0.03274447734776541,0.03274447734776541,90,90,0,-1,2,2,10,22,11,9,96
51,64,1704,54,100,46,158,202,65,70,5,64,202,54,87,33,0.00439089145307873,0.024439225296980838,54,87,33,1,2,2,14,6,16,73,6
52,214,830,94,100,6,72,72,87,87,0,72,72,87,87,0,0.029578950951359814,0.035875965825930084,90,92,2,2,2,2,3,22,55,9,21
53,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,6,0,34,93,82
54,136,342,84,98,14,144,144,90,90,0,144,144,90,90,0,0.01579359406378706,0.021341774737057083,80,85,5,3,2,2,6,8,59,17,21
55,260,260,93,93,0,272,272,94,94,0,272,272,94,94,0,0.021035433472888797,0.021035433472888797,86,86,0,-1,2,2,11,17,33,6,89
56,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,2,0,90,84,82
57,8,214,38,95,57,8,8,32,32,0,8,8,38,38,0,0.0006807583648184077,0.0036760951700194017,35,51,16,3,4,4,2,2,95,74,29
58,42,242,52,93,41,94,94,51,51,0,40,42,51,52,1,0.003642057251778481,0.004152626025392287,51,52,1,3,3,3,9,6,23,41,74
59,46,662,55,100,45,124,134,66,68,2,46,100,55,61,6,0.002723033459273631,0.011198475101262807,50,69,19,2,2,2,10,2,11,52,20
60,50,256,61,95,34,38,38,55,55,0,38,38,58,58,0,0.004731270635487933,0.015317063208414174,56,78,22,3,3,3,3,5,76,47,12
61,203,409,94,98,4,144,144,91,91,0,144,144,91,91,0,0.025766704108376733,0.026958031246808945,88,88,0,3,2,2,6,15,32,16,52
62,100,100,69,69,0,100,100,57,57,0,100,100,69,69,0,0.05395010041185881,0.0545968208584363,98,98,0,3,1,1,8,29,57,1,71
63,219,219,91,91,0,184,184,78,78,0,184,184,87,87,0,0.022328874366043774,0.022328874366043774,85,85,0,-1,2,2,10,20,18,23,59
64,0,616,1,100,99,0,70,1,39,38,0,70,1,61,60,0.0,0.015283025290173252,1,75,74,2,-1,3,10,0,12,79,16
65,18,119,45,82,37,28,28,40,40,0,18,19,45,46,1,0.0018380475850097008,0.0018380475850097008,42,42,0,5,3,3,3,2,82,61,68
66,0,102,1,83,82,0,4,1,28,27,0,4,1,30,29,0.0,0.005854521937438306,1,61,60,4,-1,5,2,0,99,36,8
67,94,94,62,62,0,152,152,78,78,0,94,94,62,62,0,0.006773545729943157,0.006773545729943157,59,59,0,-1,2,2,8,6,42,26,79
68,46,662,55,100,45,50,50,45,45,0,50,50,56,56,0,0.007216038667075122,0.02215868477483917,62,85,23,2,3,3,5,6,45,34,18
69,218,218,95,95,0,56,56,80,80,0,56,56,81,81,0,0.03757786173797611,0.03757786173797611,95,95,0,-1,2,2,2,29,91,11,85
70,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,4,0,78,93,36
71,159,1799,87,100,13,104,128,82,92,10,104,128,82,92,10,0.018040096667687803,0.04520235542394227,82,96,14,1,2,2,5,15,80,19,33
72,66,272,70,98,28,38,38,56,56,0,38,38,57,57,0,0.010109261717553355,0.012900371013308825,69,73,4,3,3,3,3,6,60,77,75
73,16,632,33,100,67,122,136,55,58,3,16,53,33,48,15,0.0011913271384322134,0.005173763572619898,38,55,17,2,3,3,16,1,4,71,35
74,101,307,77,98,21,94,94,75,75,0,94,94,75,75,0,0.010313489226998877,0.012083460975526737,68,72,4,3,2,2,5,8,49,44,46
75,32,134,52,88,36,48,48,65,65,0,32,34,54,54,0,0.00527587732734266,0.005514142755029102,58,58,0,4,3,3,3,3,66,29,49
76,114,320,76,94,18,96,96,60,60,0,96,96,69,69,0,0.010858095918853602,0.01746145205759216,71,81,10,3,3,3,6,9,44,27,32
77,100,100,72,72,0,100,100,79,79,0,100,100,80,80,0,0.03543347288879812,0.03543347288879812,93,93,0,-1,1,1,5,6,37,73,84
78,0,616,1,100,99,0,24,1,38,37,0,19,1,46,45,0.0,0.0032336022328874367,1,50,49,2,-1,3,3,0,82,79,64
79,0,206,1,88,87,0,23,1,29,28,0,8,1,33,32,0.0,0.0018380475850097008,1,42,41,3,-1,4,10,0,11,89,75
80,64,64,59,59,0,114,114,67,67,0,64,64,59,59,0,0.006569318220497634,0.006569318220497634,61,61,0,-1,3,3,9,4,23,72,67
81,22,638,42,100,58,68,78,42,46,4,22,64,42,60,18,0.0018040096667687805,0.00976888253514415,44,69,25,2,3,3,8,2,39,52,21
82,16,222,37,90,53,52,52,43,43,0,16,22,37,41,4,0.0007147962830593281,0.002212464685659825,36,43,7,3,3,3,6,1,41,49,61
83,100,100,63,63,0,100,100,45,45,0,100,100,63,63,0,0.020456788862793153,0.020456788862793153,81,81,0,-1,1,1,11,7,19,62,50
84,100,100,69,69,0,100,100,70,70,0,100,100,72,72,0,0.07273903128084687,0.07709588481568468,100,100,0,2,1,1,6,36,65,2,44
85,2,618,26,100,74,11,54,26,32,6,2,18,26,37,11,0.0,0.002110350930937064,1,44,43,2,5,3,10,1,0,68,53
86,120,326,78,95,17,88,88,73,73,0,88,88,74,74,0,0.013036522686272508,0.01579359406378706,75,79,4,3,2,2,4,7,83,21,22
87,42,1682,55,100,45,82,126,48,68,20,40,126,52,77,25,0.003642057251778481,0.03992647809659961,51,97,46,1,3,2,7,6,24,41,7
