,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Independent_pre_score,Independent_post_score,Independent_pre_rank,Independent_post_rank,Independent_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,dist_victim_vilain_pre,dist_victim_vilain_post,out_deg_victim,in_deg_villain,victim,villain,relayer
0,46,46,48,48,0,120,120,61,61,0,46,46,48,48,0,0.003165526396405596,0.003165526396405596,48,48,0,-1,2,2,11,2,33,52,69
1,90,706,61,100,39,154,164,67,72,5,90,122,61,78,17,0.006467204465774873,0.01330882603219987,57,73,16,2,2,2,10,6,18,28,25
2,0,101,1,81,80,0,4,1,25,24,0,1,1,25,24,0.0,3.4037918240920386e-05,1,26,25,6,-1,7,4,0,77,76,68
3,88,190,60,90,30,154,154,72,72,0,88,90,60,62,2,0.007692569522448007,0.00793083495013445,62,63,1,4,2,2,10,4,36,72,65
4,100,100,63,63,0,100,100,45,45,0,100,100,63,63,0,0.05000170189591205,0.050069777732393884,97,97,0,5,1,1,11,29,19,1,60
5,104,720,72,100,28,124,134,85,87,2,104,120,75,83,8,0.012287688484972258,0.01497668402600497,74,77,3,2,2,2,6,5,40,25,55
6,180,1820,89,100,11,264,288,93,94,1,180,288,89,94,5,0.015419176963136935,0.042819701147077845,77,94,17,1,2,2,12,9,6,27,11
7,6,107,33,84,51,12,12,37,37,0,6,7,33,37,4,0.0010211375472276116,0.0010211375472276116,39,39,0,6,4,4,2,1,89,71,58
8,282,282,94,94,0,262,262,95,95,0,262,262,95,95,0,0.022737329384934817,0.022737329384934817,83,83,0,-1,2,2,11,16,38,12,96
9,236,1876,94,100,6,120,144,86,94,8,120,144,86,94,8,0.027536675856904592,0.07277306919908778,89,100,11,1,2,2,6,22,65,9,2
10,6,212,29,88,59,16,26,29,31,2,6,12,29,33,4,6.807583648184077e-05,0.0019741992579733825,27,46,19,3,4,4,7,1,24,95,94
11,116,116,79,79,0,142,142,78,78,0,116,116,79,79,0,0.012900371013308825,0.012900371013308825,74,74,0,-1,2,2,8,8,21,17,81
12,100,100,79,79,0,100,100,95,95,0,100,100,95,95,0,0.08958780081010245,0.08968991456482521,100,100,0,5,1,1,3,30,75,7,65
13,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,5,0,63,93,50
14,18,18,41,41,0,50,50,38,38,0,18,18,41,41,0,0.0004765308553728854,0.0004765308553728854,36,36,0,-1,3,3,7,2,43,56,99
15,212,828,90,100,10,120,120,88,88,0,120,120,87,87,0,0.023213860240307704,0.031178733108683073,85,93,8,2,2,2,6,19,71,15,31
16,6,622,28,100,72,18,54,28,37,9,6,54,28,50,22,0.00034037918240920387,0.010109261717553355,30,65,35,2,4,3,8,1,27,55,33
17,1,617,26,100,74,8,80,26,51,25,1,80,26,62,36,3.4037918240920386e-05,0.012015385139044895,26,73,47,2,6,3,8,2,21,58,8
18,335,535,99,100,1,72,72,87,87,0,72,72,87,87,0,0.04527043126042411,0.0516014840532353,96,97,1,3,2,2,3,40,55,3,14
19,159,1759,88,100,12,112,112,99,99,0,112,112,99,99,0,0.02198849518363457,0.06623778889683107,86,99,13,1,2,2,4,12,67,37,3
20,96,96,71,71,0,94,94,70,70,0,94,94,72,72,0,0.012491915994417782,0.012491915994417782,73,73,0,-1,2,2,5,6,37,77,96
21,32,648,44,100,56,78,78,45,45,0,32,78,44,57,13,0.0012934408931549745,0.008986010415602982,41,67,26,2,3,3,8,2,42,74,27
22,34,240,50,95,45,60,60,52,52,0,34,60,50,61,11,0.0031314884781646754,0.008951972497362062,50,68,18,3,3,3,5,6,45,70,21
23,100,100,63,63,0,100,100,39,39,0,100,100,63,63,0,0.012559991830899623,0.012559991830899623,71,71,0,-1,1,1,14,4,17,64,84
24,6,1646,30,100,70,14,94,31,70,39,6,94,30,71,41,0.0002723033459273631,0.0530991524558358,31,97,66,1,4,2,5,1,63,65,3
25,2,618,26,99,73,14,92,28,42,14,2,56,26,52,26,0.0,0.0061949011198475104,1,54,53,2,5,3,11,2,5,58,38
26,0,616,1,100,99,0,42,1,39,38,0,23,1,48,47,0.0,0.0028591851322373124,1,49,48,2,-1,3,6,0,44,98,70
27,0,616,1,100,99,0,28,1,45,44,0,28,1,49,48,0.0,0.02188638142891181,1,87,86,2,-1,3,3,0,85,40,1
28,16,16,36,36,0,88,88,47,47,0,16,16,36,36,0,0.003948398515946765,0.003948398515946765,51,51,0,-1,3,3,8,1,39,90,92
29,6,107,29,82,53,10,10,29,29,0,6,6,29,29,0,6.807583648184077e-05,0.00010211375472276115,27,29,2,5,4,4,3,1,82,95,58
30,130,130,85,85,0,48,48,54,54,0,48,48,56,56,0,0.018312400013615168,0.018312400013615168,83,83,0,-1,3,3,3,18,87,30,99
31,0,206,1,89,88,0,20,1,29,28,0,6,1,29,28,0.0,0.0019741992579733825,1,38,37,3,-1,4,6,0,71,81,94
32,172,772,84,100,16,204,204,79,79,0,172,204,84,87,3,0.011743081793117532,0.01834643793185609,72,79,7,2,2,2,11,9,5,31,27
33,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,6,0,56,81,98
34,0,206,1,90,89,0,24,1,29,28,0,8,1,34,33,0.0,0.000442492937131965,1,35,34,3,-1,4,8,0,30,40,56
35,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,4,1,84,50,85
36,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,8,0,27,59,98
37,100,100,69,69,0,100,100,71,71,0,100,100,72,72,0,0.026787841655604345,0.042138942782259436,89,97,8,2,1,1,6,3,56,43,15
38,0,206,1,90,89,0,36,1,32,31,0,25,1,45,44,0.0,0.004663194799006093,1,55,54,3,-1,4,8,0,39,79,57
39,6,6,32,32,0,12,12,35,35,0,6,6,32,32,0,0.0009870996289866913,0.0009870996289866913,38,38,0,-1,4,4,2,1,98,71,86
40,22,228,46,94,48,34,34,44,44,0,22,34,46,54,8,0.0022465026039007454,0.016202049082678104,46,81,35,3,3,3,4,3,72,51,18
41,438,438,99,99,0,168,168,99,99,0,168,168,99,99,0,0.048674223084516154,0.048674223084516154,98,98,0,-1,2,2,6,40,71,3,66
42,100,100,65,65,0,94,94,68,68,0,94,94,73,73,0,0.012559991830899623,0.012559991830899623,74,74,0,-1,2,2,5,6,61,77,36
43,181,181,93,93,0,72,72,80,80,0,72,72,80,80,0,0.02546036284420845,0.02546036284420845,90,90,0,-1,2,2,3,15,66,16,76
44,34,136,52,86,34,54,54,55,55,0,34,36,52,54,2,0.0034037918240920387,0.00353994349705572,51,51,0,4,3,3,4,6,73,70,4
45,32,238,47,93,46,80,84,43,47,4,32,38,47,48,1,0.0030974505599237552,0.003812246842983083,48,51,3,3,3,3,9,2,23,75,55
46,176,792,89,100,11,136,136,100,100,0,136,136,100,100,0,0.022396950202525613,0.03611423125361653,88,96,8,2,2,2,4,9,53,39,18
47,112,318,78,95,17,252,252,85,85,0,112,118,78,79,1,0.008441403723748256,0.008577555396711936,64,64,0,3,2,2,14,4,25,38,4
