,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Independent_pre_score,Independent_post_score,Independent_pre_rank,Independent_post_rank,Independent_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,out_deg_victim,in_deg_villain,victim,villain,relayer
0,0,616,13.0,99.0,86.0,0,116,13.0,58.0,45.0,0,78,13.0,54.0,41.0,0.0,0.00888389666088022,13.0,61.0,48.0,2,17,0,20,76,8
1,0,616,13.0,100.0,87.0,0,58,13.0,39.0,26.0,0,34,13.0,45.0,32.0,0.0,0.005650294427992784,14.5,57.0,42.5,2,8,0,42,87,38
2,0,102,13.0,77.0,64.0,0,11,13.0,25.5,12.5,0,2,13.0,26.5,13.5,0.0,0.00017018959120460194,13.5,31.5,18.0,4,10,0,1,93,55
3,60,60,62.0,62.0,0.0,60,60,54.0,54.0,0.0,60,60,63.0,63.0,0.0,0.006535280302256714,0.006535280302256714,60.0,60.0,0.0,-1,5,5,80,47,93
4,250,866,96.0,100.0,4.0,96,96,94.0,94.0,0.0,96,96,94.0,94.0,0.0,0.0390755301405766,0.06664624391572212,94.0,99.0,5.0,2,3,27,58,10,3
5,373,2013,98.0,100.0,2.0,232,256,92.0,97.0,5.0,232,256,94.0,97.5,3.5,0.0339017665679567,0.05633275468872324,93.0,98.0,5.0,1,10,29,22,11,18
6,0,206,13.0,92.0,79.0,0,16,13.0,34.0,21.0,0,6,13.0,34.0,21.0,0.0,0.0020082371762143027,13.5,46.0,32.5,3,4,0,77,85,46
7,40,40,55.0,55.0,0.0,62,62,77.5,77.5,0.0,40,40,61.0,61.0,0.0,0.008679669151434699,0.008679669151434699,69.0,69.0,0.0,-1,3,1,75,90,92
8,172,372,88.0,96.0,8.0,136,136,83.0,83.0,0.0,136,136,83.5,83.5,0.0,0.017087034956942034,0.018040096667687803,80.0,81.0,1.0,3,7,18,43,5,52
9,100,100,67.5,67.5,0.0,100,100,47.5,47.5,0.0,100,100,67.5,67.5,0.0,0.04350045951189625,0.043908914530787296,97.0,97.0,0.0,3,14,22,25,9,51
10,15,1655,43.0,100.0,57.0,18,52,40.5,78.0,37.5,18,52,47.5,78.0,30.5,0.0035739814152966403,0.04472582456856938,53.0,95.0,42.0,1,3,6,76,73,19
11,0,101,13.0,72.0,59.0,0,10,13.0,25.0,12.0,0,1,13.0,25.0,12.0,0.0,0.00010211375472276115,14.0,28.5,14.5,5,10,0,11,91,78
12,225,431,94.0,99.0,5.0,152,152,96.5,96.5,0.0,152,152,96.5,96.5,0.0,0.021137547227611558,0.03550154872527996,86.0,93.0,7.0,3,5,15,52,19,23
13,562,1162,99.0,100.0,1.0,320,320,97.5,97.5,0.0,320,320,97.5,97.5,0.0,0.047993464719697745,0.0582729160284557,98.0,100.0,2.0,2,11,36,5,2,30
14,82,82,73.5,73.5,0.0,32,32,68.0,68.0,0.0,32,32,69.0,69.0,0.0,0.012900371013308825,0.012900371013308825,76.0,76.0,0.0,-1,2,8,91,20,66
15,393,599,99.0,100.0,1.0,160,160,100.0,100.0,0.0,160,160,100.0,100.0,0.0,0.04537254501514688,0.04755097178256578,95.0,95.0,0.0,3,4,29,79,1,29
16,22,22,41.0,41.0,0.0,114,114,58.0,58.0,0.0,22,22,41.0,41.0,0.0,0.002484768031587188,0.002484768031587188,46.0,46.0,0.0,-1,17,2,20,83,69
17,100,100,80.5,80.5,0.0,100,100,97.5,97.5,0.0,100,100,97.5,97.5,0.0,0.055583920487422986,0.055583920487422986,98.0,98.0,0.0,-1,3,13,85,24,92
18,94,300,73.5,97.0,23.5,62,62,79.5,79.5,0.0,62,62,80.0,80.0,0.0,0.01334286395044079,0.017529527894074,76.0,83.0,7.0,3,3,9,58,31,44
19,150,252,86.0,95.0,9.0,144,144,92.0,92.0,0.0,144,144,92.0,92.0,0.0,0.015419176963136935,0.01575955614554614,78.0,79.0,1.0,4,6,8,59,20,49
20,140,346,81.0,96.0,15.0,178,178,80.5,80.5,0.0,140,148,81.0,83.0,2.0,0.015248987371932332,0.015997821573232582,77.0,78.0,1.0,3,10,8,11,20,74
21,44,660,59.0,100.0,41.0,48,48,67.5,67.5,0.0,48,48,71.0,71.0,0.0,0.005990673610401988,0.012628067667381462,57.0,77.0,20.0,2,3,7,75,62,21
22,0,0,12.5,12.5,0.0,0,0,12.5,12.5,0.0,0,0,12.5,12.5,0.0,0.0,0.0,14.0,14.0,0.0,-1,6,0,69,67,89
23,0,206,13.0,92.0,79.0,0,26,13.0,35.5,22.5,0,26,13.0,46.0,33.0,0.0,0.0061949011198475104,13.0,56.0,43.0,3,5,0,88,79,27
24,144,760,82.0,100.0,18.0,198,208,83.0,86.5,3.5,144,208,82.0,91.0,9.0,0.007624493685966166,0.016916845365737433,62.0,79.0,17.0,2,10,6,18,13,31
25,100,100,66.5,66.5,0.0,100,100,59.5,59.5,0.0,100,100,66.5,66.5,0.0,0.029306647605432452,0.029306647605432452,90.0,90.0,0.0,-1,7,4,24,38,98
26,6,6,32.0,32.0,0.0,20,20,33.0,33.0,0.0,6,6,32.0,32.0,0.0,0.0002042275094455223,0.0002042275094455223,32.5,32.5,0.0,-1,6,1,74,88,96
27,52,153,66.0,93.0,27.0,22,22,62.0,62.0,0.0,22,22,62.0,62.0,0.0,0.007284114503556962,0.007488342013002485,64.0,64.0,0.0,5,2,7,99,21,60
28,338,954,96.0,100.0,4.0,168,168,97.5,97.5,0.0,168,168,97.5,97.5,0.0,0.03240409816535621,0.03761189965621702,91.5,92.0,0.5,2,6,29,40,0,57
29,248,248,96.0,96.0,0.0,72,72,90.0,90.0,0.0,72,72,90.0,90.0,0.0,0.04142414649920011,0.04142414649920011,95.0,95.0,0.0,-1,3,29,55,11,76
30,22,123,50.0,87.0,37.0,22,22,58.5,58.5,0.0,22,22,59.0,59.0,0.0,0.003437829742332959,0.00353994349705572,50.0,50.0,0.0,5,2,2,93,75,95
31,0,206,13.0,86.0,73.0,0,28,13.0,31.0,18.0,0,6,13.0,30.5,17.5,0.0,0.0006126825283365669,14.0,36.0,22.0,3,11,0,5,96,42
32,49,49,52.0,52.0,0.0,156,156,67.0,67.0,0.0,49,49,52.0,52.0,0.0,0.004833384390210695,0.004833384390210695,54.0,54.0,0.0,-1,11,4,5,22,85
33,66,167,67.0,91.0,24.0,38,38,60.0,60.0,0.0,38,38,61.5,61.5,0.0,0.008169100377820893,0.008169100377820893,65.0,65.0,0.0,5,3,9,85,31,95
34,6,212,33.0,94.0,61.0,14,18,34.5,39.5,5.0,6,18,33.0,43.5,10.5,0.00030634126416828345,0.007828721195411689,33.0,62.5,29.5,3,3,1,96,4,17
35,76,676,70.5,100.0,29.5,38,38,52.5,52.5,0.0,38,38,56.0,56.0,0.0,0.007182000748834201,0.02021852343510671,62.0,84.0,22.0,2,3,13,75,24,18
36,0,0,13.0,13.0,0.0,0,0,13.0,13.0,0.0,0,0,13.0,13.0,0.0,0.0,0.0,13.5,13.5,0.0,-1,5,0,49,79,80
37,46,252,54.5,93.0,38.5,90,90,72.0,72.0,0.0,46,90,54.5,72.5,18.0,0.008305252050784574,0.018108172504169646,64.0,79.0,15.0,3,6,2,69,83,19
38,192,293,94.0,98.0,4.0,48,48,74.0,74.0,0.0,48,48,75.0,75.0,0.0,0.029851254297287178,0.0298852922155281,91.0,91.0,0.0,6,3,29,81,11,58
39,121,121,78.0,78.0,0.0,154,154,69.5,69.5,0.0,121,121,78.0,78.0,0.0,0.008577555396711936,0.008577555396711936,67.0,67.0,0.0,-1,10,8,18,44,66
40,34,34,49.0,49.0,0.0,90,90,43.5,43.5,0.0,34,34,49.0,49.0,0.0,0.001599782157323258,0.001599782157323258,42.0,42.0,0.0,-1,10,4,1,64,99
41,0,616,12.5,100.0,87.5,0,38,12.5,55.5,43.0,0,38,12.5,58.0,45.5,0.0,0.012764219340345145,14.5,78.0,63.5,2,3,0,96,76,33
42,116,116,81.0,81.0,0.0,104,104,89.0,89.0,0.0,104,104,89.5,89.5,0.0,0.0176997174852786,0.0176997174852786,80.0,80.0,0.0,-1,5,8,49,20,96
43,242,242,95.0,95.0,0.0,216,216,97.5,97.5,0.0,216,216,98.0,98.0,0.0,0.02634534871847238,0.02634534871847238,88.0,88.0,0.0,-1,9,17,35,6,59
44,106,208,79.5,90.0,10.5,78,78,74.5,74.5,0.0,78,78,74.0,74.0,0.0,0.014534191088873005,0.01497668402600497,77.0,79.0,2.0,4,4,8,79,20,42
45,0,616,13.0,99.0,86.0,0,86,13.0,41.0,28.0,0,67,13.0,55.0,42.0,0.0,0.012934408931549747,13.5,75.0,61.5,2,11,0,19,87,37
46,100,100,68.0,68.0,0.0,100,100,53.5,53.5,0.0,100,100,68.0,68.0,0.0,0.06375302086524388,0.07382824466455631,100.0,100.0,0.0,2,10,36,22,2,37
47,0,101,13.0,74.0,61.0,0,8,13.0,25.0,12.0,0,1,13.0,25.0,12.0,0.0,0.0,13.5,13.5,0.0,5,8,0,10,79,68
48,0,616,13.0,100.0,87.0,0,22,13.0,58.0,45.0,0,22,13.0,60.0,47.0,0.0,0.02379250485040335,13.5,87.0,73.5,2,2,0,90,36,7
49,122,223,85.0,97.0,12.0,72,72,87.5,87.5,0.0,72,72,87.5,87.5,0.0,0.018925082541951733,0.018959120460192654,81.0,81.0,0.0,6,3,15,81,19,58
50,60,1700,54.0,100.0,46.0,156,180,69.5,75.5,6.0,60,180,54.0,87.0,33.0,0.008407365805507334,0.03951802307770857,66.0,95.0,29.0,1,11,5,33,25,10
51,1,102,26.0,79.5,53.5,3,3,26.0,26.0,0.0,1,1,26.0,26.0,0.0,3.4037918240920386e-05,6.807583648184077e-05,27.5,28.0,0.5,5,3,1,58,68,60
