,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Independent_pre_score,Independent_post_score,Independent_pre_rank,Independent_post_rank,Independent_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,dist_victim_vilain_pre,dist_victim_vilain_post,out_deg_victim,in_deg_villain,victim,villain,relayer
0,10,216,40,92,52,18,18,35,35,0,10,18,40,47,7,0.0016338200755641784,0.007556417849484326,44,60,16,3,4,4,3,3,87,54,48
1,0,616,1,100,99,0,54,1,37,36,0,34,1,45,44,0.0,0.0061949011198475104,1,58,57,2,-1,3,8,0,27,66,38
2,66,266,61,97,36,54,54,56,56,0,54,54,57,57,0,0.006535280302256714,0.012934408931549747,55,72,17,3,3,3,4,6,67,13,25
3,12,114,39,84,45,10,10,32,32,0,12,10,39,38,-1,0.0009530617107457708,0.0015317063208414173,39,44,5,4,4,4,3,3,60,51,63
4,122,224,76,90,14,106,106,71,71,0,106,106,76,76,0,0.013479015623404473,0.013547091459886314,76,76,0,4,2,2,7,8,43,8,88
5,291,497,99,100,1,56,56,80,80,0,56,56,81,81,0,0.04581503795227884,0.04734674427312026,97,98,1,3,2,2,2,36,91,2,46
6,0,206,1,93,92,0,10,1,31,30,0,9,1,36,35,0.0,0.002110350930937064,1,45,44,3,-1,4,3,0,55,89,70
7,40,40,51,51,0,118,118,72,72,0,40,40,51,51,0,0.006058749446883829,0.006058749446883829,58,58,0,-1,2,2,9,1,23,90,66
8,26,26,49,49,0,78,78,47,47,0,26,26,49,49,0,0.004765308553728854,0.004765308553728854,53,53,0,-1,3,3,8,6,30,73,98
9,174,380,87,97,10,224,224,87,87,0,174,224,87,93,6,0.019878144252697506,0.023111746485584943,80,88,8,3,2,2,11,12,19,37,73
