,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Independent_pre_score,Independent_post_score,Independent_pre_rank,Independent_post_rank,Independent_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,dist_victim_vilain_pre,dist_victim_vilain_post,out_deg_victim,in_deg_villain,victim,villain,relayer
0,139,139,85,85,0,96,96,61,61,0,96,96,69,69,0,0.014602266925354846,0.014602266925354846,79,79,0,-1,3,3,6,15,48,19,98
1,401,601,97,100,3,224,224,96,96,0,224,224,96,96,0,0.03601211749889377,0.040334933115490655,90,95,5,3,2,2,8,29,42,11,44
2,186,802,91,100,9,104,104,80,80,0,104,104,81,81,0,0.024200959869294394,0.05589026175159127,88,97,9,2,2,2,5,15,63,16,2
3,100,100,64,64,0,100,100,49,49,0,100,100,64,64,0,0.03819054426631267,0.042751625310596,92,96,4,2,1,1,8,15,42,19,38
4,100,100,69,69,0,100,100,57,57,0,100,100,69,69,0,0.043364307838932574,0.04625753088941081,97,97,0,3,1,1,8,19,57,15,90
5,57,57,60,60,0,52,52,75,75,0,52,52,76,76,0,0.010109261717553355,0.010109261717553355,70,70,0,-1,2,2,3,6,87,35,86
6,37,139,56,87,31,28,28,44,44,0,28,28,54,54,0,0.005582218591510943,0.008101024541339052,61,64,3,4,3,3,3,6,76,35,73
7,121,121,82,82,0,230,230,75,75,0,121,121,82,82,0,0.008543517478471017,0.008543517478471017,64,64,0,-1,2,2,16,8,4,44,40
8,2,208,26,87,61,18,39,28,30,2,2,10,26,33,7,0.0,0.0008169100377820892,1,35,34,3,5,4,14,1,16,68,74
9,6,6,29,29,0,36,36,32,32,0,6,6,29,29,0,0.0002723033459273631,0.0002723033459273631,32,32,0,-1,4,4,12,1,6,65,66
10,0,102,1,70,69,0,10,1,25,24,0,2,1,25,24,0.0,6.807583648184077e-05,1,28,27,4,-1,5,9,0,28,80,65
11,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,3,0,94,84,82
12,6,212,29,90,61,24,32,30,32,2,6,12,29,35,6,0.0002042275094455223,0.002382654276864427,31,46,15,3,4,4,8,1,30,60,94
13,16,118,41,77,36,24,24,37,37,0,16,24,41,49,8,0.0034037918240920387,0.0042547397801150485,51,53,2,4,4,4,4,6,83,73,74
14,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,2,0,95,99,66
15,22,22,43,43,0,54,54,39,39,0,22,22,43,43,0,0.0021784267674189047,0.0021784267674189047,46,46,0,-1,3,3,8,2,21,83,97
16,182,388,85,98,13,316,316,92,92,0,182,188,85,86,1,0.013581129378127233,0.013887470642295518,72,72,0,3,2,2,15,6,7,77,88
17,136,238,79,93,14,152,152,76,76,0,152,152,85,85,0,0.01684876952925559,0.01684876952925559,80,80,0,4,2,2,8,12,15,37,95
18,209,809,92,100,8,88,88,84,84,0,88,88,84,84,0,0.02648150039143606,0.02978317846080534,89,91,2,2,2,2,4,15,67,16,42
19,0,102,1,74,73,0,13,1,28,27,0,4,1,28,27,0.0,0.00017018959120460194,1,32,31,4,-1,5,8,0,10,84,63
20,0,206,1,93,92,0,13,1,33,32,0,6,1,30,29,0.0,0.002757071377514551,1,47,46,3,-1,4,3,1,55,50,90
21,200,406,90,99,9,104,104,82,82,0,104,104,83,83,0,0.024779604479390042,0.02563055243541305,88,89,1,3,2,2,5,15,50,16,43
22,0,616,1,100,99,0,34,1,46,45,0,34,1,54,53,0.0,0.017972020831205963,1,85,84,2,-1,3,4,0,77,85,23
23,90,296,66,94,28,120,120,79,79,0,90,120,66,80,14,0.010994247591817285,0.011913271384322134,72,73,1,3,2,2,6,5,44,25,43
24,8,8,38,38,0,16,16,33,33,0,8,8,38,38,0,0.0004084550188910446,0.0004084550188910446,35,35,0,-1,4,4,4,2,84,63,76
25,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,9,0,29,59,91
26,36,652,53,100,47,54,64,55,67,12,35,64,54,68,14,0.00445896728956057,0.017189148711664794,54,81,27,2,3,3,4,6,73,41,19
27,28,234,47,90,43,62,62,43,43,0,28,38,47,49,2,0.002110350930937064,0.0028591851322373124,46,47,1,3,3,3,7,3,24,54,43
28,0,206,1,94,93,0,12,1,31,30,0,12,1,36,35,0.0,0.019571802988529223,1,85,84,3,-1,4,2,0,91,82,1
29,22,22,49,49,0,54,54,55,55,0,22,22,49,49,0,0.004186663943633207,0.004186663943633207,53,53,0,-1,3,3,4,3,84,29,76
30,37,243,47,93,46,46,46,38,38,0,37,46,47,50,3,0.004220701861874128,0.006569318220497634,50,55,5,3,3,3,6,6,71,35,75
31,0,206,1,88,87,0,38,1,34,33,0,38,1,49,48,0.0,0.011709043874876613,1,72,71,3,-1,4,7,0,24,97,6
32,28,28,47,47,0,42,42,38,38,0,28,28,47,47,0,0.0013955546478777359,0.0013955546478777359,41,41,0,-1,3,3,6,4,65,64,59
33,100,100,62,62,0,100,100,43,43,0,100,100,62,62,0,0.05834099186493754,0.06804179856359985,100,100,0,2,1,1,12,40,14,3,33
34,22,124,53,84,31,32,32,63,63,0,22,32,54,63,9,0.004833384390210695,0.007011811157629599,57,62,5,4,3,3,2,3,86,29,70
35,0,101,1,75,74,0,6,1,25,24,0,1,1,25,24,0.0,0.00030634126416828345,1,30,29,5,-1,6,6,0,65,79,88
36,22,228,41,95,54,38,38,38,38,0,22,30,41,49,8,0.0009530617107457708,0.001940161339732462,38,46,8,3,3,3,6,2,34,74,51
37,90,296,58,96,38,178,178,76,76,0,88,92,57,58,1,0.00622893903808843,0.006943735321147759,57,58,1,3,2,2,10,6,0,41,71
38,0,206,1,89,88,0,34,1,31,30,0,15,1,31,30,0.0,0.0023486163586235067,1,42,41,3,-1,4,9,0,29,98,22
39,6,622,28,100,72,28,50,31,35,4,6,40,28,46,18,0.00017018959120460194,0.005956635692161067,28,57,29,2,4,3,8,1,27,4,72
40,6,622,27,100,73,16,34,29,38,9,6,34,27,45,18,0.00034037918240920387,0.013683243132849994,29,75,46,2,4,3,4,1,67,4,5
41,0,616,1,100,99,0,60,1,50,49,0,60,1,60,59,0.0,0.02198849518363457,1,84,83,2,-1,3,5,1,80,69,7
42,0,206,1,92,91,0,24,1,36,35,0,24,1,53,52,0.0,0.006262976956329351,1,59,58,3,-1,4,4,0,77,40,34
43,226,432,92,97,5,176,176,85,85,0,176,176,89,89,0,0.019571802988529223,0.02100139555464788,82,84,2,3,2,2,8,18,42,30,53
44,24,125,45,79,34,46,46,43,43,0,24,25,45,45,0,0.0012934408931549745,0.0016338200755641784,40,42,2,5,3,3,6,3,65,43,88
45,80,1720,64,100,36,152,176,84,86,2,80,176,64,88,24,0.010824058000612683,0.033799652813233945,72,89,17,1,2,2,8,5,57,25,30
46,100,100,81,81,0,100,100,96,96,0,100,100,96,96,0,0.050954763606657814,0.05915790190271963,98,99,1,3,1,1,3,1,92,45,20
47,63,679,62,100,38,38,38,46,46,0,38,38,51,51,0,0.006841621566424997,0.023520201504475986,58,89,31,2,3,3,3,8,96,57,5
48,0,206,1,90,89,0,20,1,33,32,0,15,1,41,40,0.0,0.002723033459273631,1,47,46,3,-1,4,4,0,79,85,22
49,0,616,1,100,99,0,38,1,39,38,0,16,1,38,37,0.0,0.004765308553728854,1,54,53,2,-1,3,6,0,32,84,90
50,100,100,69,69,0,100,100,69,68,-1,100,100,71,71,0,0.030736240171551108,0.06623778889683107,90,100,10,1,1,1,6,6,34,26,10
51,100,100,59,59,0,100,100,39,39,0,100,100,59,59,0,0.06079172197828381,0.08403962013683243,100,100,0,1,1,1,14,36,16,2,1
52,58,58,57,57,0,74,74,64,64,0,58,58,57,57,0,0.005105687736138058,0.005105687736138058,54,54,0,-1,2,2,5,3,88,54,40
53,144,744,82,100,18,176,176,87,87,0,144,176,82,90,8,0.01058579257292624,0.022226760611321013,70,85,15,2,2,2,8,7,15,21,6
54,1,617,25,100,75,3,28,25,45,20,1,28,25,53,28,0.0,0.004901460226692535,1,54,53,2,6,3,3,1,87,68,47
55,409,409,97,97,0,216,216,99,99,0,216,216,99,99,0,0.039143605977058446,0.039143605977058446,93,93,0,-1,2,2,6,29,44,0,50
56,260,260,98,98,0,56,56,86,86,0,56,56,86,86,0,0.03625038292658021,0.03625038292658021,95,95,0,-1,2,2,2,29,95,1,89
57,54,670,65,100,35,32,32,63,63,0,32,32,65,65,0,0.00803294870485721,0.0245413390517036,65,88,23,2,3,3,2,7,98,62,30
58,0,206,1,88,87,0,44,1,33,32,0,16,1,31,30,0.0,0.002382654276864427,1,45,44,3,-1,4,14,0,17,81,41
59,16,222,43,93,50,44,44,54,54,0,16,44,44,57,13,0.002927260968719153,0.011266550937744648,48,73,25,3,3,3,4,3,77,46,33
60,8,624,37,100,63,20,44,35,47,12,8,44,37,53,16,0.0006807583648184077,0.0088498587426393,37,68,31,2,4,3,4,3,83,51,13
61,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,4,0,84,67,86
62,226,226,94,94,0,72,72,77,77,0,72,72,77,77,0,0.03311889444841554,0.03311889444841554,93,93,0,-1,2,2,3,27,64,10,45
63,0,1640,1,100,99,0,56,1,50,49,0,48,1,53,52,0.0,0.02569862827189489,1,89,88,1,-1,2,5,0,37,99,73
64,100,100,69,69,0,100,100,66,66,0,100,100,72,72,0,0.05888559855679227,0.05888559855679227,99,99,0,6,1,1,6,30,44,7,68
65,16,222,42,96,54,38,38,47,47,0,16,38,42,52,10,0.0026889955410327104,0.004901460226692535,48,55,7,3,3,3,3,2,75,94,73
66,0,206,1,92,91,0,18,1,33,32,0,20,1,47,46,0.0,0.004833384390210695,1,56,55,3,-1,4,5,0,70,79,38
67,256,872,91,100,9,244,244,91,91,0,244,244,92,92,0,0.0160318594914735,0.022465026039007456,74,80,6,2,2,2,12,14,2,32,48
68,58,159,63,89,26,78,78,79,79,0,58,78,70,79,9,0.009836958371625992,0.009836958371625992,68,68,0,5,2,2,4,6,72,73,95
69,6,622,29,100,71,29,70,33,41,8,6,70,29,56,27,0.00017018959120460194,0.013138636440995268,33,76,43,2,4,3,9,1,28,55,12
70,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,8,0,15,91,59
71,84,700,59,100,41,104,104,73,73,0,84,104,66,78,12,0.010245413390517035,0.024439225296980838,69,89,20,2,2,2,5,5,52,25,19
72,34,136,53,87,34,28,28,45,45,0,28,28,50,50,0,0.005922597773920147,0.007113924912352361,59,62,3,4,3,3,3,4,58,72,53
73,16,222,34,92,58,70,70,54,54,0,16,36,34,48,14,0.004935498144933456,0.009530617107457708,53,70,17,3,3,3,5,1,50,90,38
74,32,238,47,94,47,84,84,47,47,0,32,38,47,48,1,0.002484768031587188,0.004050512270669526,48,51,3,3,3,3,9,2,35,83,94
75,0,102,1,83,82,0,4,1,30,29,0,2,1,28,27,0.0,0.000442492937131965,1,35,34,4,-1,5,2,0,90,98,42
76,12,114,40,79,39,26,26,36,36,0,12,14,40,40,0,0.0009190237925048504,0.0017359338302869397,38,43,5,4,4,4,5,3,49,51,71
77,294,494,98,100,2,136,136,98,98,0,136,136,98,98,0,0.04128799482623643,0.05105687736138058,95,96,1,3,2,2,4,27,77,10,30
78,16,222,37,93,56,42,42,38,38,0,16,42,37,51,14,0.0011232513019503727,0.013138636440995268,38,74,36,3,3,3,6,1,65,71,6
79,100,100,64,64,0,100,100,45,45,0,100,100,64,64,0,0.05163552197147622,0.05269069743694476,98,98,0,3,1,1,10,30,18,7,75
80,14,220,42,93,51,24,24,38,38,0,14,24,42,49,7,0.0017018959120460194,0.005071649817897137,44,57,13,3,4,4,4,4,73,64,29
81,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,6,0,69,84,81
82,0,206,1,93,92,0,24,1,33,32,0,24,1,45,44,0.0,0.004356853534837809,1,54,53,3,-1,4,6,0,34,80,57
83,6,622,29,100,71,24,68,32,40,8,6,68,29,56,27,0.0,0.017291262466387555,1,83,82,2,4,3,8,1,42,95,23
84,1,617,26,100,74,7,44,26,38,12,1,44,26,52,26,0.0,0.009428503352734947,1,66,65,2,6,3,7,1,62,78,33
85,0,1640,1,100,99,0,68,1,75,74,0,68,1,76,75,0.0,0.04411314204023282,1,95,94,1,-1,2,4,1,78,69,1
86,125,331,79,94,15,120,120,79,79,0,125,120,81,80,-1,0.010755982164130842,0.011981347220803976,70,71,1,3,2,2,7,8,43,44,52
