,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Independent_pre_score,Independent_post_score,Independent_pre_rank,Independent_post_rank,Independent_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,dist_victim_vilain_pre,dist_victim_vilain_post,out_deg_victim,in_deg_villain,victim,villain,relayer
0,0,616,1,100,99,0,40,1,42,41,0,40,1,52,51,0.0,0.010313489226998877,1,68,67,2,-1,3,5,0,49,82,20
1,54,155,53,86,33,188,188,73,73,0,54,55,53,53,0,0.006297014874570271,0.006467204465774873,60,60,0,5,3,3,13,7,13,62,55
2,76,692,61,100,39,96,106,56,70,14,74,106,60,75,15,0.006467204465774873,0.02386058068688519,58,87,29,2,2,2,7,6,43,41,16
3,40,656,47,100,53,128,138,70,74,4,40,80,47,57,10,0.005548180673270023,0.01143674052894925,55,69,14,2,2,2,9,1,29,90,72
4,100,100,57,57,0,100,100,38,38,0,100,100,57,57,0,0.03240409816535621,0.0480955784744205,91,98,7,1,1,1,16,19,4,15,5
5,100,100,63,63,0,100,100,39,39,0,100,100,63,63,0,0.0283876238129276,0.0283876238129276,90,90,0,-1,1,1,14,12,17,37,79
6,373,373,99,99,0,120,120,99,99,0,120,120,99,99,0,0.05265665951870384,0.05265665951870384,97,97,0,-1,2,2,3,36,75,2,89
7,176,792,86,100,14,174,174,76,76,0,174,174,87,87,0,0.014806494434800367,0.020729092208720514,75,84,9,2,2,2,10,13,22,33,48
8,40,656,48,100,52,116,116,74,74,0,40,61,48,53,5,0.0032336022328874367,0.00616086320160659,48,55,7,2,2,2,7,1,46,53,41
9,12,12,35,35,0,18,18,36,36,0,12,12,35,35,0,0.002212464685659825,0.002212464685659825,46,46,0,-1,4,4,3,2,82,75,85
10,0,102,1,77,76,0,15,1,28,27,0,3,1,29,28,0.0,0.00030634126416828345,1,33,32,4,-1,5,9,0,35,92,56
11,0,206,1,92,91,0,36,1,31,30,0,15,1,33,32,0.0,0.0027911092957554717,1,48,47,3,-1,4,12,0,6,87,73
12,0,206,1,91,90,0,20,1,32,31,0,13,1,38,37,0.0,0.0012934408931549745,1,39,38,3,-1,4,6,0,44,76,64
13,0,616,1,100,99,0,44,1,35,34,0,16,1,35,34,0.0,0.004118588107151367,1,51,50,2,-1,3,9,0,23,66,90
14,16,16,35,35,0,78,78,45,45,0,16,16,35,35,0,0.002484768031587188,0.002484768031587188,47,47,0,-1,3,3,8,2,15,94,85
15,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,6,0,40,82,97
16,32,648,44,100,56,78,88,45,46,1,32,56,44,51,7,0.0012934408931549745,0.004935498144933456,41,53,12,2,3,3,8,2,42,74,41
17,12,628,39,100,61,24,34,38,42,4,12,34,39,51,12,0.002995336805200994,0.009292351679771264,49,70,21,2,4,3,4,2,79,75,62
18,40,246,51,94,43,108,108,71,71,0,40,40,51,51,0,0.004118588107151367,0.004356853534837809,51,51,0,3,2,2,9,3,26,46,88
19,144,350,89,99,10,72,72,84,84,0,72,72,84,84,0,0.019129310051397258,0.024098846114571634,84,87,3,3,2,2,3,14,85,32,21
20,0,102,1,82,81,0,8,1,31,30,0,2,1,27,26,0.0,0.0020422750944552232,1,45,44,4,-1,5,4,0,78,67,90
21,0,206,1,88,87,0,22,1,30,29,0,10,1,33,32,0.0,0.0013955546478777359,1,41,40,3,-1,4,7,1,24,50,54
22,122,122,79,79,0,110,110,76,76,0,110,110,81,81,0,0.016099935327955343,0.016099935327955343,81,81,0,-1,2,2,6,9,59,39,81
23,108,108,85,85,0,56,56,82,82,0,56,56,82,82,0,0.02130773681881616,0.02130773681881616,85,85,0,-1,2,2,2,9,89,39,87
