,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Independent_pre_score,Independent_post_score,Independent_pre_rank,Independent_post_rank,Independent_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,dist_victim_vilain_pre,dist_victim_vilain_post,out_deg_victim,in_deg_villain,victim,villain,relayer
0,87,703,61,100,39,118,128,66,66,0,87,128,61,78,17,0.00803294870485721,0.0141938119064638,62,78,16,2,3,3,8,8,15,44,13
1,8,110,40,86,46,8,8,34,34,0,8,8,40,40,0,0.0018040096667687805,0.005956635692161067,43,57,14,4,4,4,2,2,93,61,57
2,0,616,1,100,99,0,22,1,41,40,0,22,1,44,43,0.0,0.012185574730249497,1,76,75,2,-1,3,2,1,91,69,5
3,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,4,1,67,45,97
4,100,100,69,69,0,100,100,66,66,0,100,100,75,75,0,0.03512713162462984,0.03512713162462984,93,93,0,-1,1,1,6,9,51,27,66
5,6,622,32,100,68,12,32,35,62,27,6,32,32,64,32,0.0009870996289866913,0.020354675108070392,38,86,48,2,4,3,2,1,98,71,16
6,32,648,43,100,57,130,140,66,69,3,32,54,43,52,9,0.004663194799006093,0.008543517478471017,52,65,13,2,3,3,10,3,12,29,75
7,2,208,29,94,65,4,8,31,32,1,2,8,29,37,8,3.4037918240920386e-05,0.002144388849177984,27,45,18,3,5,4,2,1,90,65,94
8,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,2,0,90,96,84
9,0,616,1,100,99,0,34,1,44,43,0,34,1,52,51,0.0,0.014398039415909322,1,77,76,2,-1,3,4,0,84,91,30
10,76,282,63,96,33,70,70,58,58,0,70,70,64,64,0,0.008305252050784574,0.010313489226998877,67,69,2,3,3,3,5,7,63,21,83
11,332,932,95,100,5,168,168,96,96,0,168,168,96,96,0,0.03240409816535621,0.051839749480921744,91,98,7,2,2,2,6,22,40,9,7
12,100,100,60,60,0,100,100,40,40,0,100,100,60,60,0,0.017937982912965042,0.017937982912965042,77,77,0,-1,1,1,14,5,25,47,81
13,16,222,37,90,53,66,66,48,48,0,16,66,37,60,23,0.0020082371762143027,0.007284114503556962,42,63,21,3,3,3,6,1,48,53,44
14,101,307,77,98,21,94,94,75,75,0,94,94,75,75,0,0.010313489226998877,0.011504816365431091,68,68,0,3,2,2,5,8,49,44,54
15,38,139,53,81,28,68,68,46,46,0,38,39,53,54,1,0.0029612988869600733,0.0029612988869600733,51,51,0,5,3,3,8,3,21,54,68
16,96,96,66,66,0,122,122,69,69,0,96,96,66,66,0,0.009564655025698629,0.009564655025698629,65,65,0,-1,2,2,8,6,27,34,50
17,40,40,51,51,0,92,92,51,51,0,40,40,51,51,0,0.0053099152455835805,0.0053099152455835805,56,56,0,-1,2,2,8,1,30,90,40
18,128,334,87,99,12,72,72,80,80,0,72,72,80,80,0,0.018788930868988054,0.025290173253003846,84,88,4,3,2,2,3,13,76,33,20
19,2,1642,27,100,73,12,90,29,57,28,2,90,27,67,40,0.00010211375472276115,0.032540249838319886,30,91,61,1,5,2,6,1,48,65,9
20,0,616,1,100,99,0,22,1,53,52,0,22,1,53,52,0.0,0.021716191837707205,1,86,85,2,-1,3,2,0,99,98,7
21,100,100,57,57,0,100,100,38,38,0,100,100,57,57,0,0.04663194799006093,0.06205112495319786,98,100,2,1,1,1,16,29,4,11,5
22,54,155,57,84,27,66,66,51,51,0,54,55,57,57,0,0.006739507811702236,0.006739507811702236,62,62,0,5,3,3,6,4,34,38,95
23,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,4,0,78,93,79
24,24,640,44,100,56,58,82,43,47,4,24,82,44,58,14,0.001599782157323258,0.011028285510058205,42,74,32,2,3,3,7,3,46,43,14
25,0,616,1,100,99,0,50,1,49,48,0,50,1,53,52,0.0,0.010755982164130842,1,69,68,2,-1,3,5,0,37,85,19
26,16,222,43,97,54,28,28,46,46,0,16,28,43,52,9,0.0019741992579733825,0.02011640968038395,45,85,40,3,3,3,3,1,81,53,11
27,0,616,1,100,99,0,34,1,42,41,0,34,1,51,50,0.0,0.010790020082371761,1,70,69,2,-1,3,4,0,83,87,8
28,38,238,51,93,42,40,40,45,45,0,38,38,51,51,0,0.002927260968719153,0.00353994349705572,49,49,0,3,3,3,5,6,37,70,71
29,0,206,1,89,88,0,29,1,32,31,0,12,1,34,33,0.0,0.0014295925661186562,1,40,39,3,-1,4,9,0,28,84,51
30,135,341,84,98,14,64,64,65,65,0,64,64,67,67,0,0.014908608189523128,0.02501786990707648,78,88,10,3,3,3,4,15,47,19,39
31,12,12,37,37,0,18,18,40,40,0,12,12,37,37,0,0.0006126825283365669,0.0006126825283365669,35,35,0,-1,4,4,3,2,55,63,93
32,32,648,48,100,52,56,96,45,60,15,32,96,48,68,20,0.0030974505599237552,0.03492290411518432,48,91,43,2,3,3,6,2,48,75,2
33,0,616,1,100,99,0,24,1,34,33,0,18,1,44,43,0.0,0.005786446100956465,1,56,55,2,-1,3,5,0,88,86,83
34,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,12,1,3,45,59
35,22,22,41,41,0,110,110,59,59,0,22,22,41,41,0,0.0018040096667687805,0.0018040096667687805,43,43,0,-1,3,3,10,2,18,61,98
36,6,108,30,76,46,24,24,31,31,0,6,10,30,33,3,0.0004765308553728854,0.0006467204465774873,34,34,0,4,4,4,6,2,71,42,63
37,100,100,67,67,0,100,100,74,74,0,100,100,75,75,0,0.062357466217366146,0.06337860376459375,98,99,1,3,1,1,5,29,63,0,43
38,50,50,57,57,0,70,70,62,62,0,50,50,56,56,0,0.005548180673270023,0.005548180673270023,55,55,0,-1,3,3,5,6,45,26,92
39,66,272,63,96,33,48,48,62,62,0,48,48,64,64,0,0.008373327887266415,0.012764219340345145,66,74,8,3,3,3,3,7,64,21,47
40,264,864,92,100,8,248,248,90,90,0,248,248,92,92,0,0.019980258007420267,0.027979168794036557,81,88,7,2,2,2,11,18,38,5,20
41,434,434,99,99,0,280,280,99,99,0,280,280,99,99,0,0.036080193335375606,0.036080193335375606,92,92,0,-1,2,2,10,27,1,10,81
42,344,344,96,96,0,320,320,95,95,0,320,320,96,96,0,0.024507301133462677,0.024507301133462677,87,87,0,-1,2,2,14,19,17,15,89
43,135,751,84,100,16,64,64,65,65,0,64,64,67,67,0,0.014908608189523128,0.029374723441914292,78,91,13,2,3,3,4,15,47,19,6
44,100,100,69,69,0,100,100,70,70,0,100,100,72,72,0,0.04697232717247013,0.05589026175159127,97,98,1,2,1,1,6,20,65,23,32
45,1,207,26,92,66,8,18,26,29,3,1,9,26,36,10,3.4037918240920386e-05,0.000442492937131965,26,35,9,3,6,4,8,2,21,58,63
46,6,622,28,99,71,38,106,29,54,25,6,62,28,51,23,0.00013615167296368154,0.005003573981415297,30,54,24,2,4,3,17,1,20,95,13
47,40,40,52,52,0,80,80,65,65,0,40,40,52,52,0,0.006467204465774873,0.006467204465774873,60,60,0,-1,2,2,5,1,37,90,86
48,22,638,42,100,58,46,56,37,40,3,22,56,42,53,11,0.0007828721195411688,0.008679669151434699,35,63,28,2,3,3,6,2,40,56,77
49,226,826,89,100,11,224,224,85,85,0,224,224,89,89,0,0.019946220089179345,0.025188059498281085,84,85,1,2,2,2,11,18,5,30,57
50,6,622,33,100,67,8,22,33,48,15,6,22,33,52,19,0.00017018959120460194,0.013615167296368155,31,79,48,2,4,3,2,1,90,4,5
51,6,622,30,100,70,20,30,35,41,6,6,30,30,50,20,0.000442492937131965,0.0053099152455835805,34,55,21,2,4,3,4,1,83,49,47
52,265,471,98,100,2,72,72,85,85,0,72,72,85,85,0,0.03948398515946765,0.0422410565369822,95,95,0,3,2,2,3,30,94,7,35
53,22,124,42,79,37,34,34,39,39,0,22,25,42,48,6,0.0026209197045508697,0.0030293747234419145,49,51,2,4,3,3,4,2,53,83,56
54,0,102,1,81,80,0,6,1,30,29,0,4,1,31,30,0.0,0.0016338200755641784,1,41,40,4,-1,5,3,0,96,84,83
55,102,203,83,93,10,32,32,58,58,0,32,32,59,59,0,0.017495489975833077,0.017495489975833077,83,83,0,6,3,3,2,17,68,6,58
56,265,465,97,100,3,88,88,84,84,0,88,88,84,84,0,0.035603662480002726,0.03652268627250757,92,95,3,3,2,2,4,30,67,7,46
57,100,100,69,69,0,100,100,55,55,0,100,100,69,69,0,0.04142414649920011,0.04142414649920011,95,95,0,-1,1,1,8,16,30,18,67
58,2,104,28,75,47,11,12,29,29,0,2,4,28,31,3,0.00017018959120460194,0.00017018959120460194,31,31,0,4,5,5,6,1,44,55,95
59,24,24,52,52,0,28,28,44,44,0,24,24,52,52,0,0.0020422750944552232,0.0020422750944552232,47,47,0,-1,3,3,3,4,76,64,98
60,1,207,26,93,67,4,20,26,34,8,1,20,26,47,21,6.807583648184077e-05,0.006058749446883829,27,58,31,3,6,4,4,1,73,68,77
61,6,212,29,93,64,26,30,30,32,2,6,12,29,35,6,0.0002382654276864427,0.0006126825283365669,32,36,4,3,4,4,9,1,23,4,49
62,1,207,26,94,68,2,12,26,39,13,1,12,26,41,15,0.0,0.01950372715204738,1,84,83,3,6,4,2,1,90,68,1
63,92,298,71,95,24,84,84,77,77,0,84,84,78,78,0,0.011028285510058205,0.01657646618332823,71,78,7,3,2,2,5,7,88,48,21
64,0,206,1,90,89,0,22,1,29,28,0,12,1,35,34,0.0,0.0012253650566731338,1,38,37,3,-1,4,8,0,39,66,51
65,22,1662,40,100,60,48,106,38,65,27,22,106,40,74,34,0.0012934408931549745,0.040913577725586306,39,95,56,1,3,2,7,2,46,74,11
66,6,212,33,94,61,12,12,40,40,0,6,12,33,41,8,0.0007488342013002485,0.007828721195411689,39,69,30,3,4,4,2,2,90,42,27
67,76,282,62,95,33,90,90,65,65,0,76,90,61,67,6,0.009088124170325743,0.01763164164879676,66,79,13,3,2,2,6,6,74,34,33
68,0,616,1,100,99,0,88,1,37,36,0,58,1,53,52,0.0,0.00878178290615746,1,65,64,2,-1,3,14,0,17,67,20
69,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,3,0,87,79,97
70,0,616,1,100,99,0,28,1,47,46,0,28,1,52,51,0.0,0.022396950202525613,1,87,86,2,-1,3,3,0,55,84,0
71,92,708,69,100,31,58,68,66,71,5,58,68,67,73,6,0.014568229007113924,0.02757071377514551,77,90,13,2,2,2,4,8,67,8,5
72,292,498,95,98,3,272,272,94,94,0,272,272,94,94,0,0.02743456210218183,0.032914666938970015,89,91,2,3,2,2,11,20,33,23,25
73,80,286,73,100,27,22,22,54,54,0,22,22,54,54,0,0.010892133837094524,0.019844106334456584,70,84,14,3,3,3,2,14,99,14,27
74,6,1646,29,100,71,36,102,33,65,32,6,102,29,76,47,0.0004765308553728854,0.027026107083290785,35,88,53,1,4,2,8,2,39,42,23
75,246,452,93,100,7,88,88,77,77,0,88,88,77,77,0,0.030736240171551108,0.03349331154906566,89,91,2,3,2,2,4,22,79,9,22
76,16,16,35,35,0,34,34,39,39,0,16,16,35,35,0,0.002144388849177984,0.002144388849177984,40,40,0,-1,3,3,4,2,67,94,99
77,0,102,1,77,76,0,8,1,30,29,0,6,1,31,30,0.0,0.002382654276864427,1,46,45,4,-1,5,4,0,79,99,73
78,16,222,34,92,58,102,102,57,57,0,16,23,34,44,10,0.001497668402600497,0.0018040096667687805,40,44,4,3,3,3,12,1,6,71,56
79,112,112,75,75,0,264,264,77,77,0,112,112,75,75,0,0.007147962830593281,0.007147962830593281,57,57,0,-1,2,2,16,4,9,72,99
80,100,100,58,58,0,100,100,35,35,0,100,100,59,59,0,0.022635215630212056,0.03682902753667586,86,92,6,2,1,1,17,8,20,17,16
81,0,616,1,100,99,0,58,1,39,38,0,58,1,60,59,0.0,0.013921508560536438,1,76,75,2,-1,3,8,1,39,69,6
82,32,648,49,100,51,28,38,45,55,10,32,38,55,56,1,0.004322815616596889,0.02998740597025086,51,91,40,2,3,3,3,3,60,29,11
83,276,1916,93,100,7,248,272,89,94,5,248,272,92,94,2,0.019707954661492902,0.04864018516627523,83,99,16,1,2,2,11,17,5,6,7
84,2,618,28,100,72,8,34,30,43,13,2,34,28,54,26,0.00013615167296368154,0.006875659484665918,31,63,32,2,5,3,4,1,72,88,26
85,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,8,0,10,98,86
86,100,100,61,61,0,100,100,43,43,0,100,100,61,61,0,0.03015759556145546,0.03240409816535621,90,90,0,3,1,1,12,12,2,37,46
87,1,207,26,94,68,2,12,26,39,13,1,12,26,41,15,0.0,0.0042547397801150485,1,54,53,3,6,4,2,1,90,68,57
88,250,250,94,94,0,240,240,89,89,0,240,240,94,94,0,0.018993158378433576,0.018993158378433576,82,82,0,-1,2,2,12,18,6,5,66
89,39,655,53,100,47,38,48,59,72,13,38,48,62,74,12,0.005514142755029102,0.03492290411518432,56,90,34,2,3,3,3,4,92,22,2
90,338,439,96,99,3,256,256,95,95,0,256,256,95,95,0,0.02661765206439974,0.026651689982640663,88,88,0,5,2,2,10,19,18,15,78
91,134,1774,84,100,16,64,88,70,79,9,64,88,70,79,9,0.021784267674189048,0.05657102011640968,83,100,17,1,3,2,4,20,84,23,15
92,0,616,1,100,99,0,116,1,57,56,0,94,1,58,57,0.0,0.007794683277170768,1,62,61,2,-1,3,14,1,25,50,31
93,314,930,95,100,5,264,264,93,93,0,264,264,93,93,0,0.02314578440382586,0.04731270635487934,85,98,13,2,2,2,12,19,3,15,0
94,126,332,83,95,12,114,114,67,67,0,114,114,80,80,0,0.008271214132543654,0.008986010415602982,67,67,0,3,3,3,9,13,23,24,71
95,46,147,57,90,33,38,38,51,51,0,38,38,54,54,0,0.005888559855679227,0.005888559855679227,56,56,0,5,3,3,3,6,94,35,95
96,49,1689,65,100,35,22,56,49,84,35,22,56,53,84,31,0.005786446100956465,0.06082575989652473,60,98,38,1,3,2,2,4,90,22,32
97,0,1640,1,100,99,0,80,1,44,43,0,74,1,61,60,0.0,0.021341774737057083,1,85,84,1,-1,2,9,0,31,67,27
98,150,766,87,100,13,176,176,87,87,0,150,166,87,90,3,0.014466115252391163,0.017257224548146634,77,81,4,2,2,2,8,8,39,17,94
99,87,293,62,95,33,156,156,69,69,0,87,156,62,84,22,0.008339289969025495,0.014738418598318526,65,73,8,3,3,3,11,8,33,44,77
100,126,126,82,82,0,88,88,77,77,0,88,88,77,77,0,0.014840532353041287,0.014840532353041287,78,78,0,-1,2,2,4,8,79,17,81
101,16,222,31,87,56,82,82,37,37,0,16,22,31,39,8,0.0005786446100956465,0.0008169100377820892,37,37,0,3,3,3,14,2,25,42,49
102,0,616,1,100,99,0,22,1,41,40,0,22,1,45,44,0.0,0.01143674052894925,1,73,72,2,-1,3,2,0,68,89,62
103,376,992,97,100,3,208,208,97,97,0,208,208,97,97,0,0.03369753905851118,0.04333026992069165,92,97,5,2,2,2,7,22,24,9,39
104,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,6,0,40,92,81
105,246,246,92,92,0,112,112,92,92,0,112,112,92,92,0,0.028455699649409444,0.028455699649409444,88,88,0,-1,2,2,4,19,83,15,85
106,40,246,49,93,44,45,58,37,43,6,40,48,49,51,2,0.003437829742332959,0.005888559855679227,44,52,8,3,2,2,6,1,71,68,29
107,0,616,1,100,99,0,62,1,38,37,0,40,1,46,45,0.0,0.005514142755029102,1,55,54,2,-1,3,9,0,29,99,38
108,312,312,96,96,0,168,168,96,96,0,168,168,96,96,0,0.03601211749889377,0.03601211749889377,92,92,0,-1,2,2,6,22,32,9,82
109,0,616,1,100,99,0,38,1,35,34,0,24,1,48,47,0.0,0.002484768031587188,1,46,45,2,-1,3,8,0,30,36,70
110,0,616,1,100,99,0,38,1,50,49,0,38,1,53,52,0.0,0.01865277919602437,1,81,80,2,-1,3,3,0,94,84,18
111,168,168,87,87,0,152,152,94,94,0,152,152,94,94,0,0.012764219340345145,0.012764219340345145,76,76,0,-1,2,2,5,7,52,21,36
112,0,1640,1,100,99,0,68,1,65,64,0,68,1,68,67,0.0,0.04380680077606454,1,96,95,1,-1,2,4,0,53,67,10
