,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Independent_pre_score,Independent_post_score,Independent_pre_rank,Independent_post_rank,Independent_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,dist_victim_vilain_pre,dist_victim_vilain_post,out_deg_victim,in_deg_villain,victim,villain,relayer
0,97,713,57,100,43,250,260,76,76,0,97,129,57,79,22,0.006909697402906838,0.01242384015793594,57,69,12,2,2,2,17,4,20,22,25
1,134,134,82,82,0,230,230,89,89,0,134,134,82,82,0,0.00980292045338507,0.00980292045338507,70,70,0,-1,2,2,12,7,3,21,59
2,258,360,93,99,6,200,200,94,94,0,200,200,94,94,0,0.022533101875489295,0.022635215630212056,87,87,0,4,2,2,8,16,10,12,60
3,110,110,74,74,0,158,158,74,74,0,110,110,74,74,0,0.01157289220191293,0.01157289220191293,74,74,0,-1,2,2,9,6,28,77,84
4,6,6,31,31,0,10,10,32,32,0,6,6,31,31,0,0.00037441710065012424,0.00037441710065012424,33,33,0,-1,4,4,3,1,55,88,36
5,0,206,1,92,91,0,16,1,32,31,0,13,1,42,41,0.0,0.0026209197045508697,1,49,48,3,-1,4,4,1,78,45,70
6,67,1707,58,100,42,88,112,49,65,16,67,112,58,78,20,0.005377991082065421,0.030634126416828347,57,91,34,1,3,2,8,6,30,35,18
7,28,130,50,88,38,28,28,43,43,0,28,28,50,50,0,0.0020422750944552232,0.0021784267674189047,46,47,1,4,3,3,3,3,66,54,56
8,6,108,32,80,48,18,18,32,32,0,6,8,32,35,3,0.00037441710065012424,0.001157289220191293,34,40,6,4,4,4,5,1,45,4,71
9,1,1,26,26,0,5,5,26,26,0,1,1,26,26,0,6.807583648184077e-05,6.807583648184077e-05,28,28,0,-1,6,6,5,1,63,78,82
10,68,274,65,98,33,56,56,80,80,0,56,56,81,81,0,0.010892133837094524,0.02382654276864427,70,88,18,3,2,2,2,4,91,38,6
11,169,375,92,100,8,72,72,80,80,0,72,72,80,80,0,0.023588277340957826,0.027706865448109193,89,89,0,3,2,2,3,16,87,12,72
12,16,632,37,100,63,54,54,39,39,0,16,46,37,54,17,0.0011913271384322134,0.006773545729943157,40,61,21,2,3,3,8,1,21,71,62
13,38,38,51,51,0,56,56,46,46,0,38,38,51,51,0,0.0030293747234419145,0.0030293747234419145,49,49,0,-1,3,3,6,6,74,70,45
14,0,206,1,94,93,0,20,1,35,34,0,20,1,41,40,0.0,0.00881582082439838,1,66,65,3,-1,4,4,0,53,86,14
15,234,336,88,93,5,200,200,93,93,0,200,200,93,93,0,0.02018448551686579,0.020763130126961436,80,81,1,4,2,2,8,14,27,14,63
16,8,624,34,100,66,24,62,32,46,14,8,62,34,54,20,0.0004765308553728854,0.019367575479083698,33,84,51,2,4,3,6,2,59,63,9
17,53,259,60,97,37,38,38,47,47,0,38,38,53,53,0,0.006433166547533953,0.008713707069675619,60,68,8,3,3,3,3,8,75,57,35
18,66,682,57,100,43,112,112,66,66,0,64,112,57,77,20,0.00616086320160659,0.01497668402600497,58,75,17,2,2,2,8,6,21,41,17
19,0,616,1,100,99,0,52,1,39,38,0,52,1,55,54,0.0,0.011606930120153852,1,72,71,2,-1,3,7,0,24,67,37
20,0,1640,1,100,99,0,48,1,68,67,0,46,1,69,68,0.0,0.035875965825930084,1,95,94,1,-1,2,3,0,94,85,51
21,132,338,82,96,14,116,116,74,74,0,116,116,81,81,0,0.016202049082678104,0.017087034956942034,79,81,2,3,2,2,7,9,46,39,64
22,212,418,93,99,6,88,88,76,76,0,88,88,79,79,0,0.023213860240307704,0.024609414888185438,88,88,0,3,2,2,4,19,47,15,52
23,0,206,1,91,90,0,56,1,33,32,0,56,1,51,50,0.0,0.006092787365124749,1,56,55,3,-1,4,10,0,0,84,32
24,73,689,64,100,36,88,88,76,76,0,73,88,74,78,4,0.009939072126348753,0.041594336090404714,69,95,26,2,2,2,4,4,47,22,3
25,100,100,66,66,0,100,100,60,60,0,100,100,68,68,0,0.0530991524558358,0.05384798665713605,98,99,1,3,1,1,7,22,43,9,42
26,2,208,28,93,65,4,12,30,35,5,2,12,28,36,8,0.00010211375472276115,0.005582218591510943,29,57,28,3,5,4,2,1,68,95,25
27,0,1640,1,100,99,0,68,1,76,75,0,68,1,78,77,0.0,0.05037611899656217,1,97,96,1,-1,2,4,0,72,85,3
28,0,206,1,91,90,0,20,1,33,32,0,20,1,46,45,0.0,0.006331052792811192,1,59,58,3,-1,4,4,0,84,92,77
29,58,264,57,93,36,54,54,52,52,0,54,54,55,55,0,0.008509479560230097,0.019844106334456584,66,85,19,3,3,3,4,6,83,34,37
30,8,208,37,93,56,20,20,35,35,0,8,20,37,47,10,0.000442492937131965,0.0029612988869600733,35,50,15,3,4,4,4,2,73,63,22
31,200,1840,88,100,12,304,328,87,92,5,200,261,88,93,5,0.01415977398822288,0.02375846693216243,73,86,13,1,2,2,17,8,20,8,35
32,0,102,1,84,83,0,3,1,27,26,0,3,1,33,32,0.0,0.001157289220191293,1,41,40,4,-1,5,2,0,93,97,61
33,300,300,95,95,0,112,112,92,92,0,112,112,92,92,0,0.03192756730998332,0.03192756730998332,90,90,0,-1,2,2,4,22,83,9,99
34,172,273,87,93,6,110,110,83,83,0,110,110,83,83,0,0.022601177711971135,0.022635215630212056,84,84,0,6,2,2,6,18,71,30,78
35,99,305,75,97,22,52,52,74,74,0,52,52,76,76,0,0.012662105585622384,0.016474352428605468,73,80,7,3,2,2,3,13,58,24,28
36,0,616,1,100,99,0,74,1,37,36,0,34,1,45,44,0.0,0.005922597773920147,1,56,55,2,-1,3,12,0,2,66,72
37,22,638,41,100,59,84,84,46,46,0,22,50,41,55,14,0.001497668402600497,0.004799346471969774,41,54,13,2,3,3,9,2,28,74,35
38,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,3,0,75,84,40
39,0,206,1,89,88,0,24,1,31,30,0,8,1,33,32,0.0,0.0002723033459273631,1,33,32,3,-1,4,8,0,42,59,56
40,0,206,1,92,91,0,22,1,27,26,0,7,1,32,31,0.0,0.0004084550188910446,1,33,32,3,-1,4,10,0,36,59,63
41,6,6,28,28,0,16,16,30,30,0,6,6,28,28,0,0.0004765308553728854,0.0004765308553728854,32,32,0,-1,4,4,6,1,56,88,99
42,54,54,54,54,0,44,44,44,44,0,54,54,57,57,0,0.005173763572619898,0.005173763572619898,53,53,0,-1,3,3,4,4,67,72,59
43,46,46,57,57,0,44,44,54,54,0,44,44,58,58,0,0.004595118962524252,0.004595118962524252,54,54,0,-1,3,3,4,6,77,28,76
44,91,707,77,100,23,56,56,84,84,0,56,56,84,84,0,0.015351101126655093,0.02365635317743967,77,87,10,2,2,2,2,8,86,44,72
45,377,977,99,100,1,168,168,97,97,0,168,168,97,97,0,0.038428809693999116,0.054154327921304334,95,97,2,2,2,2,6,29,59,11,9
46,0,206,1,89,88,0,27,1,29,28,0,8,1,32,31,0.0,0.0013955546478777359,1,40,39,3,-1,4,12,0,14,81,83
47,2,208,28,91,63,8,16,30,32,2,2,16,28,43,15,6.807583648184077e-05,0.0051397256543789785,28,55,27,3,5,4,4,1,84,65,48
48,0,101,1,77,76,0,5,1,24,23,0,1,1,24,23,0.0,0.0,1,1,0,5,-1,6,5,1,50,69,78
49,518,518,99,99,0,424,424,98,98,0,424,424,98,98,0,0.035569624561761805,0.035569624561761805,94,94,0,-1,2,2,16,27,4,10,79
50,228,434,92,99,7,104,104,82,82,0,104,104,82,82,0,0.023384049831512304,0.026073045372545015,86,87,1,3,2,2,5,19,80,15,90
51,0,206,1,89,88,0,20,1,27,26,0,8,1,31,30,0.0,0.001497668402600497,1,38,37,3,-1,4,6,0,40,79,83
52,33,135,54,88,34,12,12,39,39,0,12,12,45,45,0,0.00616086320160659,0.007590455767725246,59,65,6,4,4,4,2,8,93,57,94
