,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Independent_pre_score,Independent_post_score,Independent_pre_rank,Independent_post_rank,Independent_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,dist_victim_vilain_pre,dist_victim_vilain_post,out_deg_victim,in_deg_villain,victim,villain,relayer
128,100,100,69,69,0,100,100,66,66,0,100,100,72,72,0,0.04680213758126553,0.06286803499097995,96,100,4,2,1,1,6,17,44,6,18
129,66,682,53,100,47,190,200,69,71,2,64,108,53,76,23,0.004016474352428605,0.009462541270975866,51,66,15,2,2,2,16,6,4,41,62
130,108,209,75,89,14,220,220,85,85,0,108,109,75,75,0,0.007011811157629599,0.00704584907587052,60,60,0,5,2,2,12,6,3,26,58
131,0,616,1,100,99,0,48,1,44,43,0,39,1,49,48,0.0,0.008169100377820893,1,65,64,2,-1,3,6,0,59,76,34
132,1,1,26,26,0,9,9,26,26,0,1,1,26,26,0,0.0,0.0,1,1,0,-1,6,6,9,1,26,78,67
133,136,342,84,98,14,144,144,90,90,0,144,144,90,90,0,0.01579359406378706,0.01865277919602437,80,82,2,3,2,2,6,8,59,17,26
134,114,114,76,76,0,100,100,70,70,0,100,100,72,72,0,0.01143674052894925,0.01143674052894925,69,69,0,-1,2,2,6,9,65,31,98
135,2,1642,27,100,73,20,120,29,60,31,2,120,27,78,51,0.00013615167296368154,0.02379250485040335,30,88,58,1,5,2,11,1,33,55,16
136,0,616,1,100,99,0,34,1,44,43,0,34,1,52,51,0.0,0.020797168045202357,1,84,83,2,-1,3,4,0,84,40,10
137,0,206,1,92,91,0,42,1,34,33,0,34,1,48,47,0.0,0.0053439531638245,1,54,53,3,-1,4,9,0,35,93,48
138,82,1722,59,100,41,174,208,73,85,12,82,136,59,80,21,0.0045270431260424114,0.018176248340651485,56,79,23,1,2,2,11,6,19,70,62
139,44,660,55,100,45,38,38,51,51,0,38,38,54,54,0,0.006603356138738555,0.02032063718982947,59,82,23,2,3,3,3,4,94,72,15
140,84,84,66,66,0,88,88,71,71,0,88,88,71,71,0,0.011300588855985567,0.011300588855985567,73,73,0,-1,2,2,4,5,53,25,79
141,126,326,85,100,15,38,38,56,56,0,38,38,57,57,0,0.01657646618332823,0.020524864699274992,82,85,3,3,3,3,3,16,60,12,57
142,100,100,76,76,0,100,100,91,91,0,100,100,91,91,0,0.07471323053882024,0.07471323053882024,100,100,0,-1,1,1,4,29,77,11,66
