,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Independent_pre_score,Independent_post_score,Independent_pre_rank,Independent_post_rank,Independent_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,dist_victim_vilain_pre,dist_victim_vilain_post,out_deg_victim,in_deg_villain,victim,villain,relayer
0,0,206,1,92,91,0,32,1,34,33,0,22,1,41,40,0.0,0.0035059055788147996,1,50,49,3,-1,4,6,0,65,81,47
1,2,618,26,100,74,9,68,26,40,14,2,64,26,54,28,6.807583648184077e-05,0.009156200006807584,29,66,37,2,5,3,8,1,42,78,17
2,0,206,1,93,92,0,10,1,30,29,0,10,1,40,39,0.0,0.007556417849484326,1,67,66,3,-1,4,3,0,92,87,8
3,100,200,75,93,18,54,54,55,55,0,54,54,60,60,0,0.01055175465468532,0.011709043874876613,73,74,1,4,3,3,4,14,73,32,90
4,376,376,97,97,0,208,208,97,97,0,208,208,97,97,0,0.03369753905851118,0.03369753905851118,92,92,0,-1,2,2,7,22,24,9,80
5,145,145,87,87,0,80,80,71,71,0,80,80,72,72,0,0.02100139555464788,0.02100139555464788,83,83,0,-1,3,3,5,16,49,18,69
6,0,616,1,100,99,0,44,1,48,47,0,44,1,53,52,0.0,0.014466115252391163,1,77,76,2,-1,3,4,1,53,50,37
7,134,750,81,100,19,92,102,55,67,12,92,102,67,75,8,0.009734844616903231,0.031110657272201234,69,89,20,2,3,3,7,9,43,31,7
8,282,1882,93,100,7,300,300,91,91,0,300,300,94,94,0,0.023111746485584943,0.04081146397086354,85,94,9,1,2,2,14,16,17,12,6
9,46,46,49,49,0,168,168,68,68,0,46,46,50,50,0,0.002757071377514551,0.002757071377514551,48,48,0,-1,2,2,14,2,8,61,93
10,32,238,44,88,44,64,64,40,40,0,32,64,44,55,11,0.0012253650566731338,0.011402702610708328,37,69,32,3,3,3,8,2,27,74,12
11,100,100,74,74,0,100,100,87,87,0,100,100,87,87,0,0.07525783723067497,0.09925456959052384,100,100,0,1,1,1,4,30,47,7,44
12,16,632,37,100,63,50,68,37,45,8,16,56,37,56,19,0.0007147962830593281,0.006603356138738555,38,60,22,2,3,3,8,1,21,49,48
13,22,638,40,100,60,122,132,55,57,2,22,38,40,45,5,0.002212464685659825,0.003199564314646516,42,47,5,2,3,3,16,2,4,83,95
14,8,109,40,86,46,8,8,34,34,0,8,8,40,40,0,0.0018040096667687805,0.0018380475850097008,43,43,0,5,4,4,2,2,93,61,65
15,16,632,33,100,67,66,80,36,41,5,16,59,33,51,18,0.0006126825283365669,0.0061949011198475104,36,56,20,2,3,3,10,1,0,49,57
16,16,632,35,100,65,110,120,59,61,2,16,60,35,54,19,0.003437829742332959,0.008373327887266415,52,65,13,2,3,3,10,1,18,90,48
17,62,62,66,66,0,38,38,51,51,0,38,38,54,54,0,0.008169100377820893,0.008169100377820893,63,63,0,-1,3,3,3,8,94,44,89
18,271,887,96,100,4,112,112,97,97,0,112,112,97,97,0,0.03594404166241193,0.05711562680826441,92,100,8,2,2,2,4,29,84,11,7
19,100,202,64,88,24,132,132,75,75,0,100,102,65,75,10,0.009632730862180468,0.009734844616903231,68,68,0,4,2,2,8,7,10,21,4
20,100,100,64,64,0,100,100,44,44,0,100,100,64,64,0,0.021784267674189048,0.025970931617822254,83,87,4,2,1,1,13,13,13,24,35
21,186,186,92,92,0,120,120,87,87,0,120,120,89,89,0,0.01943565131556554,0.01943565131556554,86,86,0,-1,2,2,6,18,32,5,96
