,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Independent_pre_score,Independent_post_score,Independent_pre_rank,Independent_post_rank,Independent_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,out_deg_victim,in_deg_villain,victim,villain,relayer
0,0,616,13.0,100.0,87.0,0,62,13.0,43.0,30.0,0,62,13.0,56.5,43.5,0.0,0.009428503352734947,13.0,64.0,51.0,2,7,0,24,91,19
1,6,622,30.5,100.0,69.5,26,50,33.0,46.5,13.5,6,50,30.5,52.5,22.0,0.0006467204465774873,0.02563055243541305,35.5,89.0,53.5,2,5,1,50,49,1
2,6,6,31.0,31.0,0.0,15,15,29.0,29.0,0.0,6,6,31.0,31.0,0.0,0.00017018959120460194,0.00017018959120460194,31.0,31.0,0.0,-1,6,1,59,55,79
3,6,212,37.0,97.0,60.0,8,12,36.5,45.0,8.5,6,12,37.0,47.5,10.5,0.0006807583648184077,0.006841621566424997,38.0,64.0,26.0,3,2,2,97,42,25
4,149,355,86.0,99.0,13.0,72,72,83.0,83.0,0.0,72,72,83.0,83.0,0.0,0.024337111542258077,0.027638789611627353,88.0,89.0,1.0,3,3,20,82,23,22
5,8,214,34.5,91.0,56.5,36,44,33.5,38.0,4.5,8,28,34.5,45.5,11.0,0.0005786446100956465,0.004765308553728854,37.5,56.0,18.5,3,8,2,39,63,38
6,22,638,39.0,100.0,61.0,56,84,37.5,42.0,4.5,22,84,39.0,57.0,18.0,0.0005105687736138058,0.01589570781850982,33.0,77.0,44.0,2,9,2,29,56,18
7,1,207,26.0,93.0,67.0,3,18,26.0,38.0,12.0,1,18,26.0,45.5,19.5,3.4037918240920386e-05,0.0048674223084516155,27.5,53.0,25.5,3,3,1,58,68,62
8,62,62,54.0,54.0,0.0,108,108,58.0,58.0,0.0,62,62,54.0,54.0,0.0,0.003165526396405596,0.003165526396405596,49.0,49.0,0.0,-1,12,3,3,54,89
9,32,648,43.5,100.0,56.5,130,140,67.0,70.0,3.0,32,65,43.5,60.0,16.5,0.004663194799006093,0.010143299635794275,52.0,69.5,17.5,2,10,3,12,29,35
10,136,136,91.0,91.0,0.0,56,56,89.5,89.5,0.0,56,56,90.0,90.0,0.0,0.02661765206439974,0.02661765206439974,90.0,90.0,0.0,-1,2,18,98,30,85
11,40,656,50.5,100.0,49.5,150,150,65.5,65.5,0.0,40,96,50.5,58.0,7.5,0.0026549576227917903,0.00970080669866231,48.0,66.0,18.0,2,11,1,5,53,21
