,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Independent_pre_score,Independent_post_score,Independent_pre_rank,Independent_post_rank,Independent_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,dist_victim_vilain_pre,dist_victim_vilain_post,out_deg_victim,in_deg_villain,victim,villain,relayer
0,22,638,40,99,59,102,152,53,63,10,22,129,40,79,39,0.0007828721195411688,0.016133973246196264,37,78,41,2,3,3,17,2,20,63,16
1,313,1953,97,100,3,120,144,85,90,5,120,144,87,90,3,0.03577385207120733,0.07872970489124885,94,100,6,1,2,2,6,30,74,7,2
2,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,7,0,46,84,96
3,270,470,94,98,4,120,120,78,78,0,120,120,78,78,0,0.028762040913577726,0.03175737771877872,89,89,0,3,2,2,6,22,41,9,13
4,22,22,41,41,0,66,66,50,50,0,22,22,41,41,0,0.002723033459273631,0.002723033459273631,45,45,0,-1,3,3,6,2,56,52,89
5,33,239,54,98,44,12,12,39,39,0,12,12,45,45,0,0.00616086320160659,0.013649205214609075,59,73,14,3,4,4,2,8,93,57,27
6,22,638,48,100,52,24,28,45,45,0,22,28,48,50,2,0.002280540522141666,0.01324075019571803,45,76,31,2,3,3,3,3,85,51,39
7,98,304,71,99,28,54,54,56,56,0,54,54,57,57,0,0.012730181422104225,0.015385139044896015,71,78,7,3,3,3,4,13,67,33,35
8,90,290,64,95,31,94,94,68,68,0,94,94,71,71,0,0.007726607440688927,0.01494264610776405,63,78,15,3,2,2,5,6,50,13,17
9,0,616,1,100,99,0,44,1,32,31,0,22,1,40,39,0.0,0.0010892133837094523,1,36,35,2,-1,3,14,0,16,86,63
10,0,102,1,79,78,0,6,1,28,27,0,6,1,30,29,0.0,0.0020422750944552232,1,42,41,4,-1,5,3,0,94,97,22
11,100,100,67,67,0,100,100,54,54,0,100,100,67,67,0,0.037679975492698865,0.04554273460635148,95,97,2,2,1,1,9,19,35,15,20
12,252,458,92,98,6,168,168,95,95,0,168,168,95,95,0,0.02386058068688519,0.024200959869294394,86,87,1,3,2,2,6,16,41,12,56
13,100,100,67,67,0,100,100,66,66,0,100,100,72,72,0,0.07553014057660233,0.0756322543313251,100,100,0,4,1,1,6,36,59,2,55
14,260,1900,96,100,4,190,224,93,98,5,190,224,94,98,4,0.024881718234112803,0.04632560672589264,87,96,9,1,2,2,8,19,39,15,32
15,1,1,26,26,0,5,5,26,26,0,1,1,26,26,0,6.807583648184077e-05,6.807583648184077e-05,28,28,0,-1,6,6,5,2,88,58,79
16,81,81,58,58,0,126,126,61,61,0,81,81,58,58,0,0.006705469893461316,0.006705469893461316,58,58,0,-1,2,2,12,6,3,35,96
17,0,616,1,100,99,0,58,1,41,40,0,50,1,55,54,0.0,0.006092787365124749,1,57,56,2,-1,3,7,0,24,59,26
18,6,622,28,100,72,13,36,28,35,7,6,36,28,48,20,0.00017018959120460194,0.004969536063174376,32,53,21,2,4,3,5,1,50,55,13
19,100,100,69,69,0,100,100,55,55,0,100,100,69,69,0,0.02375846693216243,0.0265495762279179,85,91,6,2,1,1,9,5,26,47,61
20,217,833,92,100,8,196,196,94,94,0,196,196,94,94,0,0.02556247659893121,0.03427618366860683,89,93,4,2,2,2,9,16,26,18,19
21,18,1658,41,100,59,74,120,40,63,23,18,120,41,79,38,0.0006467204465774873,0.016984921202219273,37,79,42,1,3,2,11,2,19,56,14
22,122,122,81,81,0,80,80,59,59,0,80,80,63,63,0,0.017427414139351238,0.017427414139351238,82,82,0,-1,3,3,5,12,61,37,92
23,212,418,93,99,6,88,88,76,76,0,88,88,79,79,0,0.023213860240307704,0.024609414888185438,88,88,0,3,2,2,4,19,47,15,52
24,78,284,68,95,27,48,48,54,54,0,48,48,56,56,0,0.008713707069675619,0.010858095918853602,64,73,9,3,3,3,3,7,87,48,90
25,400,2040,97,100,3,224,248,96,98,2,224,248,96,98,2,0.03652268627250757,0.06633990265155383,93,99,6,1,2,2,8,27,15,10,11
26,0,206,1,93,92,0,9,1,31,30,0,6,1,31,30,0.0,0.0005105687736138058,1,35,34,3,-1,4,3,0,58,99,42
27,6,6,29,29,0,10,10,29,29,0,6,6,29,29,0,6.807583648184077e-05,6.807583648184077e-05,27,27,0,-1,4,4,3,1,82,95,87
28,120,720,76,100,24,116,116,68,68,0,120,116,77,76,-1,0.007216038667075122,0.017052997038701112,59,81,22,2,2,2,7,6,24,13,33
29,0,206,1,94,93,0,8,1,30,29,0,8,1,35,34,0.0,0.0020422750944552232,1,45,44,3,-1,4,2,0,91,40,75
30,138,344,87,100,13,48,48,70,70,0,48,48,72,72,0,0.013138636440995268,0.023315973995030465,76,88,12,3,3,3,3,14,94,32,5
31,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,2,0,98,66,40
32,108,108,85,85,0,56,56,93,93,0,56,56,93,93,0,0.021954457265393648,0.021954457265393648,88,88,0,-1,2,2,2,9,99,39,69
33,2,208,27,93,66,6,18,29,34,5,2,18,27,45,18,0.0002042275094455223,0.006297014874570271,32,59,27,3,5,4,3,1,58,60,34
34,1,617,26,100,74,6,38,26,38,12,1,37,26,53,27,0.0,0.0045270431260424114,1,55,54,2,6,3,6,1,44,68,47
35,0,206,1,90,89,0,36,1,33,32,0,23,1,45,44,0.0,0.0027911092957554717,1,47,46,3,-1,4,10,0,1,36,35
36,267,267,98,98,0,88,88,82,82,0,88,88,82,82,0,0.03362946322202934,0.03362946322202934,93,93,0,-1,2,2,4,29,72,11,45
37,100,100,69,69,0,100,100,66,66,0,100,100,72,72,0,0.04680213758126553,0.04680213758126553,96,96,0,-1,1,1,6,17,44,6,97
38,18,634,39,100,61,58,72,35,39,4,18,36,39,48,9,0.0006126825283365669,0.002382654276864427,37,47,10,2,3,3,10,2,11,56,52
39,8,624,38,100,62,24,34,38,43,5,8,34,38,54,16,0.0010211375472276116,0.011164437183021887,39,73,34,2,4,3,4,2,72,74,17
40,22,22,53,53,0,32,32,63,63,0,22,22,55,55,0,0.004901460226692535,0.004901460226692535,58,58,0,-1,3,3,2,3,98,29,81
41,24,230,46,95,49,56,56,44,44,0,24,33,46,51,5,0.0014295925661186562,0.0026889955410327104,40,47,7,3,3,3,6,4,34,64,43
42,78,78,60,60,0,94,94,68,68,0,78,78,64,64,0,0.009360427516253106,0.009360427516253106,69,69,0,-1,2,2,5,7,50,62,96
43,0,101,1,81,80,0,4,1,25,24,0,1,1,25,24,0.0,6.807583648184077e-05,1,28,27,5,-1,6,4,0,77,66,60
44,6,6,33,33,0,12,12,37,37,0,6,6,33,33,0,0.0002042275094455223,0.0002042275094455223,31,31,0,-1,4,4,2,1,89,4,98
45,144,760,82,100,18,176,176,87,87,0,144,176,82,90,8,0.01058579257292624,0.022669253548452978,70,85,15,2,2,2,8,7,15,21,5
46,248,349,92,96,4,168,168,96,96,0,168,168,96,96,0,0.02719629667449539,0.02719629667449539,89,89,0,5,2,2,6,15,40,16,68
47,16,222,39,93,54,28,28,40,40,0,16,28,39,48,9,0.0014636304843595766,0.007182000748834201,41,64,23,3,3,3,3,1,82,71,25
48,16,632,33,100,67,58,72,34,41,7,16,32,33,43,10,0.0007828721195411688,0.00353994349705572,37,50,13,2,3,3,10,2,0,42,94
49,62,662,52,100,48,144,144,61,61,0,62,81,52,55,3,0.0036760951700194017,0.006569318220497634,50,57,7,2,2,2,10,3,0,54,41
50,8,110,36,85,49,14,14,35,35,0,8,14,36,42,6,0.0004765308553728854,0.0015317063208414173,35,40,5,4,4,4,3,2,92,63,52
51,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,6,0,51,97,36
52,126,742,82,100,18,64,64,63,63,0,64,64,64,64,0,0.01664454201981007,0.019878144252697506,81,84,3,2,3,3,4,17,79,6,54
53,388,388,97,97,0,392,392,99,99,0,392,392,99,99,0,0.032199870655910685,0.032199870655910685,91,91,0,-1,2,2,14,15,17,16,69
54,120,736,79,100,21,174,174,76,76,0,120,174,79,86,7,0.007284114503556962,0.029681064706082574,62,90,28,2,2,2,10,6,22,13,11
55,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,6,0,59,93,76
56,12,113,36,80,44,30,30,41,41,0,12,13,36,39,3,0.002110350930937064,0.0021784267674189047,45,45,0,5,4,4,5,2,70,61,68
57,0,616,1,100,99,0,44,1,37,36,0,44,1,49,48,0.0,0.010483678818203479,1,73,72,2,-1,3,7,0,46,92,39
58,100,100,62,62,0,100,100,48,48,0,100,100,62,62,0,0.03230198441063344,0.03230198441063344,89,89,0,-1,1,1,10,15,11,19,81
59,0,206,1,94,93,0,14,1,32,31,0,14,1,40,39,0.0,0.007386228258279724,1,65,64,3,-1,4,3,0,66,85,32
60,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,6,0,74,93,81
61,6,622,29,100,71,23,72,29,41,12,6,63,29,53,24,0.0,0.007011811157629599,1,58,57,2,4,3,10,1,0,95,44
62,195,401,93,100,7,96,96,93,93,0,96,96,93,93,0,0.02644746247319514,0.028659927158854966,89,90,1,3,2,2,3,16,58,12,70
63,52,154,55,82,27,96,96,56,56,0,52,54,55,55,0,0.004186663943633207,0.00439089145307873,51,52,1,4,2,2,7,6,43,70,55
64,214,830,89,100,11,300,310,89,90,1,214,230,89,90,1,0.014806494434800367,0.015657442390823378,77,77,0,2,2,2,14,9,16,27,49
65,106,106,83,83,0,72,72,80,80,0,72,72,80,80,0,0.02100139555464788,0.02100139555464788,86,86,0,-1,2,2,3,12,66,37,84
66,159,159,91,91,0,72,72,79,79,0,72,72,80,80,0,0.02484768031587188,0.02484768031587188,90,90,0,-1,2,2,3,16,75,18,93
67,100,100,76,76,0,100,100,90,90,0,100,100,90,90,0,0.07995506994792198,0.07995506994792198,100,100,0,-1,1,1,4,40,72,3,91
68,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,12,0,6,36,76
69,94,94,65,65,0,60,60,48,48,0,60,60,61,61,0,0.007250076585316042,0.007250076585316042,63,63,0,-1,3,3,5,9,63,31,99
70,151,151,85,85,0,104,104,85,85,0,104,104,86,86,0,0.016099935327955343,0.016099935327955343,79,79,0,-1,2,2,5,13,37,33,99
71,100,100,60,60,0,100,100,40,40,0,100,100,60,60,0,0.01933353756084278,0.01933353756084278,79,79,0,-1,1,1,14,7,25,48,92
72,100,100,81,81,0,100,100,96,96,0,100,100,96,96,0,0.06872255692841826,0.0707988699411144,100,100,0,3,1,1,3,18,92,30,53
73,58,159,55,82,27,66,66,44,44,0,58,66,55,56,1,0.009020048333843901,0.009020048333843901,67,67,0,5,3,3,6,6,51,34,58
74,6,212,34,96,62,12,12,39,39,0,6,12,34,44,10,0.0022465026039007454,0.011709043874876613,46,72,26,3,4,4,2,3,93,46,37
75,2,618,27,100,73,5,64,27,59,32,2,64,27,62,35,0.0,0.02733244834745907,1,89,88,2,5,3,4,1,83,68,1
76,0,206,1,89,88,0,28,1,33,32,0,12,1,33,32,0.0,0.00088498587426393,1,38,37,3,-1,4,8,0,42,87,74
77,2,618,27,100,73,4,38,27,55,28,2,38,27,58,31,0.00010211375472276115,0.01746145205759216,29,83,54,2,5,3,3,1,58,95,12
78,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,14,0,8,99,81
79,100,100,59,59,0,100,100,46,46,0,100,100,59,59,0,0.04789135096497498,0.049218829776370876,97,98,1,2,1,1,11,30,5,7,64
80,0,206,1,92,91,0,18,1,32,31,0,15,1,36,35,0.0,0.002995336805200994,1,51,50,3,-1,4,5,0,63,86,73
81,56,672,59,100,41,60,70,55,66,11,60,70,60,70,10,0.00527587732734266,0.024439225296980838,57,85,28,2,3,3,5,6,70,13,16
82,1,207,26,92,66,4,24,26,39,13,1,24,26,52,26,0.0,0.019469689233806462,1,81,80,3,6,4,4,2,78,58,10
83,87,87,64,64,0,76,76,54,54,0,76,76,60,60,0,0.00789679703189353,0.00789679703189353,63,63,0,-1,3,3,6,8,41,44,86
84,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,2,0,99,89,81
85,240,341,91,96,5,206,206,91,91,0,206,206,92,92,0,0.016474352428605468,0.016474352428605468,76,76,0,5,2,2,9,14,54,32,68
86,67,273,64,95,31,38,38,49,49,0,38,38,54,54,0,0.007488342013002485,0.009564655025698629,60,66,6,3,3,3,3,8,87,44,46
87,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,3,0,58,96,76
88,74,74,62,62,0,90,90,58,58,0,73,73,62,62,0,0.006262976956329351,0.006262976956329351,58,58,0,-1,2,2,6,6,48,41,99
89,108,314,75,95,20,88,88,73,73,0,88,88,74,74,0,0.012287688484972258,0.01330882603219987,73,76,3,3,2,2,4,9,83,27,61
90,78,78,63,63,0,158,158,83,83,0,78,78,63,63,0,0.009122162088566664,0.009122162088566664,66,66,0,-1,2,2,9,4,26,72,82
91,2,208,26,93,67,5,18,28,35,7,2,18,26,44,18,0.0002723033459273631,0.005718370264474625,33,59,26,3,5,4,3,1,82,55,31
92,0,206,1,89,88,0,30,1,33,32,0,12,1,37,36,0.0,0.0012594029749140542,1,40,39,3,-1,4,9,0,26,98,52
93,122,328,87,98,11,96,96,92,92,0,96,96,92,92,0,0.020354675108070392,0.03992647809659961,86,95,9,3,2,2,3,13,96,33,1
94,129,230,87,93,6,78,78,75,75,0,78,78,77,77,0,0.015214949453691413,0.015487252799618776,79,80,1,5,2,2,4,14,77,32,65
95,2,2,27,27,0,6,6,27,27,0,2,2,27,27,0,0.0,0.0,1,1,0,-1,5,5,5,1,37,68,98
96,362,978,98,100,2,280,280,98,98,0,280,280,98,98,0,0.025188059498281085,0.03114469519044215,87,89,2,2,2,2,10,19,0,15,31
