,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Independent_pre_score,Independent_post_score,Independent_pre_rank,Independent_post_rank,Independent_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,dist_victim_vilain_pre,dist_victim_vilain_post,out_deg_victim,in_deg_villain,victim,villain,relayer
0,40,40,49,49,0,118,118,64,64,0,40,40,49,49,0,0.005446066918547262,0.005446066918547262,54,54,0,-1,2,2,9,1,54,90,86
1,53,155,54,85,31,70,70,56,56,0,70,70,63,63,0,0.005037611899656217,0.005173763572619898,53,53,0,4,3,3,5,6,37,35,65
2,22,228,46,96,50,38,38,47,47,0,22,38,46,52,6,0.0020422750944552232,0.003710133088260322,45,51,6,3,3,3,3,2,75,61,54
3,98,698,68,100,32,86,86,56,56,0,86,86,62,62,0,0.01405766023350012,0.030463936825623743,76,92,16,2,3,3,6,9,51,39,16
4,16,222,36,93,57,40,40,40,40,0,16,22,36,42,6,0.0004084550188910446,0.0027911092957554717,34,48,14,3,3,3,5,1,52,49,90
5,74,175,67,92,25,56,56,76,76,0,56,56,77,77,0,0.009734844616903231,0.00980292045338507,66,66,0,5,2,2,2,6,68,26,60
6,0,616,1,100,99,0,22,1,51,50,0,22,1,53,52,0.0,0.01844855168657885,1,82,81,2,-1,3,2,0,86,59,15
7,0,616,1,100,99,0,80,1,40,39,0,80,1,58,57,0.0,0.011777119711358454,1,70,69,2,-1,3,10,1,22,69,5
8,0,101,1,76,75,0,6,1,25,24,0,1,1,25,24,0.0,0.0002042275094455223,1,28,27,5,-1,6,6,0,71,79,55
9,100,100,78,78,0,100,100,97,97,0,100,100,97,97,0,0.09397869226318119,0.11480989822662446,100,100,0,2,1,1,3,30,96,7,11
10,0,101,1,74,73,0,11,1,25,24,0,1,1,25,24,0.0,0.00017018959120460194,1,30,29,5,-1,6,11,0,19,86,65
11,32,238,41,90,49,76,76,55,55,0,32,44,41,51,10,0.0028591851322373124,0.005446066918547262,42,53,11,3,3,3,6,2,51,52,29
12,156,362,85,97,12,162,162,80,80,0,156,162,86,86,0,0.013751318969331836,0.0158616699002689,77,78,1,3,2,2,9,8,28,8,41
13,100,100,67,67,0,100,100,74,74,0,100,100,75,75,0,0.08019333537560842,0.08019333537560842,100,100,0,-1,1,1,5,40,63,3,85
14,2,208,26,90,64,10,16,27,28,1,2,8,26,34,8,3.4037918240920386e-05,0.00034037918240920387,26,33,7,3,5,4,8,1,30,68,4
15,58,674,57,100,43,74,104,64,87,23,58,104,57,87,30,0.005105687736138058,0.03427618366860683,54,90,36,2,2,2,5,3,88,54,11
16,0,616,1,99,98,0,126,1,62,61,0,126,1,79,78,0.0,0.023418087749753225,1,87,86,2,-1,3,11,0,33,92,11
17,491,1091,98,100,2,248,248,99,99,0,248,248,99,99,0,0.03604615541713469,0.041390108580959185,91,95,4,2,2,2,8,29,42,1,25
18,110,726,74,100,26,154,154,72,72,0,110,154,74,84,10,0.010517716736444398,0.01776779332176044,66,78,12,2,2,2,10,7,11,21,77
