,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Independent_pre_score,Independent_post_score,Independent_pre_rank,Independent_post_rank,Independent_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,dist_victim_vilain_pre,dist_victim_vilain_post,out_deg_victim,in_deg_villain,victim,villain,relayer
0,48,48,51,51,0,122,122,62,62,0,48,48,51,51,0,0.0030634126416828346,0.0030634126416828346,50,50,0,-1,3,3,12,6,2,70,91
1,0,206,1,89,88,0,24,1,30,29,0,14,1,32,31,0.0,0.002110350930937064,1,43,42,3,-1,4,6,1,40,50,70
2,0,616,1,100,99,0,26,1,43,42,0,26,1,51,50,0.0,0.005412029000306341,1,55,54,2,-1,3,4,0,84,86,35
3,22,22,43,43,0,58,58,39,39,0,22,22,43,43,0,0.0012934408931549745,0.0012934408931549745,40,40,0,-1,3,3,8,2,30,74,69
4,344,944,94,100,6,176,176,88,88,0,176,176,88,88,0,0.031655263964055956,0.04738078219136117,91,99,8,2,2,2,8,27,27,10,9
5,100,100,60,60,0,100,100,52,52,0,100,100,60,60,0,0.026004969536063176,0.026004969536063176,89,89,0,-1,1,1,9,13,29,24,59
6,0,616,1,100,99,0,58,1,35,34,0,50,1,53,52,0.0,0.008509479560230097,1,67,66,2,-1,3,10,0,36,96,8
7,105,206,83,92,9,64,64,68,68,0,64,64,70,70,0,0.010075223799312433,0.010075223799312433,70,70,0,5,3,3,4,13,78,24,95
8,100,100,60,60,0,100,100,40,40,0,100,100,60,60,0,0.029919330133769018,0.03008951972497362,91,91,0,4,1,1,14,18,25,5,88
9,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,12,0,3,59,89
10,0,1640,1,100,99,0,90,1,64,63,0,90,1,68,67,0.0,0.03897341638585384,1,95,94,1,-1,2,6,1,34,50,10
11,122,722,79,100,21,176,176,74,74,0,122,176,79,84,5,0.009190237925048503,0.016133973246196264,64,73,9,2,2,2,12,8,2,44,17
12,2,208,26,88,62,12,40,27,33,6,2,10,26,33,7,0.00010211375472276115,0.0014636304843595766,29,41,12,3,5,4,10,1,11,78,61
13,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,11,0,5,97,91
14,16,632,36,100,64,28,46,34,44,10,16,46,36,50,14,0.0007147962830593281,0.006126825283365669,36,56,20,2,3,3,5,1,52,4,28
15,88,1728,65,100,35,66,110,51,78,27,66,110,62,80,18,0.011709043874876613,0.03985840226011777,72,95,23,1,3,2,6,8,34,8,39
16,46,662,48,100,52,96,140,42,64,22,46,140,48,81,33,0.0025188059498281084,0.012662105585622384,44,72,28,2,2,2,11,2,33,74,14
17,66,682,62,100,38,54,54,54,54,0,54,54,58,58,0,0.005037611899656217,0.009428503352734947,57,68,11,2,3,3,4,6,47,28,41
18,40,40,49,49,0,118,118,64,64,0,40,40,49,49,0,0.005446066918547262,0.005446066918547262,54,54,0,-1,2,2,9,1,54,90,59
19,116,732,76,100,24,120,120,78,78,0,120,120,78,78,0,0.014432077334150244,0.04397699036726914,75,95,20,2,2,2,6,8,41,20,3
20,100,100,62,62,0,100,100,43,43,0,100,100,62,62,0,0.02811532046700024,0.03349331154906566,90,92,2,2,1,1,12,8,14,8,72
21,100,100,70,70,0,100,100,73,73,0,100,100,74,74,0,0.024371149460498995,0.02661765206439974,86,88,2,3,1,1,6,1,71,60,29
22,121,121,79,79,0,180,180,76,76,0,121,121,79,79,0,0.007182000748834201,0.007182000748834201,59,59,0,-1,2,2,11,8,33,57,84
23,26,128,45,79,34,56,56,44,44,0,26,29,45,46,1,0.0038462847612240037,0.004152626025392287,48,49,1,4,3,3,6,6,56,73,63
24,66,1706,69,100,31,38,72,59,85,26,38,72,62,85,23,0.006773545729943157,0.04098165356206814,61,95,34,1,3,2,3,6,92,13,45
25,94,710,70,100,30,68,78,72,77,5,68,78,74,77,3,0.012730181422104225,0.023179822322066782,71,87,16,2,2,2,4,9,67,31,39
26,48,48,69,69,0,46,46,87,87,0,46,46,88,88,0,0.0176997174852786,0.0176997174852786,82,82,0,-1,2,2,2,6,97,73,91
27,386,1002,98,100,2,184,184,97,97,0,184,184,98,98,0,0.036760951700194014,0.04649579631709724,93,97,4,2,2,2,7,30,62,7,77
28,100,100,59,59,0,100,100,45,45,0,100,100,59,59,0,0.05262262160046292,0.05262262160046292,98,98,0,4,1,1,10,30,0,7,55
29,0,616,1,100,99,0,68,1,40,39,0,68,1,57,56,0.0,0.019980258007420267,1,84,83,2,-1,3,8,0,42,91,0
30,0,206,1,92,91,0,68,1,34,33,0,46,1,52,51,0.0,0.005071649817897137,1,55,54,3,-1,4,12,0,6,67,31
31,304,920,94,100,6,128,128,93,93,0,128,128,93,93,0,0.03158718812757412,0.04013070560604513,88,93,5,2,2,2,5,22,80,9,32
32,79,695,66,100,34,78,88,73,76,3,78,88,73,76,3,0.007794683277170768,0.02917049593246877,64,88,24,2,2,2,4,6,79,28,10
33,0,206,1,96,95,0,9,1,32,31,0,6,1,32,31,0.0,0.000442492937131965,1,34,33,3,-1,4,3,0,75,59,88
34,0,1640,1,100,99,0,110,1,79,78,0,110,1,82,81,0.0,0.03979032642363593,1,92,91,1,-1,2,6,0,48,86,1
35,6,107,32,82,50,14,14,32,32,0,6,7,32,34,2,0.0009190237925048504,0.0009190237925048504,37,37,0,5,4,4,3,2,96,42,65
36,170,786,90,100,10,120,120,85,85,0,120,120,85,85,0,0.019469689233806462,0.026175159127267776,84,89,5,2,2,2,6,17,48,6,31
37,108,724,79,100,21,60,60,55,55,0,60,60,60,60,0,0.012832295176826986,0.031655263964055956,73,90,17,2,3,3,5,8,70,8,7
38,16,16,34,34,0,76,76,39,39,0,16,16,34,34,0,0.0012934408931549745,0.0012934408931549745,40,40,0,-1,3,3,11,1,33,71,91
39,158,364,85,98,13,192,192,93,93,0,192,192,94,94,0,0.01929949964260186,0.020661016372238675,81,84,3,3,2,2,9,12,23,37,43
40,22,22,39,39,0,154,154,65,65,0,22,22,39,39,0,0.0018040096667687805,0.0018040096667687805,40,40,0,-1,3,3,14,2,17,52,80
41,150,766,83,100,17,232,262,80,86,6,150,262,83,90,7,0.014432077334150244,0.027877055039313797,74,89,15,2,2,2,14,8,17,20,30
42,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,2,0,89,67,93
43,0,206,1,91,90,0,32,1,33,32,0,8,1,35,34,0.0,0.0029612988869600733,1,49,48,3,-1,4,6,1,44,45,29
44,202,202,93,93,0,104,104,86,86,0,104,104,86,86,0,0.02566459035365397,0.02566459035365397,88,88,0,-1,2,2,5,19,45,15,40
45,338,338,96,96,0,168,168,96,96,0,168,168,96,96,0,0.03240409816535621,0.03240409816535621,91,91,0,-1,2,2,6,29,40,0,80
46,16,222,36,93,57,28,32,34,36,2,16,22,36,42,6,0.0007147962830593281,0.0014636304843595766,36,41,5,3,3,3,5,1,52,4,71
47,12,1652,33,100,67,48,104,35,56,21,12,104,33,75,42,0.0009190237925048504,0.019469689233806462,39,81,42,1,4,2,10,3,12,51,32
48,0,206,1,92,91,0,23,1,31,30,0,7,1,33,32,0.0,0.0012934408931549745,1,38,37,3,-1,4,6,1,59,45,61
49,6,622,29,99,70,27,78,30,36,6,6,35,29,47,18,0.0002382654276864427,0.003710133088260322,31,52,21,2,4,3,12,1,14,65,22
50,16,222,41,94,53,28,28,48,48,0,16,22,42,47,5,0.0030974505599237552,0.0035739814152966403,49,50,1,3,3,3,3,3,55,46,49
51,266,472,95,99,4,240,240,98,98,0,240,240,98,98,0,0.023894618605126112,0.027672827529868275,86,88,2,3,2,2,9,16,23,18,28
52,57,263,65,97,32,28,28,45,45,0,28,28,49,49,0,0.007488342013002485,0.012696143503863304,63,73,10,3,3,3,3,8,60,44,72
53,100,100,66,66,0,100,100,45,45,0,100,100,66,66,0,0.03543347288879812,0.03989244017835869,91,95,4,2,1,1,10,18,1,30,73
54,252,868,93,100,7,158,158,95,95,0,158,158,95,95,0,0.025154021580040164,0.031178733108683073,87,89,2,2,2,2,6,16,40,18,34
55,29,235,48,92,44,40,40,44,44,0,29,40,48,50,2,0.004220701861874128,0.016440314510364547,51,78,27,3,3,3,5,4,88,22,30
56,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,6,0,48,81,40
57,100,100,73,73,0,100,100,82,82,0,100,100,82,82,0,0.05367779706593145,0.05367779706593145,99,99,0,-1,1,1,5,18,88,5,67
58,0,616,1,99,98,0,76,1,35,34,0,39,1,47,46,0.0,0.004016474352428605,1,53,52,2,-1,3,12,0,6,84,22
59,0,616,1,100,99,0,74,1,44,43,0,74,1,57,56,0.0,0.011845195547840293,1,75,74,2,-1,3,8,0,42,97,14
60,100,100,61,61,0,100,100,43,43,0,100,100,61,61,0,0.04949113312229824,0.04996766397767113,99,99,0,4,1,1,12,27,2,10,42
61,56,672,58,100,42,54,54,53,53,0,54,54,57,57,0,0.004935498144933456,0.02927260968719153,55,90,35,2,3,3,4,6,79,35,11
62,8,8,35,35,0,32,32,37,37,0,8,8,35,35,0,0.00034037918240920387,0.00034037918240920387,34,34,0,-1,4,4,6,2,32,56,76
63,100,100,60,60,0,100,100,40,40,0,100,100,60,60,0,0.032948704857210936,0.047414820109602095,92,98,6,1,1,1,14,17,25,6,24
64,8,8,38,38,0,12,12,37,37,0,8,8,38,38,0,0.001055175465468532,0.001055175465468532,38,38,0,-1,4,4,2,2,99,74,85
65,133,133,87,87,0,72,72,84,84,0,72,72,84,84,0,0.01940161339732462,0.01940161339732462,83,83,0,-1,2,2,3,14,81,32,76
66,0,206,1,93,92,0,18,1,34,33,0,8,1,36,35,0.0,0.0033357159876101976,1,48,47,3,-1,4,3,0,58,59,29
67,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,3,0,66,36,84
68,312,414,96,98,2,168,168,96,96,0,168,168,96,96,0,0.03601211749889377,0.03638653459954389,92,92,0,4,2,2,6,22,32,9,49
69,104,720,76,100,24,124,134,89,89,0,104,134,80,90,10,0.012525953912658701,0.028932230504782327,72,89,17,2,2,2,6,5,74,25,23
70,40,40,47,47,0,130,130,61,61,0,40,40,47,47,0,0.0014636304843595766,0.0014636304843595766,41,41,0,-1,2,2,16,2,9,42,82
71,108,314,78,95,17,62,62,46,46,0,62,62,59,59,0,0.011130399264780965,0.014500153170632085,70,75,5,3,3,3,7,8,62,8,35
72,32,32,47,47,0,60,60,41,41,0,32,32,47,47,0,0.0016338200755641784,0.0016338200755641784,42,42,0,-1,3,3,8,3,39,51,50
73,0,101,1,74,73,0,12,1,25,24,0,1,1,25,24,0.0,0.00010211375472276115,1,29,28,5,-1,6,12,0,3,87,78
74,0,206,1,88,87,0,37,1,33,32,0,42,1,49,48,0.0,0.005241839409101739,1,53,52,3,-1,4,9,0,54,87,31
75,56,262,63,95,32,48,48,66,66,0,48,48,67,67,0,0.005173763572619898,0.010143299635794275,60,70,10,3,3,3,3,6,76,28,72
76,6,622,27,100,73,24,74,29,37,8,6,54,27,53,26,6.807583648184077e-05,0.00789679703189353,28,60,32,2,4,3,12,1,2,95,17
77,188,188,92,92,0,48,48,63,63,0,48,48,64,64,0,0.0230436706491031,0.0230436706491031,86,86,0,-1,3,3,3,19,82,15,59
78,80,80,64,64,0,76,76,59,59,0,76,76,66,66,0,0.008169100377820893,0.008169100377820893,64,64,0,-1,3,3,6,9,34,31,84
79,264,864,95,100,5,222,222,91,91,0,222,222,92,92,0,0.020014295925661188,0.028149358385241158,83,88,5,2,2,2,10,18,1,5,20
80,154,360,89,99,10,64,64,68,68,0,64,64,71,71,0,0.021920419347152727,0.029340685523673374,84,89,5,3,3,3,4,19,72,15,33
81,68,274,55,95,40,212,212,78,78,0,68,75,55,55,0,0.007828721195411689,0.008441403723748256,63,64,1,3,2,2,13,4,13,72,63
82,16,632,34,100,66,28,46,34,45,11,16,46,34,51,17,0.0006467204465774873,0.005377991082065421,35,53,18,2,3,3,5,1,50,88,28
83,56,56,65,65,0,22,22,49,49,0,22,22,50,50,0,0.010109261717553355,0.010109261717553355,69,69,0,-1,3,3,2,6,93,77,89
84,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,3,0,66,85,80
85,100,100,64,64,0,100,100,49,49,0,100,100,64,64,0,0.04251335988290956,0.042479321964668644,96,96,0,4,1,1,8,15,42,16,60
86,430,2070,100,100,0,168,192,96,98,2,168,192,96,98,2,0.04864018516627523,0.07427073760168829,96,100,4,1,2,2,6,40,32,3,6
87,32,648,50,100,50,46,56,42,45,3,32,62,50,58,8,0.003267640151128357,0.009632730862180468,51,67,16,2,3,3,6,2,74,75,72
88,0,616,1,100,99,0,60,1,37,36,0,48,1,54,53,0.0,0.007726607440688927,1,63,62,2,-1,3,9,0,28,79,17
89,0,616,1,100,99,0,18,1,46,45,0,18,1,49,48,0.0,0.01245787807617686,1,75,74,2,-1,3,2,0,95,91,6
90,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,9,0,23,81,92
91,472,2072,98,100,2,448,448,99,99,0,448,448,99,99,0,0.03369753905851118,0.0514312944620307,92,98,6,1,2,2,16,22,4,9,6
92,6,6,29,29,0,26,26,32,32,0,6,6,29,29,0,0.00030634126416828345,0.00030634126416828345,34,34,0,-1,4,4,7,1,24,60,45
93,64,680,57,100,43,66,86,50,62,12,64,86,59,66,7,0.006297014874570271,0.03277851526600633,57,94,37,2,3,3,6,4,56,72,23
94,0,206,1,92,91,0,22,1,33,32,0,22,1,47,46,0.0,0.0051397256543789785,1,56,55,3,-1,4,5,0,70,98,44
95,0,102,1,82,81,0,6,1,28,27,0,3,1,30,29,0.0,0.0008169100377820892,1,38,37,4,-1,5,3,0,85,67,61
96,101,101,74,74,0,64,64,60,60,0,64,64,63,63,0,0.01589570781850982,0.01589570781850982,79,79,0,-1,3,3,4,12,83,37,99
97,76,692,63,100,37,134,134,72,72,0,76,134,63,81,18,0.009836958371625992,0.016236087000919025,70,77,7,2,3,3,9,6,31,77,24
98,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,9,0,23,40,80
