,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Independent_pre_score,Independent_post_score,Independent_pre_rank,Independent_post_rank,Independent_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,out_deg_victim,in_deg_villain,victim,villain,relayer
638,44,44,58.0,58.0,0.0,38,38,65.5,65.5,0.0,38,38,67.5,67.5,0.0,0.006399128629293032,0.006399128629293032,60.0,60.0,0.0,-1,3,7,92,62,85
639,0,101,13.0,79.0,66.0,0,3,13.0,25.5,12.5,0,1,13.0,25.5,12.5,0.0,3.4037918240920386e-05,13.5,27.0,13.5,5,3,1,58,50,60
640,2,208,27.0,90.0,63.0,8,38,26.5,35.0,8.5,2,18,27.0,41.0,14.0,3.4037918240920386e-05,0.005105687736138058,27.0,54.0,27.0,3,7,1,43,78,72
641,46,662,50.0,100.0,50.0,126,126,61.5,61.5,0.0,46,96,50.0,61.0,11.0,0.0020082371762143027,0.006603356138738555,44.0,57.0,13.0,2,12,2,3,61,47
642,373,373,97.0,97.0,0.0,248,248,92.0,92.0,0.0,248,248,93.0,93.0,0.0,0.031655263964055956,0.031655263964055956,90.0,90.0,0.0,-1,11,29,38,11,82
643,105,206,81.0,92.0,11.0,48,48,64.0,64.0,0.0,48,48,65.5,65.5,0.0,0.011879233466081215,0.011947309302563056,73.0,73.0,0.0,5,3,14,87,32,55
644,0,102,11.5,79.0,67.5,0,7,11.5,25.0,13.5,0,4,11.5,26.0,14.5,0.0,0.0004765308553728854,12.0,32.0,20.0,4,4,0,67,86,63
645,116,716,77.5,100.0,22.5,104,104,84.5,84.5,0.0,104,104,85.0,85.0,0.0,0.013513053541645392,0.027774941284591036,74.5,90.0,15.5,2,5,8,63,17,16
646,0,206,12.5,91.0,78.5,0,15,12.5,32.0,19.5,0,7,12.5,37.0,24.5,0.0,0.0009870996289866913,13.5,40.0,26.5,3,4,0,84,89,61
647,8,214,39.5,97.5,58.0,8,8,34.5,34.5,0.0,8,8,39.5,39.5,0.0,0.002314578440382586,0.006875659484665918,44.0,62.0,18.0,3,2,2,99,75,21
648,68,684,63.5,100.0,36.5,72,72,84.0,84.0,0.0,72,72,85.0,85.0,0.0,0.00976888253514415,0.04084550188910446,72.0,95.0,23.0,2,3,4,96,38,2
649,16,222,35.0,90.0,55.0,42,46,37.0,39.0,2.0,16,46,35.0,52.5,17.5,0.0032336022328874367,0.015589366554341537,45.0,77.0,32.0,3,6,3,51,46,6
650,38,654,52.0,100.0,48.0,60,60,52.0,52.0,0.0,36,60,52.0,61.5,9.5,0.004016474352428605,0.012525953912658701,52.0,73.0,21.0,2,5,6,63,41,44
651,0,0,13.0,13.0,0.0,0,0,13.0,13.0,0.0,0,0,13.0,13.0,0.0,0.0,0.0,13.5,13.5,0.0,-1,5,0,70,96,84
