,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Independent_pre_score,Independent_post_score,Independent_pre_rank,Independent_post_rank,Independent_delta_ranks,dist_victim_relayer,out_deg_victim,in_deg_villain,victim,villain,relayer
205,0,1640,13.0,100.0,87.0,0,80,13.0,40.5,27.5,0,80,13.0,57.0,44.0,1,9,0,29,99,24
206,100,100,77.5,77.5,0.0,100,100,91.0,91.0,0.0,100,100,91.0,91.0,0.0,2,4,29,73,0,3
207,0,0,13.0,13.0,0.0,0,0,13.0,13.0,0.0,0,0,13.0,13.0,0.0,-1,6,0,48,81,84
208,0,0,13.0,13.0,0.0,0,0,13.0,13.0,0.0,0,0,13.0,13.0,0.0,-1,4,0,72,80,67
209,91,291,82.0,100.0,18.0,32,32,76.5,76.5,0.0,32,32,77.0,77.0,0.0,3,2,16,97,18,0
210,296,912,94.0,100.0,6.0,288,288,95.5,95.5,0.0,288,288,95.5,95.5,0.0,2,12,16,3,12,0
211,0,616,13.0,100.0,87.0,0,38,13.0,33.0,20.0,0,18,13.0,40.0,27.0,2,10,0,22,89,75
212,154,754,85.0,100.0,15.0,222,222,90.5,90.5,0.0,154,172,85.0,86.0,1.0,2,10,7,11,48,38
213,275,481,93.0,100.0,7.0,104,104,86.0,86.0,0.0,104,104,86.0,86.0,0.0,3,5,29,80,0,44
214,56,672,56.0,100.0,44.0,76,86,53.5,59.0,5.5,56,86,57.0,66.5,9.5,2,6,6,65,35,7
215,54,260,60.0,97.0,37.0,38,38,60.0,60.0,0.0,38,38,61.5,61.5,0.0,3,3,4,94,38,21
216,362,962,97.0,100.0,3.0,224,224,97.0,97.0,0.0,224,224,97.0,97.0,0.0,2,8,27,57,10,23
217,2,618,27.0,100.0,73.0,4,48,26.5,68.0,41.5,2,48,27.0,69.5,42.5,2,3,2,82,58,1
218,24,24,52.5,52.5,0.0,28,28,49.0,49.0,0.0,24,24,52.5,52.5,0.0,-1,3,4,76,64,81
219,430,430,99.0,99.0,0.0,232,232,100.0,100.0,0.0,232,232,100.0,100.0,0.0,-1,7,27,24,10,59
220,100,100,65.0,65.0,0.0,100,100,46.0,46.0,0.0,100,100,65.0,65.0,0.0,2,16,36,4,2,18
221,100,100,78.5,78.5,0.0,100,100,92.0,92.0,0.0,100,100,92.0,92.0,0.0,3,4,6,72,34,32
222,0,101,13.0,81.0,68.0,0,4,13.0,26.5,13.5,0,1,13.0,26.5,13.5,6,4,1,77,50,68
223,88,704,61.0,100.0,39.0,164,164,80.0,80.0,0.0,88,164,61.0,86.5,25.5,2,10,4,36,22,31
224,54,54,57.0,57.0,0.0,76,76,58.5,58.5,0.0,54,54,57.0,57.0,0.0,-1,6,4,74,38,80
225,100,100,68.0,68.0,0.0,100,100,47.0,47.0,0.0,100,100,68.0,68.0,0.0,3,14,22,8,9,65
226,6,212,35.0,95.0,60.0,12,12,41.5,41.5,0.0,6,12,35.0,43.0,8.0,3,2,1,89,71,20
227,12,218,33.5,90.0,56.5,52,52,37.0,37.0,0.0,12,18,33.5,41.0,7.5,3,10,2,12,74,60
228,82,698,66.0,100.0,34.0,78,78,80.5,80.5,0.0,78,78,80.5,80.5,0.0,2,4,7,67,48,15
229,40,246,45.5,92.5,47.0,168,168,68.5,68.5,0.0,40,55,45.5,52.0,6.5,3,14,1,8,53,73
230,62,268,66.5,98.0,31.5,38,38,60.0,60.0,0.0,38,38,61.5,61.5,0.0,3,3,8,94,44,71
231,339,955,100.0,100.0,0.0,112,112,95.5,95.5,0.0,112,112,95.5,95.5,0.0,2,4,30,53,7,20
232,100,100,70.5,70.5,0.0,100,100,54.0,54.0,0.0,100,100,70.5,70.5,0.0,3,9,8,54,8,38
233,16,16,37.5,37.5,0.0,68,68,39.0,39.0,0.0,16,16,37.5,37.5,0.0,-1,10,2,12,42,81
234,100,100,73.0,73.0,0.0,100,100,61.0,61.0,0.0,100,100,73.0,73.0,0.0,-1,8,2,57,42,98
235,0,206,13.0,88.5,75.5,0,44,13.0,34.0,21.0,0,33,13.0,49.0,36.0,3,8,0,15,80,44
236,40,142,50.5,83.0,32.5,144,144,72.0,72.0,0.0,40,42,50.5,51.0,0.5,4,10,3,22,46,60
237,6,622,31.0,100.0,69.0,25,94,29.0,43.5,14.5,6,68,31.0,56.0,25.0,2,12,1,3,55,57
238,0,616,13.0,100.0,87.0,0,28,13.0,47.0,34.0,0,28,13.0,52.0,39.0,2,3,0,94,89,37
239,32,238,47.0,91.0,44.0,100,100,53.5,53.5,0.0,32,38,47.0,48.5,1.5,3,10,2,22,52,90
240,2,2,28.0,28.0,0.0,7,7,27.5,27.5,0.0,2,2,28.0,28.0,0.0,-1,6,1,74,68,93
241,134,734,88.5,100.0,11.5,72,72,89.5,89.5,0.0,72,72,89.5,89.5,0.0,2,3,20,60,23,31
242,0,206,13.0,92.0,79.0,0,28,13.0,29.0,16.0,0,6,13.0,30.5,17.5,3,12,0,6,87,42
243,32,648,44.0,100.0,56.0,84,124,42.5,68.5,26.0,32,124,44.0,78.0,34.0,2,9,2,29,83,2
244,0,206,13.0,95.0,82.0,0,12,13.0,43.0,30.0,0,12,13.0,43.0,30.0,3,2,0,95,85,30
245,352,352,98.0,98.0,0.0,152,152,97.0,97.0,0.0,152,152,97.0,97.0,0.0,-1,5,30,88,7,92
246,0,0,13.0,13.0,0.0,0,0,13.0,13.0,0.0,0,0,13.0,13.0,0.0,-1,6,0,48,89,96
247,0,206,13.0,94.0,81.0,0,24,13.0,33.0,20.0,0,7,13.0,34.0,21.0,3,6,0,32,93,61
248,45,251,60.0,99.0,39.0,22,22,62.0,62.0,0.0,22,22,62.0,62.0,0.0,3,2,6,99,28,61
249,96,712,59.0,100.0,41.0,202,222,72.0,73.5,1.5,96,169,59.0,86.0,27.0,2,14,6,8,70,39
250,100,100,74.0,74.0,0.0,100,100,89.0,89.0,0.0,100,100,89.0,89.0,0.0,3,4,15,53,16,71
251,0,206,13.0,88.5,75.5,0,32,13.0,33.0,20.0,0,6,13.0,31.0,18.0,3,8,1,15,45,90
252,18,224,41.5,90.0,48.5,38,42,38.5,40.0,1.5,18,30,41.5,47.0,5.5,3,6,2,48,56,29
253,7,109,38.0,84.0,46.0,8,8,33.5,33.5,0.0,7,8,38.0,40.0,2.0,4,2,2,86,56,43
254,0,616,12.5,100.0,87.5,0,24,12.5,38.5,26.0,0,19,12.5,46.0,33.5,2,3,0,82,98,64
255,100,100,66.5,66.5,0.0,100,100,48.0,48.0,0.0,100,100,66.5,66.5,0.0,2,15,6,7,26,17
256,170,170,90.0,90.0,0.0,120,120,87.0,87.0,0.0,120,120,87.0,87.0,0.0,-1,6,17,48,6,85
257,154,154,89.0,89.0,0.0,88,88,83.5,83.5,0.0,88,88,83.5,83.5,0.0,-1,4,18,84,5,81
258,100,100,66.0,66.0,0.0,100,100,46.0,46.0,0.0,100,100,66.0,66.0,0.0,-1,16,5,9,47,76
259,100,100,68.0,68.0,0.0,100,100,47.0,47.0,0.0,100,100,68.0,68.0,0.0,2,14,19,8,15,44
260,0,101,12.5,82.0,69.5,0,3,12.5,24.5,12.0,0,1,12.5,24.5,12.0,5,3,0,85,92,95
261,78,694,58.0,100.0,42.0,148,148,72.0,72.0,0.0,78,132,58.0,79.0,21.0,2,9,4,28,38,72
262,173,373,92.0,99.0,7.0,72,72,86.0,86.0,0.0,72,72,86.0,86.0,0.0,3,3,16,66,18,21
263,312,312,98.0,98.0,0.0,332,332,93.0,93.0,0.0,312,312,98.0,98.0,0.0,-1,16,16,9,12,81
264,6,212,33.5,93.0,59.5,10,14,33.0,34.0,1.0,6,12,33.5,39.0,5.5,3,3,1,58,55,42
265,100,100,78.5,78.5,0.0,100,100,97.5,97.5,0.0,100,100,97.5,97.5,0.0,2,3,19,76,15,17
266,0,0,13.0,13.0,0.0,0,0,13.0,13.0,0.0,0,0,13.0,13.0,0.0,-1,6,0,51,59,45
267,192,392,93.0,100.0,7.0,72,72,89.5,89.5,0.0,72,72,89.5,89.5,0.0,3,3,19,60,15,14
268,548,1164,99.5,100.0,0.5,328,328,100.0,100.0,0.0,328,328,100.0,100.0,0.0,2,10,40,12,3,6
269,0,616,13.0,100.0,87.0,0,30,13.0,41.5,28.5,0,23,13.0,49.0,36.0,2,4,0,83,81,54
270,100,100,72.0,72.0,0.0,100,100,75.0,75.0,0.0,100,100,76.5,76.5,0.0,1,6,40,65,3,2
271,2,208,28.5,92.0,63.5,6,18,29.5,40.5,11.0,2,18,28.5,46.5,18.0,3,3,1,85,60,25
272,56,158,61.5,92.0,30.5,38,38,60.0,60.0,0.0,38,38,61.5,61.5,0.0,4,3,7,94,21,60
273,0,0,13.0,13.0,0.0,0,0,13.0,13.0,0.0,0,0,13.0,13.0,0.0,-1,11,0,38,92,86
274,60,266,65.0,97.0,32.0,38,38,60.0,60.0,0.0,38,38,61.5,61.5,0.0,3,3,6,85,26,47
275,2,618,30.5,100.0,69.5,6,28,30.5,44.0,13.5,2,28,30.5,50.0,19.5,2,3,1,75,55,18
276,8,8,37.5,37.5,0.0,20,20,35.5,35.5,0.0,8,8,37.5,37.5,0.0,-1,4,2,79,83,45
277,152,254,85.0,92.0,7.0,88,88,79.5,79.5,0.0,88,88,80.0,80.0,0.0,4,4,8,83,8,52
278,132,234,86.0,94.0,8.0,70,70,66.5,66.5,0.0,70,70,68.5,68.5,0.0,4,5,14,49,14,43
279,371,371,97.0,97.0,0.0,184,184,97.0,97.0,0.0,184,184,97.0,97.0,0.0,-1,7,29,46,0,96
280,165,267,90.0,96.0,6.0,72,72,82.5,82.5,0.0,72,72,82.5,82.5,0.0,4,3,20,64,23,60
281,74,690,62.0,100.0,38.0,90,100,59.0,73.0,14.0,73,100,62.0,77.0,15.0,2,6,6,48,41,8
282,16,222,38.0,90.0,52.0,72,72,47.0,47.0,0.0,16,24,38.0,46.0,8.0,3,7,3,43,46,83
283,0,616,13.0,99.0,86.0,0,112,13.0,59.0,46.0,0,112,13.0,75.5,62.5,2,12,0,14,98,5
284,0,206,12.5,96.0,83.5,0,8,12.5,34.0,21.5,0,8,12.5,39.0,26.5,3,2,0,99,93,38
285,0,206,13.0,94.0,81.0,0,12,13.0,43.0,30.0,0,12,13.0,44.0,31.0,3,2,0,90,67,21
286,6,212,35.0,96.0,61.0,12,12,42.5,42.5,0.0,6,12,35.0,46.0,11.0,3,2,1,86,90,31
287,0,206,13.0,93.0,80.0,0,25,13.0,29.0,16.0,0,8,13.0,34.0,21.0,3,9,1,23,50,74
288,76,1716,57.5,100.0,42.5,66,90,50.5,67.5,17.0,76,90,62.0,69.0,7.0,1,6,6,71,13,43
289,342,542,96.0,100.0,4.0,176,176,99.0,99.0,0.0,176,176,99.0,99.0,0.0,3,5,27,80,10,54
290,120,326,88.0,100.0,12.0,22,22,58.5,58.5,0.0,22,22,60.5,60.5,0.0,3,2,19,90,15,30
291,100,716,70.5,100.0,29.5,124,134,87.0,88.0,1.0,100,134,76.0,88.5,12.5,2,6,6,59,34,54
292,0,0,12.5,12.5,0.0,0,0,12.5,12.5,0.0,0,0,12.5,12.5,0.0,-1,3,0,87,97,36
293,0,0,13.0,13.0,0.0,0,0,13.0,13.0,0.0,0,0,13.0,13.0,0.0,-1,8,0,15,67,91
294,22,228,48.0,94.0,46.0,34,34,51.0,51.0,0.0,22,34,48.0,57.5,9.5,3,4,2,72,83,57
295,6,212,35.0,93.0,58.0,12,24,35.0,39.5,4.5,6,24,35.0,51.0,16.0,3,4,1,72,55,25
296,2,618,29.0,100.0,71.0,12,48,30.0,40.5,10.5,2,48,29.0,53.0,24.0,2,7,1,62,55,19
297,22,22,41.0,41.0,0.0,106,106,55.0,55.0,0.0,22,22,41.0,41.0,0.0,-1,17,2,20,56,93
298,461,461,100.0,100.0,0.0,256,256,97.0,97.0,0.0,256,256,97.0,97.0,0.0,-1,10,30,1,7,98
299,120,736,81.0,100.0,19.0,240,240,77.5,77.5,0.0,120,168,81.0,86.5,5.5,2,16,6,4,13,20
300,0,1640,13.0,100.0,87.0,0,106,13.0,58.0,45.0,0,82,13.0,56.0,43.0,1,11,1,5,69,17
301,6,622,34.0,100.0,66.0,18,28,39.5,46.5,7.0,6,28,34.0,53.0,19.0,2,3,2,87,94,10
302,16,632,37.5,100.0,62.5,54,78,42.0,47.0,5.0,16,78,37.5,57.5,20.0,2,7,2,46,42,33
303,0,206,13.0,95.0,82.0,0,8,13.0,35.5,22.5,0,8,13.0,38.5,25.5,3,2,0,95,40,8
304,0,102,13.0,73.0,60.0,0,12,13.0,27.5,14.5,0,2,13.0,26.5,13.5,4,10,0,22,80,65
305,63,679,57.0,100.0,43.0,138,138,76.0,76.0,0.0,63,97,57.0,69.0,12.0,2,9,4,31,22,62
306,24,640,49.5,100.0,50.5,68,78,47.0,49.5,2.5,24,78,49.5,61.5,12.0,2,8,3,21,43,17
307,67,273,63.5,97.0,33.5,32,32,66.5,66.5,0.0,32,32,67.0,67.0,0.0,3,2,8,68,57,13
308,492,1108,99.0,100.0,1.0,392,392,100.0,100.0,0.0,392,392,100.0,100.0,0.0,2,14,29,8,0,29
309,22,228,42.0,92.0,50.0,76,84,37.0,39.5,2.5,22,28,42.0,44.5,2.5,3,12,2,3,56,90
310,0,0,12.5,12.5,0.0,0,0,12.5,12.5,0.0,0,0,12.5,12.5,0.0,-1,6,0,59,89,84
311,0,616,12.5,100.0,87.5,0,70,12.5,62.0,49.5,0,70,12.5,66.5,54.0,2,5,0,80,93,10
312,78,78,64.0,64.0,0.0,110,110,83.0,83.0,0.0,78,78,64.0,64.0,0.0,-1,6,7,65,62,40
313,6,108,34.5,78.0,43.5,13,13,33.0,33.0,0.0,6,8,34.5,37.0,2.5,4,5,1,49,4,88
314,100,100,70.0,70.0,0.0,100,100,50.5,50.5,0.0,100,100,70.0,70.0,0.0,4,10,16,12,18,51
315,172,772,89.0,100.0,11.0,104,104,88.0,88.0,0.0,104,104,88.5,88.5,0.0,2,5,18,37,30,1
316,0,616,13.0,100.0,87.0,0,62,13.0,35.5,22.5,0,38,13.0,49.0,36.0,2,10,1,1,50,34
317,16,118,38.0,79.5,41.5,42,42,38.0,38.0,0.0,16,18,38.0,40.5,2.5,4,8,1,39,88,68
318,257,857,95.0,100.0,5.0,54,54,60.5,60.5,0.0,54,54,61.0,61.0,0.0,2,4,29,67,1,39
319,16,16,36.5,36.5,0.0,54,54,36.0,36.0,0.0,16,16,36.5,36.5,0.0,-1,8,1,42,71,99
320,47,149,61.0,89.0,28.0,28,28,51.0,51.0,0.0,28,28,54.5,54.5,0.0,4,3,8,85,44,56
321,184,800,89.0,100.0,11.0,220,220,86.5,86.5,0.0,184,220,88.0,91.0,3.0,2,12,13,3,33,19
322,0,616,13.0,100.0,87.0,0,66,13.0,37.0,24.0,0,66,13.0,55.0,42.0,2,10,0,18,93,6
323,6,6,31.0,31.0,0.0,24,24,32.5,32.5,0.0,6,6,31.0,31.0,0.0,-1,8,1,42,88,87
324,106,722,80.5,100.0,19.5,78,78,80.5,80.5,0.0,78,78,80.5,80.5,0.0,2,4,8,67,20,8
325,0,101,12.5,84.0,71.5,0,2,12.5,25.5,13.0,0,1,12.5,25.5,13.0,5,2,0,93,81,88
326,130,1730,82.0,100.0,18.0,128,128,95.0,95.0,0.0,128,128,95.0,95.0,0.0,1,5,8,37,20,16
327,0,206,13.0,90.0,77.0,0,36,13.0,37.5,24.5,0,36,13.0,50.0,37.0,3,6,1,74,50,24
328,100,100,71.0,71.0,0.0,100,100,67.5,67.5,0.0,100,100,71.0,71.0,0.0,2,6,15,41,16,77
329,0,1640,13.0,100.0,87.0,0,140,13.0,65.5,52.5,0,140,13.0,80.5,67.5,1,11,0,19,76,9
330,430,636,99.0,100.0,1.0,232,232,100.0,100.0,0.0,232,232,100.0,100.0,0.0,3,7,27,24,10,51
331,32,648,47.5,100.0,52.5,80,94,45.0,48.0,3.0,32,94,47.5,59.0,11.5,2,9,3,28,51,30
332,0,206,13.0,91.0,78.0,0,14,13.0,30.0,17.0,0,6,13.0,31.0,18.0,3,5,0,52,76,71
333,100,100,81.0,81.0,0.0,100,100,99.0,99.0,0.0,100,100,99.0,99.0,0.0,3,2,40,90,3,28
334,54,54,57.0,57.0,0.0,60,60,60.0,60.0,0.0,54,54,56.0,56.0,0.0,-1,5,4,70,72,87
335,39,245,50.0,95.0,45.0,94,94,52.5,52.5,0.0,39,49,50.0,54.0,4.0,3,9,4,35,22,54
336,108,724,85.0,100.0,15.0,56,56,89.0,89.0,0.0,56,56,89.0,89.0,0.0,2,2,9,89,39,11
337,134,340,82.0,99.0,17.0,100,100,75.0,75.0,0.0,100,100,76.5,76.5,0.0,3,6,13,65,24,70
338,105,105,84.0,84.0,0.0,32,32,72.0,72.0,0.0,32,32,72.5,72.5,0.0,-1,2,18,86,5,36
339,0,206,12.5,96.0,83.5,0,12,12.5,42.0,29.5,0,12,12.5,46.0,33.5,3,2,0,86,79,10
340,40,240,59.0,98.0,39.0,22,22,58.5,58.5,0.0,22,22,59.0,59.0,0.0,3,2,5,93,47,9
341,120,120,75.0,75.0,0.0,158,158,76.5,76.5,0.0,120,120,75.0,75.0,0.0,-1,9,6,28,13,99
342,0,0,13.0,13.0,0.0,0,0,13.0,13.0,0.0,0,0,13.0,13.0,0.0,-1,4,0,83,91,98
343,53,669,62.0,100.0,38.0,32,32,75.5,75.5,0.0,32,32,75.5,75.5,0.0,2,2,8,95,57,20
344,2,618,29.0,100.0,71.0,7,42,28.0,42.0,14.0,2,18,29.0,44.0,15.0,2,6,1,32,68,46
345,506,608,98.0,100.0,2.0,440,440,100.0,100.0,0.0,440,440,100.0,100.0,0.0,4,14,22,16,9,95
346,0,616,13.0,100.0,87.0,0,42,13.0,34.0,21.0,0,18,13.0,39.0,26.0,2,8,0,42,59,61
347,171,171,91.0,91.0,0.0,72,72,87.5,87.5,0.0,72,72,87.5,87.5,0.0,-1,3,19,81,15,92
348,1,617,27.0,100.0,73.0,4,34,27.0,49.5,22.5,1,23,27.0,53.0,26.0,2,4,1,77,78,52
349,16,16,38.5,38.5,0.0,56,56,49.0,49.0,0.0,16,16,38.5,38.5,0.0,-1,6,1,65,90,79
350,22,124,46.5,87.0,40.5,28,28,51.0,51.0,0.0,22,24,47.5,49.0,1.5,4,3,3,92,29,4
351,0,616,13.0,100.0,87.0,0,34,13.0,43.0,30.0,0,34,13.0,49.5,36.5,2,4,0,53,59,12
352,100,100,70.5,70.5,0.0,100,100,52.5,52.5,0.0,100,100,70.5,70.5,0.0,2,11,19,38,15,24
353,150,150,85.5,85.5,0.0,182,182,87.5,87.5,0.0,150,150,85.0,85.0,0.0,-1,9,8,31,17,86
354,0,0,13.0,13.0,0.0,0,0,13.0,13.0,0.0,0,0,13.0,13.0,0.0,-1,11,1,19,69,81
355,217,833,95.0,100.0,5.0,168,168,97.0,97.0,0.0,168,168,97.0,97.0,0.0,2,6,20,32,23,27
356,2,208,27.0,89.0,62.0,6,30,27.0,36.0,9.0,2,30,27.0,51.0,24.0,3,5,2,61,58,39
357,2,2,29.5,29.5,0.0,6,6,30.5,30.5,0.0,2,2,29.5,29.5,0.0,-1,3,1,64,95,87
358,22,638,42.0,99.0,57.0,92,102,42.0,57.5,15.5,22,80,42.0,56.0,14.0,2,12,2,6,75,17
359,1,207,26.5,97.0,70.5,2,12,26.5,45.0,18.5,1,12,26.5,47.5,21.0,3,2,1,97,78,39
360,28,644,46.0,100.0,54.0,90,100,44.0,50.5,6.5,28,62,46.0,54.5,8.5,2,10,4,18,64,62
361,104,720,75.0,100.0,25.0,80,80,62.0,62.0,0.0,80,80,66.0,66.0,0.0,2,5,9,61,31,0
362,248,864,92.0,100.0,8.0,128,128,92.0,92.0,0.0,128,128,92.0,92.0,0.0,2,5,19,61,15,72
363,2,208,29.5,93.0,63.5,3,12,28.5,38.0,9.5,2,12,29.5,38.5,9.0,3,2,1,68,65,31
364,6,6,33.0,33.0,0.0,13,13,32.0,32.0,0.0,6,6,33.0,33.0,0.0,-1,5,1,37,55,59
365,0,616,12.5,100.0,87.5,0,44,12.5,50.0,37.5,0,44,12.5,55.0,42.5,2,4,0,79,96,14
366,12,628,36.5,100.0,63.5,18,28,38.5,47.0,8.5,12,28,36.5,52.0,15.5,2,3,2,94,61,12
367,8,8,39.5,39.5,0.0,8,8,34.5,34.5,0.0,8,8,39.5,39.5,0.0,-1,2,2,99,63,91
368,32,238,51.0,92.0,41.0,54,54,57.5,57.5,0.0,32,54,51.0,59.0,8.0,3,4,3,79,29,35
369,1,1,26.0,26.0,0.0,2,2,26.0,26.0,0.0,1,1,26.0,26.0,0.0,-1,2,2,93,58,36
370,152,768,89.0,100.0,11.0,96,96,93.0,93.0,0.0,96,96,93.0,93.0,0.0,2,3,14,76,14,3
371,66,682,65.0,100.0,35.0,60,60,60.0,60.0,0.0,60,60,65.0,65.0,0.0,2,5,7,70,21,28
372,0,1640,13.0,100.0,87.0,0,100,13.0,50.5,37.5,0,54,13.0,55.0,42.0,1,11,0,19,80,62
373,0,102,13.0,74.0,61.0,0,17,13.0,26.0,13.0,0,2,13.0,26.0,13.0,4,16,0,9,91,58
374,0,206,13.0,93.0,80.0,0,29,13.0,31.0,18.0,0,12,13.0,35.0,22.0,3,9,0,23,87,75
375,0,616,13.0,100.0,87.0,0,30,13.0,41.5,28.5,0,30,13.0,50.0,37.0,2,4,1,83,45,47
376,0,1640,13.0,100.0,87.0,0,154,13.0,66.5,53.5,0,154,13.0,83.0,70.0,1,10,0,0,67,2
377,84,290,75.0,98.0,23.0,28,28,53.0,53.0,0.0,28,28,57.0,57.0,0.0,3,3,14,81,14,34
378,6,212,33.5,94.5,61.0,14,14,37.0,37.0,0.0,6,12,33.5,39.0,5.5,3,3,1,60,49,4
379,503,1119,99.0,100.0,1.0,392,392,100.0,100.0,0.0,392,392,100.0,100.0,0.0,2,14,29,25,11,23
380,74,690,67.5,100.0,32.5,94,94,79.5,79.5,0.0,74,94,70.5,79.5,9.0,2,5,6,88,26,3
381,146,146,87.0,87.0,0.0,134,134,90.5,90.5,0.0,134,134,90.5,90.5,0.0,-1,6,8,48,8,40
382,0,616,13.0,100.0,87.0,0,62,13.0,38.0,25.0,0,40,13.0,48.0,35.0,2,9,1,29,69,38
383,56,262,58.0,95.0,37.0,90,90,66.0,66.0,0.0,56,90,58.5,68.5,10.0,3,6,3,34,29,6
384,100,100,71.5,71.5,0.0,100,100,58.5,58.5,0.0,100,100,71.5,71.5,0.0,2,9,29,35,11,5
385,0,102,13.0,77.0,64.0,0,12,13.0,26.5,13.5,0,2,13.0,27.0,14.0,4,11,0,33,99,65
386,0,102,13.0,74.5,61.5,0,7,13.0,27.0,14.0,0,2,13.0,27.5,14.5,4,6,0,74,86,60
387,0,616,13.0,100.0,87.0,0,32,13.0,28.5,15.5,0,16,13.0,37.5,24.5,2,13,0,13,85,95
388,228,844,90.0,100.0,10.0,248,248,91.0,91.0,0.0,228,248,91.0,92.5,1.5,2,11,13,5,33,9
389,116,322,77.0,95.0,18.0,174,174,78.0,78.0,0.0,116,134,77.0,83.0,6.0,3,10,8,22,20,72
390,88,88,74.5,74.5,0.0,48,48,75.5,75.5,0.0,48,48,77.5,77.5,0.0,-1,3,8,60,8,80
391,0,206,13.0,88.0,75.0,0,44,13.0,34.0,21.0,0,26,13.0,45.0,32.0,3,10,0,11,81,28
392,2,2,28.5,28.5,0.0,22,22,29.5,29.5,0.0,2,2,28.5,28.5,0.0,-1,11,1,19,60,85
393,0,1640,13.0,100.0,87.0,0,100,13.0,50.0,37.0,0,100,13.0,69.5,56.5,1,10,0,12,91,32
394,6,6,30.5,30.5,0.0,26,26,30.5,30.5,0.0,6,6,30.5,30.5,0.0,-1,11,1,33,65,92
395,73,279,56.0,94.0,38.0,154,154,69.5,69.5,0.0,73,75,56.0,56.0,0.0,3,10,4,18,22,63
396,12,628,36.0,100.0,64.0,38,70,34.0,40.0,6.0,12,66,36.0,60.0,24.0,2,9,2,54,63,20
397,0,0,12.5,12.5,0.0,0,0,12.5,12.5,0.0,0,0,12.5,12.5,0.0,-1,2,0,91,81,36
398,214,420,89.0,96.0,7.0,300,300,89.5,89.5,0.0,214,226,89.0,90.0,1.0,3,14,9,16,27,61
399,100,100,71.0,71.0,0.0,100,100,58.0,58.0,0.0,100,100,71.0,71.0,0.0,2,8,7,27,21,75
400,38,244,49.5,91.0,41.5,56,56,45.0,45.0,0.0,38,56,49.5,53.5,4.0,3,6,6,41,70,57
401,67,67,60.0,60.0,0.0,76,76,58.5,58.5,0.0,76,76,62.0,62.0,0.0,-1,6,8,74,44,66
402,22,638,43.0,100.0,57.0,52,66,43.0,54.0,11.0,22,66,43.0,63.0,20.0,2,6,2,34,75,16
403,6,622,32.5,100.0,67.5,14,32,32.0,41.0,9.0,6,29,32.5,49.5,17.0,2,5,1,70,60,41
404,100,100,71.0,71.0,0.0,100,100,50.5,50.5,0.0,100,100,71.0,71.0,0.0,1,13,14,13,14,56
405,0,206,13.0,94.0,81.0,0,20,13.0,33.0,20.0,0,14,13.0,38.0,25.0,3,6,0,32,89,41
406,106,312,76.0,93.0,17.0,142,142,80.5,80.5,0.0,106,142,76.0,82.0,6.0,3,8,7,27,48,41
407,0,102,12.5,80.5,68.0,0,5,12.5,28.0,15.5,0,2,12.5,29.0,16.5,4,3,0,76,59,71
408,252,252,93.0,93.0,0.0,158,158,95.0,95.0,0.0,158,158,95.0,95.0,0.0,-1,6,16,40,18,82
409,2,618,29.5,100.0,70.5,6,28,31.0,43.5,12.5,2,28,29.5,49.0,19.5,2,3,1,96,95,26
410,40,40,54.0,54.0,0.0,68,68,71.5,71.5,0.0,40,40,54.0,54.0,0.0,-1,4,2,79,94,87
411,100,100,66.0,66.0,0.0,100,100,46.0,46.0,0.0,100,100,66.0,66.0,0.0,2,16,19,9,15,27
412,295,895,96.0,100.0,4.0,120,120,89.0,89.0,0.0,120,120,88.0,88.0,0.0,2,6,29,71,11,26
413,100,100,73.0,73.0,0.0,100,100,61.0,61.0,0.0,100,100,73.0,73.0,0.0,2,8,12,57,37,9
414,260,260,94.0,94.0,0.0,264,264,94.0,94.0,0.0,264,264,95.0,95.0,0.0,-1,12,18,14,30,96
415,374,476,97.0,98.0,1.0,400,400,97.0,97.0,0.0,374,400,97.0,97.0,0.0,4,16,15,4,16,63
416,126,126,78.0,78.0,0.0,100,100,65.0,65.0,0.0,100,100,68.5,68.5,0.0,-1,6,8,40,44,85
417,76,282,70.5,97.0,26.5,48,48,67.5,67.5,0.0,48,48,71.0,71.0,0.0,3,3,6,75,77,11
418,54,654,49.0,100.0,51.0,196,196,71.0,71.0,0.0,54,196,49.0,89.5,40.5,2,16,4,4,22,16
419,38,244,52.0,95.0,43.0,60,60,52.0,52.0,0.0,36,60,52.0,61.5,9.5,3,5,6,63,41,31
420,40,40,52.0,52.0,0.0,62,62,83.0,83.0,0.0,40,40,72.0,72.0,0.0,-1,3,3,60,46,79
421,262,262,94.0,94.0,0.0,232,232,93.5,93.5,0.0,232,232,94.0,94.0,0.0,-1,10,17,1,6,87
422,70,686,59.5,100.0,40.5,128,128,70.5,70.5,0.0,70,128,59.5,81.5,22.0,2,8,5,30,47,8
423,2,208,28.0,92.5,64.5,6,22,27.5,33.0,5.5,2,10,28.0,34.0,6.0,3,5,2,63,58,61
424,540,1140,100.0,100.0,0.0,224,224,97.0,97.0,0.0,224,224,97.0,97.0,0.0,2,8,40,42,3,18
425,572,572,99.0,99.0,0.0,320,320,98.5,98.5,0.0,320,320,98.5,98.5,0.0,-1,11,36,33,2,93
