,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Independent_pre_score,Independent_post_score,Independent_pre_rank,Independent_post_rank,Independent_delta_ranks,dist_victim_relayer,out_deg_victim,in_deg_villain,victim,villain,relayer
48,10,216,42.0,98.0,56.0,12,12,41.5,41.5,0.0,12,12,44.0,44.0,0.0,3,2,3,99,43,35
49,16,222,47.5,96.0,48.5,22,22,58.5,58.5,0.0,16,22,48.0,59.5,11.5,3,2,2,95,94,29
50,57,263,56.0,93.0,37.0,44,44,49.5,49.5,0.0,44,44,54.0,54.0,0.0,3,4,6,83,35,53
51,100,100,71.0,71.0,0.0,100,100,50.5,50.5,0.0,100,100,71.0,71.0,0.0,-1,13,29,13,11,97
52,16,632,38.0,100.0,62.0,64,94,39.5,52.0,12.5,16,94,38.0,63.5,25.5,2,9,1,23,53,27
53,16,1656,38.0,100.0,62.0,32,126,29.0,60.0,31.0,16,130,38.0,84.0,46.0,1,13,2,13,58,31
54,16,222,41.0,91.0,50.0,68,68,44.0,44.0,0.0,16,24,41.0,48.5,7.5,3,8,1,57,53,74
55,0,0,13.0,13.0,0.0,0,0,13.0,13.0,0.0,0,0,13.0,13.0,0.0,-1,5,0,52,97,85
56,239,239,94.0,94.0,0.0,176,176,91.5,91.5,0.0,176,176,92.0,92.0,0.0,-1,8,15,21,16,76
57,0,616,13.0,100.0,87.0,0,34,13.0,43.0,30.0,0,34,13.0,50.0,37.0,2,4,0,53,76,26
58,0,616,13.0,100.0,87.0,0,36,13.0,41.5,28.5,0,22,13.0,45.0,32.0,2,5,0,37,79,29
59,22,22,40.0,40.0,0.0,86,86,37.0,37.0,0.0,22,22,40.0,40.0,0.0,-1,14,2,17,63,36
60,62,268,57.0,92.0,35.0,104,104,60.0,60.0,0.0,62,68,57.0,60.0,3.0,3,9,4,54,64,71
61,100,100,68.0,68.0,0.0,100,100,51.0,51.0,0.0,100,100,68.0,68.0,0.0,-1,12,22,3,9,50
62,67,267,72.0,98.0,26.0,46,46,82.5,82.5,0.0,46,46,83.5,83.5,0.0,3,2,8,98,57,17
63,6,108,33.0,74.5,41.5,20,20,35.5,35.5,0.0,6,8,33.0,37.0,4.0,4,4,1,83,49,63
64,12,628,36.5,100.0,63.5,30,48,35.5,40.0,4.5,12,48,36.5,53.0,16.5,2,7,2,62,56,30
65,144,246,82.0,91.5,9.5,112,112,94.5,94.5,0.0,112,112,94.5,94.5,0.0,4,4,6,83,13,65
