,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Independent_pre_score,Independent_post_score,Independent_pre_rank,Independent_post_rank,Independent_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,dist_victim_vilain_pre,dist_victim_vilain_post,out_deg_victim,in_deg_villain,victim,villain,relayer
0,32,1672,41,100,59,76,100,55,65,10,32,100,41,74,33,0.0028591851322373124,0.028047244630518397,42,89,47,1,3,2,6,2,51,52,33
1,12,628,33,100,67,58,82,35,40,5,12,47,33,51,18,0.001157289220191293,0.00622893903808843,38,56,18,2,4,3,11,3,33,51,22
2,84,84,66,66,0,70,70,58,58,0,70,70,63,63,0,0.010007147962830594,0.010007147962830594,68,68,0,-1,2,2,6,9,69,31,85
3,0,102,1,74,73,0,17,1,25,24,0,2,1,25,24,0.0,0.00017018959120460194,1,28,27,4,-1,5,16,0,4,99,55
4,100,100,66,66,0,100,100,43,43,0,100,100,66,66,0,0.04649579631709724,0.055039313795568263,95,100,5,2,1,1,11,22,33,9,14
5,32,238,41,90,49,52,56,40,41,1,32,56,41,53,12,0.0029612988869600733,0.009939072126348753,43,68,25,3,3,3,6,2,51,75,44
6,218,424,91,98,7,128,128,90,90,0,128,128,90,90,0,0.02042275094455223,0.027604751693386432,84,87,3,3,2,2,5,17,61,6,24
7,174,380,87,98,11,110,110,78,78,0,110,110,82,82,0,0.018040096667687803,0.018993158378433576,79,79,0,3,2,2,6,16,51,12,74
8,16,118,33,75,42,66,66,36,36,0,16,18,33,37,4,0.0006126825283365669,0.0006467204465774873,36,36,0,4,3,3,10,1,0,49,65
9,54,260,60,97,37,38,38,51,51,0,38,38,54,54,0,0.007352190340038803,0.024983831988835564,62,91,29,3,3,3,3,4,94,38,1
10,256,872,93,100,7,110,110,74,74,0,110,110,76,76,0,0.021511964328261683,0.031246808945164913,84,90,6,2,2,2,6,19,41,15,33
11,0,1640,1,100,99,0,124,1,64,63,0,124,1,78,77,0.0,0.02552843868069029,1,88,87,1,-1,2,10,0,1,92,15
12,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,5,0,37,89,98
13,16,16,37,37,0,76,76,52,52,0,16,16,37,37,0,0.0025188059498281084,0.0025188059498281084,47,47,0,-1,3,3,6,1,65,53,85
14,372,572,96,100,4,168,168,95,95,0,168,168,95,95,0,0.03744171006501242,0.038905340549372,93,94,1,3,2,2,6,27,41,10,46
15,46,46,58,58,0,22,22,48,48,0,22,22,51,51,0,0.005582218591510943,0.005582218591510943,57,57,0,-1,3,3,2,6,95,13,69
16,6,1646,32,100,68,14,62,34,81,47,6,62,32,83,51,0.0007488342013002485,0.05851118145614214,36,99,63,1,4,2,3,2,60,42,0
