,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Independent_pre_score,Independent_post_score,Independent_pre_rank,Independent_post_rank,Independent_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,out_deg_victim,in_deg_villain,victim,villain,relayer
0,24,126,44.5,81.5,37.0,76,76,38.0,38.0,0.0,24,26,44.5,45.0,0.5,0.0014636304843595766,0.0015657442390823377,39.5,41.0,1.5,4,11,4,38,64,65
1,6,212,28.5,92.5,64.0,12,24,28.0,35.5,7.5,6,24,28.5,42.5,14.0,0.00034037918240920387,0.004356853534837809,29.5,48.0,18.5,3,4,1,67,88,47
2,8,214,35.5,90.5,55.0,38,38,35.5,35.5,0.0,8,14,35.5,39.0,3.5,0.0007828721195411688,0.0013615167296368155,36.0,40.0,4.0,3,9,2,26,74,42
3,56,1696,53.0,100.0,47.0,134,158,67.0,73.0,6.0,56,158,53.0,85.0,32.0,0.0053439531638245,0.028591851322373123,56.0,91.0,35.0,1,10,3,22,29,18
4,22,22,48.5,48.5,0.0,28,28,47.0,47.0,0.0,22,22,48.5,48.5,0.0,0.0026889955410327104,0.0026889955410327104,50.0,50.0,0.0,-1,3,2,64,75,86
5,8,110,35.5,84.0,48.5,10,10,32.5,32.5,0.0,8,10,35.5,36.0,0.5,0.0004084550188910446,0.00088498587426393,34.0,37.5,3.5,4,3,2,55,56,63
6,40,246,46.0,94.0,48.0,130,130,60.0,60.0,0.0,40,48,46.0,48.0,2.0,0.0017018959120460194,0.0020082371762143027,42.0,43.0,1.0,3,15,1,7,49,56
7,1,1,27.0,27.0,0.0,5,5,27.0,27.0,0.0,1,1,27.0,27.0,0.0,3.4037918240920386e-05,3.4037918240920386e-05,26.5,26.5,0.0,-1,5,1,88,68,67
8,100,100,72.0,72.0,0.0,100,100,76.0,76.0,0.0,100,100,76.5,76.5,0.0,0.05813676435549202,0.05813676435549202,98.0,98.0,0.0,-1,6,27,56,10,99
9,0,206,12.5,94.0,81.5,0,12,12.5,35.5,23.0,0,12,12.5,38.0,25.5,0.0,0.00980292045338507,13.0,67.0,54.0,3,2,1,91,69,30
10,105,721,85.5,100.0,14.5,46,46,82.5,82.5,0.0,46,46,83.0,83.0,0.0,0.019741992579733823,0.02835358589468668,85.0,91.0,6.0,2,2,12,90,37,48
11,0,0,13.0,13.0,0.0,0,0,13.0,13.0,0.0,0,0,13.0,13.0,0.0,0.0,0.0,14.0,14.0,0.0,-1,16,0,9,59,85
12,0,206,13.0,88.0,75.0,0,40,13.0,33.0,20.0,0,6,13.0,30.5,17.5,0.0,0.0015657442390823377,14.0,41.0,27.0,3,10,0,11,86,53
13,130,336,87.0,99.0,12.0,72,72,88.5,88.5,0.0,72,72,88.5,88.5,0.0,0.022601177711971135,0.024269035705776234,87.0,87.0,0.0,3,3,18,85,30,52
14,260,876,94.0,100.0,6.0,224,224,99.0,99.0,0.0,224,224,99.0,99.0,0.0,0.021648116001225366,0.029817216379046257,84.0,88.0,4.0,2,8,18,10,5,77
15,87,703,64.0,100.0,36.0,98,108,55.5,65.0,9.5,87,108,64.0,77.0,13.0,0.006297014874570271,0.020558902617515914,60.0,83.0,23.0,2,8,8,21,57,37
16,0,1640,13.0,100.0,87.0,0,136,13.0,63.5,50.5,0,136,13.0,84.0,71.0,0.0,0.02658361414615882,13.0,88.0,75.0,1,12,0,3,92,23
17,9,9,43.0,43.0,0.0,12,12,42.5,42.5,0.0,12,12,46.5,46.5,0.0,0.0011913271384322134,0.0011913271384322134,40.0,40.0,0.0,-1,2,4,86,64,45
18,560,1160,100.0,100.0,0.0,272,272,100.0,100.0,0.0,272,272,100.0,100.0,0.0,0.0489124885122026,0.05486912420436366,97.0,99.0,2.0,2,8,40,30,3,21
19,90,296,65.0,95.0,30.0,94,94,71.5,71.5,0.0,94,94,73.5,73.5,0.0,0.00891793457912114,0.011504816365431091,68.0,74.0,6.0,3,5,6,50,34,35
20,172,378,90.0,100.0,10.0,88,88,88.5,88.5,0.0,88,88,88.5,88.5,0.0,0.02032063718982947,0.02375846693216243,84.0,87.0,3.0,3,4,18,67,5,28
21,2,208,29.0,90.0,61.0,7,20,29.0,35.0,6.0,2,20,29.0,45.5,16.5,0.0002042275094455223,0.007828721195411689,31.0,65.0,34.0,3,4,1,79,60,27
22,34,136,43.0,83.5,40.5,124,124,58.0,58.0,0.0,34,36,43.0,43.0,0.0,0.0011913271384322134,0.001497668402600497,39.0,41.0,2.0,4,14,4,8,64,88
23,166,366,87.0,100.0,13.0,96,96,69.5,69.5,0.0,96,96,70.5,70.5,0.0,0.019844106334456584,0.030225671397937304,84.0,91.0,7.0,3,6,16,56,12,6
24,0,0,13.0,13.0,0.0,0,0,13.0,13.0,0.0,0,0,13.0,13.0,0.0,0.0,0.0,13.5,13.5,0.0,-1,14,0,16,82,84
25,10,216,39.0,97.0,58.0,18,18,41.5,41.5,0.0,10,18,39.0,47.5,8.5,0.0018040096667687805,0.0038462847612240037,44.0,52.0,8.0,3,3,3,81,54,94
26,0,0,12.5,12.5,0.0,0,0,12.5,12.5,0.0,0,0,12.5,12.5,0.0,0.0,0.0,13.5,13.5,0.0,-1,3,1,81,45,66
27,0,616,13.0,100.0,87.0,0,88,13.0,52.5,39.5,0,88,13.0,64.0,51.0,0.0,0.021546002246502605,13.0,84.0,71.0,2,8,0,21,97,11
28,0,616,13.0,100.0,87.0,0,100,13.0,59.5,46.5,0,100,13.0,73.0,60.0,0.0,0.025119983661799246,13.5,91.0,77.5,2,9,0,26,92,1
29,44,44,49.0,49.0,0.0,44,44,49.0,49.0,0.0,44,44,52.0,52.0,0.0,0.007318152421797883,0.007318152421797883,61.0,61.0,0.0,-1,4,4,67,38,81
30,22,22,42.5,42.5,0.0,40,40,42.5,42.5,0.0,22,22,42.5,42.5,0.0,0.002314578440382586,0.002314578440382586,46.0,46.0,0.0,-1,5,2,50,83,89
31,58,658,52.5,100.0,47.5,106,106,68.0,68.0,0.0,58,106,52.5,75.0,22.5,0.004186663943633207,0.013036522686272508,52.0,76.5,24.5,2,7,6,46,70,14
32,16,16,38.0,38.0,0.0,66,66,42.5,42.5,0.0,16,16,38.0,38.0,0.0,0.0011232513019503727,0.0011232513019503727,39.0,39.0,0.0,-1,9,1,35,71,84
33,92,298,69.5,95.0,25.5,96,96,75.0,75.0,0.0,96,96,75.0,75.0,0.0,0.013513053541645392,0.015214949453691413,75.0,77.0,2.0,3,6,8,69,20,70
34,32,32,47.0,47.0,0.0,46,46,38.5,38.5,0.0,32,32,47.0,47.0,0.0,0.0028932230504782326,0.0028932230504782326,46.5,46.5,0.0,-1,6,2,40,75,81
35,8,110,39.0,85.0,46.0,8,8,34.5,34.5,0.0,8,8,39.0,39.0,0.0,0.0005105687736138058,0.005480104836788182,37.0,59.0,22.0,4,2,2,89,63,24
36,6,1646,33.0,100.0,67.0,30,64,38.0,57.5,19.5,6,64,33.0,63.5,30.5,0.0013955546478777359,0.029919330133769018,39.0,88.0,49.0,1,5,1,80,71,33
37,0,102,13.0,78.0,65.0,0,15,13.0,26.5,13.5,0,2,13.0,27.0,14.0,0.0,6.807583648184077e-05,13.5,27.0,13.5,4,13,0,13,67,65
38,22,22,46.5,46.5,0.0,46,46,42.5,42.5,0.0,22,22,46.5,46.5,0.0,0.002552843868069029,0.002552843868069029,46.0,46.0,0.0,-1,6,2,59,83,69
39,0,616,13.0,100.0,87.0,0,19,13.0,42.5,29.5,0,16,13.0,42.0,29.0,0.0,0.004663194799006093,13.5,53.0,39.5,2,3,0,94,91,55
40,210,810,94.0,100.0,6.0,94,94,72.0,72.0,0.0,94,94,73.0,73.0,0.0,0.019912182170938427,0.03669287586371218,84.0,94.0,10.0,2,5,17,63,6,9
41,100,100,71.0,71.0,0.0,100,100,50.5,50.5,0.0,100,100,71.0,71.0,0.0,0.04516831750570135,0.04516831750570135,96.0,96.0,0.0,-1,13,29,13,1,91
42,16,16,37.0,37.0,0.0,40,40,32.5,32.5,0.0,16,16,37.0,37.0,0.0,0.00037441710065012424,0.00037441710065012424,34.0,34.0,0.0,-1,12,1,2,65,93
43,124,740,78.5,100.0,21.5,182,192,71.0,71.5,0.5,124,192,78.5,91.0,12.5,0.007726607440688927,0.015623404472582456,63.0,77.0,14.0,2,12,9,6,31,25
44,16,222,43.5,93.0,49.5,48,48,77.0,77.0,0.0,16,48,43.5,77.5,34.0,0.004561081044283332,0.009564655025698629,51.0,69.0,18.0,3,3,1,92,90,24
45,0,616,13.0,100.0,87.0,0,96,13.0,36.5,23.5,0,53,13.0,52.0,39.0,0.0,0.005377991082065421,13.5,54.0,40.5,2,14,0,16,84,57
46,16,118,43.0,80.0,37.0,34,34,45.5,45.5,0.0,16,19,43.0,45.0,2.0,0.003880322679464924,0.00527587732734266,52.0,56.0,4.0,4,4,1,79,90,83
47,190,806,91.5,100.0,8.5,88,88,78.5,78.5,0.0,88,88,78.5,78.5,0.0,0.021035433472888797,0.037509785901494265,86.0,95.0,9.0,2,4,17,53,6,23
48,80,80,69.5,69.5,0.0,60,60,56.5,56.5,0.0,60,60,65.0,65.0,0.0,0.008101024541339052,0.008101024541339052,65.0,65.0,0.0,-1,5,9,45,31,97
49,246,862,90.0,100.0,10.0,200,200,95.5,95.5,0.0,200,200,95.5,95.5,0.0,0.024166921951053473,0.036965179209639536,86.0,97.0,11.0,2,8,16,27,18,5
50,6,6,29.5,29.5,0.0,23,23,28.0,28.0,0.0,6,6,29.5,29.5,0.0,6.807583648184077e-05,6.807583648184077e-05,28.5,28.5,0.0,-1,17,1,20,78,89
51,0,206,12.5,97.0,84.5,0,12,12.5,45.0,32.5,0,6,12.5,36.0,23.5,0.0,0.0034718676605738795,13.0,49.0,36.0,3,2,0,97,96,90
52,2,103,28.5,81.0,52.5,4,4,27.5,27.5,0.0,2,4,28.5,30.5,2.0,3.4037918240920386e-05,0.0002382654276864427,27.5,31.5,4.0,5,3,1,81,95,63
53,6,6,31.5,31.5,0.0,15,15,28.0,28.0,0.0,6,6,31.5,31.5,0.0,0.00017018959120460194,0.00017018959120460194,29.5,29.5,0.0,-1,9,1,23,78,89
54,208,310,87.0,95.0,8.0,248,248,91.0,91.0,0.0,208,210,88.0,88.0,0.0,0.01923142380612002,0.0195377650702883,81.0,82.0,1.0,4,11,12,5,37,88
55,388,1988,100.0,100.0,0.0,224,224,99.5,99.5,0.0,224,224,99.5,99.5,0.0,0.03887130263113108,0.06201708703495694,95.0,98.0,3.0,1,8,27,39,10,23
56,0,0,13.0,13.0,0.0,0,0,13.0,13.0,0.0,0,0,13.0,13.0,0.0,0.0,0.0,13.5,13.5,0.0,-1,4,0,77,59,50
57,499,499,99.0,99.0,0.0,216,216,99.5,99.5,0.0,216,216,99.5,99.5,0.0,0.05194186323564451,0.05194186323564451,98.0,98.0,0.0,-1,6,36,44,2,79
58,16,632,39.0,100.0,61.0,36,60,39.5,52.0,12.5,16,60,39.0,56.0,17.0,0.0009530617107457708,0.013479015623404473,38.0,79.0,41.0,2,5,1,61,71,5
59,58,674,61.0,100.0,39.0,22,22,49.5,49.5,0.0,22,22,52.0,52.0,0.0,0.008679669151434699,0.013036522686272508,66.0,76.0,10.0,2,2,6,91,34,53
