,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,dist_victim_vilain_pre,dist_victim_vilain_post,out_deg_victim,in_deg_villain,victim,villain,relayer
0,0,101,1,77,76,4,4,1,1,0,0.0,6.807583648184077e-05,1,28,27,[[5]],[[inf]],[[6]],4,0,84,81,65
1,0,101,1,81,80,4,4,1,1,0,0.0,0.0,1,1,0,[[inf]],[[inf]],[[inf]],4,0,72,82,69
2,16,118,36,79,43,68,68,41,41,0,0.0013274788113958951,0.0013615167296368155,40,41,1,[[4]],[[3]],[[3]],8,1,30,71,95
3,0,616,1,100,99,10,54,1,32,31,0.0,0.0020422750944552232,1,41,40,[[2]],[[inf]],[[3]],10,0,0,99,61
4,0,616,1,100,99,8,78,1,46,45,0.0,0.01327478811395895,1,76,75,[[2]],[[inf]],[[3]],8,0,30,85,37
5,8,214,37,92,55,14,18,35,37,2,0.0005446066918547262,0.013751318969331836,36,77,41,[[3]],[[4]],[[4]],3,2,76,63,16
6,191,292,91,98,7,88,88,82,82,0,0.026073045372545015,0.026073045372545015,86,86,0,[[inf]],[[2]],[[2]],4,15,78,16,59
7,128,1768,84,100,16,90,144,69,90,21,0.011811157629599374,0.05218012866333095,74,97,23,[[1]],[[2]],[[2]],6,14,32,14,10
8,94,196,67,87,20,90,90,61,61,0,0.007011811157629599,0.007488342013002485,60,61,1,[[4]],[[2]],[[2]],6,5,41,47,42
9,1,207,23,93,70,3,10,1,31,30,0.0,0.003369753905851118,1,49,48,[[3]],[[inf]],[[4]],3,1,58,69,28
10,6,107,29,74,45,17,17,30,30,0,0.0002382654276864427,0.0002382654276864427,30,30,0,[[inf]],[[4]],[[4]],7,1,24,55,50
11,134,235,86,97,11,56,56,84,84,0,0.020797168045202357,0.020797168045202357,86,86,0,[[inf]],[[2]],[[2]],2,15,86,19,80
12,47,148,56,84,28,78,78,47,47,0,0.0053099152455835805,0.0053099152455835805,55,55,0,[[inf]],[[3]],[[3]],8,6,57,35,99
13,22,228,40,89,49,114,122,58,58,0,0.002212464685659825,0.0035739814152966403,47,51,4,[[3]],[[3]],[[3]],17,2,20,83,53
14,100,100,68,68,0,100,100,63,63,0,0.047789237210252224,0.048129616392661424,97,97,0,[[3]],[[1]],[[1]],6,16,41,18,56
15,44,146,60,89,29,22,22,49,49,0,0.005990673610401988,0.006909697402906838,58,61,3,[[4]],[[3]],[[3]],2,7,93,48,71
16,3,104,28,74,46,12,12,27,27,0,0.0,0.0,1,1,0,[[inf]],[[5]],[[5]],10,2,18,58,45
17,497,598,98,100,2,304,304,98,98,0,0.037850165083903466,0.037850165083903466,93,93,0,[[inf]],[[2]],[[2]],10,30,12,7,92
18,2,618,27,100,73,5,38,27,48,21,0.00013615167296368154,0.027672827529868275,31,90,59,[[2]],[[5]],[[3]],3,1,87,55,3
19,136,1776,81,100,19,252,276,81,86,5,0.008645631233193778,0.027774941284591036,62,89,27,[[1]],[[2]],[[2]],14,8,16,57,6
20,100,100,71,71,0,100,100,80,80,0,0.03209775690118792,0.03209775690118792,90,90,0,[[inf]],[[1]],[[1]],5,2,49,63,99
21,0,102,1,74,73,12,14,1,26,25,0.0,3.4037918240920386e-05,1,27,26,[[4]],[[inf]],[[5]],12,0,3,59,95
22,16,632,36,100,64,40,60,42,51,9,0.0020763130126961434,0.014704380680077607,46,79,33,[[2]],[[3]],[[3]],5,1,61,53,5
23,8,624,38,100,62,8,32,33,68,35,0.000442492937131965,0.02906838217774601,34,93,59,[[2]],[[4]],[[3]],2,2,90,56,11
24,169,785,86,100,14,180,180,80,80,0,0.013819394805813677,0.01855066544130161,74,80,6,[[2]],[[2]],[[2]],11,14,38,32,26
25,0,616,1,100,99,14,90,1,37,36,0.0,0.00704584907587052,1,61,60,[[2]],[[inf]],[[3]],14,0,17,87,25
26,100,100,64,64,0,100,100,49,49,0,0.05323530412879948,0.05323530412879948,99,99,0,[[inf]],[[1]],[[1]],8,27,42,10,98
27,210,826,91,100,9,128,128,93,93,0,0.026175159127267776,0.04915075393988903,87,97,10,[[2]],[[2]],[[2]],5,15,80,16,10
28,23,124,44,75,31,60,60,35,35,0,0.0013274788113958951,0.0013274788113958951,41,41,0,[[inf]],[[3]],[[3]],11,3,5,51,40
29,56,672,55,100,45,54,54,56,56,0,0.010279451308757957,0.018857006705469893,67,82,15,[[2]],[[3]],[[3]],4,5,67,25,17
30,100,100,75,75,0,100,100,89,89,0,0.03781612716566255,0.05367779706593145,95,97,2,[[2]],[[1]],[[1]],4,2,73,83,16
31,0,206,1,90,89,6,20,1,32,31,0.0,0.003437829742332959,1,51,50,[[3]],[[inf]],[[4]],6,0,44,93,35
32,6,212,32,96,64,12,12,35,35,0,0.0012253650566731338,0.014806494434800367,39,79,40,[[3]],[[4]],[[4]],2,1,98,71,18
33,6,107,32,79,47,12,12,32,32,0,0.0002382654276864427,0.0002382654276864427,32,32,0,[[inf]],[[4]],[[4]],4,1,79,55,85
34,129,231,89,96,7,32,32,70,70,0,0.020456788862793153,0.02236291228428469,84,85,1,[[4]],[[3]],[[3]],2,16,95,18,75
35,38,654,45,100,55,132,166,58,60,2,0.003948398515946765,0.01317267435923619,52,74,22,[[2]],[[3]],[[3]],16,6,4,73,14
36,44,145,64,93,29,22,22,55,55,0,0.007182000748834201,0.007182000748834201,63,63,0,[[inf]],[[3]],[[3]],2,8,97,44,82
37,102,204,82,93,11,80,80,95,95,0,0.018108172504169646,0.018857006705469893,84,84,0,[[4]],[[2]],[[2]],2,4,68,38,64
38,100,100,75,75,0,100,100,89,89,0,0.07185404540658294,0.07420266176520644,99,100,1,[[3]],[[1]],[[1]],4,29,73,0,22
39,2,208,26,92,66,6,32,1,34,33,0.0,0.006569318220497634,1,58,57,[[3]],[[6]],[[4]],6,2,65,58,20
40,401,1017,100,100,0,136,136,100,100,0,0.05289492494639028,0.07655127812382995,97,100,3,[[2]],[[2]],[[2]],4,36,73,2,3
41,100,100,67,67,0,100,100,54,54,0,0.0195377650702883,0.023690391095680587,80,84,4,[[2]],[[1]],[[1]],8,2,27,83,35
42,195,811,90,100,10,118,118,92,92,0,0.030634126416828347,0.04499812791449675,87,97,10,[[2]],[[2]],[[2]],5,16,70,12,15
43,157,773,85,100,15,172,182,88,90,2,0.01334286395044079,0.02464345280642636,73,87,14,[[2]],[[2]],[[2]],9,9,35,27,30
44,85,186,65,90,25,110,110,80,80,0,0.006092787365124749,0.006092787365124749,59,59,0,[[inf]],[[2]],[[2]],6,6,48,28,89
45,381,587,100,100,0,192,192,99,99,0,0.04659791007182001,0.0512611048708261,98,99,1,[[3]],[[2]],[[2]],6,29,69,11,62
46,22,123,53,84,31,22,22,52,52,0,0.002212464685659825,0.002212464685659825,49,49,0,[[inf]],[[3]],[[3]],2,2,86,52,81
47,100,100,62,62,0,100,100,45,45,0,0.02382654276864427,0.028966268423023248,84,88,4,[[2]],[[1]],[[1]],12,6,3,77,73
