,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,dist_victim_vilain_pre,dist_victim_vilain_post,out_deg_victim,in_deg_villain,victim,villain,relayer
0,295,911,99,100,1,56,56,80,80,0,0.04721059260015657,0.054698934613159056,98,98,0,[[2]],[[2]],[[2]],2,36,91,2,24
1,0,1640,1,100,99,14,184,1,69,68,0.0,0.024337111542258077,1,89,88,[[1]],[[inf]],[[2]],14,0,8,96,15
2,2,208,27,95,68,2,12,1,36,35,3.4037918240920386e-05,0.011606930120153852,26,73,47,[[3]],[[6]],[[4]],2,2,89,58,18
3,2,103,28,75,47,12,12,30,30,0,0.00013615167296368154,0.00013615167296368154,30,30,0,[[inf]],[[5]],[[5]],6,1,44,60,87
4,23,229,54,97,43,32,32,63,63,0,0.004969536063174376,0.00970080669866231,56,66,10,[[3]],[[3]],[[3]],2,3,86,29,31
5,0,616,1,100,99,7,40,1,34,33,0.0,0.00353994349705572,1,50,49,[[2]],[[inf]],[[3]],7,0,24,36,46
6,16,632,42,100,58,24,38,42,51,9,0.0007828721195411688,0.018142210422410564,38,84,46,[[2]],[[3]],[[3]],3,1,66,88,15
7,0,206,1,89,88,8,21,1,29,28,0.0,0.000442492937131965,1,35,34,[[3]],[[inf]],[[4]],8,0,30,40,42
8,2,103,27,76,49,6,6,30,30,0,0.0002723033459273631,0.0002723033459273631,32,32,0,[[inf]],[[5]],[[5]],3,1,64,4,67
9,123,329,77,94,17,136,136,81,81,0,0.012866333095067906,0.013717281051090916,74,75,1,[[3]],[[2]],[[2]],7,9,43,27,52
10,22,124,48,80,32,40,40,42,42,0,0.001940161339732462,0.0019741992579733825,45,45,0,[[4]],[[3]],[[3]],5,2,61,52,88
11,46,148,52,81,29,114,114,60,60,0,0.003880322679464924,0.004118588107151367,49,51,2,[[4]],[[2]],[[2]],10,2,12,83,49
12,0,616,1,100,99,4,34,1,42,41,0.0,0.009939072126348753,1,70,69,[[2]],[[inf]],[[3]],4,0,79,89,17
13,0,206,1,92,91,3,18,1,37,36,0.0,0.005990673610401988,1,61,60,[[3]],[[inf]],[[4]],3,0,76,40,57
14,6,108,32,82,50,8,8,32,32,0,0.0012253650566731338,0.00176997174852786,40,43,3,[[4]],[[4]],[[4]],2,1,95,53,42
15,0,616,1,100,99,11,96,1,43,42,0.0,0.012559991830899623,1,73,72,[[2]],[[inf]],[[3]],11,0,38,80,5
16,32,648,47,100,53,84,114,46,72,26,0.002212464685659825,0.02484768031587188,44,88,44,[[2]],[[3]],[[3]],9,2,26,52,7
17,0,101,1,81,80,4,4,1,1,0,0.0,0.0,1,1,0,[[inf]],[[inf]],[[inf]],4,0,72,81,93
18,68,169,55,87,32,212,212,78,78,0,0.006841621566424997,0.006841621566424997,60,60,0,[[inf]],[[2]],[[2]],13,4,13,72,67
19,65,271,71,98,27,32,32,63,63,0,0.012049423057285817,0.015419176963136935,75,80,5,[[3]],[[3]],[[3]],2,8,98,20,22
20,192,293,87,95,8,252,252,81,81,0,0.014432077334150244,0.014432077334150244,74,74,0,[[inf]],[[2]],[[2]],14,13,16,33,84
21,104,205,79,87,8,218,218,77,77,0,0.007011811157629599,0.007011811157629599,61,61,0,[[inf]],[[2]],[[2]],14,5,17,47,67
22,0,1640,1,100,99,6,80,1,55,54,0.0,0.040879539807345384,1,96,95,[[1]],[[inf]],[[2]],6,0,65,82,3
23,17,633,47,100,53,12,22,35,51,16,0.0033357159876101976,0.027979168794036557,50,92,42,[[2]],[[4]],[[3]],2,6,98,73,1
24,28,129,45,80,35,92,92,41,41,0,0.002382654276864427,0.0024507301133462676,45,45,0,[[5]],[[3]],[[3]],12,3,6,54,78
25,151,357,83,99,16,144,144,88,88,0,0.015555328636100617,0.017052997038701112,77,80,3,[[3]],[[2]],[[2]],6,8,34,17,54
26,1,617,23,100,77,3,48,1,58,57,0.0,0.035705776234725484,1,94,93,[[2]],[[inf]],[[3]],3,1,75,50,2
27,0,616,1,100,99,5,32,1,40,39,0.0,0.007624493685966166,1,61,60,[[2]],[[inf]],[[3]],5,0,45,40,77
28,165,371,85,96,11,136,136,81,81,0,0.016712617856291908,0.017155110793423873,79,80,1,[[3]],[[2]],[[2]],7,15,43,19,56
29,22,123,43,80,37,56,56,45,45,0,0.0024166921951053475,0.0024166921951053475,45,45,0,[[inf]],[[3]],[[3]],6,2,48,52,66
30,293,909,96,100,4,296,296,98,98,0,0.024779604479390042,0.0490826781034072,85,98,13,[[2]],[[2]],[[2]],11,18,38,30,1
31,0,206,1,92,91,3,18,1,37,36,0.0,0.005956635692161067,1,59,58,[[3]],[[inf]],[[4]],3,0,85,92,34
32,17,633,39,100,61,68,90,39,44,5,0.0008509479560230097,0.005718370264474625,38,58,20,[[2]],[[3]],[[3]],10,2,12,42,47
33,0,101,1,80,79,3,3,1,1,0,0.0,0.0,1,1,0,[[inf]],[[inf]],[[inf]],3,0,66,97,89
34,0,206,1,93,92,4,20,1,34,33,0.0,0.0068075836481840775,1,60,59,[[3]],[[inf]],[[4]],4,0,73,79,32
35,177,793,90,100,10,232,232,95,95,0,0.019095272133156337,0.02910242009598693,85,88,3,[[2]],[[2]],[[2]],10,9,36,39,17
36,41,142,50,81,31,66,66,44,44,0,0.002825147213996392,0.002825147213996392,43,43,0,[[inf]],[[3]],[[3]],6,6,51,70,89
37,112,1752,80,100,20,252,276,85,88,3,0.008679669151434699,0.036624800027230335,65,94,29,[[1]],[[2]],[[2]],14,4,17,38,1
38,58,160,63,90,27,38,38,57,57,0,0.007658531604207087,0.008509479560230097,62,65,3,[[4]],[[3]],[[3]],3,8,85,57,71
39,0,206,1,96,95,2,8,1,32,31,0.0,0.003948398515946765,1,50,49,[[3]],[[inf]],[[4]],2,0,99,79,13
40,100,100,77,77,0,100,100,96,96,0,0.0706286803499098,0.07675550563327548,99,100,1,[[3]],[[1]],[[1]],3,19,76,15,20
41,100,100,60,60,0,100,100,40,40,0,0.018380475850097007,0.03791824092038531,77,96,19,[[2]],[[1]],[[1]],14,7,25,48,10
42,2,103,28,81,53,4,4,31,31,0,0.0002042275094455223,0.0002723033459273631,32,32,0,[[5]],[[5]],[[5]],2,1,95,55,4
43,0,616,1,99,98,11,44,1,34,33,0.0,0.003165526396405596,1,46,45,[[2]],[[inf]],[[3]],11,0,33,81,41
44,147,353,85,97,12,128,128,93,93,0,0.01851662752306069,0.026958031246808945,80,86,6,[[3]],[[2]],[[2]],5,8,70,17,32
45,57,263,67,97,30,38,38,61,61,0,0.009156200006807584,0.013853432724054596,71,76,5,[[3]],[[3]],[[3]],3,7,81,21,72
46,65,1705,57,100,43,112,156,63,82,19,0.0036760951700194017,0.03642057251778481,51,95,44,[[1]],[[2]],[[2]],8,6,15,70,0
47,81,182,64,89,25,106,106,71,71,0,0.006467204465774873,0.006467204465774873,60,60,0,[[inf]],[[2]],[[2]],7,6,43,28,69
48,107,723,73,100,27,148,148,76,76,0,0.008339289969025495,0.013649205214609075,63,73,10,[[2]],[[2]],[[2]],9,8,29,57,47
49,0,616,1,100,99,2,22,1,51,50,0.0,0.02556247659893121,1,89,88,[[2]],[[inf]],[[3]],2,0,86,81,1
50,0,101,1,82,81,2,2,1,1,0,0.0,0.00013615167296368154,1,30,29,[[5]],[[inf]],[[6]],2,0,93,80,60
51,254,355,94,96,2,134,134,73,73,0,0.01950372715204738,0.01950372715204738,83,83,0,[[5]],[[3]],[[3]],9,19,29,15,58
52,22,228,47,93,46,22,22,42,42,0,0.0026209197045508697,0.003812246842983083,47,52,5,[[3]],[[3]],[[3]],2,2,68,52,74
53,154,360,85,96,11,114,114,65,65,0,0.011845195547840293,0.013717281051090916,70,74,4,[[3]],[[3]],[[3]],9,14,29,14,94
54,24,230,45,93,48,46,46,43,43,0,0.0009870996289866913,0.001497668402600497,39,41,2,[[3]],[[3]],[[3]],6,3,65,43,64
55,46,662,57,100,43,62,72,74,76,2,0.005377991082065421,0.015589366554341537,58,78,20,[[2]],[[2]],[[2]],3,2,64,52,32
56,0,102,1,83,82,2,4,1,28,27,0.0,0.005480104836788182,1,58,57,[[4]],[[inf]],[[5]],2,0,99,40,24
57,54,670,55,100,45,114,114,73,73,0,0.007113924912352361,0.012117498893767658,59,69,10,[[2]],[[3]],[[3]],9,4,26,38,57
58,0,616,1,100,99,10,62,1,35,34,0.0,0.005956635692161067,1,57,56,[[2]],[[inf]],[[3]],10,0,36,66,44
59,0,206,1,91,90,9,20,1,28,27,0.0,0.00030634126416828345,1,32,31,[[3]],[[inf]],[[4]],9,0,31,98,56
60,150,251,90,98,8,56,56,88,88,0,0.029408761360155213,0.029408761360155213,90,90,0,[[inf]],[[2]],[[2]],2,18,93,5,99
61,92,708,77,100,23,56,56,84,84,0,0.015419176963136935,0.03175737771877872,77,94,17,[[2]],[[2]],[[2]],2,8,86,44,18
62,68,169,63,91,28,88,88,76,76,0,0.009190237925048503,0.009190237925048503,66,66,0,[[inf]],[[2]],[[2]],4,4,47,72,45
63,0,206,1,92,91,5,14,1,30,29,0.0,0.0010892133837094523,1,40,39,[[3]],[[inf]],[[4]],5,0,70,92,83
64,1,617,23,100,77,10,120,1,61,60,0.0,0.02920453385070969,1,91,90,[[2]],[[inf]],[[3]],10,1,12,45,2
65,78,180,68,91,23,62,62,77,77,0,0.010721944245889922,0.011368664692467409,67,69,2,[[4]],[[2]],[[2]],3,8,58,57,64
66,16,118,36,79,43,60,60,37,37,0,0.0005786446100956465,0.0006807583648184077,36,37,1,[[4]],[[3]],[[3]],11,1,38,49,4
67,0,102,1,73,72,4,5,1,26,25,0.0,0.00017018959120460194,1,31,30,[[4]],[[inf]],[[5]],4,0,83,79,88
68,0,616,1,100,99,4,34,1,44,43,0.0,0.009598692943939549,1,66,65,[[2]],[[inf]],[[3]],4,0,84,98,14
69,0,616,1,100,99,5,40,1,39,38,0.0,0.01317267435923619,1,79,78,[[2]],[[inf]],[[3]],5,0,52,91,18
70,106,312,81,97,16,72,72,83,83,0,0.01589570781850982,0.03015759556145546,79,91,12,[[3]],[[2]],[[2]],3,6,58,77,9
71,56,672,53,100,47,114,124,64,64,0,0.006875659484665918,0.015487252799618776,61,79,18,[[2]],[[2]],[[2]],10,6,1,73,25
