,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,dist_victim_vilain_pre,dist_victim_vilain_post,out_deg_victim,in_deg_villain,victim,villain,relayer
0,16,117,610,912,302,20,20,585,585,0,0.00017018959120460194,0.0002042275094455223,536,564,28,5,4,4,4,6,547,107,518
1,2,104,360,905,545,12,12,409,409,0,6.807583648184077e-05,0.0002382654276864427,455,600,145,4,5,5,7,2,722,842,302
2,1,103,332,957,625,3,5,332,426,94,0.0,0.0002723033459273631,1,635,634,4,6,5,3,3,883,676,257
3,6,212,440,972,532,8,16,412,522,110,6.807583648184077e-05,0.0009190237925048504,453,801,348,3,5,4,4,3,460,485,137
4,2,104,373,950,577,4,6,374,448,74,0.0,0.0005105687736138058,1,714,713,4,5,5,3,1,854,503,154
5,16,16,489,489,0,120,120,633,633,0,0.00037441710065012424,0.00037441710065012424,640,640,0,-1,3,3,23,1,43,711,833
6,2,104,375,946,571,4,4,426,426,0,0.00013615167296368154,0.0011232513019503727,522,835,313,4,5,5,2,1,942,527,144
7,0,101,1,906,905,0,8,1,332,331,0.0,0.0,1,1,0,6,-1,7,8,1,442,787,692
8,92,92,850,850,0,162,162,841,841,0,0.0012253650566731338,0.0012253650566731338,821,821,0,-1,3,3,16,9,26,242,587
9,12,12,642,642,0,8,8,520,520,0,0.00010211375472276115,0.00010211375472276115,483,483,0,-1,4,4,2,4,999,346,731
10,84,290,905,984,79,60,60,931,931,0,0.0026549576227917903,0.005071649817897137,912,953,41,3,3,3,5,12,695,104,35
11,33,33,820,820,0,22,22,837,837,0,0.0024507301133462676,0.0024507301133462676,902,902,0,-1,3,3,2,6,979,73,841
12,6,212,489,976,487,10,14,515,591,76,0.0002382654276864427,0.0009190237925048504,614,801,187,3,4,4,3,1,732,394,150
13,16,118,616,925,309,40,40,769,769,0,0.0005446066918547262,0.0007488342013002485,710,768,58,4,3,3,5,2,457,482,121
14,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,11,0,271,774,349
15,9,9,578,578,0,10,10,493,493,0,0.00037441710065012424,0.00037441710065012424,672,672,0,-1,4,4,3,6,844,406,975
16,6,6,475,475,0,8,8,485,485,0,0.0,0.0,1,1,0,-1,4,4,2,1,804,623,793
17,6,622,391,992,601,28,66,403,573,170,0.0,0.0006807583648184077,1,739,738,2,4,3,14,2,268,597,415
18,166,166,961,961,0,38,38,864,864,0,0.003608019333537561,0.003608019333537561,937,937,0,-1,3,3,3,31,636,35,529
19,1,207,333,971,638,5,22,333,572,239,0.0,0.002382654276864427,1,904,903,3,6,4,5,2,688,374,17
20,2,2,350,350,0,15,15,398,398,0,3.4037918240920386e-05,3.4037918240920386e-05,398,398,0,-1,5,5,8,1,317,862,923
21,15,15,690,690,0,14,14,638,638,0,0.0005105687736138058,0.0005105687736138058,711,711,0,-1,4,4,3,8,796,302,843
22,0,206,1,965,964,0,36,1,651,650,0.0,0.004833384390210695,1,953,952,3,-1,4,6,0,345,992,70
23,2,208,376,981,605,5,10,412,535,123,0.0,0.0008509479560230097,1,790,789,3,5,4,3,1,718,878,335
24,1,103,333,874,541,15,21,333,368,35,0.0,0.00010211375472276115,1,467,466,4,7,5,15,1,49,972,408
25,0,206,1,975,974,0,14,1,619,618,0.0,0.0027911092957554717,1,921,920,3,-1,4,3,0,523,372,77
26,6,212,401,955,554,38,38,438,438,0,3.4037918240920386e-05,0.00013615167296368154,396,510,114,3,4,4,15,1,32,416,689
27,42,42,810,810,0,34,34,752,752,0,0.0005786446100956465,0.0005786446100956465,729,729,0,-1,3,3,4,13,762,217,732
28,2,103,367,932,565,5,5,367,367,0,3.4037918240920386e-05,3.4037918240920386e-05,405,405,0,9,5,5,4,3,462,484,647
29,0,102,1,877,876,0,21,1,365,364,0.0,0.0002042275094455223,1,550,549,4,-1,5,17,0,80,629,584
30,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,2,0,705,846,520
31,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,4,0,711,812,728
32,0,206,1,947,946,0,40,1,457,456,0.0,0.00017018959120460194,1,521,520,3,-1,4,14,0,268,992,541
33,386,386,986,986,0,120,120,978,978,0,0.010109261717553355,0.010109261717553355,982,982,0,-1,2,2,6,62,281,70,819
34,284,490,977,991,14,80,80,943,943,0,0.00704584907587052,0.010483678818203479,971,985,14,3,3,3,5,34,501,20,16
35,0,206,1,952,951,0,32,1,479,478,0.0,0.0009190237925048504,1,793,792,3,-1,4,10,0,189,702,390
36,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,8,0,270,955,867
37,0,101,1,943,942,0,3,1,332,331,0.0,0.0,1,1,0,6,-1,7,3,0,485,832,563
38,56,262,875,986,111,24,24,757,757,0,0.0013274788113958951,0.002552843868069029,841,910,69,3,4,4,4,17,754,79,297
39,24,126,717,939,222,24,24,678,678,0,0.0005446066918547262,0.0006126825283365669,725,737,12,4,4,4,4,6,280,461,891
40,6,212,411,958,547,25,40,422,496,74,3.4037918240920386e-05,0.0013274788113958951,401,835,434,3,4,4,12,1,106,577,72
41,150,150,966,966,0,46,46,971,971,0,0.00881582082439838,0.00881582082439838,980,980,0,-1,2,2,2,32,849,26,709
42,4,4,436,436,0,6,6,410,410,0,0.00010211375472276115,0.00010211375472276115,491,491,0,-1,5,5,3,5,592,231,359
43,28,28,782,782,0,12,12,588,588,0,0.0006126825283365669,0.0006126825283365669,740,740,0,-1,4,4,2,8,598,132,897
44,33,135,814,956,142,28,28,811,811,0,0.001055175465468532,0.0010892133837094523,821,827,6,4,3,3,3,7,732,150,385
45,35,136,862,974,112,22,22,897,897,0,0.001497668402600497,0.001940161339732462,872,897,25,5,3,3,2,10,805,227,236
46,0,206,1,965,964,0,18,1,513,512,0.0,0.0002723033459273631,1,613,612,3,-1,4,5,0,311,768,306
47,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,16,0,78,888,740
48,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,23,0,30,917,426
49,20,122,617,899,282,90,90,666,666,0,0.0002723033459273631,0.00030634126416828345,615,630,15,4,3,3,14,4,21,501,807
50,30,132,718,925,207,36,36,575,575,0,0.0004084550188910446,0.0007488342013002485,680,760,80,4,4,4,8,10,383,262,376
51,140,140,950,950,0,48,48,904,904,0,0.003437829742332959,0.003437829742332959,941,941,0,-1,3,3,3,25,490,105,854
52,112,112,907,907,0,98,98,869,869,0,0.002280540522141666,0.002280540522141666,902,902,0,-1,3,3,8,18,231,171,898
53,54,54,838,838,0,24,24,674,674,0,0.0005786446100956465,0.0005786446100956465,725,725,0,-1,4,4,4,19,659,184,801
54,12,114,548,905,357,30,30,543,543,0,0.00013615167296368154,0.0002042275094455223,516,566,50,4,4,4,7,2,340,524,350
55,15,116,742,973,231,12,12,825,825,0,0.0010892133837094523,0.0011232513019503727,828,829,1,5,4,4,2,8,933,264,661
56,2,208,355,961,606,7,13,355,417,62,0.0,0.00017018959120460194,1,552,551,3,5,4,6,1,255,893,319
57,0,206,1,968,967,0,14,1,482,481,0.0,0.00088498587426393,1,797,796,3,-1,4,5,0,669,875,166
58,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,5,0,406,782,513
59,3,3,452,452,0,4,4,423,423,0,0.0002042275094455223,0.0002042275094455223,579,579,0,-1,5,5,2,5,723,476,916
60,6,212,372,942,570,68,100,422,496,74,0.0,0.0002042275094455223,1,556,555,3,4,4,30,1,7,862,510
61,371,473,986,992,6,104,104,979,979,0,0.010347527145239796,0.010381565063480718,985,985,0,4,2,2,5,54,392,19,598
62,0,102,1,888,887,0,15,1,367,366,0.0,0.0,1,1,0,4,-1,5,12,1,222,787,552
63,12,12,553,553,0,18,18,497,497,0,0.00010211375472276115,0.00010211375472276115,483,483,0,-1,4,4,5,2,377,425,732
64,82,183,823,926,103,150,150,743,743,0,0.001055175465468532,0.001055175465468532,803,803,0,5,3,3,19,12,19,172,861
65,25,25,707,707,0,63,63,800,800,0,0.00088498587426393,0.00088498587426393,786,786,0,-1,3,3,8,4,323,125,934
66,15,117,663,946,283,14,14,601,601,0,0.0004765308553728854,0.001055175465468532,706,823,117,4,4,4,3,5,640,591,145
67,2,208,354,964,610,10,15,386,432,46,0.00013615167296368154,0.00037441710065012424,514,648,134,3,5,4,6,1,369,931,249
68,40,246,767,966,199,108,108,915,915,0,0.0015657442390823377,0.00176997174852786,856,870,14,3,2,2,8,2,197,482,351
69,2,2,359,359,0,4,4,359,359,0,6.807583648184077e-05,6.807583648184077e-05,453,453,0,-1,5,5,3,3,687,484,723
70,0,101,1,974,973,0,2,1,330,329,0.0,0.0,1,1,0,8,-1,9,2,0,978,793,703
71,160,160,952,952,0,68,68,953,953,0,0.003812246842983083,0.003812246842983083,940,940,0,-1,2,2,4,23,700,66,877
72,264,880,973,999,26,40,40,759,759,0,0.004833384390210695,0.007284114503556962,957,972,15,2,3,3,5,50,338,33,119
73,12,113,665,960,295,10,10,548,548,0,0.00017018959120460194,0.00017018959120460194,551,551,0,7,4,4,3,2,584,770,181
74,6,108,424,915,491,20,20,474,474,0,3.4037918240920386e-05,3.4037918240920386e-05,399,399,0,4,4,4,7,1,196,799,690
75,2,208,369,972,603,6,30,369,686,317,0.0,0.008203138296061813,1,977,976,3,5,4,5,1,720,530,37
76,0,101,1,942,941,0,2,1,331,330,0.0,6.807583648184077e-05,1,460,459,6,-1,7,2,0,975,620,543
77,0,101,1,958,957,0,3,1,330,329,0.0,3.4037918240920386e-05,1,401,400,5,-1,6,3,0,668,511,395
78,30,30,741,741,0,52,52,775,775,0,0.0009530617107457708,0.0009530617107457708,789,789,0,-1,3,3,7,4,722,470,768
79,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,5,0,677,858,902
80,2,2,363,363,0,8,8,390,390,0,3.4037918240920386e-05,3.4037918240920386e-05,396,396,0,-1,5,5,5,1,644,618,614
81,0,101,1,964,963,0,2,1,329,328,0.0,3.4037918240920386e-05,1,402,401,6,-1,7,2,0,865,498,743
82,0,206,1,952,951,0,25,1,411,410,0.0,0.00013615167296368154,1,507,506,3,-1,4,12,0,212,942,323
83,116,218,921,971,50,86,86,934,934,0,0.003199564314646516,0.003267640151128357,927,929,2,4,3,3,6,15,341,153,654
84,0,206,1,972,971,0,10,1,493,492,0.0,0.0008509479560230097,1,794,793,3,-1,4,3,0,842,905,335
85,0,101,1,908,907,0,5,1,330,329,0.0,3.4037918240920386e-05,1,390,389,6,-1,7,5,0,604,929,484
86,23,125,689,928,239,40,40,717,717,0,0.0005105687736138058,0.0005446066918547262,707,718,11,4,3,3,5,3,347,653,639
87,36,242,772,975,203,50,50,832,832,0,0.0012253650566731338,0.002110350930937064,832,888,56,3,3,3,5,8,599,174,345
88,72,72,842,842,0,114,114,902,902,0,0.001599782157323258,0.001599782157323258,858,858,0,-1,2,2,10,4,355,407,758
89,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,8,0,297,863,934
90,12,12,567,567,0,16,16,511,511,0,0.00017018959120460194,0.00017018959120460194,538,538,0,-1,4,4,4,3,887,505,939
91,98,98,892,892,0,64,64,939,939,0,0.0013955546478777359,0.0013955546478777359,851,851,0,-1,2,2,4,17,547,327,678
92,125,331,901,975,74,108,108,879,879,0,0.0031314884781646754,0.003267640151128357,931,934,3,3,2,2,9,14,100,84,124
93,26,26,779,779,0,18,18,699,699,0,0.0009190237925048504,0.0009190237925048504,809,809,0,-1,4,4,3,8,800,345,881
