,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,dist_victim_vilain_pre,dist_victim_vilain_post,out_deg_victim,in_deg_villain,victim,villain,relayer
0,0,616,1,990,989,0,91,1,517,516,0.0,0.00088498587426393,1,777,776,2,-1,3,23,0,4,865,288
1,100,100,837,837,0,100,100,574,574,0,0.013887470642295518,0.013887470642295518,991,991,0,-1,1,1,21,54,13,28,957
2,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,2,0,905,644,546
3,28,129,798,958,160,12,12,611,611,0,0.0007147962830593281,0.0007147962830593281,763,763,0,7,4,4,2,8,977,204,469
4,27,233,779,978,199,22,22,792,792,0,0.0006126825283365669,0.0016338200755641784,738,872,134,3,3,3,2,5,849,283,289
5,12,218,626,977,351,14,14,577,577,0,6.807583648184077e-05,0.0009870996289866913,455,810,355,3,4,4,3,2,712,468,53
6,12,218,540,960,420,30,34,536,559,23,0.00017018959120460194,0.0006807583648184077,551,753,202,3,4,4,7,3,179,496,377
7,46,46,771,771,0,90,90,824,824,0,0.0010211375472276116,0.0010211375472276116,797,797,0,-1,2,2,9,2,327,453,905
8,173,379,959,986,27,54,54,891,891,0,0.004663194799006093,0.005514142755029102,952,964,12,3,3,3,4,29,736,17,172
9,0,101,1,944,943,0,2,1,330,329,0.0,3.4037918240920386e-05,1,408,407,5,-1,6,2,0,986,871,319
10,8,110,531,930,399,30,30,706,706,0,0.00037441710065012424,0.0007488342013002485,657,769,112,4,4,4,5,2,430,700,328
11,0,101,1,902,901,0,9,1,332,331,0.0,0.0,1,1,0,6,-1,7,9,0,119,902,582
12,12,218,610,974,364,12,20,497,628,131,0.00017018959120460194,0.004561081044283332,547,954,407,3,4,4,4,6,673,258,28
13,0,101,1,948,947,0,3,1,330,329,0.0,0.0,1,1,0,6,-1,7,3,0,911,533,402
14,0,101,1,920,919,0,3,1,332,331,0.0,0.00010211375472276115,1,497,496,5,-1,6,3,0,585,965,487
15,216,422,967,987,20,64,64,910,910,0,0.004969536063174376,0.006603356138738555,961,972,11,3,3,3,4,29,493,17,119
16,16,222,646,973,327,44,44,882,882,0,0.0012934408931549745,0.0025188059498281084,844,908,64,3,3,3,4,1,633,759,277
17,8,214,536,971,435,10,18,460,636,176,0.0002723033459273631,0.0006126825283365669,601,740,139,3,4,4,3,3,577,197,659
18,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,7,0,482,960,956
19,0,206,1,977,976,0,12,1,626,625,0.0,0.008509479560230097,1,984,983,3,-1,4,2,1,820,568,37
20,28,129,702,918,216,80,80,834,834,0,0.0013955546478777359,0.0013955546478777359,836,836,0,5,3,3,9,3,339,642,671
21,0,102,1,899,898,0,13,1,398,397,0.0,6.807583648184077e-05,1,452,451,4,-1,5,7,0,265,801,252
22,6,6,394,394,0,27,27,413,413,0,0.00013615167296368154,0.00013615167296368154,511,511,0,-1,4,4,12,2,348,550,573
23,0,102,1,937,936,0,4,1,404,403,0.0,0.00030634126416828345,1,641,640,4,-1,5,2,0,907,969,465
24,64,64,868,868,0,34,34,832,832,0,0.0015317063208414173,0.0015317063208414173,865,865,0,-1,3,3,4,15,824,138,948
25,0,206,1,979,978,0,8,1,510,509,0.0,0.0005786446100956465,1,720,719,3,-1,4,2,0,838,726,116
26,0,102,1,913,912,0,7,1,404,403,0.0,0.00013615167296368154,1,513,512,4,-1,5,4,0,520,880,251
27,624,830,997,997,0,136,136,992,992,0,0.012764219340345145,0.01317267435923619,986,986,0,3,2,2,7,96,362,1,461
28,597,597,995,995,0,216,216,996,996,0,0.012866333095067906,0.012866333095067906,987,987,0,-1,2,2,9,92,119,30,573
29,34,136,800,950,150,50,50,860,860,0,0.0007488342013002485,0.0013274788113958951,773,850,77,4,3,3,5,7,647,169,630
30,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,5,0,552,914,472
31,2,103,404,965,561,4,4,479,479,0,0.00010211375472276115,0.00017018959120460194,495,567,72,5,5,5,2,1,987,681,442
32,105,207,914,969,55,60,60,886,886,0,0.002314578440382586,0.0023486163586235067,898,898,0,4,3,3,5,23,528,122,493
33,2,104,364,914,550,6,9,365,411,46,0.0,0.00030634126416828345,1,628,627,4,5,5,5,3,487,484,194
