,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,dist_victim_vilain_pre,dist_victim_vilain_post,out_deg_victim,in_deg_villain,victim,villain,relayer
0,18,18,672,672,0,38,38,831,831,0,0.0005105687736138058,0.0005105687736138058,713,713,0,-1,3,3,3,3,680,263,901
1,0,206,1,983,982,0,8,1,571,570,0.0,0.0010211375472276116,1,818,817,3,-1,4,2,1,799,806,261
2,71,277,907,983,76,52,52,973,973,0,0.005616256509751864,0.006331052792811192,967,970,3,3,2,2,3,9,862,242,190
3,6,6,410,410,0,42,42,644,644,0,6.807583648184077e-05,6.807583648184077e-05,450,450,0,-1,4,4,7,1,221,891,811
4,0,101,1,893,892,0,9,1,331,330,0.0,0.0,1,1,0,5,-1,6,9,0,289,821,763
5,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,4,0,410,934,568
6,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,8,1,449,814,801
7,0,206,1,964,963,0,14,1,469,468,0.0,0.0008509479560230097,1,789,788,3,-1,4,5,0,773,969,64
8,4,4,454,454,0,5,5,415,415,0,3.4037918240920386e-05,3.4037918240920386e-05,409,409,0,-1,5,5,3,3,785,290,859
9,6,108,430,910,480,16,16,454,454,0,6.807583648184077e-05,0.0002382654276864427,443,592,149,4,4,4,6,1,387,334,406
10,0,206,1,935,934,0,37,1,403,402,0.0,6.807583648184077e-05,1,431,430,3,-1,4,18,0,69,960,182
11,0,101,1,940,939,0,4,1,331,330,0.0,0.00010211375472276115,1,478,477,5,-1,6,4,0,794,929,398
12,0,101,1,870,869,0,14,1,332,331,0.0,0.0,1,1,0,6,-1,7,14,0,122,649,181
