,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,dist_victim_vilain_pre,dist_victim_vilain_post,out_deg_victim,in_deg_villain,victim,villain,relayer
0,6,622,411,992,581,36,50,558,683,125,6.807583648184077e-05,0.0007828721195411688,447,766,319,2,4,3,8,2,199,670,283
1,12,114,459,878,419,100,100,520,520,0,3.4037918240920386e-05,3.4037918240920386e-05,405,405,0,4,4,4,25,3,17,361,560
2,0,102,1,867,866,0,21,1,351,350,0.0,0.0,1,1,0,4,-1,5,19,0,35,923,530
3,2,104,361,917,556,12,13,402,418,16,3.4037918240920386e-05,6.807583648184077e-05,407,450,43,4,5,5,7,1,439,265,958
4,6,108,456,924,468,14,14,489,489,0,0.0002042275094455223,0.00034037918240920387,573,642,69,4,4,4,5,1,720,869,536
5,50,650,728,990,262,208,208,835,835,0,0.0013274788113958951,0.007862759113652609,831,972,141,2,3,3,23,4,57,185,10
6,83,185,868,950,82,62,62,777,777,0,0.0015657442390823377,0.0015657442390823377,856,856,0,4,3,3,7,17,466,79,829
7,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,3,0,852,826,635
8,37,37,797,797,0,30,30,736,736,0,0.0011913271384322134,0.0011913271384322134,831,831,0,-1,3,3,4,7,740,399,685
9,100,100,864,864,0,100,100,759,759,0,0.01232172640321318,0.01232172640321318,980,980,0,-1,1,1,12,2,87,652,894
10,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,4,0,696,905,821
11,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,3,0,888,826,978
12,16,222,596,965,369,44,44,685,685,0,0.00013615167296368154,0.0010211375472276116,517,810,293,3,3,3,7,1,343,689,261
13,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,5,0,677,729,696
14,41,41,830,830,0,12,12,582,582,0,0.001055175465468532,0.001055175465468532,823,823,0,-1,4,4,2,14,643,175,330
15,0,102,1,897,896,0,8,1,366,365,0.0,0.0002382654276864427,1,596,595,4,-1,5,6,0,473,826,121
16,0,206,1,959,958,0,26,1,490,489,0.0,0.0002382654276864427,1,585,584,3,-1,4,7,0,246,945,221
17,0,616,1,990,989,0,192,1,702,701,0.0,0.0034037918240920387,1,929,928,2,-1,3,30,0,7,611,105
18,90,296,888,977,89,54,54,869,869,0,0.0026889955410327104,0.0030974505599237552,916,930,14,3,3,3,4,13,567,183,333
19,0,1640,1,1000,999,0,46,1,807,806,0.0,0.020592940535756832,1,994,993,1,-1,2,5,0,173,732,262
20,2,103,372,941,569,3,3,373,373,0,0.0,0.0,1,1,0,10,5,5,2,1,943,743,647
21,16,16,566,566,0,56,56,747,747,0,0.0006126825283365669,0.0006126825283365669,736,736,0,-1,3,3,6,2,312,160,979
22,0,206,1,979,978,0,8,1,508,507,0.0,0.0007488342013002485,1,786,785,3,-1,4,2,2,232,775,161
23,28,130,763,945,182,20,20,626,626,0,0.0009190237925048504,0.0010211375472276116,793,810,17,4,4,4,4,8,597,250,756
24,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,3,0,756,649,991
25,2,104,361,917,556,14,14,438,438,0,0.0,0.00010211375472276115,1,483,482,4,5,5,7,2,439,492,260
26,129,231,943,971,28,28,28,732,732,0,0.0024507301133462676,0.002723033459273631,907,922,15,4,3,3,3,28,490,98,134
27,268,474,978,991,13,94,94,971,971,0,0.009734844616903231,0.01592974573675074,983,992,9,3,2,2,5,30,502,75,30
28,1,617,333,995,662,8,54,333,712,379,0.0,0.005854521937438306,1,967,966,2,7,3,8,2,257,582,24
29,11,112,714,972,258,8,8,641,641,0,0.00037441710065012424,0.000442492937131965,679,702,23,5,4,4,2,5,936,178,251
30,0,102,1,863,862,0,30,1,377,376,0.0,0.00030634126416828345,1,628,627,4,-1,5,20,0,88,987,869
31,8,109,575,958,383,10,10,538,538,0,0.00034037918240920387,0.00037441710065012424,644,660,16,5,4,4,3,2,576,524,416
32,183,285,961,977,16,38,38,820,820,0,0.004595118962524252,0.004731270635487933,953,954,1,4,3,3,3,29,778,17,464
33,307,923,968,997,29,242,242,950,950,0,0.00442492937131965,0.005854521937438306,946,961,15,2,3,3,17,35,39,57,180
34,109,315,885,975,90,70,70,728,728,0,0.001497668402600497,0.002586881786309949,842,904,62,3,3,3,10,21,109,157,163
35,44,250,751,961,210,112,112,828,828,0,0.0004765308553728854,0.00088498587426393,689,782,93,3,3,3,12,6,212,377,232
36,3,209,436,974,538,4,8,397,488,91,0.00010211375472276115,0.001055175465468532,494,834,340,3,5,4,2,2,886,599,151
37,2,208,366,973,607,6,26,367,643,276,0.0,0.0020763130126961434,1,890,889,3,5,4,5,2,848,692,65
