,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,out_deg_victim,in_deg_villain,victim,villain,relayer
0,1,103,345.0,902.0,557.0,8,11,345.0,383.5,38.5,0.0,0.00010211375472276115,200.5,493.0,292.5,4,8,1,454,857,891
1,94,94,913.5,913.5,0.0,34,34,824.0,824.0,0.0,0.0022465026039007454,0.0022465026039007454,894.0,894.0,0.0,-1,4,20,635,94,514
2,40,656,771.0,995.0,224.0,70,80,872.5,909.0,36.5,0.0014636304843595766,0.002586881786309949,848.5,909.0,60.5,2,6,1,432,727,178
3,0,102,166.0,920.0,754.0,0,6,166.0,381.0,215.0,0.0,3.4037918240920386e-05,199.5,421.5,222.0,4,4,0,758,988,215
4,0,102,166.5,925.0,758.5,0,4,166.5,376.0,209.5,0.0,0.00010211375472276115,200.0,498.0,298.0,4,3,0,337,955,383
5,112,213,909.5,961.0,51.5,62,62,784.0,784.0,0.0,0.0014636304843595766,0.001497668402600497,845.5,848.5,3.0,5,7,19,366,59,364
6,36,242,701.0,961.0,260.0,92,92,662.0,662.0,0.0,0.00030634126416828345,0.0014636304843595766,633.0,845.5,212.5,3,15,5,104,182,297
7,76,178,933.0,979.0,46.0,22,22,926.5,926.5,0.0,0.002484768031587188,0.0026889955410327104,913.0,923.0,10.0,4,2,24,950,119,683
8,13,114,614.5,935.0,320.5,20,20,659.0,659.0,0.0,0.00030634126416828345,0.00030634126416828345,649.0,648.5,-0.5,5,4,3,461,653,337
9,35,137,829.5,960.5,131.0,28,28,887.0,887.0,0.0,0.0010211375472276116,0.001055175465468532,819.0,821.5,2.5,4,3,15,535,137,468
10,6,107,526.5,949.5,423.0,8,8,597.5,597.5,0.0,3.4037918240920386e-05,6.807583648184077e-05,420.0,461.5,41.5,5,2,1,618,555,492
11,60,60,772.0,772.0,0.0,220,220,879.0,879.0,0.0,0.0013615167296368155,0.0013615167296368155,834.0,834.0,0.0,-1,21,7,1,224,758
12,10,112,575.0,922.0,347.0,20,20,615.5,615.5,0.0,0.0002723033459273631,0.0008509479560230097,638.0,795.5,157.5,4,4,7,512,451,413
13,2,2,364.0,364.0,0.0,25,25,370.5,370.5,0.0,6.807583648184077e-05,6.807583648184077e-05,463.0,463.0,0.0,-1,19,3,83,578,832
14,0,616,166.0,991.0,825.0,0,64,166.0,600.0,434.0,0.0,0.0020082371762143027,203.0,880.5,677.5,2,13,0,228,856,135
15,73,175,873.0,957.5,84.5,34,34,794.0,794.0,0.0,0.0020082371762143027,0.0021784267674189047,886.0,891.5,5.5,4,4,20,694,87,395
16,113,113,900.0,900.0,0.0,142,142,893.0,893.0,0.0,0.0020422750944552232,0.0020422750944552232,890.0,890.0,0.0,-1,12,19,226,297,462
17,0,102,166.5,910.0,743.5,0,6,166.5,361.5,195.0,0.0,0.0,203.0,203.0,0.0,4,5,1,677,779,763
18,0,616,166.5,992.0,825.5,0,51,166.5,469.5,303.0,0.0,0.0007828721195411688,197.5,762.5,565.0,2,17,0,103,887,387
19,8,8,528.0,528.0,0.0,12,12,483.0,483.0,0.0,6.807583648184077e-05,6.807583648184077e-05,460.5,460.5,0.0,-1,4,2,354,576,604
20,18,18,706.5,706.5,0.0,10,10,544.5,544.5,0.0,0.0006126825283365669,0.0006126825283365669,754.5,754.5,0.0,-1,3,7,857,170,814
21,6,107,473.5,916.0,442.5,12,12,483.0,483.0,0.0,3.4037918240920386e-05,3.4037918240920386e-05,424.0,424.0,0.0,5,4,1,717,449,853
22,23,229,663.0,960.0,297.0,84,84,812.0,812.0,0.0,0.0012253650566731338,0.0024166921951053475,832.0,904.5,72.5,3,9,3,136,390,269
23,1,103,349.5,935.0,585.5,3,6,350.0,466.5,116.5,0.0,0.0005786446100956465,205.5,741.0,535.5,4,3,1,433,593,193
24,0,102,166.0,958.0,792.0,0,4,166.0,507.0,341.0,0.0,0.0002723033459273631,203.5,644.5,441.0,4,2,0,751,546,688
25,0,102,166.0,917.0,751.0,0,7,166.0,395.5,229.5,0.0,6.807583648184077e-05,207.0,465.5,258.5,4,4,0,822,963,700
26,6,108,461.5,900.5,439.0,13,18,413.5,468.5,55.0,3.4037918240920386e-05,0.00037441710065012424,428.5,675.5,247.0,4,7,2,335,721,417
27,0,102,166.0,935.0,769.0,0,5,166.0,417.0,251.0,0.0,0.00010211375472276115,205.5,507.5,302.0,4,3,0,433,901,395
28,0,0,166.5,166.5,0.0,0,0,166.5,166.5,0.0,0.0,0.0,200.0,200.0,0.0,-1,5,0,291,773,539
29,5,5,561.0,561.0,0.0,4,4,556.5,556.5,0.0,0.0002382654276864427,0.0002382654276864427,621.0,621.0,0.0,-1,2,3,936,301,574
30,0,102,166.5,913.0,746.5,0,8,166.5,400.0,233.5,0.0,0.0002382654276864427,200.0,600.0,400.0,4,5,0,524,324,688
31,236,338,952.0,973.0,21.0,258,258,971.0,971.0,0.0,0.003437829742332959,0.0035739814152966403,930.0,931.0,1.0,4,16,16,117,78,427
32,34,34,723.5,723.5,0.0,46,46,627.0,627.0,0.0,0.001055175465468532,0.001055175465468532,803.0,803.0,0.0,-1,9,11,414,118,952
33,0,0,166.0,166.0,0.0,0,0,166.0,166.0,0.0,0.0,0.0,198.0,198.0,0.0,-1,2,0,929,940,890
34,66,682,866.0,998.0,132.0,50,50,881.0,881.0,0.0,0.0007828721195411688,0.0030974505599237552,773.0,929.0,156.0,2,5,17,421,327,413
35,6,107,427.5,873.5,446.0,39,39,409.5,409.5,0.0,6.807583648184077e-05,0.00010211375472276115,457.0,487.0,30.0,5,19,1,148,717,781
36,45,661,828.0,998.0,170.0,26,40,654.5,811.5,157.0,0.0007147962830593281,0.0030634126416828346,772.0,926.0,154.0,2,5,12,551,159,219
37,41,142,879.5,976.5,97.0,12,12,797.5,797.5,0.0,0.002144388849177984,0.0024507301133462676,905.0,918.5,13.5,5,2,17,810,85,167
38,13,114,708.5,961.0,252.5,12,12,797.0,797.0,0.0,0.00030634126416828345,0.0005105687736138058,659.5,725.5,66.0,5,2,3,974,653,487
39,29,130,787.5,958.0,170.5,22,22,854.0,854.0,0.0,0.002212464685659825,0.002314578440382586,899.5,903.0,3.5,5,2,4,733,557,613
40,118,118,912.5,912.5,0.0,86,86,840.0,840.0,0.0,0.0018380475850097008,0.0018380475850097008,871.5,871.5,0.0,-1,10,19,527,72,985
41,135,236,924.0,969.0,45.0,60,60,853.5,853.5,0.0,0.002144388849177984,0.002144388849177984,893.0,893.0,0.0,5,5,22,238,203,853
42,0,101,166.0,927.0,761.0,0,3,166.0,346.0,180.0,0.0,0.0,198.5,198.5,0.0,5,3,0,839,614,837
43,160,262,936.5,967.5,31.0,104,104,884.0,884.0,0.0,0.0025188059498281084,0.0025188059498281084,908.5,908.5,0.0,4,9,26,262,127,599
44,2,2,398.5,398.5,0.0,5,5,403.5,403.5,0.0,6.807583648184077e-05,6.807583648184077e-05,467.5,467.5,0.0,-1,3,1,864,607,921
45,0,102,166.5,896.0,729.5,0,9,166.5,359.5,193.0,0.0,3.4037918240920386e-05,197.5,417.0,219.5,4,8,0,646,998,298
