,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,dist_victim_vilain_pre,dist_victim_vilain_post,out_deg_victim,in_deg_villain,victim,villain,relayer
0,66,66,863,863,0,38,38,857,857,0,0.0018720855032506212,0.0018720855032506212,884,884,0,-1,3,3,3,12,471,99,897
1,46,148,817,946,129,66,66,864,864,0,0.0013615167296368155,0.0019741992579733825,847,881,34,4,3,3,6,7,451,224,154
2,93,195,879,957,78,52,52,770,770,0,0.0014636304843595766,0.0020082371762143027,856,887,31,4,3,3,6,19,630,59,559
3,1,207,333,948,615,11,20,333,390,57,0.0,0.0002382654276864427,1,581,580,3,6,4,11,2,163,448,688
4,130,231,917,963,46,134,134,942,942,0,0.0018720855032506212,0.0018720855032506212,878,878,0,6,2,2,10,13,409,261,656
5,2,104,355,903,548,14,14,410,410,0,3.4037918240920386e-05,0.00013615167296368154,399,514,115,4,5,5,7,2,450,597,323
6,0,101,1,865,864,0,23,1,330,329,0.0,0.0,1,1,0,5,-1,6,23,1,8,949,540
7,102,308,941,990,49,24,24,807,807,0,0.0019061234214915416,0.004493005207801491,886,953,67,3,3,3,3,34,879,89,88
8,21,123,783,962,179,12,12,658,658,0,0.000442492937131965,0.0005105687736138058,708,729,21,4,4,4,2,11,897,162,363
9,0,102,1,883,882,0,22,1,383,382,0.0,0.00017018959120460194,1,539,538,4,-1,5,14,1,144,792,891
10,142,142,969,969,0,22,22,875,875,0,0.004561081044283332,0.004561081044283332,952,952,0,-1,3,3,2,35,868,57,651
11,30,132,717,926,209,52,52,709,709,0,0.00037441710065012424,0.000442492937131965,663,697,34,4,3,3,7,6,678,381,512
12,0,616,1,995,994,0,46,1,724,723,0.0,0.0034037918240920387,1,934,933,2,-1,3,7,0,141,574,13
13,6,107,459,933,474,26,26,696,696,0,0.00013615167296368154,0.00013615167296368154,500,500,0,5,4,4,5,1,557,553,756
14,28,28,681,681,0,80,80,746,746,0,0.000442492937131965,0.000442492937131965,695,695,0,-1,3,3,10,3,75,280,844
15,73,73,957,957,0,22,22,946,946,0,0.00445896728956057,0.00445896728956057,958,958,0,-1,3,3,2,27,956,88,664
16,20,620,648,995,347,52,52,663,663,0,3.4037918240920386e-05,0.002757071377514551,413,919,506,2,3,3,9,4,119,501,17
17,0,206,1,967,966,0,18,1,513,512,0.0,0.0007488342013002485,1,764,763,3,-1,4,6,0,575,608,487
18,0,102,1,954,953,0,5,1,386,385,0.0,0.0002723033459273631,1,630,629,4,-1,5,4,0,860,915,479
19,46,252,787,968,181,94,94,871,871,0,0.0011232513019503727,0.0013274788113958951,810,840,30,3,3,3,9,7,330,224,454
20,0,616,1,992,991,0,36,1,550,549,0.0,0.0010892133837094523,1,815,814,2,-1,3,9,0,250,984,83
21,54,260,750,963,213,156,156,772,772,0,0.0004765308553728854,0.0006126825283365669,686,717,31,3,3,3,19,5,46,178,149
22,1,102,332,917,585,3,3,332,332,0,0.0,0.0,1,1,0,6,7,7,3,1,808,861,694
23,0,206,1,971,970,0,13,1,478,477,0.0,0.00013615167296368154,1,522,521,3,-1,4,5,0,612,864,681
24,0,102,1,932,931,0,5,1,409,408,0.0,0.00030634126416828345,1,637,636,4,-1,5,3,0,856,488,252
25,314,520,975,990,15,104,104,978,978,0,0.007488342013002485,0.00803294870485721,971,974,3,3,2,2,5,49,793,31,333
26,125,331,937,984,47,40,40,767,767,0,0.002212464685659825,0.002314578440382586,894,900,6,3,3,3,5,23,314,106,346
27,14,116,624,936,312,14,14,543,543,0,0.0005105687736138058,0.0005786446100956465,724,738,14,4,4,4,3,3,746,236,425
28,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,3,0,797,446,668
29,57,157,854,953,99,28,28,731,731,0,0.0013955546478777359,0.0013955546478777359,851,851,0,4,3,3,3,16,834,113,247
30,8,624,476,991,515,48,88,520,715,195,6.807583648184077e-05,0.005514142755029102,444,959,515,2,4,3,12,2,143,408,16
31,0,206,1,950,949,0,36,1,496,495,0.0,0.0002042275094455223,1,580,579,3,-1,4,10,1,114,852,107
32,2,103,379,936,557,6,6,438,438,0,0.00010211375472276115,0.00017018959120460194,504,565,61,5,5,5,3,1,530,797,311
33,100,100,882,882,0,100,100,922,922,0,0.0374076721467715,0.0374076721467715,998,998,0,-1,1,1,6,78,157,9,446
34,0,616,1,991,990,0,98,1,632,631,0.0,0.0030634126416828346,1,920,919,2,-1,3,16,0,27,201,25
35,569,775,996,999,3,104,104,981,981,0,0.014636304843595765,0.01497668402600497,991,992,1,3,2,2,5,96,616,1,589
36,22,22,637,637,0,72,72,639,639,0,0.000442492937131965,0.000442492937131965,681,681,0,-1,4,4,14,8,84,521,372
37,0,206,1,964,963,0,11,1,411,410,0.0,0.0005446066918547262,1,717,716,3,-1,4,6,0,251,872,290
38,1,207,333,960,627,8,28,333,513,180,0.0,0.0005105687736138058,1,694,693,3,6,4,8,2,308,448,169
39,0,102,1,960,959,0,3,1,382,381,0.0,0.0002042275094455223,1,569,568,4,-1,5,2,0,950,960,366
40,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,5,1,533,529,400
41,14,220,510,947,437,70,70,518,518,0,0.00017018959120460194,0.0002382654276864427,533,583,50,3,4,4,19,4,148,220,468
42,6,6,482,482,0,8,8,519,519,0,0.0002382654276864427,0.0002382654276864427,601,601,0,-1,4,4,2,1,938,840,858
43,4,210,439,972,533,6,20,384,626,242,0.00013615167296368154,0.00176997174852786,520,876,356,3,5,4,4,5,543,401,100
44,0,206,1,958,957,0,23,1,470,469,0.0,0.00034037918240920387,1,656,655,3,-1,4,8,0,365,983,267
45,6,108,444,920,476,24,24,570,570,0,0.00010211375472276115,0.00017018959120460194,484,549,65,4,4,4,6,1,764,556,247
46,98,200,919,972,53,54,54,954,954,0,0.002382654276864427,0.0024166921951053475,908,909,1,4,3,3,4,19,777,144,332
47,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,3,0,588,843,772
48,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,12,2,58,684,959
49,12,114,569,926,357,26,26,565,565,0,0.0002042275094455223,0.0002723033459273631,568,608,40,4,4,4,7,2,404,425,904
50,12,218,494,948,454,48,68,465,546,81,3.4037918240920386e-05,0.0009530617107457708,405,788,383,3,4,4,16,2,117,523,326
51,132,338,929,979,50,84,84,945,945,0,0.003642057251778481,0.004322815616596889,940,952,12,3,2,2,5,18,571,171,219
52,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,21,0,3,588,324
53,2,2,357,357,0,7,7,389,389,0,3.4037918240920386e-05,3.4037918240920386e-05,403,403,0,-1,5,5,4,1,917,879,789
54,0,206,1,937,936,0,89,1,531,530,0.0,0.001599782157323258,1,856,855,3,-1,4,21,0,54,977,153
55,18,224,639,967,328,30,30,662,662,0,0.0013274788113958951,0.003914360597705844,839,945,106,3,4,4,5,4,501,281,111
56,14,220,571,967,396,22,26,479,516,37,0.0002042275094455223,0.0002382654276864427,567,590,23,3,4,4,7,3,525,353,107
57,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,4,0,235,898,608
58,65,65,806,806,0,158,158,823,823,0,0.0005446066918547262,0.0005446066918547262,707,707,0,-1,2,2,18,5,111,165,926
59,23,125,669,926,257,40,40,698,698,0,0.0004765308553728854,0.0005446066918547262,693,711,18,4,3,3,5,3,349,291,416
60,0,1640,1,1000,999,0,62,1,939,938,0.0,0.023384049831512304,1,995,994,1,-1,2,5,0,647,819,41
61,16,222,547,951,404,66,66,663,663,0,0.0002382654276864427,0.00088498587426393,585,785,200,3,3,3,10,1,240,681,130
62,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,3,0,621,834,974
63,338,338,978,978,0,168,168,968,968,0,0.007692569522448007,0.007692569522448007,974,974,0,-1,2,2,9,49,101,31,754
64,30,132,845,976,131,18,18,889,889,0,0.0012253650566731338,0.0020763130126961434,842,898,56,4,3,3,2,6,898,494,190
65,0,102,1,899,898,0,9,1,356,355,0.0,0.0,1,1,0,4,-1,5,8,0,440,745,602
66,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,7,0,207,823,859
67,88,88,898,898,0,68,68,947,947,0,0.0063650907110521125,0.0063650907110521125,969,969,0,-1,2,2,4,13,762,120,428
68,63,63,858,858,0,44,44,829,829,0,0.0018040096667687805,0.0018040096667687805,872,872,0,-1,3,3,4,13,736,183,271
69,18,18,653,653,0,32,32,699,699,0,0.0002723033459273631,0.0002723033459273631,615,615,0,-1,3,3,5,2,294,791,872
70,0,206,1,964,963,0,22,1,495,494,0.0,0.0005105687736138058,1,705,704,3,-1,4,8,1,442,650,405
71,6,6,402,402,0,58,58,630,630,0,0.00017018959120460194,0.00017018959120460194,541,541,0,-1,4,4,11,2,234,493,823
72,108,209,923,968,45,54,54,879,879,0,0.0014636304843595766,0.0014636304843595766,850,850,0,5,3,3,4,17,762,79,596
73,0,101,1,911,910,0,4,1,330,329,0.0,0.00013615167296368154,1,507,506,5,-1,6,4,1,887,962,958
74,19,121,692,941,249,24,24,739,739,0,0.00037441710065012424,0.0005446066918547262,663,719,56,4,3,3,3,3,621,458,486
75,66,272,771,956,185,168,172,730,745,15,0.0006126825283365669,0.0008509479560230097,713,763,50,3,3,3,24,11,28,249,479
76,13,114,641,947,306,14,14,587,587,0,0.0007147962830593281,0.0007147962830593281,761,761,0,5,4,4,3,6,628,471,623
77,0,206,1,951,950,0,45,1,474,473,0.0,0.0006807583648184077,1,750,749,3,-1,4,15,0,32,790,99
78,14,14,563,563,0,38,38,610,610,0,0.0002042275094455223,0.0002042275094455223,561,561,0,-1,4,4,7,4,346,617,915
79,12,12,632,632,0,14,14,612,612,0,0.00010211375472276115,0.00010211375472276115,484,484,0,-1,4,4,3,6,961,683,633
80,0,616,1,992,991,0,70,1,628,627,0.0,0.003369753905851118,1,929,928,2,-1,3,12,2,44,684,28
81,8,8,478,478,0,27,27,401,401,0,3.4037918240920386e-05,3.4037918240920386e-05,394,394,0,-1,4,4,14,2,332,547,994
