,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,dist_victim_vilain_pre,dist_victim_vilain_post,out_deg_victim,in_deg_villain,victim,villain,relayer
0,0,102,1,913,912,0,6,1,395,394,0.0,0.00010211375472276115,1,487,486,4,-1,5,3,0,892,984,810
1,0,102,1,966,965,0,3,1,401,400,0.0,0.00013615167296368154,1,514,513,4,-1,5,2,0,968,723,222
2,25,25,670,670,0,66,66,620,620,0,0.0002382654276864427,0.0002382654276864427,591,591,0,-1,3,3,12,5,116,487,912
3,2,208,370,974,604,6,18,418,657,239,0.0002382654276864427,0.004799346471969774,604,963,359,3,5,4,3,1,588,452,9
4,28,644,642,988,346,50,78,477,581,104,0.0002723033459273631,0.0007147962830593281,596,741,145,2,3,3,17,5,80,314,267
5,18,18,617,617,0,32,32,554,554,0,0.00013615167296368154,0.00013615167296368154,511,511,0,-1,3,3,7,2,296,680,271
6,15,116,716,964,248,18,18,742,742,0,0.0004765308553728854,0.0004765308553728854,699,699,0,6,4,4,3,5,922,591,749
7,6,108,400,889,489,42,42,489,489,0,0.0002382654276864427,0.0005446066918547262,582,705,123,4,4,4,13,1,160,797,645
8,14,220,563,962,399,42,42,663,663,0,0.0006467204465774873,0.0007828721195411688,733,754,21,3,4,4,7,4,346,288,164
9,95,95,901,901,0,38,38,820,820,0,0.001497668402600497,0.001497668402600497,851,851,0,-1,3,3,3,19,778,144,828
10,248,348,990,995,5,48,48,979,979,0,0.00980292045338507,0.010041185881071514,980,980,0,4,3,3,3,81,852,32,268
11,4,4,409,409,0,16,16,395,395,0,3.4037918240920386e-05,3.4037918240920386e-05,404,404,0,-1,5,5,9,2,147,749,324
12,8,214,520,971,451,18,18,530,530,0,0.00037441710065012424,0.0024166921951053475,666,909,243,3,4,4,5,2,519,524,39
13,0,101,1,911,910,0,6,1,329,328,0.0,0.0,1,1,0,6,-1,7,6,0,446,498,595
14,80,80,824,824,0,130,130,761,761,0,0.0020082371762143027,0.0020082371762143027,887,887,0,-1,2,2,17,8,73,204,698
15,2,2,356,356,0,10,10,376,376,0,3.4037918240920386e-05,3.4037918240920386e-05,401,401,0,-1,5,5,7,2,156,292,744
16,28,130,738,931,193,30,30,595,595,0,0.0005446066918547262,0.0005786446100956465,725,734,9,4,4,4,7,13,697,256,799
17,0,102,1,894,893,0,11,1,361,360,0.0,6.807583648184077e-05,1,452,451,4,-1,5,9,0,803,712,680
18,2,2,376,376,0,5,5,405,405,0,0.0,0.0,1,1,0,-1,5,5,3,3,845,460,502
19,5,5,479,479,0,3,3,371,371,0,3.4037918240920386e-05,3.4037918240920386e-05,412,412,0,-1,5,5,2,3,283,572,832
