,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,dist_victim_vilain_pre,dist_victim_vilain_post,out_deg_victim,in_deg_villain,victim,villain,relayer
0,13,115,586,918,332,32,32,612,612,0,0.0004084550188910446,0.0005446066918547262,682,724,42,4,4,4,6,3,281,280,317
1,387,1003,992,1000,8,64,64,966,966,0,0.010619830491167161,0.012832295176826986,985,985,0,2,3,3,4,83,679,10,164
2,0,102,1,939,938,0,6,1,417,416,0.0,0.0008509479560230097,1,790,789,4,-1,5,3,0,699,488,399
3,0,102,1,874,873,0,18,1,367,366,0.0,0.00013615167296368154,1,513,512,4,-1,5,13,1,165,529,499
4,0,102,1,948,947,0,7,1,415,414,0.0,0.001055175465468532,1,819,818,4,-1,5,4,0,480,946,297
5,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,17,0,80,894,780
6,143,349,956,992,36,48,48,937,937,0,0.003608019333537561,0.0038462847612240037,938,944,6,3,3,3,3,26,579,108,286
7,0,102,1,958,957,0,4,1,441,440,0.0,0.0009190237925048504,1,805,804,4,-1,5,2,0,982,735,68
8,100,100,910,910,0,100,100,978,978,0,0.03492290411518432,0.03669287586371218,998,998,0,2,1,1,5,24,766,119,54
9,6,6,386,386,0,66,66,492,492,0,3.4037918240920386e-05,3.4037918240920386e-05,394,394,0,-1,4,4,19,1,46,870,483
10,42,143,789,940,151,52,52,739,739,0,0.0008509479560230097,0.0008509479560230097,776,776,0,6,3,3,7,6,398,658,676
11,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,7,0,637,713,611
12,13,115,680,960,280,10,10,548,548,0,0.0002042275094455223,0.0009190237925048504,585,802,217,4,4,4,3,6,584,683,399
13,128,230,894,954,60,292,292,936,936,0,0.001940161339732462,0.001940161339732462,886,886,0,4,3,3,22,19,33,297,690
14,0,102,1,930,929,0,5,1,360,359,0.0,0.00017018959120460194,1,535,534,4,-1,5,4,0,945,498,485
15,6,622,492,999,507,8,18,512,785,273,6.807583648184077e-05,0.0030974505599237552,456,924,468,2,4,3,2,2,948,325,759
16,100,100,865,865,0,100,100,727,727,0,0.011368664692467409,0.011368664692467409,983,983,0,-1,1,1,14,2,268,342,638
17,0,101,1,935,934,0,3,1,331,330,0.0,6.807583648184077e-05,1,462,461,5,-1,6,3,0,825,887,518
