,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,dist_victim_vilain_pre,dist_victim_vilain_post,out_deg_victim,in_deg_villain,victim,villain,relayer
0,532,633,989,991,2,228,228,995,995,0,0.010858095918853602,0.010858095918853602,980,980,0,5,2,2,11,69,333,12,893
1,6,108,381,874,493,36,41,393,404,11,0.0,0.00013615167296368154,1,504,503,4,4,4,19,1,35,639,519
2,1,207,332,955,623,7,17,332,423,91,0.0,0.0004084550188910446,1,670,669,3,6,4,7,1,436,671,535
3,5,106,450,931,481,10,10,448,448,0,0.00017018959120460194,0.00017018959120460194,535,535,0,5,5,5,5,4,557,230,575
4,50,256,788,969,181,64,64,721,721,0,0.0004765308553728854,0.0006126825283365669,700,726,26,3,3,3,8,7,357,134,164
5,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,2,0,232,950,808
6,9,215,458,938,480,46,51,411,426,15,0.00010211375472276115,0.00034037918240920387,471,635,164,3,4,4,20,3,5,411,496
7,42,143,810,948,138,50,50,847,847,0,0.001157289220191293,0.0012253650566731338,822,828,6,5,3,3,5,6,656,397,492
8,0,206,1,968,967,0,18,1,526,525,0.0,0.0018720855032506212,1,876,875,3,-1,4,5,0,386,917,141
9,26,232,709,967,258,46,46,711,711,0,0.0004084550188910446,0.0014636304843595766,675,851,176,3,3,3,6,6,425,107,72
10,30,30,757,757,0,18,18,579,579,0,0.0009530617107457708,0.0009530617107457708,804,804,0,-1,4,4,3,8,808,161,573
11,22,22,746,746,0,44,44,891,891,0,0.0010892133837094523,0.0010892133837094523,826,826,0,-1,3,3,4,5,728,412,845
12,6,108,414,904,490,24,24,491,491,0,0.00010211375472276115,0.00017018959120460194,488,546,58,4,4,4,8,1,646,452,410
13,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,10,0,125,865,587
14,45,251,814,972,158,30,30,658,658,0,0.0010892133837094523,0.0031314884781646754,813,922,109,3,4,4,5,14,173,175,123
15,16,117,474,877,403,104,104,560,560,0,0.0002042275094455223,0.0002382654276864427,545,565,20,5,3,3,23,2,15,325,374
16,6,108,433,924,491,11,11,450,450,0,0.00013615167296368154,0.0002382654276864427,510,590,80,4,4,4,4,1,384,449,419
17,0,102,1,927,926,0,7,1,404,403,0.0,0.00013615167296368154,1,526,525,4,-1,5,4,0,423,908,222
18,15,221,699,980,281,12,12,694,694,0,0.00010211375472276115,0.005548180673270023,491,962,471,3,4,4,2,4,947,208,18
19,16,16,671,671,0,8,8,494,494,0,0.0004084550188910446,0.0004084550188910446,682,682,0,-1,4,4,2,8,609,417,944
20,1,1641,332,1000,668,2,46,332,969,637,0.0,0.049729398549984684,1,998,997,1,7,2,2,2,894,357,81
21,0,206,1,967,966,0,20,1,552,551,0.0,0.0016338200755641784,1,872,871,3,-1,4,6,0,661,815,36
22,4,106,489,959,470,4,4,388,388,0,0.0002382654276864427,0.0002723033459273631,610,628,18,4,5,5,3,5,922,401,829
23,219,425,968,990,22,116,116,970,970,0,0.005650294427992784,0.00622893903808843,965,968,3,3,2,2,7,27,359,88,306
24,0,206,1,971,970,0,26,1,647,646,0.0,0.0034718676605738795,1,934,933,3,-1,4,5,0,517,983,88
25,26,26,718,718,0,28,28,565,565,0,0.0005446066918547262,0.0005446066918547262,727,727,0,-1,4,4,6,9,352,240,947
26,0,206,1,967,966,0,9,1,441,440,0.0,0.0005446066918547262,1,714,713,3,-1,4,3,1,927,828,365
