,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,dist_victim_vilain_pre,dist_victim_vilain_post,out_deg_victim,in_deg_villain,victim,villain,relayer
0,309,515,976,989,13,148,148,997,997,0,0.007454304094761564,0.01058579257292624,971,983,12,3,2,2,6,31,473,102,142
1,40,142,717,919,202,192,192,876,876,0,0.0011232513019503727,0.0011913271384322134,811,815,4,4,2,2,18,1,34,439,596
2,74,74,842,842,0,96,96,775,775,0,0.001599782157323258,0.001599782157323258,867,867,0,-1,3,3,11,10,76,227,488
3,102,204,923,969,46,62,62,960,960,0,0.004663194799006093,0.005718370264474625,956,966,10,4,2,2,3,18,636,141,213
4,165,371,950,984,34,132,132,975,975,0,0.003710133088260322,0.004493005207801491,938,952,14,3,2,2,8,22,468,128,284
5,0,206,1,965,964,0,15,1,512,511,0.0,0.0004765308553728854,1,693,692,3,-1,4,4,0,622,502,217
6,0,206,1,944,943,0,44,1,419,418,0.0,0.00034037918240920387,1,632,631,3,-1,4,21,0,25,587,450
7,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,4,0,461,608,864
8,0,206,1,957,956,0,20,1,494,493,0.0,0.0010211375472276116,1,812,811,3,-1,4,6,0,281,716,62
9,76,177,931,977,46,38,38,936,936,0,0.0027911092957554717,0.0028591851322373124,925,927,2,5,3,3,3,19,850,91,720
10,24,230,694,973,279,30,30,633,633,0,0.00034037918240920387,0.001157289220191293,638,820,182,3,4,4,5,8,390,132,186
11,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,3,0,778,695,826
12,16,118,573,905,332,52,52,642,642,0,0.00010211375472276115,0.00010211375472276115,483,483,0,4,3,3,9,1,276,870,526
13,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,16,0,42,611,752
14,8,110,524,918,394,13,13,446,446,0,0.00010211375472276115,0.0002723033459273631,486,626,140,4,4,4,5,2,665,549,386
15,16,16,522,522,0,64,64,570,570,0,0.0002723033459273631,0.0002723033459273631,597,597,0,-1,3,3,13,2,92,785,780
16,18,18,772,772,0,12,12,718,718,0,0.0007488342013002485,0.0007488342013002485,779,779,0,-1,4,4,2,4,810,326,672
17,79,79,951,951,0,22,22,905,905,0,0.0036760951700194017,0.0036760951700194017,949,949,0,-1,3,3,2,33,866,15,733
