,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,dist_victim_vilain_pre,dist_victim_vilain_post,out_deg_victim,in_deg_villain,victim,villain,relayer
0,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,9,0,191,860,943
1,0,206,1,968,967,0,17,1,512,511,0.0,0.0011913271384322134,1,832,831,3,-1,4,5,0,502,812,42
2,1,1,333,333,0,6,6,333,333,0,0.0,0.0,1,1,0,-1,7,7,6,1,441,765,821
3,2,208,366,974,608,5,10,398,514,116,6.807583648184077e-05,0.0020422750944552232,449,887,438,3,5,4,3,1,882,503,35
4,18,120,626,914,288,46,46,676,676,0,0.00034037918240920387,0.00034037918240920387,657,657,0,4,3,3,6,3,378,197,964
5,0,206,1,963,962,0,20,1,523,522,0.0,0.0007147962830593281,1,751,750,3,-1,4,4,0,410,975,294
6,30,30,640,640,0,95,95,568,568,0,0.0004084550188910446,0.0004084550188910446,667,667,0,-1,3,3,21,5,1,124,979
7,2,2,358,358,0,5,5,358,358,0,0.00013615167296368154,0.00013615167296368154,514,514,0,-1,5,5,4,2,516,615,982
8,0,101,1,885,884,0,10,1,331,330,0.0,0.0,1,1,0,6,-1,7,10,1,82,852,896
9,1,103,333,916,583,4,7,333,396,63,0.0,6.807583648184077e-05,1,459,458,4,6,5,4,2,512,344,727
10,5,106,541,969,428,4,4,470,470,0,0.0005105687736138058,0.0005105687736138058,735,735,0,5,5,5,2,4,866,450,544
11,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,3,0,726,915,685
12,540,540,1000,1000,0,32,32,943,943,0,0.02117158514585248,0.02117158514585248,996,996,0,-1,3,3,2,157,742,2,775
