,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,dist_victim_vilain_pre,dist_victim_vilain_post,out_deg_victim,in_deg_villain,victim,villain,relayer
0,27,129,681,915,234,46,46,561,561,0,0.00037441710065012424,0.0004084550188910446,662,670,8,4,4,4,11,9,155,191,762
1,8,624,496,991,495,46,64,612,700,88,0.00013615167296368154,0.003948398515946765,511,946,435,2,4,3,9,2,136,770,126
2,16,16,592,592,0,44,44,663,663,0,0.0002723033459273631,0.0002723033459273631,625,625,0,-1,3,3,7,1,714,556,852
3,10,111,552,916,364,16,16,452,452,0,0.00017018959120460194,0.00017018959120460194,531,531,0,5,4,4,6,3,441,385,807
4,421,421,987,987,0,166,166,993,993,0,0.010721944245889922,0.010721944245889922,983,983,0,-1,2,2,8,62,646,70,522
5,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,2,0,914,429,699
6,34,650,689,992,303,114,124,751,784,33,0.0005446066918547262,0.0012594029749140542,712,832,120,2,3,3,14,6,85,381,637
7,1,1,333,333,0,14,14,333,333,0,0.0,0.0,1,1,0,-1,6,6,14,2,130,739,978
8,0,101,1,926,925,0,5,1,332,331,0.0,0.0,1,1,0,5,-1,6,5,0,601,757,347
9,59,59,810,810,0,90,90,835,835,0,0.0009190237925048504,0.0009190237925048504,779,779,0,-1,3,3,9,8,140,161,436
10,8,214,551,976,425,10,14,500,573,73,6.807583648184077e-05,0.0006126825283365669,462,754,292,3,4,4,3,4,729,239,189
11,48,664,814,996,182,78,88,837,881,44,0.0012253650566731338,0.005037611899656217,822,959,137,2,3,3,8,14,286,190,77
12,117,117,951,951,0,34,34,835,835,0,0.003608019333537561,0.003608019333537561,935,935,0,-1,3,3,4,27,794,88,773
