,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,out_deg_victim,in_deg_villain,victim,villain,relayer
0,38,38,791.0,791.0,0.0,32,32,676.5,676.5,0.0,0.0004084550188910446,0.0004084550188910446,675.0,675.0,0.0,-1,6,10,582,262,910
1,0,102,166.5,925.5,759.0,0,9,166.5,424.0,257.5,0.0,0.00037441710065012424,202.5,658.5,456.0,4,5,1,765,529,253
2,32,238,706.5,959.0,252.5,74,78,646.5,656.5,10.0,0.00037441710065012424,0.0005786446100956465,659.0,716.5,57.5,3,14,5,84,182,262
3,134,340,940.5,984.0,43.5,50,50,898.5,898.5,0.0,0.0038462847612240037,0.004493005207801491,941.0,951.0,10.0,3,5,28,476,41,120
4,0,0,166.5,166.5,0.0,0,0,166.5,166.5,0.0,0.0,0.0,198.0,198.0,0.0,-1,13,0,120,939,971
5,0,102,166.0,939.5,773.5,0,3,166.0,383.5,217.5,0.0,3.4037918240920386e-05,205.0,430.5,225.5,4,2,0,886,916,485
6,52,258,819.0,970.0,151.0,58,58,761.0,761.0,0.0,0.0009870996289866913,0.001055175465468532,803.0,815.0,12.0,3,7,10,321,272,662
7,6,6,450.5,450.5,0.0,18,18,466.5,466.5,0.0,6.807583648184077e-05,6.807583648184077e-05,464.5,464.5,0.0,-1,7,2,299,419,854
8,10,10,613.0,613.0,0.0,8,8,550.0,550.0,0.0,0.00010211375472276115,0.00010211375472276115,512.0,512.0,0.0,-1,2,3,804,704,730
9,0,206,166.5,937.5,771.0,0,59,166.5,448.0,281.5,0.0,0.0005105687736138058,200.0,690.0,490.0,3,21,1,54,780,154
10,12,218,571.0,969.0,398.0,16,20,501.0,548.0,47.0,3.4037918240920386e-05,0.0008169100377820892,441.0,778.5,337.5,3,6,4,446,149,79
11,428,528,990.0,992.0,2.0,118,118,995.0,995.0,0.0,0.010483678818203479,0.01058579257292624,982.0,982.0,0.0,4,5,81,604,32,380
12,0,0,166.5,166.5,0.0,0,0,166.5,166.5,0.0,0.0,0.0,200.5,200.5,0.0,-1,6,1,486,895,927
13,2,104,399.5,941.0,541.5,3,4,395.5,453.0,57.5,6.807583648184077e-05,0.00030634126416828345,466.5,647.5,181.0,4,2,1,705,931,212
14,0,206,166.5,969.0,802.5,0,11,166.5,452.0,285.5,0.0,0.0002042275094455223,200.0,581.5,381.5,3,4,0,736,574,252
15,0,206,166.5,971.0,804.5,0,16,166.5,590.5,424.0,0.0,0.0007147962830593281,199.0,768.5,569.5,3,4,0,562,803,273
16,0,102,166.5,887.0,720.5,0,13,166.5,350.5,184.0,0.0,0.0,198.0,198.0,0.0,4,12,0,187,436,265
17,50,152,833.0,954.0,121.0,50,50,859.5,859.5,0.0,0.00176997174852786,0.001940161339732462,866.0,881.0,15.0,4,5,4,644,185,156
18,16,118,704.0,956.0,252.0,12,12,763.0,763.0,0.0,0.0002723033459273631,0.00037441710065012424,642.0,687.5,45.5,4,2,5,684,165,90
19,8,110,577.0,952.0,375.0,4,4,452.0,452.0,0.0,0.00010211375472276115,0.0002723033459273631,504.5,632.5,128.0,4,2,4,232,444,202
20,7,108,603.5,966.0,362.5,12,12,819.0,819.0,0.0,0.00030634126416828345,0.0004084550188910446,663.5,705.5,42.0,5,2,2,805,770,241
21,18,18,663.5,663.5,0.0,18,18,538.5,538.5,0.0,0.0002042275094455223,0.0002042275094455223,591.0,591.0,0.0,-1,5,4,363,625,943
22,0,0,166.5,166.5,0.0,0,0,166.5,166.5,0.0,0.0,0.0,205.0,205.0,0.0,-1,6,0,494,445,954
23,0,102,165.5,951.0,785.5,0,4,165.5,509.5,344.0,0.0,0.0004084550188910446,201.5,696.5,495.0,4,2,0,821,944,510
