,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,dist_victim_vilain_pre,dist_victim_vilain_post,out_deg_victim,in_deg_villain,victim,villain,relayer
0,108,210,914,965,51,66,66,883,883,0,0.0019741992579733825,0.002314578440382586,882,893,11,4,3,3,6,20,606,71,386
1,23,23,814,814,0,8,8,589,589,0,0.0006467204465774873,0.0006467204465774873,755,755,0,-1,4,4,2,10,481,272,782
2,38,654,689,992,303,190,204,840,864,24,0.0009530617107457708,0.0030974505599237552,786,921,135,2,3,3,19,3,46,382,39
3,0,206,1,980,979,0,8,1,539,538,0.0,0.00037441710065012424,1,675,674,3,-1,4,2,1,469,806,525
4,72,72,842,842,0,104,104,880,880,0,0.0007488342013002485,0.0007488342013002485,769,769,0,-1,3,3,9,9,147,343,774
5,702,1318,994,1000,6,200,200,993,993,0,0.01504475986248681,0.0158616699002689,986,987,1,2,2,2,8,83,357,10,178
6,0,102,1,939,938,0,3,1,371,370,0.0,0.0004084550188910446,1,679,678,4,-1,5,2,0,939,731,805
7,8,110,566,956,390,16,16,607,607,0,0.0004765308553728854,0.0011232513019503727,706,825,119,4,4,4,4,2,480,524,211
8,98,199,903,965,62,54,54,891,891,0,0.002484768031587188,0.002757071377514551,902,911,9,5,3,3,4,22,887,203,500
9,106,106,913,913,0,50,50,806,806,0,0.0015317063208414173,0.0015317063208414173,852,852,0,-1,3,3,5,20,501,71,844
10,66,66,906,906,0,28,28,867,867,0,0.0025188059498281084,0.0025188059498281084,915,915,0,-1,3,3,3,17,790,81,548
11,19,225,618,957,339,78,82,638,658,20,0.00030634126416828345,0.0009870996289866913,632,797,165,3,4,4,15,5,138,510,97
12,64,166,868,958,90,52,52,902,902,0,0.0030974505599237552,0.0033357159876101976,921,926,5,4,2,2,5,9,456,391,424
13,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,8,0,286,925,920
14,65,681,812,992,180,100,110,698,755,57,0.00088498587426393,0.005071649817897137,778,954,176,2,3,3,14,10,332,366,14
15,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,2,0,625,955,472
16,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,5,1,407,835,876
17,30,132,728,927,199,36,36,633,633,0,0.00034037918240920387,0.0004084550188910446,649,680,31,4,3,3,7,6,413,435,354
18,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,9,1,277,814,847
19,14,115,595,932,337,24,24,632,632,0,0.00037441710065012424,0.00037441710065012424,669,669,0,5,4,4,4,4,700,233,331
20,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,16,0,134,901,649
21,7,213,603,989,386,4,8,471,601,130,0.00017018959120460194,0.0008509479560230097,559,798,239,3,5,4,2,6,898,107,688
22,0,206,1,964,963,0,16,1,462,461,0.0,0.0006126825283365669,1,726,725,3,-1,4,6,0,353,349,143
23,14,630,542,994,452,78,88,686,725,39,0.00034037918240920387,0.0006807583648184077,643,737,94,2,4,3,13,4,113,545,309
24,0,101,1,960,959,0,2,1,330,329,0.0,0.00010211375472276115,1,484,483,5,-1,6,2,0,950,815,380
25,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,2,0,909,880,849
26,0,206,1,959,958,0,18,1,408,407,0.0,0.0002382654276864427,1,581,580,3,-1,4,8,0,244,769,545
