,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,dist_victim_vilain_pre,dist_victim_vilain_post,out_deg_victim,in_deg_villain,victim,villain,relayer
0,7,109,549,949,400,8,8,510,510,0,6.807583648184077e-05,0.0002723033459273631,451,633,182,4,4,4,2,2,964,724,425
1,180,180,929,929,0,184,184,837,837,0,0.002314578440382586,0.002314578440382586,895,895,0,-1,3,3,19,21,148,157,604
2,0,206,1,975,974,0,8,1,484,483,0.0,0.0007828721195411688,1,796,795,3,-1,4,2,0,804,624,113
3,3,209,416,970,554,5,10,381,456,75,0.00010211375472276115,0.0004765308553728854,475,690,215,3,5,4,3,2,989,430,252
4,17,223,673,972,299,14,26,485,657,172,0.0002382654276864427,0.001497668402600497,605,858,253,3,4,4,5,7,795,176,297
5,0,101,1,933,932,0,3,1,332,331,0.0,0.000442492937131965,1,686,685,5,-1,6,3,1,676,913,805
6,14,220,571,960,389,18,30,479,589,110,0.0002382654276864427,0.0013955546478777359,590,850,260,3,4,4,5,4,238,443,255
7,6,6,476,476,0,12,12,586,586,0,0.00010211375472276115,0.00010211375472276115,484,484,0,-1,4,4,2,2,596,714,900
8,28,130,659,903,244,118,118,755,755,0,0.00030634126416828345,0.000442492937131965,624,672,48,4,3,3,16,3,195,318,579
9,100,100,862,862,0,100,100,749,749,0,0.031621226045815035,0.03213179481942884,1000,1000,0,3,1,1,13,157,90,2,283
10,0,616,1,993,992,0,30,1,474,473,0.0,0.0007488342013002485,1,763,762,2,-1,3,9,2,213,752,341
11,14,220,648,978,330,12,20,520,658,138,0.0004765308553728854,0.0013955546478777359,708,851,143,3,4,4,4,6,679,4,327
12,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,3,0,620,635,235
