,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,out_deg_victim,in_deg_villain,victim,villain,relayer
0,0,101,165.5,964.0,798.5,0,3,165.5,357.0,191.5,0.0,0.00030634126416828345,197.0,640.0,443.0,5,3,1,786,787,500
1,0,102,166.0,940.5,774.5,0,3,166.0,389.0,223.0,0.0,0.000442492937131965,199.5,714.0,514.5,4,2,0,943,201,396
2,28,28,780.0,780.0,0.0,24,24,796.0,796.0,0.0,0.0008169100377820892,0.0008169100377820892,791.0,791.0,0.0,-1,3,5,774,418,812
3,6,1646,449.5,1000.0,550.5,25,96,426.0,758.0,332.0,0.0,0.010483678818203479,200.5,978.0,777.5,1,12,1,106,618,128
4,124,330,955.5,991.0,35.5,12,12,693.0,693.0,0.0,0.003199564314646516,0.003437829742332959,928.0,929.0,1.0,3,2,30,849,75,570
5,18,18,621.0,621.0,0.0,34,34,580.5,580.5,0.0,0.00030634126416828345,0.00030634126416828345,638.0,638.0,0.0,-1,7,3,417,519,674
6,1,102,342.5,896.0,553.5,9,9,342.5,342.5,0.0,0.0,0.0,199.0,199.0,0.0,9,9,1,315,765,647
7,6,108,466.0,909.5,443.5,15,15,449.5,449.5,0.0,0.0,3.4037918240920386e-05,200.0,427.0,227.0,4,6,3,356,321,631
8,85,701,848.5,994.0,145.5,108,118,826.5,852.5,26.0,0.0011913271384322134,0.002382654276864427,822.5,905.0,82.5,2,12,12,62,99,497
9,0,616,165.0,997.5,832.5,0,34,165.0,825.0,660.0,0.0,0.008169100377820893,199.5,979.0,779.5,2,4,0,949,863,24
10,0,102,165.5,912.0,746.5,0,9,165.5,409.5,244.0,0.0,0.0002042275094455223,195.5,582.0,386.5,4,5,0,604,707,591
11,0,0,166.0,166.0,0.0,0,0,166.0,166.0,0.0,0.0,0.0,204.5,204.5,0.0,-1,3,0,819,794,349
12,98,98,924.0,924.0,0.0,28,28,871.5,871.5,0.0,0.0030293747234419145,0.0030293747234419145,923.5,923.5,0.0,-1,3,26,710,108,777
13,34,34,821.0,821.0,0.0,22,22,872.5,872.5,0.0,0.0006467204465774873,0.0006467204465774873,750.5,750.5,0.0,-1,2,5,723,338,737
14,2,208,365.5,940.5,575.0,20,39,376.0,446.5,70.5,0.0,0.00088498587426393,200.5,782.0,581.5,3,14,1,203,734,118
15,150,252,962.0,981.0,19.0,22,22,860.5,860.5,0.0,0.004016474352428605,0.004050512270669526,943.5,944.0,0.5,4,2,31,993,102,420
16,32,238,706.5,959.0,252.5,120,120,832.0,832.0,0.0,0.0004084550188910446,0.0005105687736138058,673.0,703.5,30.5,3,14,2,84,827,214
17,56,56,860.0,860.0,0.0,24,24,711.5,711.5,0.0,0.0017359338302869397,0.0017359338302869397,872.0,872.0,0.0,-1,4,18,562,148,954
18,6,108,416.0,881.0,465.0,36,36,415.0,415.0,0.0,0.0,0.0,200.5,200.5,0.0,4,16,2,27,509,441
19,6,212,497.0,974.0,477.0,15,19,562.0,639.5,77.5,0.0004084550188910446,0.001497668402600497,690.5,857.5,167.0,3,4,2,573,805,62
20,0,101,166.0,914.0,748.0,0,4,166.0,343.0,177.0,0.0,0.0,203.0,203.0,0.0,5,4,0,539,832,526
21,0,1640,166.5,1000.0,833.5,0,102,166.5,913.5,747.0,0.0,0.02110350930937064,199.5,994.0,794.5,1,8,0,236,822,3
22,65,167,842.0,947.5,105.5,80,80,820.0,820.0,0.0,0.0013274788113958951,0.0014636304843595766,832.5,846.5,14.0,4,11,10,261,296,724
23,6,6,428.0,428.0,0.0,25,25,389.5,389.5,0.0,3.4037918240920386e-05,3.4037918240920386e-05,418.5,418.5,0.0,-1,14,3,108,460,644
24,26,26,792.5,792.5,0.0,22,22,887.5,887.5,0.0,0.0009870996289866913,0.0009870996289866913,815.5,815.5,0.0,-1,2,6,929,234,989
25,0,206,166.0,975.0,809.0,0,24,166.0,724.5,558.5,0.0,0.0034037918240920387,202.5,931.0,728.5,3,4,0,462,930,77
26,18,18,587.5,587.5,0.0,46,46,450.0,450.0,0.0,0.0002723033459273631,0.0002723033459273631,617.0,617.0,0.0,-1,17,4,73,398,876
27,0,101,166.0,932.0,766.0,0,3,166.0,350.0,184.0,0.0,3.4037918240920386e-05,202.0,424.5,222.5,5,3,0,651,713,964
28,0,206,166.5,934.5,768.0,0,57,166.5,417.0,250.5,0.0,0.0006807583648184077,193.5,731.0,537.5,3,23,0,15,624,351
