,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,dist_victim_vilain_pre,dist_victim_vilain_post,out_deg_victim,in_deg_villain,victim,villain,relayer
0,8,214,491,954,463,26,38,453,528,75,3.4037918240920386e-05,0.001157289220191293,400,825,425,3,4,4,9,2,269,244,166
1,24,24,713,713,0,36,36,746,746,0,0.0007488342013002485,0.0007488342013002485,770,770,0,-1,3,3,5,3,519,103,828
2,0,102,1,893,892,0,10,1,348,347,0.0,0.0,1,1,0,4,-1,5,9,0,147,860,763
3,34,136,756,931,175,46,46,698,698,0,0.0009530617107457708,0.0010211375472276116,801,806,5,4,3,3,8,6,270,377,274
4,6,212,444,971,527,12,28,432,606,174,0.0002382654276864427,0.001599782157323258,597,855,258,3,5,4,6,4,664,645,71
5,6,108,443,922,479,16,16,536,536,0,0.00017018959120460194,0.00030634126416828345,528,641,113,4,4,4,4,2,544,785,770
6,40,246,699,952,253,80,80,562,562,0,0.0002382654276864427,0.00037441710065012424,577,656,79,3,4,4,18,9,111,391,341
7,31,31,783,783,0,26,26,648,648,0,0.0006807583648184077,0.0006807583648184077,758,758,0,-1,4,4,5,7,517,396,881
8,206,307,968,982,14,72,72,971,971,0,0.006433166547533953,0.006433166547533953,968,968,0,5,2,2,3,27,687,25,555
9,52,258,752,953,201,146,146,715,715,0,0.0004084550188910446,0.0007488342013002485,665,748,83,3,3,3,22,6,22,432,376
10,6,108,493,950,457,12,12,625,625,0,0.00037441710065012424,0.0009530617107457708,664,801,137,4,4,4,2,1,960,404,295
11,32,134,778,947,169,24,24,664,664,0,0.0006126825283365669,0.0008169100377820892,736,785,49,4,4,4,4,6,513,461,262
12,32,133,857,971,114,12,12,757,757,0,0.001497668402600497,0.001497668402600497,868,868,0,5,4,4,2,13,873,255,690
13,0,206,1,968,967,0,12,1,471,470,0.0,0.00088498587426393,1,801,800,3,-1,4,4,1,675,814,630
14,34,240,781,974,193,24,24,647,647,0,0.0005786446100956465,0.0007828721195411688,732,778,46,3,4,4,4,8,504,187,212
15,14,116,616,926,310,12,12,549,549,0,0.00034037918240920387,0.0007488342013002485,652,762,110,4,4,4,2,3,909,93,345
16,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,2,0,991,864,927
17,41,143,799,945,146,32,32,692,692,0,0.00037441710065012424,0.0005105687736138058,667,708,41,4,3,3,5,9,438,391,270
18,0,206,1,982,981,0,8,1,536,535,0.0,0.0007828721195411688,1,777,776,3,-1,4,2,0,686,715,869
19,0,206,1,951,950,0,24,1,427,426,0.0,0.00030634126416828345,1,616,615,3,-1,4,11,2,333,775,159
20,0,102,1,893,892,0,8,1,366,365,0.0,3.4037918240920386e-05,1,405,404,4,-1,5,6,0,560,859,627
21,22,123,661,917,256,68,68,780,780,0,0.00017018959120460194,0.0002042275094455223,539,564,25,5,3,3,8,2,223,323,594
22,43,43,798,798,0,58,58,780,780,0,0.0010892133837094523,0.0010892133837094523,818,818,0,-1,3,3,7,7,320,396,706
23,6,108,379,880,501,68,68,531,531,0,0.00017018959120460194,0.0002723033459273631,530,603,73,4,4,4,16,1,27,809,609
24,175,276,953,976,23,106,106,943,943,0,0.0036760951700194017,0.003914360597705844,938,941,3,5,2,2,7,21,510,123,124
25,33,135,845,972,127,18,18,800,800,0,0.002212464685659825,0.002552843868069029,910,917,7,4,4,4,3,12,852,104,218
26,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,4,0,491,201,786
27,11,217,561,970,409,32,32,636,636,0,0.0002042275094455223,0.0008169100377820892,572,777,205,3,4,4,6,4,267,645,326
28,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,2,3,733,882,769
29,6,6,459,459,0,20,20,627,627,0,0.00030634126416828345,0.00030634126416828345,641,641,0,-1,4,4,4,1,543,667,971
30,0,206,1,942,941,0,32,1,396,395,0.0,0.00017018959120460194,1,538,537,3,-1,4,16,0,117,961,424
31,6,6,508,508,0,8,8,539,539,0,0.0002382654276864427,0.0002382654276864427,598,598,0,-1,4,4,2,1,809,474,849
32,133,235,971,988,17,22,22,869,869,0,0.0034037918240920387,0.003812246842983083,937,945,8,4,3,3,2,44,889,27,90
33,31,31,804,804,0,22,22,793,793,0,0.0005446066918547262,0.0005446066918547262,720,720,0,-1,3,3,2,5,954,216,930
34,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,3,0,569,871,919
35,0,102,1,896,895,0,10,1,359,358,0.0,3.4037918240920386e-05,1,397,396,4,-1,5,8,0,317,846,532
36,24,24,795,795,0,12,12,706,706,0,0.0009530617107457708,0.0009530617107457708,817,817,0,-1,4,4,2,8,914,250,928
37,0,102,1,941,940,0,5,1,414,413,0.0,0.00013615167296368154,1,522,521,4,-1,5,3,2,916,271,553
38,0,102,1,876,875,0,9,1,348,347,0.0,0.0,1,1,0,4,-1,5,8,0,370,939,509
39,0,102,1,890,889,0,6,1,354,353,0.0,3.4037918240920386e-05,1,393,392,4,-1,5,5,0,719,955,506
40,0,102,1,896,895,0,14,1,388,387,0.0,0.00030634126416828345,1,630,629,4,-1,5,8,0,317,921,591
41,0,102,1,895,894,0,11,1,370,369,0.0,0.00010211375472276115,1,489,488,4,-1,5,8,0,225,986,392
42,21,227,666,968,302,22,22,560,560,0,0.00013615167296368154,0.00037441710065012424,508,667,159,3,4,4,5,6,406,486,420
43,3,3,483,483,0,4,4,470,470,0,0.00017018959120460194,0.00017018959120460194,555,555,0,-1,5,5,2,4,788,305,750
44,0,102,1,931,930,0,3,1,365,364,0.0,0.00010211375472276115,1,484,483,4,-1,5,2,0,763,868,300
45,0,102,1,926,925,0,6,1,360,359,0.0,0.00013615167296368154,1,498,497,4,-1,5,5,0,557,643,260
46,11,112,637,951,314,14,14,618,618,0,0.00030634126416828345,0.0004084550188910446,644,685,41,5,4,4,3,6,485,435,585
47,3,209,423,971,548,5,10,366,459,93,3.4037918240920386e-05,0.0002382654276864427,407,582,175,3,5,4,4,2,545,364,505
48,1,207,333,973,640,2,8,333,488,155,0.0,0.001497668402600497,1,865,864,3,7,4,2,1,596,703,94
49,12,218,541,965,424,18,26,457,514,57,3.4037918240920386e-05,0.0015657442390823377,407,853,446,3,4,4,7,2,299,364,71
50,22,638,599,994,395,104,114,675,716,41,0.0005446066918547262,0.002382654276864427,703,904,201,2,3,3,17,3,23,209,128
51,40,40,726,726,0,138,138,833,833,0,0.0009870996289866913,0.0009870996289866913,794,794,0,-1,2,2,15,1,81,759,943
52,0,102,1,907,906,0,8,1,394,393,0.0,0.0002723033459273631,1,606,605,4,-1,5,4,0,448,850,291
53,78,180,909,972,63,22,22,816,816,0,0.0017018959120460194,0.0017359338302869397,873,875,2,4,3,3,2,17,986,79,689
54,36,138,837,967,130,22,22,838,838,0,0.001497668402600497,0.0017018959120460194,860,873,13,4,3,3,2,4,702,185,270
55,0,101,1,937,936,0,3,1,331,330,0.0,6.807583648184077e-05,1,453,452,5,-1,6,3,0,699,725,579
56,100,100,857,857,0,100,100,658,658,0,0.010313489226998877,0.010449640899962559,977,980,3,3,1,1,17,7,80,237,290
57,6,212,436,968,532,14,14,502,502,0,6.807583648184077e-05,0.0005105687736138058,443,704,261,3,4,4,3,2,725,575,759
58,0,102,1,916,915,0,5,1,365,364,0.0,0.00017018959120460194,1,556,555,4,-1,5,4,0,558,985,586
59,0,101,1,938,937,0,2,1,329,328,0.0,3.4037918240920386e-05,1,403,402,5,-1,6,2,0,906,817,452
60,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,3,0,485,923,895
61,0,616,1,995,994,0,40,1,767,766,0.0,0.009870996289866912,1,984,983,2,-1,3,5,0,599,542,37
62,241,447,963,988,25,176,176,963,963,0,0.005786446100956465,0.006433166547533953,958,965,7,3,2,2,12,31,219,34,471
63,74,176,891,970,79,40,40,832,832,0,0.001599782157323258,0.0017359338302869397,867,877,10,4,3,3,5,15,744,53,551
64,122,122,936,936,0,62,62,957,957,0,0.004799346471969774,0.004799346471969774,952,952,0,-1,2,2,3,20,737,49,533
65,0,206,1,970,969,0,14,1,465,464,0.0,0.0006467204465774873,1,750,749,3,-1,4,5,0,724,686,138
66,30,646,627,991,364,134,144,677,711,34,0.0004765308553728854,0.0009870996289866913,679,791,112,2,3,3,21,5,74,591,507
67,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,2,0,705,644,498
68,32,238,738,968,230,54,54,766,766,0,0.0006126825283365669,0.0012253650566731338,721,829,108,3,3,3,7,6,400,494,351
69,0,102,1,933,932,0,6,1,423,422,0.0,0.0006126825283365669,1,745,744,4,-1,5,3,0,615,776,92
70,10,626,546,994,448,20,46,480,729,249,6.807583648184077e-05,0.006024711528642908,442,965,523,2,4,3,6,4,369,319,18
