,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,out_deg_victim,in_deg_villain,victim,villain,relayer
0,125,227,955.5,982.0,26.5,32,32,931.0,931.0,0.0,0.004186663943633207,0.0045270431260424114,941.0,948.0,7.0,4,2,31,992,35,381
1,20,122,659.5,921.0,261.5,34,34,611.0,611.0,0.0,0.000442492937131965,0.0004765308553728854,692.5,699.5,7.0,4,7,4,510,504,481
2,92,193,900.5,967.5,67.0,40,40,853.0,853.0,0.0,0.0012934408931549745,0.0013274788113958951,844.5,846.0,1.5,6,4,12,513,179,764
3,0,102,166.5,939.0,772.5,0,4,166.5,453.0,286.5,0.0,0.00013615167296368154,199.5,538.5,339.0,4,2,0,734,981,524
4,0,0,166.5,166.5,0.0,0,0,166.5,166.5,0.0,0.0,0.0,199.5,199.5,0.0,-1,12,0,62,844,848
5,6,212,469.5,965.0,495.5,15,21,443.0,508.0,65.0,3.4037918240920386e-05,0.0005446066918547262,431.0,717.0,286.0,3,7,1,477,506,450
6,6,212,510.5,978.5,468.0,4,8,458.0,585.5,127.5,0.00017018959120460194,0.001157289220191293,561.0,834.5,273.5,3,2,4,739,443,146
7,0,206,166.5,962.0,795.5,0,36,166.5,612.5,446.0,0.0,0.0034037918240920387,198.5,931.5,733.0,3,8,0,440,934,20
8,0,102,166.5,929.5,763.0,0,5,166.5,380.0,213.5,0.0,3.4037918240920386e-05,205.0,431.0,226.0,4,4,0,491,921,444
9,95,95,850.0,850.0,0.0,160,160,863.5,863.5,0.0,0.0011913271384322134,0.0011913271384322134,828.0,828.0,0.0,-1,15,11,37,97,985
10,34,135,832.5,963.0,130.5,12,12,723.5,723.5,0.0,0.0007828721195411688,0.0007828721195411688,780.5,780.5,0.0,7,2,9,999,242,972
11,0,102,166.5,950.5,784.0,0,4,166.5,473.0,306.5,0.0,0.00017018959120460194,202.5,558.0,355.5,4,2,0,809,855,262
12,16,118,660.5,937.5,277.0,46,46,844.0,844.0,0.0,0.0006807583648184077,0.0010892133837094523,764.5,821.5,57.0,4,5,1,795,612,145
13,0,101,166.5,914.5,748.0,0,3,166.5,344.0,177.5,0.0,3.4037918240920386e-05,197.5,418.0,220.5,5,3,0,490,989,621
14,18,224,627.0,965.0,338.0,62,62,807.5,807.5,0.0,0.0008169100377820892,0.0010211375472276116,777.0,805.5,28.5,3,7,3,171,299,210
15,1491,1697,1000.0,1000.0,0.0,520,520,1000.0,1000.0,0.0,0.021852343510670887,0.02297559481262126,998.0,998.0,0.0,3,19,157,38,2,87
16,0,616,166.5,989.0,822.5,0,71,166.5,526.0,359.5,0.0,0.0006126825283365669,198.5,729.0,530.5,2,19,0,148,902,474
17,0,102,165.5,927.5,762.0,0,6,165.5,398.5,233.0,0.0,0.00010211375472276115,200.5,506.0,305.5,4,4,2,777,431,561
18,57,57,824.5,824.5,0.0,50,50,664.0,664.0,0.0,0.0007828721195411688,0.0007828721195411688,768.0,768.0,0.0,-1,9,15,315,138,839
19,0,0,166.5,166.5,0.0,0,0,166.5,166.5,0.0,0.0,0.0,205.0,205.0,0.0,-1,11,0,261,769,864
20,100,100,873.5,873.5,0.0,100,100,710.0,710.0,0.0,0.012287688484972258,0.012287688484972258,988.0,988.0,0.0,-1,15,18,68,171,822
21,0,102,166.0,942.0,776.0,0,3,166.0,394.0,228.0,0.0,3.4037918240920386e-05,203.0,429.5,226.5,4,2,0,874,923,476
22,0,102,166.0,936.5,770.5,0,5,166.0,411.5,245.5,0.0,0.0002042275094455223,206.0,602.5,396.5,4,3,1,732,660,525
23,0,0,165.5,165.5,0.0,0,0,165.5,165.5,0.0,0.0,0.0,195.5,195.5,0.0,-1,5,1,604,852,753
24,0,206,166.5,976.0,809.5,0,8,166.5,581.5,415.0,0.0,0.0018040096667687805,202.0,877.0,675.0,3,2,0,609,732,108
25,18,224,606.0,957.5,351.5,66,74,623.0,663.5,40.5,3.4037918240920386e-05,0.0002382654276864427,427.5,599.0,171.5,3,12,3,116,508,165
26,16,632,650.0,998.0,348.0,28,48,821.0,941.5,120.5,0.00030634126416828345,0.017597603730555838,655.5,993.0,337.5,2,3,1,672,480,37
27,0,102,166.5,918.0,751.5,0,9,166.5,414.5,248.0,0.0,0.00034037918240920387,204.0,672.5,468.5,4,5,0,616,905,645
28,0,206,166.5,960.5,794.0,0,23,166.5,465.0,298.5,0.0,0.0006467204465774873,200.0,741.5,541.5,3,8,0,218,970,131
29,6,108,523.5,947.0,423.5,4,4,456.0,456.0,0.0,0.0002042275094455223,0.002212464685659825,594.5,907.5,313.0,4,2,4,992,625,76
30,43,249,842.5,980.0,137.5,24,24,760.0,760.0,0.0,0.0014295925661186562,0.0017359338302869397,856.0,874.0,18.0,3,4,13,603,183,810
31,0,0,166.0,166.0,0.0,0,0,166.0,166.0,0.0,0.0,0.0,198.5,198.5,0.0,-1,2,0,742,778,978
32,0,0,166.5,166.5,0.0,0,0,166.5,166.5,0.0,0.0,0.0,200.0,200.0,0.0,-1,6,0,275,905,980
33,100,100,902.5,902.5,0.0,100,100,991.0,991.0,0.0,0.04819769222914327,0.04819769222914327,1000.0,1000.0,0.0,4,4,78,858,9,639
34,14,116,643.5,944.5,301.0,12,12,669.0,669.0,0.0,0.0002042275094455223,0.0008169100377820892,578.5,794.0,215.5,4,2,4,643,622,396
35,0,101,165.5,946.0,780.5,0,3,165.5,352.5,187.0,0.0,0.0,202.0,202.0,0.0,8,3,0,796,905,765
36,0,206,166.0,970.0,804.0,0,11,166.0,493.5,327.5,0.0,0.001055175465468532,202.0,825.5,623.5,3,4,0,728,729,234
37,2,103,394.5,924.5,530.0,11,11,446.0,446.0,0.0,6.807583648184077e-05,6.807583648184077e-05,469.5,469.5,0.0,8,6,1,594,334,448
38,1,1,350.5,350.5,0.0,3,3,352.0,352.0,0.0,0.0,0.0,202.0,202.0,0.0,-1,3,1,674,703,990
39,28,234,721.0,965.0,244.0,46,46,741.5,741.5,0.0,0.0008509479560230097,0.0009190237925048504,790.0,799.5,9.5,3,6,5,630,221,425
40,0,0,166.5,166.5,0.0,0,0,166.5,166.5,0.0,0.0,0.0,198.0,198.0,0.0,-1,15,1,124,830,970
41,13,115,564.5,915.0,350.5,30,30,553.0,553.0,0.0,0.00017018959120460194,0.00030634126416828345,548.0,624.5,76.5,4,7,5,366,362,202
42,21,21,661.0,661.0,0.0,28,28,571.5,571.5,0.0,0.0002042275094455223,0.0002042275094455223,579.5,579.5,0.0,-1,6,5,425,528,841
43,32,133,788.0,948.0,160.0,18,18,660.5,660.5,0.0,0.0011232513019503727,0.0011232513019503727,830.0,830.0,0.0,6,3,14,680,175,374
44,130,336,899.0,972.0,73.0,158,158,872.0,872.0,0.0,0.002825147213996392,0.0033016780693692774,917.5,930.5,13.0,3,14,11,127,166,249
45,0,616,166.5,993.0,826.5,0,38,166.5,602.0,435.5,0.0,0.0012253650566731338,195.0,828.5,633.5,2,8,0,301,991,288
46,0,206,166.5,970.0,803.5,0,9,166.5,443.5,277.0,0.0,0.00017018959120460194,205.5,567.0,361.5,3,4,1,690,742,410
47,37,654,762.5,995.0,232.5,34,54,606.0,761.5,155.5,0.0005105687736138058,0.004561081044283332,713.0,952.0,239.0,2,7,10,324,413,111
48,35,35,821.5,821.5,0.0,24,24,799.5,799.5,0.0,0.0006467204465774873,0.0006467204465774873,764.0,764.0,0.0,-1,3,10,826,272,854
49,0,616,166.5,991.0,824.5,0,66,166.5,673.0,506.5,0.0,0.002280540522141666,196.5,896.0,699.5,2,10,0,240,804,85
50,0,616,166.5,989.0,822.5,0,48,166.5,435.0,268.5,0.0,0.00034037918240920387,202.0,639.5,437.5,2,21,0,2,877,260
51,82,82,849.5,849.5,0.0,112,112,807.0,807.0,0.0,0.0006467204465774873,0.0006467204465774873,731.0,731.0,0.0,-1,14,13,84,256,889
