,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,dist_victim_vilain_pre,dist_victim_vilain_post,out_deg_victim,in_deg_villain,victim,villain,relayer
0,19,225,625,958,333,52,52,603,603,0,0.0005105687736138058,0.0008509479560230097,710,775,65,3,4,4,10,5,204,591,688
1,18,224,673,973,300,12,12,549,549,0,0.0002382654276864427,0.001055175465468532,589,815,226,3,4,4,2,3,909,318,180
2,8,8,531,531,0,20,20,596,596,0,0.00013615167296368154,0.00013615167296368154,516,516,0,-1,4,4,4,3,740,508,754
3,0,102,1,921,920,0,4,1,363,362,0.0,3.4037918240920386e-05,1,401,400,4,-1,5,3,0,900,522,586
4,8,214,493,955,462,20,42,421,562,141,0.0,0.0024507301133462676,1,905,904,3,4,4,9,2,327,364,74
5,22,124,668,919,251,38,38,632,632,0,0.00013615167296368154,0.00030634126416828345,511,620,109,4,3,3,8,2,440,682,314
6,3,105,468,961,493,4,4,391,391,0,3.4037918240920386e-05,0.00017018959120460194,405,554,149,4,5,5,3,3,852,563,637
7,0,616,1,993,992,0,56,1,767,766,0.0,0.0042547397801150485,1,949,948,2,-1,3,6,0,560,825,13
8,9,215,518,956,438,38,38,550,550,0,0.0002042275094455223,0.0007828721195411688,563,761,198,3,4,4,9,5,249,395,338
9,8,8,611,611,0,8,8,576,576,0,0.0002382654276864427,0.0002382654276864427,609,609,0,-1,4,4,2,3,974,536,985
10,6,108,459,929,470,13,13,475,475,0,0.0002723033459273631,0.00030634126416828345,613,631,18,4,4,4,5,1,601,527,442
11,16,118,746,968,222,8,8,599,599,0,0.00034037918240920387,0.0015317063208414173,666,864,198,4,4,4,2,7,981,176,157
12,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,6,0,446,796,784
13,0,102,1,871,870,0,26,1,356,355,0.0,0.00010211375472276115,1,468,467,4,-1,5,22,0,22,956,208
14,0,102,1,893,892,0,11,1,355,354,0.0,3.4037918240920386e-05,1,399,398,4,-1,5,10,0,254,971,893
15,18,224,596,959,363,94,94,743,743,0,0.00037441710065012424,0.0005105687736138058,664,706,42,3,3,3,13,3,113,541,617
16,0,206,1,955,954,0,26,1,507,506,0.0,0.001055175465468532,1,812,811,3,-1,4,7,0,331,758,190
17,14,115,661,960,299,10,10,538,538,0,0.00030634126416828345,0.00037441710065012424,630,659,29,5,4,4,3,6,576,229,607
18,4,620,444,997,553,4,22,400,759,359,0.0,0.012696143503863304,1,991,990,2,5,3,2,4,589,442,3
19,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,5,0,396,772,684
