,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,out_deg_victim,in_deg_villain,victim,villain,relayer
759,16,632,548.5,988.0,439.5,82,100,603.0,676.5,73.5,0.00010211375472276115,0.0013955546478777359,495.5,847.0,351.5,2,16,1,50,891,206
760,0,206,166.5,952.5,786.0,0,32,166.5,465.0,298.5,0.0,0.0009870996289866913,197.0,798.0,601.0,3,12,0,212,712,62
761,254,355,983.0,991.0,8.0,32,32,947.0,947.0,0.0,0.006943735321147759,0.007011811157629599,971.5,972.0,0.5,5,2,61,986,14,401
762,98,98,886.0,886.0,0.0,74,74,808.5,808.5,0.0,0.0018720855032506212,0.0018720855032506212,874.5,874.5,0.0,-1,9,19,395,59,673
763,121,327,937.5,987.0,49.5,58,58,949.5,949.5,0.0,0.003778208924742163,0.007590455767725246,937.5,974.0,36.5,3,4,18,631,54,21
764,180,180,959.5,959.5,0.0,62,62,850.0,850.0,0.0,0.003982436434187685,0.003982436434187685,940.5,940.5,0.0,-1,7,38,305,111,863
765,22,22,703.5,703.5,0.0,26,26,722.0,722.0,0.0,0.00037441710065012424,0.00037441710065012424,676.5,676.5,0.0,-1,4,4,445,210,564
766,6,108,489.5,934.0,444.5,20,20,624.0,624.0,0.0,0.0002042275094455223,0.0002382654276864427,576.0,596.5,20.5,4,4,4,650,409,878
767,12,114,556.5,920.0,363.5,38,38,649.0,649.0,0.0,0.0006807583648184077,0.0013615167296368155,739.0,838.0,99.0,4,7,2,359,475,97
768,50,50,805.0,805.0,0.0,70,70,823.5,823.5,0.0,0.0007828721195411688,0.0007828721195411688,778.0,778.0,0.0,-1,8,5,301,418,957
769,12,218,505.0,951.0,446.0,74,74,601.0,601.0,0.0,0.000442492937131965,0.0005786446100956465,690.0,728.0,38.0,3,15,2,68,473,453
770,23,639,694.5,996.0,301.5,34,34,736.0,736.0,0.0,0.00034037918240920387,0.004935498144933456,655.5,960.0,304.5,2,4,4,493,278,33
771,0,0,166.5,166.5,0.0,0,0,166.5,166.5,0.0,0.0,0.0,200.5,200.5,0.0,-1,8,0,442,927,987
772,0,206,166.0,967.0,801.0,0,14,166.0,563.0,397.0,0.0,0.00088498587426393,204.0,796.5,592.5,3,3,0,927,769,53
773,7,109,547.0,944.0,397.0,12,12,706.0,706.0,0.0,0.00030634126416828345,0.0007488342013002485,645.0,777.0,132.0,4,2,3,747,541,413
