,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,dist_victim_vilain_pre,dist_victim_vilain_post,out_deg_victim,in_deg_villain,victim,villain,relayer
0,6,6,401,401,0,26,26,415,415,0,6.807583648184077e-05,6.807583648184077e-05,448,448,0,-1,4,4,13,2,242,509,860
1,12,628,549,994,445,24,46,521,724,203,0.0002042275094455223,0.00616086320160659,574,970,396,2,4,3,6,2,255,425,6
2,28,234,796,982,186,22,22,820,820,0,0.000442492937131965,0.0020763130126961434,699,898,199,3,3,3,2,3,232,318,73
3,72,174,899,970,71,18,18,693,693,0,0.0013274788113958951,0.0016678579938050988,851,872,21,4,4,4,3,17,564,96,343
4,6,108,422,911,489,32,32,597,597,0,0.00017018959120460194,0.00017018959120460194,545,545,0,4,4,4,8,2,442,223,924
5,0,206,1,958,957,0,33,1,543,542,0.0,0.0018040096667687805,1,869,868,3,-1,4,9,0,168,502,72
6,66,66,840,840,0,78,78,836,836,0,0.0020422750944552232,0.0020422750944552232,884,884,0,-1,2,2,8,8,508,386,514
7,0,206,1,985,984,0,10,1,591,590,0.0,0.001055175465468532,1,817,816,3,-1,4,3,0,853,769,143
8,2,2,359,359,0,4,4,360,360,0,3.4037918240920386e-05,3.4037918240920386e-05,404,404,0,-1,5,5,3,2,930,679,876
9,2,103,364,929,565,4,4,406,406,0,0.0,3.4037918240920386e-05,1,400,399,5,5,5,2,1,750,807,430
10,282,488,968,982,14,162,162,933,933,0,0.004799346471969774,0.006569318220497634,956,970,14,3,3,3,12,36,87,48,98
11,0,206,1,962,961,0,16,1,507,506,0.0,0.0012934408931549745,1,848,847,3,-1,4,4,0,300,982,109
12,0,101,1,892,891,0,8,1,332,331,0.0,0.00010211375472276115,1,478,477,5,-1,6,8,0,325,819,755
13,0,206,1,972,971,0,8,1,472,471,0.0,0.001157289220191293,1,837,836,3,-1,4,2,0,828,349,227
14,6,108,405,899,494,21,22,411,413,2,0.0,0.00010211375472276115,1,477,476,4,4,4,10,2,254,842,670
15,11,11,647,647,0,9,9,534,534,0,0.00017018959120460194,0.00017018959120460194,551,551,0,-1,4,4,3,5,796,562,705
16,0,206,1,957,956,0,30,1,482,481,0.0,0.001497668402600497,1,853,852,3,-1,4,9,0,276,674,146
17,56,157,944,989,45,22,22,957,957,0,0.003778208924742163,0.003982436434187685,943,950,7,5,3,3,2,20,775,38,795
18,0,206,1,952,951,0,34,1,501,500,0.0,0.00034037918240920387,1,643,642,3,-1,4,9,0,269,774,114
19,0,616,1,997,996,0,34,1,761,760,0.0,0.005071649817897137,1,961,960,2,-1,3,4,3,711,348,25
20,180,180,940,940,0,174,174,911,911,0,0.0026889955410327104,0.0026889955410327104,915,915,0,-1,3,3,14,20,21,94,937
21,0,206,1,942,941,0,55,1,456,455,0.0,6.807583648184077e-05,1,430,429,3,-1,4,20,0,70,839,541
22,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,12,0,52,927,733
23,2,2,365,365,0,6,6,367,367,0,0.0,0.0,1,1,0,-1,5,5,5,1,695,763,980
24,0,206,1,953,952,0,29,1,444,443,0.0,0.000442492937131965,1,684,683,3,-1,4,11,0,139,855,177
25,90,192,894,966,72,54,54,899,899,0,0.0020082371762143027,0.0020082371762143027,887,887,0,4,3,3,4,15,675,53,225
26,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,2,1,968,962,907
27,30,646,763,997,234,24,34,694,787,93,0.0009870996289866913,0.0033016780693692774,816,933,117,2,4,3,4,5,885,403,382
28,14,630,502,990,488,45,92,472,658,186,0.00013615167296368154,0.0029612988869600733,498,913,415,2,4,3,16,3,134,485,105
29,8,624,502,994,492,19,38,441,606,165,6.807583648184077e-05,0.002484768031587188,452,903,451,2,4,3,8,3,365,196,87
30,60,266,887,987,100,28,28,849,849,0,0.0018720855032506212,0.002110350930937064,886,897,11,3,3,3,3,13,523,183,222
31,88,190,923,975,52,42,42,976,976,0,0.004833384390210695,0.005956635692161067,962,969,7,4,2,2,2,18,283,54,120
32,0,101,1,881,880,0,13,1,331,330,0.0,0.0,1,1,0,6,-1,7,13,0,67,574,437
33,18,634,601,992,391,34,35,475,479,4,0.00010211375472276115,0.0008509479560230097,474,776,302,2,3,3,12,2,187,602,486
34,9,111,527,910,383,12,12,430,430,0,3.4037918240920386e-05,3.4037918240920386e-05,392,392,0,4,4,4,4,3,493,526,552
35,6,212,388,946,558,32,44,435,486,51,6.807583648184077e-05,0.0007147962830593281,443,754,311,3,4,4,14,1,108,899,340
36,161,161,957,957,0,58,58,937,937,0,0.0032336022328874367,0.0032336022328874367,927,927,0,-1,2,2,4,30,783,65,488
37,20,636,731,999,268,12,22,712,837,125,0.0006126825283365669,0.003608019333537561,745,942,197,2,4,3,2,7,988,169,42
38,67,169,874,964,90,40,40,863,863,0,0.0012594029749140542,0.001497668402600497,840,856,16,4,3,3,4,15,573,62,191
39,0,206,1,946,945,0,62,1,532,531,0.0,0.0014295925661186562,1,842,841,3,-1,4,15,0,107,950,157
40,1,102,333,893,560,6,6,333,333,0,6.807583648184077e-05,0.00013615167296368154,450,525,75,5,6,6,6,3,432,708,646
41,16,118,661,945,284,12,12,597,597,0,0.0002042275094455223,0.0006807583648184077,575,760,185,4,4,4,2,4,972,259,470
42,38,38,842,842,0,18,18,800,800,0,0.0009530617107457708,0.0009530617107457708,817,817,0,-1,3,3,2,11,896,193,916
43,58,160,879,970,91,12,12,712,712,0,0.001599782157323258,0.0016678579938050988,861,869,8,4,4,4,2,19,988,144,461
44,89,89,870,870,0,78,78,807,807,0,0.0010211375472276116,0.0010211375472276116,805,805,0,-1,3,3,8,15,428,219,488
45,0,102,1,905,904,0,7,1,372,371,0.0,0.0002042275094455223,1,560,559,4,-1,5,5,0,501,372,282
46,10,112,546,923,377,16,16,513,513,0,0.00017018959120460194,0.0002042275094455223,545,572,27,4,4,4,4,3,632,704,444
47,5,5,462,462,0,6,6,435,435,0,0.0002042275094455223,0.0002042275094455223,569,569,0,-1,5,5,3,3,676,536,629
48,156,258,962,983,21,38,38,914,914,0,0.0042547397801150485,0.00442492937131965,952,953,1,4,3,3,3,30,628,75,427
49,10,112,576,927,351,18,18,533,533,0,0.00030634126416828345,0.00030634126416828345,635,635,0,4,4,4,5,6,452,247,597
50,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,3,0,864,651,742
51,0,102,1,931,930,0,7,1,399,398,0.0,0.00017018959120460194,1,556,555,4,-1,5,4,0,617,812,396
52,178,178,952,952,0,86,86,925,925,0,0.0037441710065012424,0.0037441710065012424,941,941,0,-1,3,3,6,30,536,39,455
53,0,206,1,949,948,0,28,1,409,408,0.0,0.0002382654276864427,1,589,588,3,-1,4,13,0,41,276,683
54,0,616,1,992,991,0,36,1,650,649,0.0,0.001940161339732462,1,883,882,2,-1,3,5,0,238,898,137
55,32,133,715,919,204,52,52,650,650,0,0.0005105687736138058,0.0005105687736138058,715,715,0,5,3,3,9,6,803,516,601
56,1,207,333,949,616,14,39,333,462,129,0.0,0.0006807583648184077,1,738,737,3,6,4,14,1,21,893,366
57,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,9,0,351,987,819
58,103,719,934,999,65,38,38,879,879,0,0.0022465026039007454,0.004050512270669526,902,950,48,2,3,3,3,23,791,117,221
59,0,102,1,944,943,0,3,1,369,368,0.0,0.0002382654276864427,1,612,611,4,-1,5,2,0,947,798,167
60,26,127,753,946,193,30,30,759,759,0,0.0005786446100956465,0.0006467204465774873,729,744,15,5,3,3,4,8,611,302,680
61,3,209,395,957,562,17,21,397,433,36,0.00013615167296368154,0.0005786446100956465,509,733,224,3,5,4,9,3,263,631,279
62,0,102,1,874,873,0,13,1,350,349,0.0,3.4037918240920386e-05,1,405,404,4,-1,5,12,1,96,650,518
63,2,104,395,962,567,3,4,404,454,50,0.0,0.0006807583648184077,1,767,766,4,5,5,2,1,481,639,535
64,0,206,1,949,948,0,23,1,402,401,0.0,0.00013615167296368154,1,511,510,3,-1,4,12,0,194,992,479
65,0,101,1,898,897,0,8,1,329,328,0.0,0.0,1,1,0,7,-1,8,8,0,443,952,582
66,105,207,948,977,29,22,22,822,822,0,0.0028591851322373124,0.003437829742332959,932,936,4,4,3,3,2,28,975,44,195
67,20,122,663,931,268,22,22,538,538,0,0.00010211375472276115,0.00010211375472276115,491,491,0,4,4,4,5,4,501,504,692
68,42,658,761,995,234,90,100,774,818,44,0.0006467204465774873,0.0015657442390823377,747,854,107,2,3,3,12,6,375,494,642
69,6,6,611,611,0,7,7,676,676,0,0.00010211375472276115,0.00010211375472276115,496,496,0,-1,4,4,2,1,944,862,775
70,0,206,1,973,972,0,13,1,479,478,0.0,0.00088498587426393,1,796,795,3,-1,4,5,0,663,982,497
71,28,644,724,997,273,32,42,648,733,85,0.0009190237925048504,0.003880322679464924,795,945,150,2,4,3,6,7,451,150,109
72,302,404,984,993,9,88,88,989,989,0,0.00970080669866231,0.00976888253514415,984,984,0,4,2,2,4,62,491,70,152
73,0,206,1,949,948,0,34,1,494,493,0.0,0.0010892133837094523,1,811,810,3,-1,4,9,0,100,933,277
74,2,2,349,349,0,23,23,372,372,0,0.0,0.0,1,1,0,-1,5,5,17,1,73,763,846
75,2,208,355,952,597,12,23,361,422,61,0.0,0.0006126825283365669,1,722,721,3,5,4,10,1,254,593,216
76,0,102,1,902,901,0,11,1,393,392,0.0,6.807583648184077e-05,1,453,452,4,-1,5,7,0,722,981,586
77,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,9,1,803,830,571
78,24,126,680,920,240,88,88,843,843,0,0.0014636304843595766,0.0015317063208414173,843,851,8,4,3,3,8,3,225,642,477
79,0,102,1,943,942,0,4,1,426,425,0.0,0.00010211375472276115,1,491,490,4,-1,5,2,0,896,773,202
80,2,103,403,971,568,3,3,420,420,0,0.0,0.0002382654276864427,1,620,619,5,5,5,2,2,941,495,341
81,0,206,1,969,968,0,11,1,445,444,0.0,0.00030634126416828345,1,631,630,3,-1,4,5,0,326,906,188
82,64,1704,787,1000,213,258,292,886,930,44,0.0009190237925048504,0.00616086320160659,773,958,185,1,2,2,23,7,43,224,363
83,0,101,1,918,917,0,4,1,331,330,0.0,3.4037918240920386e-05,1,400,399,5,-1,6,4,0,969,833,885
84,6,6,446,446,0,24,24,550,550,0,0.000442492937131965,0.000442492937131965,692,692,0,-1,4,4,6,1,465,500,877
85,106,208,892,958,66,126,126,934,934,0,0.0014636304843595766,0.0015317063208414173,849,849,0,4,2,2,11,12,248,155,662
86,9,9,566,566,0,12,12,490,490,0,0.00017018959120460194,0.00017018959120460194,544,544,0,-1,4,4,4,3,563,214,850
87,0,102,1,938,937,0,6,1,452,451,0.0,0.0008509479560230097,1,787,786,4,-1,5,3,0,871,825,118
88,16,16,510,510,0,174,174,782,782,0,0.00034037918240920387,0.00034037918240920387,625,625,0,-1,3,3,22,1,55,480,953
89,16,16,525,525,0,72,72,560,560,0,0.00017018959120460194,0.00017018959120460194,533,533,0,-1,3,3,17,1,210,420,850
90,0,206,1,950,949,0,39,1,475,474,0.0,0.0007828721195411688,1,754,753,3,-1,4,12,0,87,867,193
91,1,103,333,930,597,4,5,333,369,36,6.807583648184077e-05,6.807583648184077e-05,440,441,1,4,6,5,4,1,507,593,749
92,17,119,700,953,253,12,12,608,608,0,0.00034037918240920387,0.0007147962830593281,651,770,119,4,4,4,2,6,713,4,165
93,0,206,1,973,972,0,14,1,576,575,0.0,0.0007488342013002485,1,763,762,3,-1,4,3,0,912,928,224
94,1,1,332,332,0,2,2,332,332,0,3.4037918240920386e-05,3.4037918240920386e-05,412,412,0,-1,6,6,2,2,897,357,388
95,149,765,904,992,88,244,254,926,938,12,0.0026889955410327104,0.003914360597705844,906,941,35,2,3,3,19,20,11,87,62
96,8,214,494,954,460,32,52,489,624,135,3.4037918240920386e-05,0.003199564314646516,393,925,532,3,4,4,10,2,169,724,75
97,24,230,659,958,299,58,58,635,635,0,0.00013615167296368154,0.00037441710065012424,507,656,149,3,3,3,10,3,82,301,468
98,22,228,652,966,314,40,44,601,619,18,0.0002723033459273631,0.0004084550188910446,597,666,69,3,3,3,9,2,395,680,406
99,0,102,1,879,878,0,14,1,353,352,0.0,0.0,1,1,0,4,-1,5,13,1,113,705,419
100,7,108,512,914,402,36,36,696,696,0,0.0002382654276864427,0.0002382654276864427,579,579,0,6,4,4,6,3,575,354,861
101,6,108,415,903,488,18,18,481,481,0,3.4037918240920386e-05,6.807583648184077e-05,404,444,40,4,4,4,5,1,546,862,364
102,0,206,1,979,978,0,8,1,518,517,0.0,0.0009530617107457708,1,809,808,3,-1,4,2,0,802,969,226
103,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,7,0,482,923,696
104,36,138,741,917,176,62,62,729,729,0,0.0006126825283365669,0.0007147962830593281,738,755,17,4,3,3,7,7,296,224,579
105,0,102,1,887,886,0,11,1,352,351,0.0,3.4037918240920386e-05,1,396,395,4,-1,5,10,1,437,835,931
106,30,30,728,728,0,48,48,711,711,0,0.0004084550188910446,0.0004084550188910446,680,680,0,-1,3,3,7,5,413,165,828
107,34,34,781,781,0,50,50,851,851,0,0.0013274788113958951,0.0013274788113958951,842,842,0,-1,3,3,5,4,386,281,986
108,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,4,0,572,696,990
109,64,64,869,869,0,28,28,780,780,0,0.0017018959120460194,0.0017018959120460194,871,871,0,-1,3,3,3,15,588,36,953
110,6,622,386,991,605,77,114,526,651,125,0.00010211375472276115,0.0016338200755641784,472,863,391,2,4,3,19,1,46,904,269
111,18,119,716,954,238,8,8,523,523,0,0.00088498587426393,0.0009190237925048504,804,811,7,5,4,4,2,5,906,403,623
112,0,102,1,924,923,0,7,1,394,393,0.0,0.0002723033459273631,1,625,624,4,-1,5,5,0,629,632,176
113,4,210,455,976,521,6,10,454,524,70,0.00013615167296368154,0.0024166921951053475,513,914,401,3,5,4,3,5,888,395,48
114,34,136,755,938,183,44,44,692,692,0,0.0005786446100956465,0.0007488342013002485,727,768,41,4,3,3,7,4,361,246,454
115,29,29,804,804,0,18,18,730,730,0,0.0013615167296368155,0.0013615167296368155,855,855,0,-1,4,4,3,9,888,414,910
116,37,243,799,973,174,32,32,711,711,0,0.0006807583648184077,0.0015657442390823377,750,869,119,3,3,3,5,9,766,240,185
117,16,222,516,954,438,45,92,446,619,173,0.00037441710065012424,0.0018720855032506212,651,879,228,3,3,3,17,1,23,687,96
118,22,124,741,955,214,18,18,788,788,0,0.0004084550188910446,0.0007147962830593281,681,768,87,4,3,3,2,2,980,827,258
119,1,103,333,948,615,3,5,333,411,78,0.0,0.0004765308553728854,1,712,711,4,7,5,3,2,718,448,381
120,40,141,728,912,184,96,96,740,740,0,0.0009870996289866913,0.0009870996289866913,790,790,0,5,2,2,12,2,175,532,721
121,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,5,0,528,917,908
