,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,dist_victim_vilain_pre,dist_victim_vilain_post,out_deg_victim,in_deg_villain,victim,villain,relayer
902,14,220,539,953,414,72,76,598,608,10,0.000442492937131965,0.0006807583648184077,685,755,70,3,4,4,14,3,198,236,323
903,6,212,412,960,548,18,30,448,549,101,0.00013615167296368154,0.0017018959120460194,509,863,354,3,4,4,7,3,209,309,112
904,0,101,1,888,887,0,9,1,330,329,0.0,0.0,1,1,0,5,-1,6,9,0,164,955,265
905,62,268,786,959,173,146,154,728,760,32,0.0006126825283365669,0.0013274788113958951,714,831,117,3,2,2,21,4,25,479,289
906,61,163,851,948,97,46,46,760,760,0,0.0016678579938050988,0.0017359338302869397,863,871,8,4,3,3,6,14,295,84,230
907,68,169,899,973,74,38,38,930,930,0,0.002927260968719153,0.002927260968719153,929,929,0,5,3,3,3,17,797,180,411
908,48,150,819,944,125,46,46,737,737,0,0.0012594029749140542,0.0013955546478777359,829,840,11,4,3,3,6,9,345,130,617
909,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,5,1,677,706,874
910,139,139,917,917,0,162,162,939,939,0,0.0027911092957554717,0.0027911092957554717,919,919,0,-1,3,3,12,27,348,304,872
911,0,616,1,996,995,0,48,1,643,642,0.0,0.002825147213996392,1,917,916,2,-1,3,9,1,395,780,88
912,8,8,532,532,0,19,19,533,533,0,0.0002042275094455223,0.0002042275094455223,579,579,0,-1,4,4,6,5,661,464,914
913,6,212,407,957,550,46,50,585,613,28,0.00013615167296368154,0.0004765308553728854,520,702,182,3,4,4,9,2,245,652,417
914,26,128,739,937,198,12,12,563,563,0,0.0004765308553728854,0.0007147962830593281,713,764,51,4,4,4,2,7,859,134,404
915,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,10,0,114,832,806
916,2,2,359,359,0,5,5,383,383,0,6.807583648184077e-05,6.807583648184077e-05,453,453,0,-1,5,5,3,2,687,615,833
917,47,47,814,814,0,42,42,732,732,0,0.0008169100377820892,0.0008169100377820892,777,777,0,-1,3,3,6,13,515,340,649
918,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,5,1,669,660,996
919,8,8,499,499,0,16,16,433,433,0,3.4037918240920386e-05,3.4037918240920386e-05,405,405,0,-1,4,4,6,2,368,244,971
920,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,15,0,49,925,488
921,6,6,468,468,0,8,8,488,488,0,0.00010211375472276115,0.00010211375472276115,492,492,0,-1,4,4,2,1,705,360,514
922,6,1646,417,1000,583,24,70,506,865,359,3.4037918240920386e-05,0.02413288403281255,407,994,587,1,4,2,6,1,425,463,37
923,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,3,1,862,913,611
924,7,213,497,961,464,23,28,465,501,36,0.0002042275094455223,0.0002723033459273631,563,603,40,3,4,4,8,2,443,566,711
925,1,1,333,333,0,6,6,333,333,0,0.0,0.0,1,1,0,-1,6,6,6,1,494,621,796
926,0,206,1,960,959,0,44,1,582,581,0.0,0.0029612988869600733,1,926,925,3,-1,4,8,0,231,758,28
927,0,101,1,878,877,0,16,1,332,331,0.0,0.0,1,1,0,6,-1,7,16,0,78,942,640
928,100,100,865,865,0,100,100,857,857,0,0.01695088328397835,0.01695088328397835,991,991,0,-1,1,1,9,3,274,263,784
929,0,206,1,974,973,0,16,1,560,559,0.0,0.0015317063208414173,1,861,860,3,-1,4,4,0,682,988,66
930,0,102,1,913,912,0,12,1,431,430,0.0,0.0018720855032506212,1,866,865,4,-1,5,6,1,664,705,123
931,64,166,843,944,101,72,72,829,829,0,0.0006807583648184077,0.0006807583648184077,753,753,0,4,3,3,7,6,714,377,788
932,0,206,1,976,975,0,8,1,533,532,0.0,0.0009870996289866913,1,817,816,3,-1,4,2,0,684,574,153
933,31,132,672,907,235,106,106,716,716,0,0.0005105687736138058,0.0005446066918547262,690,700,10,5,3,3,15,6,65,467,703
934,6,212,397,948,551,26,38,446,501,55,0.00013615167296368154,0.0019741992579733825,506,895,389,3,4,4,9,1,101,840,112
935,84,1724,801,1000,199,224,262,725,782,57,0.0006126825283365669,0.004152626025392287,716,929,213,1,2,2,35,5,20,182,221
936,0,102,1,933,932,0,7,1,418,417,0.0,0.0004765308553728854,1,707,706,4,-1,5,4,1,679,806,559
937,86,292,887,976,89,44,44,787,787,0,0.0018380475850097008,0.002144388849177984,874,896,22,3,3,3,4,15,410,151,586
