,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,dist_victim_vilain_pre,dist_victim_vilain_post,out_deg_victim,in_deg_villain,victim,villain,relayer
0,0,206,1,929,928,0,62,1,389,388,0.0,0.00013615167296368154,1,499,498,3,-1,4,36,0,16,940,567
1,34,34,810,810,0,28,28,794,794,0,0.0009870996289866913,0.0009870996289866913,812,812,0,-1,3,3,3,6,729,658,735
2,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,9,0,202,839,812
3,6,6,477,477,0,14,14,568,568,0,0.00013615167296368154,0.00013615167296368154,521,521,0,-1,4,4,3,3,583,260,929
4,1,207,333,965,632,7,17,333,460,127,0.0,0.00088498587426393,1,780,779,3,8,4,7,1,482,857,630
5,7,109,524,935,411,20,20,583,583,0,6.807583648184077e-05,0.00013615167296368154,446,512,66,4,4,4,4,4,650,305,762
6,2,104,355,899,544,12,12,378,378,0,0.0,6.807583648184077e-05,1,443,442,4,5,5,8,3,443,460,756
7,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,2,1,910,814,520
8,100,100,860,860,0,100,100,653,653,0,0.01320671227747711,0.013376901868681712,986,986,0,3,1,1,15,13,51,261,870
9,2,103,362,910,548,6,6,362,362,0,0.0,3.4037918240920386e-05,1,399,398,5,5,5,5,1,412,402,572
10,30,646,713,997,284,42,56,600,698,98,0.0006807583648184077,0.004493005207801491,749,951,202,2,4,3,9,9,177,245,77
11,84,186,895,967,72,50,50,868,868,0,0.0020763130126961434,0.002484768031587188,890,907,17,4,3,3,5,16,612,78,688
12,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,6,0,764,744,324
13,8,8,486,486,0,50,50,542,542,0,0.00013615167296368154,0.00013615167296368154,511,511,0,-1,4,4,13,2,242,697,635
14,23,23,732,732,0,52,52,858,858,0,0.0005446066918547262,0.0005446066918547262,720,720,0,-1,3,3,6,7,661,224,514
15,104,206,941,976,35,58,58,975,975,0,0.0046972327172470135,0.004765308553728854,957,958,1,4,2,2,4,22,553,128,339
16,43,144,879,974,95,8,8,571,571,0,0.0014295925661186562,0.0014295925661186562,865,865,0,5,4,4,2,17,950,79,592
17,0,102,1,886,885,0,20,1,395,394,0.0,3.4037918240920386e-05,1,396,395,4,-1,5,11,0,188,784,260
18,8,8,589,589,0,12,12,640,640,0,0.0002042275094455223,0.0002042275094455223,567,567,0,-1,4,4,2,4,809,278,897
19,4,105,438,933,495,10,10,450,450,0,6.807583648184077e-05,6.807583648184077e-05,455,455,0,7,5,5,5,2,574,791,703
20,8,8,552,552,0,14,14,548,548,0,0.0006126825283365669,0.0006126825283365669,744,744,0,-1,4,4,3,3,923,209,934
21,12,12,673,673,0,14,14,682,682,0,0.00034037918240920387,0.00034037918240920387,658,658,0,-1,4,4,3,2,668,682,200
22,1,1,333,333,0,3,3,333,333,0,3.4037918240920386e-05,3.4037918240920386e-05,393,393,0,-1,6,6,3,3,710,676,858
