,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,dist_victim_vilain_pre,dist_victim_vilain_post,out_deg_victim,in_deg_villain,victim,villain,relayer
0,6,6,375,375,0,37,37,382,382,0,3.4037918240920386e-05,3.4037918240920386e-05,393,393,0,-1,4,4,22,2,33,509,825
1,2,2,380,380,0,5,5,417,417,0,6.807583648184077e-05,6.807583648184077e-05,447,447,0,-1,5,5,3,2,786,313,235
2,1,207,333,955,622,10,28,333,455,122,0.0,0.0004084550188910446,1,672,671,3,7,4,10,2,99,582,52
3,4,4,443,443,0,6,6,419,419,0,3.4037918240920386e-05,3.4037918240920386e-05,406,406,0,-1,5,5,3,2,627,244,433
4,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,12,0,96,372,921
5,14,14,565,565,0,40,40,602,602,0,0.00030634126416828345,0.00030634126416828345,624,624,0,-1,4,4,8,3,443,236,989
6,1,103,333,930,597,4,5,333,368,35,0.0,0.0002382654276864427,1,603,602,4,6,5,4,1,491,861,443
7,65,65,817,817,0,96,96,677,677,0,0.0009190237925048504,0.0009190237925048504,788,788,0,-1,3,3,16,10,134,366,660
8,0,102,1,928,927,0,5,1,356,355,0.0,3.4037918240920386e-05,1,395,394,4,-1,5,4,0,635,813,361
9,40,246,753,964,211,62,82,664,773,109,0.0007828721195411688,0.002212464685659825,768,886,118,3,2,2,10,1,82,531,73
10,8,109,479,898,419,24,24,423,423,0,6.807583648184077e-05,6.807583648184077e-05,456,456,0,6,4,4,10,2,114,549,692
11,0,101,1,902,901,0,9,1,332,331,0.0,0.0,1,1,0,6,-1,7,9,0,119,548,861
12,51,257,849,979,130,44,44,872,872,0,0.0012253650566731338,0.003199564314646516,838,932,94,3,3,3,4,8,611,204,55
13,12,218,587,972,385,32,36,625,677,52,0.00013615167296368154,0.0007488342013002485,509,776,267,3,4,4,6,2,253,827,312
14,0,102,1,945,944,0,4,1,431,430,0.0,0.00037441710065012424,1,667,666,4,-1,5,2,2,951,271,308
15,21,21,643,643,0,28,28,518,518,0,0.0002723033459273631,0.0002723033459273631,614,614,0,-1,4,4,6,6,312,279,954
16,0,101,1,969,968,0,2,1,330,329,0.0,3.4037918240920386e-05,1,400,399,5,-1,6,2,0,813,774,464
17,0,102,1,919,918,0,3,1,359,358,0.0,0.0,1,1,0,4,-1,5,2,0,893,673,506
18,102,203,952,982,30,32,32,938,938,0,0.003948398515946765,0.003982436434187685,946,948,2,5,3,3,2,26,897,112,899
19,32,648,722,995,273,60,70,682,736,54,0.00017018959120460194,0.002757071377514551,552,919,367,2,3,3,9,6,147,486,211
20,41,41,760,760,0,80,80,766,766,0,0.0008169100377820892,0.0008169100377820892,778,778,0,-1,3,3,10,9,211,293,713
21,20,226,691,972,281,22,26,672,735,63,0.0005105687736138058,0.0009870996289866913,713,806,93,3,3,3,4,3,545,677,485
22,0,101,1,887,886,0,11,1,332,331,0.0,0.0,1,1,0,5,-1,6,11,0,234,533,734
23,34,240,685,954,269,164,164,889,889,0,0.0005446066918547262,0.0009530617107457708,703,787,84,3,3,3,14,5,133,589,473
24,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,11,0,229,817,979
25,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,4,1,619,428,813
26,40,142,734,918,184,102,102,789,789,0,0.0006467204465774873,0.0006467204465774873,726,726,0,4,3,3,12,6,143,381,748
27,0,206,1,957,956,0,16,1,398,397,0.0,0.0002382654276864427,1,589,588,3,-1,4,9,0,126,943,188
28,22,228,739,977,238,22,22,805,805,0,0.0004765308553728854,0.00088498587426393,701,792,91,3,3,3,2,3,609,610,224
29,24,230,650,959,309,60,64,606,633,27,0.0004084550188910446,0.0004765308553728854,667,691,24,3,3,3,11,7,150,427,222
30,0,102,1,927,926,0,8,1,404,403,0.0,0.00010211375472276115,1,483,482,4,-1,5,5,0,463,713,136
31,0,101,1,884,883,0,9,1,332,331,0.0,6.807583648184077e-05,1,441,440,5,-1,6,9,3,202,348,398
32,222,323,960,977,17,168,168,957,957,0,0.003982436434187685,0.003982436434187685,941,941,0,8,2,2,10,26,149,112,647
33,0,616,1,990,989,0,80,1,661,660,0.0,0.003710133088260322,1,939,938,2,-1,3,13,0,160,973,142
34,0,102,1,924,923,0,5,1,379,378,0.0,0.00010211375472276115,1,490,489,4,-1,5,3,1,592,895,704
35,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,4,0,558,868,254
36,0,206,1,978,977,0,9,1,474,473,0.0,0.0004084550188910446,1,676,675,3,-1,4,3,0,676,863,46
37,1,103,333,958,625,2,3,333,381,48,0.0,6.807583648184077e-05,1,446,445,4,6,5,2,1,878,861,222
38,24,126,730,936,206,30,30,690,690,0,0.0007147962830593281,0.0012253650566731338,755,839,84,4,4,4,5,7,452,169,177
39,0,616,1,999,998,0,18,1,785,784,0.0,0.003437829742332959,1,931,930,2,-1,3,2,0,713,446,138
40,2,104,356,902,546,13,13,400,400,0,6.807583648184077e-05,0.00010211375472276115,460,491,31,4,5,5,7,1,273,931,385
