,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,out_deg_victim,in_deg_villain,victim,villain,relayer
0,66,272,826.0,963.0,137.0,124,124,807.0,807.0,0.0,0.0017359338302869397,0.0030634126416828346,869.5,922.0,52.5,3,14,12,108,100,71
1,12,12,629.5,629.5,0.0,12,12,545.5,545.5,0.0,0.00017018959120460194,0.00017018959120460194,555.0,555.0,0.0,-1,4,5,794,350,483
2,0,0,166.5,166.5,0.0,0,0,166.5,166.5,0.0,0.0,0.0,198.0,198.0,0.0,-1,11,0,307,673,254
3,109,210,876.0,942.0,66.0,224,224,910.5,910.5,0.0,0.001055175465468532,0.0010892133837094523,804.5,809.5,5.0,5,19,14,148,175,781
4,10,10,617.0,617.0,0.0,12,12,716.0,716.0,0.0,0.00037441710065012424,0.00037441710065012424,687.5,687.5,0.0,-1,2,3,776,351,349
5,0,102,166.5,877.0,710.5,0,21,166.5,393.0,226.5,0.0,0.0002382654276864427,200.0,582.0,382.0,4,12,0,87,502,275
6,0,102,166.0,952.0,786.0,0,4,166.0,488.5,322.5,0.0,0.00037441710065012424,198.5,668.0,469.5,4,2,0,830,638,404
7,87,189,875.0,956.5,81.5,64,64,822.0,822.0,0.0,0.0012594029749140542,0.0012594029749140542,836.5,836.5,0.0,4,8,17,541,269,788
8,28,644,687.5,991.0,303.5,64,86,670.5,762.0,91.5,0.0002723033459273631,0.003982436434187685,602.5,943.0,340.5,2,11,3,215,301,75
9,0,102,166.5,892.5,726.0,0,15,166.5,392.0,225.5,0.0,0.00010211375472276115,200.0,490.5,290.5,4,9,0,394,967,110
10,6,108,470.5,914.0,443.5,13,16,440.0,486.0,46.0,6.807583648184077e-05,0.0002723033459273631,472.5,639.0,166.5,4,6,1,267,771,474
11,28,28,707.5,707.5,0.0,74,74,797.0,797.0,0.0,0.0006467204465774873,0.0006467204465774873,742.0,742.0,0.0,-1,9,4,250,326,517
12,32,134,708.0,910.0,202.0,64,64,659.0,659.0,0.0,0.0008509479560230097,0.0009190237925048504,764.5,776.0,11.5,4,11,6,163,516,300
13,81,697,840.5,992.0,151.5,110,124,783.5,824.0,40.5,0.0008509479560230097,0.0057524081827155455,770.0,960.5,190.5,2,14,13,181,120,12
14,2,208,370.5,946.0,575.5,16,46,355.0,484.5,129.5,0.0,0.0005786446100956465,199.5,713.0,513.5,3,15,1,65,861,143
15,0,0,166.5,166.5,0.0,0,0,166.5,166.5,0.0,0.0,0.0,200.0,200.0,0.0,-1,19,1,31,685,983
16,68,170,878.0,964.0,86.0,40,40,863.0,863.0,0.0,0.0020763130126961434,0.0024166921951053475,888.5,900.5,12.0,4,4,14,635,84,240
17,0,206,166.0,985.0,819.0,0,14,166.0,733.5,567.5,0.0,0.0018720855032506212,199.5,890.5,691.0,3,3,0,730,511,55
18,175,791,937.0,995.0,58.0,126,126,876.5,876.5,0.0,0.0022465026039007454,0.004016474352428605,895.0,944.5,49.5,2,11,24,162,119,36
19,22,22,691.5,691.5,0.0,32,32,639.0,639.0,0.0,0.0002723033459273631,0.0002723033459273631,618.0,618.0,0.0,-1,6,7,275,253,940
20,6,108,495.5,925.5,430.0,20,20,615.0,615.0,0.0,3.4037918240920386e-05,0.00017018959120460194,424.5,564.5,140.0,4,4,1,397,661,749
21,177,177,940.0,940.0,0.0,166,166,951.5,951.5,0.0,0.0033016780693692774,0.0033016780693692774,930.5,930.5,0.0,-1,12,20,194,95,276
22,0,206,166.5,972.0,805.5,0,8,166.5,542.0,375.5,0.0,0.0006467204465774873,205.0,754.0,549.0,3,2,0,931,502,221
23,7,213,483.0,957.0,474.0,56,64,596.0,641.0,45.0,0.00030634126416828345,0.002927260968719153,633.0,919.5,286.5,3,12,2,375,323,26
24,201,201,955.0,955.0,0.0,110,110,925.5,925.5,0.0,0.004595118962524252,0.004595118962524252,954.0,954.0,0.0,-1,10,27,527,25,863
25,105,311,905.0,977.0,72.0,72,72,847.5,847.5,0.0,0.0019061234214915416,0.002382654276864427,876.5,902.0,25.5,3,7,19,450,144,382
26,22,228,766.0,986.0,220.0,22,22,878.5,878.5,0.0,0.0002723033459273631,0.0010892133837094523,624.0,818.5,194.5,3,2,5,809,231,49
27,0,0,166.5,166.5,0.0,0,0,166.5,166.5,0.0,0.0,0.0,197.5,197.5,0.0,-1,19,0,89,910,271
28,0,1640,166.5,1000.0,833.5,0,218,166.5,910.5,744.0,0.0,0.016270124919159943,200.5,993.0,792.5,1,19,0,48,963,2
