,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,out_deg_victim,in_deg_villain,victim,villain,relayer
530,12,113,535.5,902.5,367.0,27,27,472.5,472.5,0.0,0.00010211375472276115,0.00010211375472276115,489.5,489.5,0.0,6,10,4,241,315,656
531,10,112,577.5,931.0,353.5,15,15,527.5,527.5,0.0,3.4037918240920386e-05,3.4037918240920386e-05,430.5,430.5,0.0,4,4,4,755,567,749
532,31,133,815.0,960.0,145.0,20,20,706.5,706.5,0.0,0.0007828721195411688,0.0013615167296368155,785.0,847.0,62.0,4,4,13,480,120,218
533,0,206,166.5,973.5,807.0,0,14,166.5,515.0,348.5,0.0,0.0013615167296368155,197.5,846.0,648.5,3,5,0,663,228,193
534,0,101,166.5,871.0,704.5,0,16,166.5,339.0,172.5,0.0,0.0,200.0,200.0,0.0,6,16,0,151,992,140
535,0,0,166.5,166.5,0.0,0,0,166.5,166.5,0.0,0.0,0.0,198.0,198.0,0.0,-1,3,1,592,742,839
536,65,271,871.5,976.0,104.5,34,34,827.0,827.0,0.0,0.0013615167296368155,0.0020422750944552232,850.5,889.5,39.0,3,4,15,593,219,131
537,25,127,788.0,958.0,170.0,28,28,872.5,872.5,0.0,0.0011913271384322134,0.0013274788113958951,839.0,850.0,11.0,4,3,4,708,125,384
538,0,0,166.5,166.5,0.0,0,0,166.5,166.5,0.0,0.0,0.0,194.5,194.5,0.0,-1,16,0,72,588,446
539,0,0,166.5,166.5,0.0,0,0,166.5,166.5,0.0,0.0,0.0,202.0,202.0,0.0,-1,9,0,190,978,348
540,0,0,166.5,166.5,0.0,0,0,166.5,166.5,0.0,0.0,0.0,198.0,198.0,0.0,-1,5,0,377,388,789
541,0,206,166.5,960.0,793.5,0,20,166.5,503.0,336.5,0.0,0.0015317063208414173,196.0,862.5,666.5,3,6,0,473,831,190
542,77,179,875.0,954.0,79.0,44,44,874.0,874.0,0.0,0.0015657442390823377,0.0017359338302869397,865.5,874.0,8.5,4,4,17,547,131,301
543,36,36,766.5,766.5,0.0,42,42,718.0,718.0,0.0,0.00088498587426393,0.00088498587426393,789.0,789.0,0.0,-1,6,6,341,516,349
544,6,6,479.0,479.0,0.0,16,16,554.0,554.0,0.0,0.00010211375472276115,0.00010211375472276115,494.0,494.0,0.0,-1,4,1,544,840,811
545,0,206,166.5,964.0,797.5,0,18,166.5,450.5,284.0,0.0,0.0005105687736138058,195.5,711.0,515.5,3,8,0,270,859,414
546,0,101,166.0,951.5,785.5,0,2,166.0,352.5,186.5,0.0,0.0,198.5,198.5,0.0,5,2,1,830,738,572
547,26,128,718.5,934.0,215.5,32,32,666.0,666.0,0.0,0.0007828721195411688,0.0014295925661186562,777.5,853.5,76.0,4,6,8,451,345,154
548,0,102,166.0,902.5,736.5,0,11,166.0,391.5,225.5,0.0,0.00017018959120460194,198.0,560.5,362.5,4,7,0,400,967,670
549,8,8,517.5,517.5,0.0,18,18,462.0,462.0,0.0,3.4037918240920386e-05,3.4037918240920386e-05,419.5,419.5,0.0,-1,7,3,340,598,587
550,0,102,166.5,908.5,742.0,0,9,166.5,421.5,255.0,0.0,0.0004765308553728854,200.0,711.5,511.5,4,5,0,412,445,114
551,16,16,707.0,707.0,0.0,12,12,732.5,732.5,0.0,0.00034037918240920387,0.00034037918240920387,673.5,673.5,0.0,-1,2,7,975,134,976
552,0,102,166.0,956.5,790.5,0,3,166.0,421.0,255.0,0.0,0.00017018959120460194,202.0,566.0,364.0,4,2,0,890,979,178
553,5,5,500.0,500.0,0.0,4,4,492.5,492.5,0.0,0.00013615167296368154,0.00013615167296368154,536.5,536.5,0.0,-1,2,5,851,688,894
554,2,104,402.5,927.0,524.5,5,5,406.5,406.5,0.0,0.0,0.00013615167296368154,205.0,535.0,330.0,4,3,3,831,748,121
555,6,6,492.5,492.5,0.0,14,14,483.5,483.5,0.0,0.00010211375472276115,0.00010211375472276115,507.5,507.5,0.0,-1,6,4,529,512,732
556,0,206,166.5,965.0,798.5,0,12,166.5,459.0,292.5,0.0,0.0002042275094455223,196.0,569.5,373.5,3,4,1,493,947,557
557,2,2,430.0,430.0,0.0,3,3,459.5,459.5,0.0,0.00010211375472276115,0.00010211375472276115,504.5,504.5,0.0,-1,2,1,933,810,839
558,0,206,166.5,955.0,788.5,0,44,166.5,638.5,472.0,0.0,0.006569318220497634,201.5,968.5,767.0,3,8,0,334,985,10
559,0,206,165.5,964.0,798.5,0,42,165.5,675.0,509.5,0.0,0.0024166921951053475,197.0,902.5,705.5,3,7,1,324,685,43
560,15,117,652.5,942.5,290.0,16,16,603.0,603.0,0.0,0.00013615167296368154,0.00037441710065012424,519.5,668.5,149.0,4,4,4,945,164,380
561,114,320,935.0,983.0,48.0,70,70,947.0,947.0,0.0,0.0033016780693692774,0.003812246842983083,928.0,942.0,14.0,3,5,25,517,47,272
562,3,105,465.0,949.0,484.0,4,4,480.0,480.0,0.0,3.4037918240920386e-05,0.00017018959120460194,429.0,570.0,141.0,4,2,3,998,585,628
563,58,160,853.5,964.5,111.0,54,54,946.0,946.0,0.0,0.0028591851322373124,0.0030634126416828346,916.0,917.5,1.5,4,4,6,660,73,86
564,0,102,166.5,888.5,722.0,0,18,166.5,391.0,224.5,0.0,0.00017018959120460194,206.5,549.0,342.5,4,11,0,224,794,435
565,30,30,807.5,807.5,0.0,12,12,729.0,729.0,0.0,0.0006467204465774873,0.0006467204465774873,759.0,759.0,0.0,-1,2,10,979,405,947
566,0,0,166.0,166.0,0.0,0,0,166.0,166.0,0.0,0.0,0.0,208.0,208.0,0.0,-1,4,0,740,803,930
567,0,206,164.5,968.0,803.5,0,27,164.5,605.0,440.5,0.0,0.0007488342013002485,198.5,772.5,574.0,3,6,1,664,747,440
568,1,1,343.0,343.0,0.0,5,5,343.5,343.5,0.0,0.0,0.0,200.0,200.0,0.0,-1,5,1,571,647,768
569,16,118,729.0,962.5,233.5,8,8,634.0,634.0,0.0,0.000442492937131965,0.0006467204465774873,713.0,766.0,53.0,4,2,10,994,262,318
570,0,0,166.5,166.5,0.0,0,0,166.5,166.5,0.0,0.0,0.0,198.0,198.0,0.0,-1,19,3,35,746,538
571,18,120,622.0,910.5,288.5,40,40,576.5,576.5,0.0,0.00010211375472276115,0.0002382654276864427,507.0,608.0,101.0,4,9,2,803,549,392
572,12,12,491.0,491.0,0.0,48,48,488.5,488.5,0.0,0.00010211375472276115,0.00010211375472276115,492.0,492.0,0.0,-1,14,2,203,499,372
573,237,237,961.5,961.5,0.0,200,200,984.0,984.0,0.0,0.005718370264474625,0.005718370264474625,963.0,963.0,0.0,-1,12,31,183,102,911
574,0,206,166.0,974.0,808.0,0,8,166.0,572.5,406.5,0.0,0.0004765308553728854,202.0,702.5,500.5,3,2,0,980,957,143
575,0,0,166.5,166.5,0.0,0,0,166.5,166.5,0.0,0.0,0.0,200.5,200.5,0.0,-1,4,0,682,933,942
576,112,112,918.0,918.0,0.0,64,64,914.5,914.5,0.0,0.0026549576227917903,0.0026549576227917903,908.5,908.5,0.0,-1,5,16,173,78,483
577,1,103,344.0,915.5,571.5,6,10,344.5,401.5,57.0,0.0,0.0002042275094455223,198.5,576.0,377.5,4,6,1,664,469,376
578,0,102,165.5,964.0,798.5,0,3,165.5,438.5,273.0,0.0,0.0005786446100956465,201.5,737.5,536.0,4,2,0,865,868,467
579,32,238,776.5,976.0,199.5,44,44,861.5,861.5,0.0,0.0006807583648184077,0.0028591851322373124,759.0,917.0,158.0,3,4,9,512,145,153
580,0,102,166.5,888.5,722.0,0,13,166.5,358.5,192.0,0.0,3.4037918240920386e-05,196.0,415.5,219.5,4,12,1,222,962,602
581,67,273,843.0,972.0,129.0,66,66,869.0,869.0,0.0,0.0010211375472276116,0.002212464685659825,814.5,897.5,83.0,3,6,14,473,139,78
582,0,0,166.0,166.0,0.0,0,0,166.0,166.0,0.0,0.0,0.0,203.5,203.5,0.0,-1,2,0,881,702,723
583,9,9,583.5,583.5,0.0,6,6,445.5,445.5,0.0,0.00013615167296368154,0.00013615167296368154,523.0,523.0,0.0,-1,3,5,829,310,881
584,24,24,790.0,790.0,0.0,18,18,838.0,838.0,0.0,0.00030634126416828345,0.00030634126416828345,642.0,642.0,0.0,-1,2,4,946,233,702
585,143,143,925.5,925.5,0.0,120,120,955.5,955.5,0.0,0.002825147213996392,0.002825147213996392,913.0,913.0,0.0,-1,9,12,339,58,938
586,0,0,166.5,166.5,0.0,0,0,166.5,166.5,0.0,0.0,0.0,203.0,203.0,0.0,-1,7,0,343,967,573
587,0,616,166.5,994.0,827.5,0,52,166.5,717.5,551.0,0.0,0.0015317063208414173,202.5,851.5,649.0,2,7,3,321,348,78
588,0,206,166.0,981.0,815.0,0,8,166.0,616.0,450.0,0.0,0.0040845501889104465,204.5,944.0,739.5,3,2,0,715,921,9
589,0,0,166.5,166.5,0.0,0,0,166.5,166.5,0.0,0.0,0.0,204.5,204.5,0.0,-1,3,0,654,844,709
590,17,119,710.5,956.0,245.5,8,8,590.0,590.0,0.0,6.807583648184077e-05,0.0005446066918547262,468.5,730.5,262.0,4,2,8,979,477,412
591,24,125,748.0,950.0,202.0,12,12,666.5,666.5,0.0,0.0007828721195411688,0.0007828721195411688,774.0,774.0,0.0,5,2,10,966,272,580
592,2,104,403.0,928.0,525.0,5,6,403.0,446.5,43.5,6.807583648184077e-05,0.00010211375472276115,463.5,499.0,35.5,4,3,1,923,879,594
593,36,36,837.5,837.5,0.0,18,18,837.5,837.5,0.0,0.0009530617107457708,0.0009530617107457708,818.0,818.0,0.0,-1,2,9,760,245,673
594,41,143,695.5,903.0,207.5,158,158,713.0,713.0,0.0,0.00037441710065012424,0.0004084550188910446,655.0,669.0,14.0,4,22,7,18,329,596
595,16,118,668.5,937.0,268.5,20,20,636.0,636.0,0.0,0.0004084550188910446,0.0009190237925048504,688.5,805.5,117.0,4,4,4,619,167,490
596,20,20,625.5,625.5,0.0,66,66,683.5,683.5,0.0,0.00013615167296368154,0.00013615167296368154,520.0,520.0,0.0,-1,10,3,205,222,881
597,16,222,640.5,971.0,330.5,24,28,622.5,693.0,70.5,0.0004765308553728854,0.0028932230504782326,708.5,923.5,215.0,3,5,2,688,550,56
598,4,106,395.0,883.5,488.5,16,17,388.5,396.0,7.5,3.4037918240920386e-05,0.00013615167296368154,419.5,523.0,103.5,4,9,2,101,602,492
599,3,104,457.5,949.0,491.5,3,3,396.0,396.0,0.0,0.00010211375472276115,0.0002382654276864427,501.0,619.5,118.5,5,2,2,999,547,710
600,0,101,166.5,952.0,785.5,0,3,166.5,354.0,187.5,0.0,6.807583648184077e-05,195.5,459.5,264.0,5,3,1,576,428,285
601,16,16,640.0,640.0,0.0,34,34,786.5,786.5,0.0,0.0010211375472276116,0.0010211375472276116,819.5,819.5,0.0,-1,4,1,460,612,934
602,279,279,968.5,968.5,0.0,224,224,962.0,962.0,0.0,0.005854521937438306,0.005854521937438306,960.0,960.0,0.0,-1,15,35,45,57,822
603,2,2,402.5,402.5,0.0,6,6,445.5,445.5,0.0,0.00013615167296368154,0.00013615167296368154,528.5,528.5,0.0,-1,3,1,912,452,731
604,14,115,649.5,940.0,290.5,12,12,692.5,692.5,0.0,0.0004765308553728854,0.0005786446100956465,719.5,744.0,24.5,5,2,5,880,306,771
605,4,210,445.5,971.0,525.5,6,18,434.0,684.0,250.0,0.00010211375472276115,0.008373327887266415,498.5,981.0,482.5,3,3,3,577,411,37
606,6,6,442.5,442.5,0.0,50,50,634.0,634.0,0.0,0.00010211375472276115,0.00010211375472276115,500.0,500.0,0.0,-1,9,1,276,711,706
607,9,110,574.0,940.5,366.5,10,10,531.5,531.5,0.0,0.00013615167296368154,0.00013615167296368154,539.0,539.0,0.0,6,3,3,579,214,924
608,0,102,166.5,920.0,753.5,0,5,166.5,367.5,201.0,0.0,0.0,203.5,203.5,0.0,4,4,1,755,472,639
609,62,163,868.0,961.0,93.0,40,40,834.0,834.0,0.0,0.001497668402600497,0.0015317063208414173,855.5,858.5,3.0,5,5,15,908,206,755
610,0,0,166.5,166.5,0.0,0,0,166.5,166.5,0.0,0.0,0.0,200.0,200.0,0.0,-1,9,0,168,906,539
611,6,6,528.0,528.0,0.0,8,8,588.5,588.5,0.0,0.00013615167296368154,0.00013615167296368154,530.0,530.0,0.0,-1,2,1,841,711,864
612,2,104,365.5,875.0,509.5,21,25,359.5,371.0,11.5,0.0,3.4037918240920386e-05,198.5,421.0,222.5,4,18,2,64,739,419
613,10,10,584.5,584.5,0.0,9,9,492.0,492.0,0.0,3.4037918240920386e-05,3.4037918240920386e-05,427.0,427.0,0.0,-1,3,4,882,398,641
614,119,119,894.0,894.0,0.0,172,172,953.0,953.0,0.0,0.0024166921951053475,0.0024166921951053475,899.5,899.5,0.0,-1,12,17,348,85,542
615,190,292,942.0,969.0,27.0,242,242,948.0,948.0,0.0,0.003267640151128357,0.0033016780693692774,930.0,930.5,0.5,4,17,20,71,94,325
616,0,206,166.0,969.0,803.0,0,20,166.0,603.5,437.5,0.0,0.002280540522141666,204.0,893.5,689.5,3,4,0,641,969,26
617,169,169,937.0,937.0,0.0,132,132,872.0,872.0,0.0,0.0020082371762143027,0.0020082371762143027,885.0,885.0,0.0,-1,12,22,116,203,431
