,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,out_deg_victim,in_deg_villain,victim,villain,relayer
0,0,101,166.5,868.5,702.0,0,20,166.5,339.0,172.5,0.0,3.4037918240920386e-05,198.0,419.0,221.0,5,20,0,61,966,437
1,20,226,655.5,967.0,311.5,70,70,791.5,791.5,0.0,0.00017018959120460194,0.00030634126416828345,563.0,626.0,63.0,3,9,5,190,619,302
2,8,8,514.0,514.0,0.0,25,25,510.0,510.0,0.0,0.00017018959120460194,0.00017018959120460194,546.5,546.5,0.0,-1,7,3,324,434,898
3,0,206,166.5,972.0,805.5,0,20,166.5,614.5,448.0,0.0,0.0016678579938050988,195.5,869.0,673.5,3,4,0,384,900,112
4,18,224,629.5,964.5,335.0,38,42,681.5,708.5,27.0,0.00034037918240920387,0.00037441710065012424,651.5,665.0,13.5,3,6,3,255,263,410
5,24,126,684.0,925.0,241.0,52,52,731.0,731.0,0.0,0.0006807583648184077,0.0007147962830593281,759.5,767.5,8.0,4,7,4,678,288,690
6,182,284,963.5,979.0,15.5,54,54,904.5,904.5,0.0,0.003608019333537561,0.003642057251778481,935.0,935.5,0.5,4,4,38,542,111,380
7,1,102,349.0,929.5,580.5,4,4,349.5,349.5,0.0,0.0,6.807583648184077e-05,204.0,470.0,266.0,5,4,2,891,721,434
8,6,108,526.0,949.5,423.5,12,12,719.5,719.5,0.0,0.00030634126416828345,0.00037441710065012424,651.0,681.0,30.0,4,2,4,919,409,659
9,18,119,762.0,967.0,205.0,12,12,772.5,772.5,0.0,0.001157289220191293,0.001157289220191293,835.0,835.0,0.0,5,2,8,996,352,421
10,0,206,166.5,954.0,787.5,0,32,166.5,530.0,363.5,0.0,0.0017359338302869397,201.0,875.0,674.0,3,8,0,303,811,87
11,0,102,166.5,950.5,784.0,0,4,166.5,473.0,306.5,0.0,0.0005446066918547262,202.5,725.0,522.5,4,2,0,809,850,351
12,1,103,364.0,964.0,600.0,3,5,368.5,496.0,127.5,6.807583648184077e-05,0.0008169100377820892,487.0,801.0,314.0,4,3,2,812,495,139
13,8,214,529.0,965.0,436.0,14,18,486.5,526.5,40.0,6.807583648184077e-05,0.0013615167296368155,467.5,837.0,369.5,3,5,3,599,214,109
