,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,out_deg_victim,in_deg_villain,victim,villain,relayer
0,0,0,166.5,166.5,0.0,0,0,166.5,166.5,0.0,0.0,0.0,199.5,199.5,0.0,-1,20,0,88,699,895
1,0,206,166.5,935.5,769.0,0,42,166.5,414.0,247.5,0.0,3.4037918240920386e-05,200.0,424.5,224.5,3,19,0,31,726,248
2,4,105,499.0,961.5,462.5,4,4,499.5,499.5,0.0,3.4037918240920386e-05,6.807583648184077e-05,428.5,475.5,47.0,5,2,3,982,534,244
3,22,124,762.5,956.5,194.0,12,12,727.5,727.5,0.0,0.0004765308553728854,0.0011232513019503727,723.0,828.5,105.5,4,2,9,964,414,562
4,0,101,166.0,969.5,803.5,0,2,166.0,372.5,206.5,0.0,6.807583648184077e-05,205.0,476.0,271.0,5,2,0,884,796,458
5,9,111,558.0,922.5,364.5,12,12,495.5,495.5,0.0,0.00010211375472276115,0.00013615167296368154,496.5,524.5,28.0,4,4,4,539,442,607
6,34,136,747.0,927.0,180.0,46,46,724.5,724.5,0.0,0.0005786446100956465,0.0007488342013002485,731.0,769.0,38.0,4,6,9,432,29,691
7,48,254,813.5,970.0,156.5,58,58,766.0,766.0,0.0,0.0009190237925048504,0.0010892133837094523,803.0,823.5,20.5,3,7,10,714,272,689
8,0,206,166.5,951.0,784.5,0,21,166.5,422.5,256.0,0.0,0.0002382654276864427,200.5,605.0,404.5,3,9,0,159,875,432
9,22,228,737.0,980.0,243.0,12,12,674.0,674.0,0.0,0.0006807583648184077,0.003778208924742163,765.5,941.0,175.5,3,2,7,586,303,57
10,0,206,166.5,962.0,795.5,0,24,166.5,489.5,323.0,0.0,0.00030634126416828345,201.0,641.5,440.5,3,8,0,420,815,169
11,5,107,389.0,886.0,497.0,20,20,400.0,400.0,0.0,0.0,0.0002723033459273631,203.5,623.5,420.0,4,10,3,285,526,308
12,0,206,166.5,948.0,781.5,0,29,166.5,408.0,241.5,0.0,0.00030634126416828345,203.0,643.5,440.5,3,15,0,95,998,287
13,0,0,166.5,166.5,0.0,0,0,166.5,166.5,0.0,0.0,0.0,200.0,200.0,0.0,-1,9,0,168,985,767
14,0,0,165.5,165.5,0.0,0,0,165.5,165.5,0.0,0.0,0.0,206.0,206.0,0.0,-1,2,0,866,894,706
15,0,102,166.5,920.0,753.5,0,5,166.5,371.0,204.5,0.0,0.00013615167296368154,199.0,534.5,335.5,4,4,0,593,881,496
16,22,638,550.0,989.0,439.0,176,202,628.0,668.0,40.0,0.00037441710065012424,0.0012594029749140542,645.0,829.5,184.5,2,33,3,9,197,415
17,22,228,701.5,973.0,271.5,44,48,746.0,770.0,24.0,0.0002723033459273631,0.0009530617107457708,631.5,805.0,173.5,3,7,2,439,682,211
18,0,102,166.5,953.0,786.5,0,6,166.5,483.0,316.5,0.0,0.0012934408931549745,195.5,841.0,645.5,4,3,0,576,866,72
19,8,214,599.5,984.0,384.5,10,18,575.5,768.0,192.5,0.00017018959120460194,0.007182000748834201,562.5,975.0,412.5,3,3,3,798,121,7
20,0,101,166.0,961.5,795.5,0,2,166.0,362.5,196.5,0.0,0.0,201.0,201.0,0.0,5,2,0,981,970,321
21,47,47,872.5,872.5,0.0,22,22,908.0,908.0,0.0,0.00088498587426393,0.00088498587426393,793.0,793.0,0.0,-1,2,15,967,138,732
22,0,0,166.5,166.5,0.0,0,0,166.5,166.5,0.0,0.0,0.0,194.5,194.5,0.0,-1,6,0,451,843,587
23,0,0,166.5,166.5,0.0,0,0,166.5,166.5,0.0,0.0,0.0,195.0,195.0,0.0,-1,8,1,301,641,254
24,119,325,917.0,978.5,61.5,128,128,952.0,952.0,0.0,0.003369753905851118,0.0036760951700194017,935.5,942.0,6.5,3,9,14,422,68,169
25,1,103,349.0,923.0,574.0,4,5,349.0,372.5,23.5,0.0,0.0,203.5,203.5,0.0,4,4,2,545,374,755
26,0,0,166.5,166.5,0.0,0,0,166.5,166.5,0.0,0.0,0.0,200.0,200.0,0.0,-1,20,1,5,828,388
27,30,30,754.0,754.0,0.0,34,34,776.0,776.0,0.0,0.0006126825283365669,0.0006126825283365669,742.5,742.5,0.0,-1,4,4,572,246,906
28,4,4,415.5,415.5,0.0,11,11,392.0,392.0,0.0,3.4037918240920386e-05,3.4037918240920386e-05,428.5,428.5,0.0,-1,7,2,335,694,960
29,6,212,445.0,953.0,508.0,30,34,500.0,524.0,24.0,6.807583648184077e-05,0.000442492937131965,462.0,684.5,222.5,3,9,1,191,870,338
30,0,0,166.5,166.5,0.0,0,0,166.5,166.5,0.0,0.0,0.0,202.0,202.0,0.0,-1,5,0,314,400,735
31,0,101,164.5,979.0,814.5,0,2,164.5,392.0,227.5,0.0,0.0,203.0,203.0,0.0,5,2,0,952,200,508
32,43,43,826.0,826.0,0.0,62,62,956.0,956.0,0.0,0.0030974505599237552,0.0030974505599237552,934.5,934.5,0.0,-1,3,3,834,438,839
33,0,0,166.5,166.5,0.0,0,0,166.5,166.5,0.0,0.0,0.0,200.0,200.0,0.0,-1,20,0,5,712,746
34,24,126,726.0,939.5,213.5,40,40,829.5,829.5,0.0,0.0006807583648184077,0.00088498587426393,755.5,792.5,37.0,4,5,3,612,390,521
35,0,102,166.5,927.5,761.0,0,6,166.5,445.5,279.0,0.0,0.00017018959120460194,203.0,558.0,355.0,4,3,0,627,675,519
36,6,107,468.5,918.0,449.5,11,11,451.5,451.5,0.0,0.00010211375472276115,0.00017018959120460194,501.5,558.0,56.5,5,4,2,632,550,661
37,8,8,529.0,529.0,0.0,13,13,457.5,457.5,0.0,0.00013615167296368154,0.00013615167296368154,536.5,536.5,0.0,-1,5,3,531,646,324
38,0,102,166.5,905.0,738.5,0,10,166.5,384.0,217.5,0.0,0.00034037918240920387,202.0,660.0,458.0,4,7,2,637,271,613
39,0,206,166.0,971.0,805.0,0,10,166.0,517.0,351.0,0.0,0.0012594029749140542,205.5,842.0,636.5,3,3,0,620,649,158
40,0,102,166.5,929.5,763.0,0,7,166.5,401.0,234.5,0.0,0.0002382654276864427,201.0,603.5,402.5,4,5,0,727,916,167
41,16,16,684.0,684.0,0.0,14,14,673.5,673.5,0.0,0.0006467204465774873,0.0006467204465774873,755.5,755.5,0.0,-1,3,7,823,176,515
42,14,14,543.5,543.5,0.0,36,36,523.5,523.5,0.0,0.00013615167296368154,0.00013615167296368154,526.0,526.0,0.0,-1,10,3,109,704,780
43,533,739,989.0,994.0,5.0,368,368,984.0,984.0,0.0,0.008169100377820893,0.008611593314952858,972.0,972.0,0.0,3,20,62,61,70,175
44,12,12,542.5,542.5,0.0,42,42,588.0,588.0,0.0,0.00017018959120460194,0.00017018959120460194,549.0,549.0,0.0,-1,9,3,249,505,554
45,2,2,380.0,380.0,0.0,11,11,375.0,375.0,0.0,0.0,0.0,200.0,200.0,0.0,-1,8,2,415,739,838
46,296,296,970.0,970.0,0.0,214,214,993.5,993.5,0.0,0.008135062459579971,0.008135062459579971,971.0,971.0,0.0,-1,11,27,174,88,693
